Hindi	Telugu	Similarity_Score
तुम एक नंबर के डर पो क हो .	నువవు చాలా పి రికి వాడి వి .	0.4568
बि श प ,	బి ష ప ,	0.5136
यहाँ जब किसी से मिल ते हैं ,	ఇకకడ ఎవరి నె నా కలి సిన పపుడు ,	0.5311
बचचे के डा य पर के लिए , लोगों के घर ों में घु स ने लगा .	తన బి డ డ కు డ యి పర లు కొ న డానికి ఇ ళళ లలో దొ ంగ త నం చేశా డు .	0.6322
ली ला ?	లీ లా ?	0.3325
चे ला गु रू बन जाता है ?	వి ద యా రథ ి గు రు వయ యి ందా ?	0.5848
आ खि री परति यो गि ता अ ध ू री रह गई , इसलिए जज ों ने त य किया कि अं क देना	మనం ఇది వర క టి స వ ాలు పూరతి చేయ లేదు , అందు కని నయాయ నిరణ ే తలు పా యి ంట లు	0.6744
यह ठीक कैसे है ? हम में से कुछ को पार करना प डा था .	అది నయా యం ఎలా అవు తుంది ? మ ాలో కొ ంత మంది అది దా టా ము .	0.5967
- शु भ काम ना एँ . - अचछा .	- శు భా శ ీ స సు లు . - సరే .	0.6788
यह कया ?	ఏంటి ది ?	0.3035
नै ट ली ?	నా ట లీ ?	0.5397
नै ट ली ?	నా ట లీ ?	0.5397
यह कया ?	ఏంటి ది ?	0.3035
हाँ , अपना फोन .	అవును , నా ఫోన .	0.4944
तुम मेरे साथ खेल रहे हो .	ననను గ ంద రగ ో ళ ప రు సతుననా వు .	0.4683
पिछ ली चु नौ ती में तुमने डॉज को तो ड ने की कोशिश की .	ఇది వర క టి స వ ాలు లో నువవు డా డజ ను ద ె బబ తీ య ాలను కుననా వ .	0.5932
समय निकल ता जा रहा है .	గ డి యా రం పరి గె డు తుంది .	0.4881
रे ?	రే ?	0.6010
बा प रे .	అదభు తం .	0.4258
कया कर रहे हो ? यह कया ?	ఏం చేసతుననా రు ? ఏంటి ది ?	0.5049
मैंने अपनी माँ से कहा कि श हर के से वा पु रस कार के लिए , दोबारा भर ती होना होगा .	న గర సే వా పు రస కా రా నికి దర ఖ ా సతు చేయ డానికి తిరిగి స కూ లలో చే ర ాలని అమమ తో చెపపా ను .	0.6018
दा न मि र ची खाना परति यो गि ता के लिए , मैं बस कुछ इ श ति हार बा ँ ट रही थी .	నేను చి ల లీ కు క ఆ ఫ స వచ ఛ ంద సం సథ కోసం కొనని పర చా ర ప తర ాలు ప ంచు తుననాను .	0.6884
- आपको लगा वह से कस की बात कर रही थी . - अब पता है कि वह बात नहीं थी .	- తను సె కస గురించి మాటలా డే ద ను కుననా రు . - తను మాటలాడ లే దని తెలి సింది .	0.5976
बिना जी त के और कोई चा रा नहीं , जैसे जी ने के बिना कोई चा रा नहीं .	గె ల వడానికి రెండ ో చో ట ంట ూ లేదు , బర త క డానికి రెండ ో చో ట ంట ూ లే న టటు .	0.5680
नहीं , मैं तो बस इसे तुमहें देने ला रही थी . वि शे ष डि लि व री है .	అయ యో , లేదు , నేను ఇ వి మీ కోసం తీసుకు వ సతుననాను . పర త యే క డె లి వర ీ .	0.6697
पिछ ले साल के जज दो लोगों की जान ले ने के जि म मे दार हैं .	గ త ఏ డా ది నయాయ నిరణ ే తల మన స సా కషి కి రెండు ముఖ ాలు ఉంటా యి .	0.6326
- अब मिल र उनहें सब बता रही है . - मिल र अचछे से समझ ती है .	- ఇక మి లల ర రె చచి పో తుంది . - ఆమె కు త నే ం చే సతు ందో తెలుసు .	0.6540
- उसने बताया नहीं उसकी बहन भी है . - बुरा मत मान ना .	- తన కు ఒక సోద రి ఉ ందని చెపప లేదు . - మన సు లో పెటటు కో కు .	0.6206
कया कह रहे हो ? डे वि स को स पर लॉ क का पै सा चाहिए था .	ఏం అ ంటుననా వు ? డే వి స కు స పర లా క దా చి న డబబు కావాలి .	0.6574
- हे भगवान . तुम ठीक तो हो ? - जू लिया , मेरी मदद करो .	- అయ యో , దేవుడా . బాగానే ఉననా వా ? - జ ూ లీ , సహా యం చె య .	0.6692
इस साल के जज ों को पिछ ले साल वा लों का पता होगा .	ఈ ఏ డా ది నిర వ హి ంచే వా రికి గ త వే స వి లో వారు తెలుసు .	0.5494
और आ ख िर में , या तो आपका बच चा जि ंदा होता है . . .	చి వర కు చూ సతే , ఉంటే పరా ణ ము నన పిలల లు ఉంటా రు . . .	0.6832
सभी को लगा मैं पागल थी जो यहाँ त बाद ला ले लिया .	ఇకకడ కు బ ది లీ అయి వచచి న ందుకు నాకు పి చచ ను కుననా రు .	0.5760
अजीब बात है कि अस ली बच चों ने मुझे नहीं थ का या .	నిజ ానికి , అస లెన పిలల లు కాదు ననను వి సి గి ంచింది .	0.5741
कभी तुम लोग मुझे किसी के साथ घ ू म ने को कहते थे .	మీరు ననను బయటకు వెళళి డే ట చేయ మ నన రోజు లు ననా యి .	0.5993
हाँ ! सट े शन में को र टे ज के साथ कैसा चल रहा है ?	అవును ! సట ే షన లో కోర టె జ తో విషయ ాలు ఎలా ఉననాయి ?	0.6597
खि ड किया ँ बंद कर दे ती , ताकि उसे रा सता न मिले .	పా రి పో కుండా , కి టి కీ లకు చె కక లు కొ టటే సే దానని .	0.5911
सै रा और उसके दोसत ों को लगा कोई आ म पार टी है .	సా రా మి తరు లు పార టీ కి ి వెళ ు తుననా ర ను కుననా రు .	0.5968
मेरे लिए है . डे ना मे सन . मैं डॉज की बहन हूँ .	ఇది నా కోసం . డే నా మే స న . నేను డా డజ చె లలి ని .	0.6506
मुझे नहीं करना . पुलिस से प ं गा नहीं लेना .	నేను ఆడ ను . నా వె నుక పోలీసు లు పడ ాలని లేదు .	0.5855
मुझे आ राम से हफ ते के 8 00 ड ॉलर मिल ते हैं .	వా రా నికి క నీ సం 8 00 డ ాల రలు సం పా ది సతుననాను .	0.6194
वा कई किसी को ए ज ें ट के बारे में नहीं पता ?	ఎవ రికీ బ యా గ మయా న ఎవరో తెలియ ద ంటే నమమ లేను .	0.5805
मैं खो द ने की बात नहीं कर रहा था , सा ले .	నేను త వ వడం గురించి మాటలాడ డం లేదు , వెధవ .	0.5865
हम वैसे भी कहीं और जाकर बस ना चाहते थे .	అంటే , మేము ఎలా గ ూ చో టు మార దాం అను కుననా ం .	0.5701
जब तक वय क ति गत चु नौ त ियाँ शुरू हुई ं . . .	వయకతి గ త స వాళళు ఎదు ర కునే సమ యా నికి . . .	0.6888
मैंने डॉ ट में चि क ना ई वाली जगह साफ की ,	డా ట నా చే త చ ము రు పె పు శు భ రం చేయి ంచా డు ,	0.6268
- पै निक नहीं खे लो गे ? - मजाक कर रहा हूँ ?	- ఇక పా నిక ఆడ వా ? - హా సయ మా డు తునన టటు ఉందా ?	0.6690
पू रे खे त में उसने पै सा छु पा कर र खा था .	అతను ఆ పొ ల ం అంత టా డబబు ప ూ డ చి పెటటా డు .	0.6465
पुलिस को पता चल ने से पहले एक बात थी .	పో లి సు లకు తెలియ క ముందు ఒక లా ఉండే ది .	0.5914
मैं तुमहें निकाल ती हूँ . एक से क ंड दो .	నేను నినను బయటకు తీ సతాను . ఒకక కష ణం .	0.5401
एक बार मैंने पूछ ा कि वह बडा - छो टा कयों होता था , तो उनहोंने कहा नि र मा ण .	ఒక సారి , అద ె ందుకు పెదద గా ఇంకా చినన గా మా రు తు ందని అడి గే , ఆమె నిర మా ణం అ ంది .	0.6165
स पर लॉ क खे त में मिली - कि शो र की ला श	స పర లా క ఫా మ లో - చ ొ ర బడి న యు వ కు ని శ వం	0.6666
उस तरह दस गु ना भ ि ड ना कौन चाहता है ?	అలా ంటి ప ది రె టల పని ఎవరు చేసతా రు ?	0.5820
हाँ , अगर पिछ ले साल के जज ों को लगा कि किसी अ जन बी को चु ना जा सकता है .	ఖచచితంగా , గ త ఏ డా ది నయాయ నిరణ ే తలు ఒక అ పరి చి తు డిని ఎ ంచుకో వాల ను కు ంటే .	0.6388
उसका नाम क न सटर क शन म ून वर क रख ूँगा .	క న సటర కష న మూ న వర క అని పేరు పె డ తా .	0.6416
उसने कभी उनके बारे में बताया . . .	వాళళ గురించి ఏమెనా చెపపి ందా . . .	0.5707
- आपके पास वे चि ट ठ ियाँ हैं ? - नहीं .	- మీ దగగర ఆ చ ీ టీ లు ఉననా యా ? - లేవు .	0.6717
परा थ मि क ता डा क मे सन , डी . को भेज ें	ముఖ య మెన ఉ తత రం బ ట వా డా : మే స న . డీ .	0.6528
पाँच से क ंड में नि शा ना लगा ऊँगा .	ఐ దు సె క నలు నేను గురి పెటట ే ందుకు .	0.5785
- हे भगवान . - यह तो कुछ भी नहीं .	- అయ యో , దేవుడా . - ఇది ఇంకా న యం .	0.6385
वहाँ त ह खा ने में गा र टर सा ँ प थे और अ टा री में ब लै क - र ै ट सा ँ प .	నే ల మా ళ ి గ లో తో ట పా ము లు ఇంకా అ ట క లో న లల ఎ లు క పా ము లతో పె రి గా డు .	0.7133
हाँ , हेदर सिरफ मेरी दोसत है .	సరే , హే థర సనే హి తు ర ాలు మాతరమే .	0.5172
इतनी रात को मिलने का शुकरिया .	ఇంత రాతరి వచచా వు , ధనయవాదాలు .	0.5054
यहाँ आने से पहले , सा त साल ों तक डै स ल में , ए सवी यू में थी .	నేను ఇకకడ కు రా క ముందు , డ లలా స లో ఎ స వీ యూ లో ఏ డే ళళు పని చేశా ను .	0.6721
सा ँ प ों से कितना डर लगता था .	భయ మో అంద రికీ చెప తూ ఉండే వాడు .	0.5462
सच में ? ऐसी लग ती तो नहीं हो .	నిజంగా నా ? నువ వ లా కనిపి ంచ వు .	0.5121
कुछ साल पहले की बात याद है ?	కొ న నే ళళ కరి తం నీకు గురతు ందా ?	0.5432
पर बात यह है कि मेरी जिंदगी में दूस री कोई कमी नहीं थी .	కానీ విషయం ఏంట ంటే , నేను దే ని కీ ఒక చెతత అ ం కె దూ రం లో లేను .	0.5986
उसने जरूर कुछ सुन लिया होगा .	గో డ లు శ బ ద ాలను ని వారి ంచ లేవు .	0.5276
अचछा , तो अब किस तरफ जाना है ?	సరే , అయితే , ఇపపుడు ఎ టు వెపు ?	0.5679
सि गरे ट जि मी को न फ रत थी . कहा करता था कि जान च ली जाए गी .	జి మ మీ కి నేను తా గి తే న చచ దు . ననను అవి చం పే సతా య ని అనే వాడు .	0.5969
कभी उसने ले ग सी रो डियो सी री ज में राज य का रि कार ड तो डा था ,	తను లె గ సీ రో డి యో సి రీ స లో రా ష టర రి కార డు బ దద లు కొ టట ా డు ,	0.6261
जब को र टे ज ह वाला त में डा ले , तो मेरे पास रो ते हुए मत आ ना .	నినను కోర టె జ జె లలో పె డి తే , బె యి ల కోసం నా దగగర కు రా కు .	0.6685
जी तने में तुमहारी मदद कर ूँगी , इ नाम आ धा - आ धा बा ँ ट ेंगे .	నీకు గె ల వడం లో సాయం చేసతాను , బహు మ తి సమా న ంగా ప ంచు కు ందా ం .	0.6467
नौ दिन हो चु के हैं . जज लोगों से कोई खबर नहीं मिली ?	9 రోజు ల య యి ంది , డి గ గి నస . నయాయ నిరణ ే తలు ఏమెనా తెలి పా రా ?	0.5793
मैं पह रे दा री कर ूँगा और तुम 3 , 00 0 एक ड तक खो द ते रहना .	నేను కా ప లా ఉంటా ను , నువవు 3 , 00 0 ఎ కర ాలు త వ వు సరేనా ?	0.6930
प ौ धा घर पास होना चाहिए , वर ना हम प श चि म की ओर आ गए हैं .	గం జా యి గ ృ హం తవర గా కనిపి ంచాలి లేదా ప శ చి మ ం వచచి న టటు .	0.6135
उनहोंने मुझे वह सब देखना सि खा या जो बाकी नहीं देख ते .	నాకు ఇ తరు లు గ మని ంచ ని విషయ ాలు గ మని ంచడం నే ర పి ంచారు .	0.5878
वह उनकी क ें चु ल इ कट ठा करता	అతను వాటి చ ర మ ం సే కరి ంచి ,	0.5864
ती स ह जार य ूँ गा य ब हो गए .	3 0 వే లు పోయా యి , ఒ టటి గానే .	0.5224
ऐ बी कला र क के साथ कया हुआ ?	ఆ బీ క లా ర కకు ఏం జరిగింది ?	0.6047
चाह ने वा लों में हो ऊँ गी .	నేను నీ గర ూ పీ అవు తాను .	0.5328
वह घ ंट ों वहाँ प डी रही .	తను అకకడ గంట ల పాటు ఉంది .	0.5338
अग ली परति यो गि ता तक पहुँच ने के लिए 1 5 0 चाहिए ,	తరు వా తి స వ ాలు కు వెళళ ాల ంటే 1 5 0 పా యి ంట లు ఉండాలి ,	0.6332
कया , मुझ पर भरो सा नहीं ?	ఏంటి , నా పె నమమ కం లేదా ?	0.5400
पहले साल से ही , वह हर किसी को बता ता था कि उसे	స కూ లలో మొదటి ఏ డా ది ను ండ ే , పా ము ల ంటే తన కు ఎంత	0.6125
हमारे का रो बा री को जेल की ह वा खा नी पड सकती है .	మన బ డా వయా పార వే తత జె లు ను పరి శ ీ లి సతు ండ ే వాడు .	0.5916
इसलिए मैं कभी जि मी के बारे में बात नहीं करता .	అందు కని నేను ఎపపుడూ జి మ మీ గురించి మాటలాడ ను .	0.5728
कहा कि मुझे कू द ते भी नहीं देख पा ए गी . झूठ कहा .	నేను దూ కు తు ంటే చూడ లే నని ంది . అబ దధ ం చెపపి ంది .	0.6131
- अरे , बा प रे . - हे भगवान . ला यन स , यह कया , यार ?	- అయ యో , దేవుడా . - అయ యో , దేవుడా . ల య నస ఏంటి ది ?	0.6802
एक बि लि यन ड ॉलर से एक अं क का फा सला रह गया .	వ ంద కో ట లకు నేను ఒక చెతత అ ం కె దూ రం లో ఉననాను .	0.6420
उसने क सम खा ई कि चु नौ ति यों में खत रा नहीं था .	స వాళళు పరమా ద కర మెన వి కా దని పరమా ణం చేసి ంది .	0.6106
हमें कल की चु नौ ती के बारे में नहीं सोच ना चाहिए . अस ली पै सा ढूँढ ो .	మనం రే ప టి స వ ాలు గురించి మర చి పో వాలి . అస లెన దానికి పరయతని ంచాలి .	0.6189
तुम मुझे बता सकते हो .	నువవు నాకు చెపప వచచు .	0.5061
मजाक कर रहे हो ? यार .	నాతో హా సయ మా డు తుననా రా ?	0.4727
इस चु नौ ती के 5 0 अं क हैं , सब - या - कुछ नहीं .	ఈ స వ ాలు కు 5 0 పా యి ంట లు , మొతత ం లేదా ఏం లేదు .	0.6752
जी तने के लिए किसी को तो ड ने की जरूरत नहीं .	నేను గె ల వడానికి ద ె బబ తీ య కక ర లేదు , బంగా రం .	0.5936
- धत तेरी . - ए . रुको .	- అబబా ఛ . - హే . ఆ గా గు .	0.6362
यह बो झ लेकर चल ना उ तना आ सान नहीं होगा .	వాళళు అలా ంటి భా రా నని మో య టం సు లు వు కాదు .	0.5543
" साल ों पहले ल डी ज ंग ों से ख जाने ब टो र ने	" ఏ ళళ కరి తం యు దధ ాల భ విష యత ని ధ ు లు పొ ంద ాలి	0.6501
यह तो सबसे ह ट कर है ,	అంటే , అది పరా కా ష ఠ .	0.5590
हाँ , हेदर के यहाँ .	అవును , హే థర దగగర కు .	0.4737
अचछा , चलो करते हैं .	సరే , పద ండి చే దదాం .	0.5293
साल ों तक , मुझे लगा कोई अ ंत रि कष या तरी	ఎ నన ో ఏ ళళు , చ ండ రు డి లో ఎవరో వ యో మ గా మి	0.6286
उनहें नहीं पता था . कि सम त ख रा ब निक ली .	వాళళ కు తెలియదు . అది దు ర ద ృష టం అంతే .	0.6220
नहीं पूछ ा कि ला मा का ट ते हैं कि नहीं .	లా మ ాలు కొ ర కు తా యా అని కూడా అడ గ లేదు .	0.5870
तुमहें भ ू ख लगी है ?	నీకు ఆ కలి గా ఉందా ?	0.5466
जैसा मैंने पिछ ले साल शे रि फ को बताया ,	నేను గ త ఏ డా ది ష ె రీ ఫ కు చెపపి న టటు గా ,	0.6028
तुमहारा फोन . देख ूँ जरा अगर मुझे . . .	నీ ఫోన . ననను చూడ నీ ఒక వే ళ నాకు . . .	0.6681
बी मा कं प नी ने दि वा लिया प न का आ वे द न देने को कहा और . . .	బీ మా సం సథ ది వ ాలా తీ సిన టటు ఫె ల చేయ మని ంది , ఇంకా . . .	0.6675
र च ना त म क पर य वे कष क र वी न दर श ं कर शु कल	కరి యే టి వ సూ పర వె జర : రా జే శ వర రా వు వల వల	0.6404
चार ों में से एक को पक ड ना है , बाकी खुद मिल जाएँगे .	ఆ నలు గు రు పిలల లలో ఒక రి ని పటటు కు ంటే అందరూ దొ రు కు తారు .	0.5997
देखना पडे गा . बे स पर जो होगा , वह कितना ह सी न होगा ?	బా స వా యి ంచే వాడు ఎంత ఆ కర ష ణ ీ య ంగా ఉంటా డు ? అనన దాని బటటి .	0.6026
चलो भी , वे रा इ जन .	సి గ న ల రా , వె రె జ న .	0.5375
पुलिस की नौ करी में का ग जी कार य वा ही जयादा होती है .	పోలీసు ల పని అంటే ఎకకువ గా ప తర ాల ప నని నీకు చెపపు ండ రు .	0.5792
कोई अनु वाद करे गा ?	అను వాద ం చేసతా వా ?	0.4734
नहीं . हम तो बस बीच के हैं . ए ज ें ट ही सं पर क करता है ,	కాదు . మనం చేసతా మ ంత ే . బ యా గ మయా న మన ను సం పర ది సతా డు ,	0.6849
ज ंग ल से घर अचछे से नजर आ ना चाहिए ,	చె టల నుండి ఇ లలు బాగా కనిపి ంచాలి ,	0.5528
उनहें क सर त की जरूरत होती है . तुमहें सि खाना पडे गा .	వాటి కి చాలా సా ధన కావాలి . నేను నీకు నే ర పి సతాను .	0.5649
त भी झ ट का दे कर गाडी ने उसे कि ना रे पर ले जाकर प ट का .	వర ద లో కొ టటు కొ చచి న కారు తన ను ఒ డ డు కు న ొ కక ే సింది .	0.6693
तुमहारी पक की दोसत है न ? उसकी मदद नहीं करनी चाहिए ?	తను నీ పరా ణ సనే హి తు ర ాలు కా దా ? తన కు సాయం చేయ వా ?	0.5751
रात 1 0 : 00 ब जे .	రాతరి 1 0 గంట లకు .	0.5663
कितना बेवकूफ है .	ఎంత పిచచి వెధవ .	0.4989
पता नहीं था कि यहाँ कोई घर है .	ఇకకడ వె నుక ఒక ఇ లలు ఉ ందని తెలీదు .	0.5372
मेरा माल सही है .	నా డ రగ స మంచి వి .	0.4711
यो जना याद रख ना .	ప లా న గురతు ంచుకో .	0.4733
- घर म कई के खे त ों के द कष ि ण में पडता है . - पकका द कष ि ण को जा रही हो ?	- ఇ లలు కం కి చే ను కు ద కషి ణ ా న ఉంది . - నువవు వెళ ు తునన ది ద కషి ణ మే నా ?	0.7043
मान ना पडे गा , पै निक जी तने के लिए लोगों ने कई अजीब हर कत ें की हैं ,	పా నిక గె ల వడానికి జ నం చాలా వి చి తర మెన ప ను లు చేసతా రని చెపప ాలి ,	0.6083
वि लि य मस , तुम चर च जाओ और रे वर ें ड रे ड से बात करो .	వి లి య మస , చ రచ కు వెళళి , రె వర ె ండ రె డ తో మాటలాడు .	0.6903
हमें पता है कि दो जज खेल की तै या री करते हैं .	జ త నయాయ నిరణ ే తల చే త ఆ టలు నిర వ హి ంచ బడ తా య ని తెలుసు .	0.5612
कयोंकि हर जगह जा ल बि छे हुए हैं .	ఎందుకంటే అంత టా ఉ చచు లు ఉననాయి .	0.5390
यह कया ? छोड ो ! सा ला ! छोड ो . सा ला !	ఏంటి ది ? వ దల ండి ! ఛ ! వ దల ండి . ఛ !	0.5367
- हैलो . - लड कि यो .	- హాయ . - మ హి ళలు .	0.6367
सच में ? कई हफ त ों बाद हमें पह ला सु रा ग मिला है ,	నిజంగా నా ? ఎ నన ో వా రాల కు మొదటి సూ చ న అ ంది ంది ,	0.6412
तो सै रा मिल र से कया पता चला ?	సా రా మి లల ర నుండి ఏం తెలి సింది ?	0.5196
मैंने कुछ - एक बार ही देखा था .	నేను కొనని సా రలు మాతరమే చూశా ను .	0.5297
वह कुछ अजीब सी पे श आ रही थी .	తను సా ధా రణ ంగా వయ వ హ రి ంచడం లేదు .	0.5791
स पर लॉ क का खे त .	ఇది స పర లా క ఫా మ .	0.5933
सारे रा सत ों का पता होना चाहिए .	అనని పర వే శ ాలను పరి శ ీ లి ంచాలి .	0.4770
तुमहें इस बात की जल न है कि मैं क मा ता हूँ !	నేను బాగా సం పా ది సతుననా నని , నీకు ఈ ర ష య గా ఉంది !	0.5886
कया पता ? शायद बद ले में तुम कुछ देना चा हो .	ఎవ రికి తెలుసు ? నువవు నా రు ణం తీ రచు కుంటా వే మో .	0.5917
जब मुझे उनकी जरूरत नहीं थी .	నాకు తో డు కావాల ను కో న పపటి మాట .	0.5073
मैं उन 5 0 अं कों से ना राज हूँ .	నాకు ఆ 5 0 పా యి ంట ల మీద కో పం .	0.6464
मेरे पास और कोई चा रा नहीं है .	నాకు మ రో మా రగ ం ఉనన టటు లేదు .	0.5793
तो , हमें घर के अंदर घु स ना है ?	అయితే , ఇంటి లోప లకు వెళళ ాలా ?	0.5781
इस दुनिया में कुछ बदल ना है तो सही कि सम के दोसत जरू री हैं .	ఈ పరపంచ ంలో ఏదెనా మా రచ ాల ంటే , మనకు స రెన మి తరు లు ఉండాలి .	0.6365
सामने के दरवा जे पर नजर रख ूँगी . तुमने न क शे की त सवी र ें ली ं ?	నేను ముందు తలు పు చూ సతు ంటా ను . మయా ప ఫో టో లు తీసు కుననా వా ?	0.6097
अगर स पर लॉ क ने पै सा कहीं छु पा कर र खा है . . .	స పర లా క నిజంగా డబబు ప ూ డ చి పె టటి ఉంటే . . .	0.6937
हाँ . चा ली स घं टे और ह थ क डि यों से ऐसा हो जाता है , सा ले .	అవును . నువవు న ల భ ె గంట లు సం కె ళళ తో ఉంటే జ రి గే ది అదే , వెధవ .	0.6881
वह ऊपर ी और नि चला मै दा न है .	అది పె న పొ ల ం ఇంకా కింద పొ ల ం .	0.5535
तो , कयों लिया ?	బ ది లీ ఎందుకు ?	0.4929
जो लड कों ने निका ली ं जिन हें लगा कि उनसे पयार था . अके ली लड कि यों की ,	వాళళ ను పరే మి ంచా ర ను కునన అబబా యి లు లీ క చేసిన ఫో టో లు . . . ఒ ంట రి అమమాయి ల వి ,	0.6253
जैसा ऐ बी कला र क के साथ हुआ .	ఆ బీ క లా రక విషయం లో జరిగి న టటే .	0.5725
पहले सारे रे च क और बच चों का पा उ डर और र ंग ों वाले कार ड .	వి రే చ న కా రి మ ందు లు , పిలల ల ప ౌ డ రు , పె యి ంట చి ప స కంటే మంచి వే .	0.6325
हमारा घर 1 00 ग ज की दू री पर एक ढ े र बना हुआ पा या गया ,	మా ఇ లలు దా దా పు 1 00 గ జ ాలు పు నా దు ల నుండి కు పప కూ లి పోయింది ,	0.6345
उनहें लगता है इन गर मि यों में , मैं घं टे पू रे कर रहा हूँ .	నేను ఈ వే స వి లో సే వా సమయం గ డు పు తుననా నని అను కు ంటుంది .	0.6226
अभी भी बात नहीं करना चाहती .	నాతో మ ౌ న పో రా టం చే సతుంది .	0.4561
कुछ चि ट ठ ियाँ , ध म किया ँ मिली ,	బె ది రి ంపు ఉ తత ర ాలు వచచే వి ,	0.5569
अगर हमें मिल कर खेल ना है , तो हमें यो जना तो बना नी पडे गी .	నువవు భా గ సవా మి వి అయితే , మనం ఒక పర ణ ా ళ ి క వే సుకో వాలి .	0.6307
इसलिए पूरा दम लगा कर खे लो .	అందు కని శ కతి మే ర క ృ షి చేయ ండి .	0.5206
आ धा खेल तो उनसे बच ना है .	స గం ఆట వాళళ ను ని వారి ంచ డ మే .	0.5963
त सवी र ें थीं .	అవ ననీ ఫో టో లే .	0.4542
सा त , छ ह . . .	ఏ డు , ఆ రు . . .	0.7056
पा इ प च ू रहा है और रि सा व से पागल हुई जा रही हूँ .	పె పు లీ క అవు తుంది , కారు తునన నీ ళళు పి చ చె కకి సతుననా యి .	0.6075
- मुझे यह सब स जाकर रख ना है ? - हाँ , मैडम .	- ఇవ ననీ సరి గా పెటట ాలా ? - అవును , మే డం .	0.6707
अगर हम अलग हो कर खो ज ें तो जलदी होगा .	మనం వి డి పోయి వె తి కి తే తవర గా కను గొ న గల ం .	0.4997
पुलिस ने हमें पक ड लिया , इसलिए ऐसा था .	మన లని రెండ ో స వ ాలు లో అ రె సట చేశా రని .	0.5800
चलो , समय निक ला जा रहा है . चलो . आओ .	రండి . సమయం మి ంచి పో తోంది . పద ండి . రండి .	0.5345
जि मी उस पर द बा व डाल रहा था , बो ला कि उसे अफ सो स नहीं होगा .	అ ందుకు తను ప శ చా త తా పం చె ంద దని చెపపి , జి మ మీ తన ను ఒ తతి డి చేశా డు .	0.6249
अ वै ध तरी के से घु स ना . हर साल होता है .	చ ొ ర బా టు . అది పరతి ఏ డు జరుగు తుంది .	0.6551
भा ड में जाओ .	వెళళ ు చా వు .	0.4746
