मॅकसिमस.	మాకసిమస.
शेडी सैंडस? वह जगह तो खतरनाक विकिरण वाली है.	షేడీ శాండస? అకకడ చాలా రేడియోధారమికత ఉంటుంది.
- भाड में जा! - निकल!	- పోరా! - అవతలికి పో!
मैं ऐसा कभी नहीं करूँगी. कभी नहीं.	నేను అలాంటి పని చేయను. నేను చేయను.
लोगों को बुरा लगेगा जब उनहें पता चलेगा.	జనాలకు ఈ విషయం తెలిసతే వాళలు బాధపడతారు.
{\an8}वॉलट असाइनमेंट शुरू करें	{\an8}వాలట అసెనమెంట ఆరంభించండి
दुबारा बसाहट के असाइनमेंट भेज रहे हैं	జనాభా పునరుదధరణ అసెనమెంటలను పంపుతోంది
{\an8}बधाई हो! आप वॉलट 33 में रहेंगे	{\an8}అభినందనలు! మీరు 33లో ఉంటుననారు
{\an8}बधाई हो! आप वॉलट 33 में रहेंगे	{\an8}అభినందనలు! మీరు 33లో ఉంటుననారు
नॉरम, तुमहारी याद आएगी.	నువవు గురతొసతావు, నారమ.
चेट.	చెట.
सही सुना,	అది నిజం.
और हम यहीं वॉलट चार में रहेंगे और काम करेंगे,	మేము ఇకకడే వాలట 4లో నివసిసతుననాం, పని చేసతాం,
केपीएसएस	కేపీఎసఎస
अब ऐसी आवाज मिलना मुशकिल है.	ఇకపె ఆ గొపప ధవనిని పొందలేవు.
तुम कौन हो?	ఎవరు నువవు?
नहीं.	లేదు.
थेडियस. . .	థాడియస. . .
नहीं.	లేదు.
यह अचछी बात है न? बरदरहुड के लोग अचछे होते हैं?	ఏంటి? ఇది మంచిదేగా, కాదా? సోదరజాతి మంచివాళలేగా?
कया कर रहे हो?	ఏం చేసతుననావు?
- और, जाहिर है, हर वॉलट. . . - मुझे नहीं जाना है.	- తపపకుండా, పరతి వాలట. . . - నేను వెళలను. వెళలను.
मैं वहाँ रहता हूँ.	నేను అకకడ బతకగలను.
शुभकामनाएं, बततीस के लोगों.	అదృషటం కలగాలి, 32 వాసులారా.
पासवरड डालें	పాసవరడ అవసరం
अगर उनहें पता चला कि उनहें खोजने में मैंने पूरा वॉलट तबाह कर दिया है. . .	ఆయనను రకషించడానికి మొతతం ఓ సమాజానని నాశనం చేశానని మా నాననకు తెలిసతే. . .
इनहें इनकी सहमत होने की कषमता और जिंदादिली के लिए चुना गया है.	వారిలో పరతి ఒకకరూ తమ అంగీకారం, పటటుదల పరకారం ఎంపిక చేయబడడారు.
जब यह मामला खतम हो जाए, तो हमारे साथ वॉलट 33 में रह सकते हो.	ఇవననీ ముగిసిపోయాక, నువవు మాతోపాటు వాలట 33కి వచచి నివసించవచచు.
फयूजन कोर के बिना यह कवच बेकार है. मैं योदधा नहीं रहूँगा.	ఫయూజర కోర లేకుండా, ఈ కవచం నిరుపయోగం. సెనికుడిగా ఉండలేను.
ताकि किसी "लावारिस दलबदलू को सुरकषित ले जाया जा सके. "	కొరియరకు చెలలించమని టామీకి బోలెడనని కాపసను రూఫస పంపాడు.
ठीक है, तुमहारे लिए यह सामान कोई सतह तक पहुँचा देगा.	కచచితంగా, నీ కోసం ఎవరెనా సరుకులను పెకి తీసుకొసతారు.
उस पागल औरत के साथ दो साल पहले पहाडों में चला गया.	వాడు రెండేళల కరితం కొండలలో పిచచిదానికి పడిపోయాడు.
हमसे कहा गया था कि अमेरिका बेहतर होता जा रहा है.	అమెరికా ఎపపుడూ మెరుగవుతూనే ఉంటుందని మనకు చెపపారు.
किसी वजह से, उसकी लोकेशन पता नहीं चल रही है.	ఏదో కారణంగా, నేను ఆమె సథానం గురతించలేకపోయాను.
मेरे अंदर अब भी तुमहारी गोली के हिससे हैं.	బహుశా ఇపపటికే ఎకకడో నీ మీద ఆధిపతయం పొందాను.
अगर तुमहारे पिता होते, तो वे सही काम करते.	మీ నానన ఇకకడ ఉంటే, ఆయన సరెన పని చేసేవారు.
जो तुम जैसे भटके यातरी की हर बीमारी और	పరతి వయాధి ఇంకా దురదృషటానికి సంబంధించిన
पर वह तो एक सपना है. सचचाई नहीं है.	కానీ అది ఓ కల మాతరమే. అది నిజం కాదు.
पता है, मैं आपकी बीवी को जानती हूँ.	చూడండి, మీ ఆవిడ గురించి నాకు తెలుసు.
वॉलट-टेक यहाँ की सबसे बडी कंपनी है.	అమెరికాలో అతిపెదద కంపెనీ వాలట టెక.
उनका "बेहतर भविषय" पहाडी की खाई है	"మెరుగెన భవిత" అంచున వేలాడుతోంది,
एक साथी को नुकसान पहुँचाने के लिए	తోటి పరాణాలకు హాని కలిగించినందుకు,
मि. हॉवरड, मैं कमयुनिसट नहीं हूँ.	నేను కమయూనిసటను కాను, మి. హావరడ.
पलीज. मुझे जाने दो. मुझे जाने दो!	వదదు, వదదు. ననను వదలండి. వదలండి!
इस पर नहीं कहते. इसमें कहते हैं.	సరే, దానిపె కాదు. దానిలో ఉంటుంది.
इस समय में यही कहना सही होगा कि	ఈ సమయంలో, ఇవి నా చివరి మాటలు అని
मुझे यहाँ आए दो ही हफते हुए हैं.	ఇకకడ పెన రెండు వారాలే ఉననానంతే.
मेरी छोटी फारमेसी में सवागत है.	నా మరయాదపూరవక ఫారమసీకి సుసవాగతం.
चलो. तुमहारे बाप को ढूँढते हैं.	అలాగే. వెళలి నీ అబబను వెతుకుదాం.
- मुझे अचछा लगा. - कोई बात नहीं.	- అది చాలా మంచితనం. - పరవాలేదు.
मेरे वॉलट में सीपियाँ नहीं हैं.	మా వాలటలో ఆయసటరలు ఉండేవి కావు.
मेरे पास ढककन नहीं हैं. पर. . .	నా దగగర కయాపలు లేవు. కానీ. . .
मुझे मेरे बेस से संपरक करना है.	మా సథావరానని నేను సంపరదించాలి.
तो अगर तुम मुझे लोकेशन बता दो	ఇపపుడు నాకు ఆ సథానం ఇచచేసతే,
किसी ने पैर पर पैर रख दिया.	ఎవరో నా కాలుపె అడుగుపెటటారు.
इसीलिए तो वॉलट में रहते हैं.	అందుకే మనం వాలటలో బతుకుతాం.
मतलब, बेस, टरेबल, मिड-रेंज.	తెలుసా, ఆ బేస, టరెబుల, మిడస.
ठीक है. मिलकर अचछा लगा. बाय.	సరే. కలవడం సంతోషం. వెళతాను.
तुमने फयूजन कोर ढूँढ लिया.	నీకు మా ఫయూజన కోర కనబడింది.
- बस "हाँ" कह दो. - मेरा नाम टाइटस नहीं, मॅकसिमस है.	-"అవును" అని చెపపు చాలు. - నా పెరు టెటస కాదు. మాగజిమస.
जबकि खारे पानी की दवा. . .	షామరాక ఉపపగా ఉండే సూచన. . .
यह बहुत अहम मिशन है, तुमहें अडंगा डालने नहीं दूँगा.	ఇది చాలా ముఖయమెన పని, నువవది పాడు చేసతుంటే ఊరుకోలేను.
हमारे पडोसी वॉलट 32 को दुबारा बसाने की तैयार के लिए	మన పొరుగున ఉనన వాలట 32ని తిరిగి నింపడానికి సననాహకంగా,
उसे जो जानना है, बता दो वरना वह हम सबको मार देगा.	అతనికేం తెలియాలో అది చెపపు, లేదా మనందరినీ చంపుతాడు!
जब आप अमेरिकन सवपन के वादे के बारे में सोचते हैं,	కానీ అమెరికన కల గురించి ఆ వాగదానం గురించి ఆలోచిసతే,
मैं बस काम पूरा करने ही वाली थी कि तभी वॉलट-टेक ने	నేను దానిని సాధించే అంచున ఉండగా, అపపుడే వాలట టెక
हर चीज तेरे लिए नहीं है.	అననీ నీ కోసమే అనుకుంటావు.
वॉलट 33 में. मुझे खोजना.	వాలట 33లో. ననను కనిపెటటు.
नॉरमन, मैंने कया कहा था?	నీకు ఏం చెపపాను, నోరమన?
मैंने ही वह सिर काटा था.	అది కోసిన మనిషిని నేనే.
मुझे बहुत-सी बातों के लिए खेद है. मेरा मतलब. . .	చాలా విషయాలలో కషమించు. నా ఉదదేశం అది కాదు. . .
{\an8}लोड हो रहा है. . .	{\an8}లోడ అవుతోంది. . .
बजाय सतता में बैठे लोगों से, जो असली दुशमन हैं.	ఇకకడ అధికారంలో ఉనన నిజమెన శతరువుతో కంటే కూడా.
रूफस ने टॉमी को भी उस पागल औरत से मिलाया था.	ఇకకడి టామీని ఆ పిచచి మహిళతో పెదద రూఫస కలిపాడు.
चलो, वह सिर खोजते हैं.	వెళలి ఆ తలను వెతుకుదాం.
तो धयान रखें, मुझे यहाँ किसी का आना पसंद नहीं.	నేను ఈ సటేషనకి సందరశకులను తీసుకోనని రిమెండర.
इंसानों का मेल रेडियोएकटिविटी परतिरोधी जातियों से कराना अचछा है.	రేడియోధారమిక నిరోధక జాతులతో మనుషులను హెబరిడెజ చేయడం ఇపపటికీ సాధయమే.
हाँ, उस तरफ एक है तो सही, बडे गडढे के आगे,	అవును, ఆ పెదద బిలం దాటి, మురికి పరాంతం మధయలో
वॉलट 4 के पहले निवासियों दवारा, फिर उन लोगों ने विदरोह कर दिया.	వాలట 4 నిరవాసితులు అతని పూరవీకులను పరయోగశాల ఎలుకలుగా వాడారు.
पर कौन-सी दवा ठीक है?	కానీ వాటిలో ఏది ఏదో?
शबदों का अरथ होता है.	మాటలకు అరథం ఉంటుంది.
वॉलट-टेक परोटोटाइप 24. 008. 2 ए सलीप मोड	వాలట టెక పరోటోటెప 24. 008. 2ఏ నిదరాణ సథితి
धतत. उनहें पता चल गया तो मुझे मार डालेंगे.	ఛ. ఛ, వాళలకు తెలిసిందంటే ననను చంపేసతారు.
अजनबियों के साथ मेरी किसमत ठीक नहीं है.	అపరిచితుల విషయంలో నా అదృషటం అంత బాగోలేదు.
इससे पता चलता है कि	ఇపపుడు, దీని పరకారం,
वे मुझे छोड रहे हैं.	ననను వదిలేసతుననారు.
- कौन-सी? - ठीक है.	- ఏది ఏదో? - మంచిది.
उस नरक के बीचोंबीच.	ఒకటి ఉందని నా నమమకం.
किसी को तो लगता है.	ఎవరో ఒకరు అనుకోవాలి.
कि तुम मुझसे मिले सबसे अचछे अजनबी हो.	నేను కలిసిన అతయుతతమ అపరిచితుడివి నువవే.
तो, आप कहते हैं कि कुछ लोगों को छोडकर	అయితే, నువవనేది కొందరు కాకుండా ఇతరులకు,
हमेशा ही कुछ नए गुट बन जाते हैं, है न?	ఎపపుడూ కొనని కొతత కకషలు ఉంటాయి, కదా?
मुझे जिंदगी मिटटी खोदते नहीं बितानी.	మటటిని తవవుకుంటూ నా జీవితమంతా గడపలేను.
मैं मरने वाला हूँ.	నేను చచచేలా ఉననాను.
कोई बात नहीं, दोसत.	ఏం పరవాలేదు, బాబూ.
तुम भी जा रहे हो.	నువవూ వెళుతుననావు.
सिरफ वैजञानिकों की लीडरशिप वाले समुदाय में रहेंगे.	పూరతిగా శాసతరవేతతలచే నిరవహించబడే సంఘం ఇది నడుపుతుంది.
पाखंड आपकी फिलमों की हिंसा जैसा है.	కపటతవం మీ సినిమాలలో హింస లాంటిది.
पता है, अगर तुम कोई वयकति होते,	ఒకటి తెలుసా, నువవు మనిషివి అయితే,
तुमहें मौत की सजा दी जाती है. . .	నీకు మరణ శికష విధించబడింది. . .
जो मानव डीएनए पर विकिरण के असर के विशेषजञ हैं.	మానవ డీఎనఏ మీద రేడియేషన పరభావాలపె సపెషలెజ చేశారు.
किसानों का नेता.	దారి చూపే రెతు.
पर भविषय करीब आ चुका है, हम इसे देख सकते हैं.	కానీ భవిషయతతు దగగరపడుతుంటే, మనకు అది కనబడుతుంది.
{\an8}नुका-कोला पीयो बेहद ठंडा	{\an8}నూకా-కోలా తాగండి అతి చలలగా
वैसे, यह नजरिया आशावादी तो है.	సరే, ఇది కచచితంగా ఆశావాద దృకపథం.
यह तो खतरनाक है.	అది భలేగా ఉంది.
बताओ, मेरी जानकारी पुरानी है,	చెపపు, నాకు సమాచారం అందడం లేదా,
माफ करना. मैं वहाँ नहीं रहता.	జరగండి. కుదరదు, నేనకకడ బతకలేను.
वॉलट-टेक ने उस लडाई को रोकने के साधन खरीद लिए.	ఆ యుదధం ముగించే దారులను వాలట టెక కొనేసింది.
मुझसे पहले यह कवच टाइटस नाम के एक योदधा का था.	నా కంటే ముందు ఈ సూటకి సొంతదారుడి పేరు టెటస.
मैंने नहीं. . .	నేను చెపపలేదు.
उन बेचारों का दरद कम करने की कोशिश करते देखा जिनहें तुम लोग यहाँ लाए.	మీ పరజలు ఈ పరదేశంలోకి వచచేలా చేసిన ఆ పేదవారి బాధను తగగించడానికి చూసతుననాం.
सिरफ विलेन उसका इसतेमाल करें, तो जीतेंगे.	దురమారగులను ఉపయోగించనిసతే, వాళలదే గెలుసతారు.
मुझे लगता है नई शुरुआत के लिए सही समय है.	కొతత ఆరంభానికి ఇది సరెన సమయం అని అనుకుంటాను.
जलदी आना. मैं बचचे को संभाल रही हूँ, पैकिंग तुम करोगे.	ఎకకువసేపు చేయకు. బిడడను మోసతుననాను, అందుకే నువవననీ సరదాలి.
वहाँ मैंने तीन गरम कोको रखे हैं, दो मारशमैलो, एक सादा.	డెక మీద మూడు వేడి కోకోలు, రెండు మారషమలోలు, ఒక సాదా ఉననాయి.
मैं एकदम बेवकूफ हूँ. उस बदबूदार डॉकटर पर भरोसा नहीं करना चाहिए था.	నేను బాగా వెరరివాడిని. అలాంటి వాసన గల డాకటరను అసలు నమమకుండా ఉండాలసింది.
हमने तुमहें घर में आने दिया,	నినను మా ఇంటికి రానిచచాము,
हैलो, वॉलट 33.	హలో, వాలట 33.
डैड को ढूँढो.	నాననను వెతుకు.
रचनातमक परयवेकषक अशोक बकषी	కరియేటివ సూపరవెజర శిరీష దరభా
आप मुझे यूँ ही छोड रहे हैं?	మీరు ననను వెళళనిసతుననారా?
मुझे तुमहें कुछ बताना है.	నీకు ఓ విషయం చెపపాలసి ఉంది.
शायद तुम भी भूत बन गए हो.	నువవు జీవపిశాచివి అనుకుంటా.
उनकी ऐसी खूबी को भी जिसे आप नहीं जानते.	ఆమెలో ఒకవెపు గురించి మీకు తెలియదేమో.
बहुत जगह है.	బోలెడంత చోటు.
एक रेडियो टावर खोजना है.	నేను ఓ రేడియో టవర వెతకాలి.
इंसानी सिर लिए घूमते लोगों से मुलाकात कम ही होती है.	మనిషి తలతో పాటు పరయాణించేవారిని ఎకకువగా కలవలేదు.
हमसे कहा गया था कि परमाणु बम से युदध खतम हो जाएँगे.	ఆటం బాంబు అంటే యుదధానికి అంతం అని మనకు చెపపారు.
तुमहें उसकी फिकर करने की जरूरत नहीं, समझे दोसत?	దానిపె ఇక నీకు చింతించే అవసరం లేదు, బాబూ, ఉందంటావా?
एकदम नए भकत और उनके बेवकूफाना विचार	వెరరి ఉపాయాలతో సరికొతత విశవాసకుల జటటు,
अचछा? तो शोबिज का एक राज बताता हूँ.	అవునా? మీకు ఓ చినన షోబిజ రహసయం చెబుతా.
कुछ लोग संगीत को समझते ही नहीं हैं.	కొందరు జనాలు, సంగీతం పటల అవగాహన ఉండదు.
- मैं नहीं जा रही. - मुझ पर भरोसा करो.	- నేను వెళలను. వెళలను. - ననను నమము.
वहाँ कोई परयोग नहीं है.	అంటే, అకకడ ఏ పరయోగం లేదు.
उस शांति के लिए आप खतरा नहीं बनें.	ఆ శాంతికి మీరు విఘాతం కలిగిసతే మినహా.
बस हमें परेशान मत करो, मैं जो चाहो बता दूँगा.	నువవు మమమలని శాంతితో వదిలేసతే ఏదెనా సరే చెబుతాను.
पर ऐसा नहीं हुआ, है न?	అది పని చేయలేదు, అయిందా?
समझ रहे हो?	ఒకటి తెలుసా?
सुरकषा सभी का अधिकार है.	మీకు భదరతకు అరహత ఉంది.
लॉयड और कैसांडरा दोनों वैजञानिक हैं,	లాయిడ, కసాండరా ఇదదరూ శాసతరవేతతలు,
ओवरसियर 33:	పరయవేకషక 33:
सभी का कोई परायोजक है पैसे कमाने में मुझे शरम नहीं है.	అందరికీ సపానసర ఉంటారు, నా జీవనోపాధి విషయంలో నేను సిగగుపడను.
मेरी रिसरच कंपनी को उनकी कंपनी ने खरीदा था.	నా పరిశోధనా సంసథను ఆమె విభాగం కొనుగోలు చేసింది.
वॉलट 32 की कामचलाऊ ओवरसियर होंगी	వాలట 32కు తాతకాలిక పరయవేకషకురాలిగా,
मेरे पति की हतया हुई.	కొతత జీవితం ఆరంభిసతారు.
यह खाने की चीज नहीं है.	నువవు దీనిని తినలేవు.
और वाहवाही बटोरनी है.	నాకు కీరతి సంపాదించాలి.
थेडियस, वह सिर मुझे दो.	థాడియస, తల నాకు ఇవవు.
अब हम उन सबको अलविदा कहते हैं जो हमें छोडकर वॉलट 32 जा रहे हैं.	ఇక ఇపపుడు, వాలట 32 కోసం మనలని వదిలి వెళలే అందరికీ వీడకోలు చెబుతుననాం.
या तुमहारे सच में तीन बेटे हैं?	లేదా నీకు ముగగురు పిలలలని విననానా?
मुझे कुछ बडा करना है, मौका है. . .	భారీగా ఎదగాలి, మనకు అవకాశం. . .
और वह तेजी से करीब आ रही है, है न?	అది తవరగా వచచేసతోంది, కాదంటారా?
यह एक ऐसी गाली है जो ऐसे लोगों को दी जाती है जो पागल नहीं हैं.	పిచచివాళలను కాని మనుషులను వివరించేందుకు అది వాళలు వాడే ఓ మురికి పదం.
घर जाओ. तुमहारे लिए वही चाहता हूँ.	ఇంటికి వెళలు. నీ కోసమదే కావాలి.
पर मेरी समसया यह है कि	కానీ నా సమసయ ఏంటంటే,
हॉलीवुड फॉरएवर चरच सभा जारी है	హాలీవుడ శాశవతం - ఛాపెల సెషనలో సేవ
वायलिन संगीत के मेरे छोटे, पर ताकतवर संगरह के साथ.	శకతివంతమెన ఫిడిల టయూనల సేకరణలో విలాసవంతంగా గడిపినపపుడు.
हैलो, नॉरम.	హాయ, నారమ.
जरा पेचीदा मामला है.	అది ఓ సంకలిషటమెన సంసథ.
मैं आऊंगा.	కనిపెడతాను.
मुझे नहीं पता था कि अमेरिका का चहेता बंदूकधारी इतना संवेदनशील है.	అమెరికా మెచచిన తుపాకీ వీరుడు అంత సుననితమని నేను గరహించలేదు.
बिजली कहाँ से आती है?	మీకు కరెంట ఎకకడిది?
साँस तो आ रही है न?	ఇకకడ గాలి ఆడుతోందిగా?
यह. . . ऐसा नहीं. . . ऐसी बात नहीं है.	ఇది. . . అలా కాదు. . . ఇదేమీ లేదులే, నిజం.
जिन पर परीकषण किया वे उममीद के मुताबिक नहीं थे.	మా పరీకషా అంశాలు మా అంచనా కంటే తకకువ సథాయిలో ఉననాయి.
सटेफ और मुझे नया घर मिला है.	సటెఫ, నేను కొతత ఇలలు ఆరంభిసతాం.
माफ करना.	మననించాలి.
हे भगवान.	అబబా ఛ. ఛ.
विदा करते हैं! वॉलट 32 जाइए	మీకు వీడకోలు! 32కి మారుతుననారు
शायद नहीं. ठीक है.	అలా కాదనుకుంటా. సరే.
मैं मरा कयों नहीं?	నేనెందుకు చనిపోలేదు?
तुमहारा इंतजार करूँगी. ठीक है?	నీ కోసం వేచి ఉంటాను. సరేనా?
शुरू करो.	అది నొకకు.
तुरंत 31 में लौटो.	వెంటనే 31కి వచచేసెయ.
ठीक है. माफ करें. यह गलती थी. हम जा रहे हैं.	సరే. మననించండి. ఇది పొరపాటు. మేము ఇక బయలుదేరుతాం.
उन पर परयोग कर रहे हो. बुरी बात है!	వాళలపె పరయోగాలు చేసతుననారు. మీకు పిచచి!
और बकवास मुझसे सहन नहीं होगी.	ఇంతకంటే సోదిని భరించలేనని.
चाहे तुमहारे पिता नहीं मिलें?	తిరిగి ఇవవాలని అనుకుంటావా?
मैं अचछा इंसान हूँ वगैरह. . .	నేను మంచివాడినని అనడం. . .
यह तो. . . मुझे इसे. . . यह एक निशानी भर है. कुछ नहीं. . .	ఇది ఎకకువ. . . నేను. . . ఇది ఓ జఞాపిక. అలా కాదు. . .
फॉलआउट पर पिछली बार	ఫాలౌట ఇంతకు ముందు
और ऐसी राजनैतिक विचारधारा बेचकर भी	సరే, సరఫరాలతో ముగిసే రాజకీయ భావజాలానని
तुमहारे पिछवाडे से छोटी आँत बाहर निकाल सकती है.	అది సరిగగా మీ దిగువ పరేగు జారిపోతునన శబదం.
ठीक है, फिर से सोचते हैं.	అది తిరిగి మూలయాంకనం చేయాలి.
इसकी धार तेज कर दो, पलीज.	దయచేసి దానిని పదును పెటటాలి.
ओय, पैर है मेरा. खाना नहीं, समझे?	ఏయ, అది నాకు. అది ఆహారం. కాదు, సరేనా?
यह बडी कमीनी चीज है. यह भी चाहिए?	ఈ దికకుమాలిన చెతతది. నీకూ ఇది కావాలా?
वे इसे खोजना कभी बंद नहीं करेंगे.	వాళలు ఆరటిఫాకటను వెతకడం ఏనాటికీ ఆపరు.
मुझे मारना मत. मैं डॉकटर हूँ. मदद कर सकता हूँ.	ననను చంపకండి. నేనా డాకటరని. సాయం చేయగలను.
धनयवाद, डारलिंग.	ధనయవాదాలు, బంగారం.
मैं. . .	నేను. . .
ठीक है, देखते हैं.	సరే, సరే, ఇదిగో.
माफ करना.	మననించు.
आपसे एक बात पूछूँ?	ఓ విషయం అడగవచచా?
शुरू करने से पहले, मेरी फीस की बात करें.	మనం ఆరంభించే ముందు, నా ఫీజు విషయంలో చినన మాట.
तुमहें पता है रेडियो टावर कहाँ होगा?	రేడియో టవర ఎకకడుందో నీకు తెలుసా?
बेटी, गरम कोको बनाया है.	నీ వేడి కోకో తీసుకో, బుజజీ.
- यह. - वह. हाँ. ठीक है.	- ఇదిగో. - అది. సరే. అవును.
बरदरहुड.	సోదరజాతి.
- करांति के लिए शुभकामनाएँ. - रख लीजिए.	- విపలవంలో మీకు మంచి జరగాలి. - లేదు, ఉంచండి.
इसीलिए मैंने सरवोचच परिषद से बात की है.	అందుకే నేను హె కౌనసిలతో సంపరదింపులను చేశాను.
मुझे पता है कि मुझे इस हालत में	నేను సహాయాలు అడిగే పరిసథితిలో లేనని
मुझे यही कहना है कि वैजञानिक जिस समाज को चलाएँ	పాలించబడే సమాజం, నిజంగా ఆదరశవంతమెన సామాజిక నిరమాణమని
मैंने ऐसा पहले देखा है.	ఇలాంటి సథితి గతంలో చూశాను.
और, जाहिर है कि हर वॉलट को ओवरसियर की जरूरत होती है,	ఇంకా, కచచితంగా, పరతి వాలటకు పరయవేకషకులు అవసరం,
और इस तरह अब हमारे दोसत हमारे पडोसी बन गए हैं.	ఇక దానితో, ఇపపుడు మన సనేహితులు పొరుగువారిగా అవుతారు.
मुझे उसे वापस पाने में आपकी मदद चाहिए.	దానని తిరిగి పొందడంలో నాకు మీ సహాయం కావాలి.
मैं किसी जमाने की खूबसूरत हॉलीवुड हिलस के नीचे हूँ.	ఒకపపటి అందమెన చోటు హాలీవుడ హిలస కేందరం నుండి.
आजकल यह जयादा दिखती नहीं है, है न?	అవి అంత ఎకకువగా కనబడవు, అవునా?
कया सोच रहे हो?	ఏం ఆలోచిసతుననావు?
सबको यह संगीत सच में पसंद नहीं है?	ఈ సంగీతపు శబదం నచచదనా, నిజంగా?
मुझे बस जानकारी चाहिए.	సమాచారం వెతుకుతుననా అంతే.
ठंडा फयूजन, अनंत ऊरजा.	కోలడ ఫయూజన, అనంతమెన శకతి.
बैकअप पावर शुरू किया गया.	బయాకప పవర పరారంభమెంది.
तुमसे और हम सबसे बहुत बडा है.	అది నీకంటే పెదదది, మన అందరి కంటే.
वैसे, मैं तो फिलमी हीरो हूँ, पर आप असल जिंदगी के हीरो हैं.	సరే, నేను సినిమాలలో హీరోగా చేయవచచు, కానీ నిజ జీవితంలో మీరే హీరోలు.
वही लडाई जो आपने भी लडी.	మీరు చేసిన అదే యుదధం.
कया है?	ఏమిటిది?
कुछ नहीं होगा.	నువవు బాగుంటావు.
- हाँ. - नहीं.	- అవును. - లేదు.
पर अगर सीपियाँ पसंद आई हों, तो टूना भी पसंद आएगी.	కానీ నీకు ఆయసటరలు నచచితే, డబబా టయూనా కూడా తపపక నచచుతుది.
पर तुमहारी जान बचाने के लिए. . .	కానీ నువవు బతికుండాలంటే. . .
अंतर-वॉलट मैसेज 33 31	ఇంటర వాలట సందేశాలు 33 31
दुनिया का अंत बेचकर बहुत पैसे कमाए जा सकते हैं.	పరపంచం అంతానని అమమడంలో చాలా డబబు ఉంటుంది.
लोगों से चोरी करके भी योदधा नहीं बन सकते.	సరే, జనాల నుంచి దొంగిలించినా సెనికుడివి కాలేవు.
आपको विदा करते हैं! आप वॉलट 32 में रहेंगे	మీకు వీడకోలు పలుకుతుననాం! మీరు 32కి మారుతుననారు
आपको विदा करते हैं! आप वॉलट 32 में रहेंगे	మీకు వీడకోలు పలుకుతుననాం! మీరు 32కి మారుతుననారు
माफ करना, मैंने आपको नहीं सुना.	మననించాలి, నాకది వినబడలేదు.
शांति का यह मंदिर हमें किसमत से मिला है,	శాంతి, సహనాలతో నిండిన ఈ పుణయకషేతరానని కనుగొనడం
मैंने उसे मरते देखा.	తను చనిపోవడానని చూశాను.
तुम मेरे लिए ऐसा करोगे?	నా కోసం అలా చేసతావా?
जिन सैनिकों से हम विदेशों में लड रहे थे, उनके परिवार,	విదేశాలలో పోరాడిన ఈ సెనికులు, వాళల కుటుంబాలతో,
अचछा विलेन कभी खुद को विलेन नहीं समझता.	ఓ మంచి దురమారగుడు తనను తాను చెడడవాడిగా చూడడు.
पर यह हमें याद दिलाता है कि इस जगह के कया मायने हैं.	కానీ ఈ సథలం దేనికి సంబంధించినదో ఇది ఉదవేగంగా గురతు చేసతుంది.
तो तुम वह सब भूल जाओगे जो हमने देखा था?	అయితే, మనం చూసిన అననిటినీ నువవలా మరిచిపోతావా?
ये पिंजरे सही लगाए हैं आपने. बहुत अचछे.	సరే కానీ, ఈ ఉచచులు బాగా చేశారు. చాలా బాగుంది.
