तुम कौन हो?	ఎవరు నువవు?
पलीज अंतिम गंतवय और दिशा की पुषटि करें. सुरकषा सतयापन के लिए.	మీ గమయం ఇంకా మారగం ఖరారు చేయండి. సెకయూరిటీ తనిఖీ పూరతయింది.
यही मतलब होगा जब उनहोंने कहा था "बरदाशत नहीं किया जाएगा. "	"ఇకపె సహించము" అని వాళలు ఎందుకు అననారో ఇపపుడు అరథం అవుతోంది.
तो, फिर तुमने कया किया? मान भी लो, तुमने कुछ तो किया होगा.	అయితే, మరి నువవు ఏం చేశావు? ఇలా చూడు, నువవు ఏదో చేసి ఉంటావు.
हो सकता है. किसी ने पता किया?	అయి ఉండచచు. ఎవరెనా చెక చేశారా?
वह तुमहारी तरफ आ रहा है, एडी.	అతను నీ వెపే వసతుననాడు, ఎడీ.
तो, फिर अचछे से खाना खाएँगे.	అయితే, ఆ విందు సవయంగా చేదదాం.
जाओ और इसका पासपोरट लेकर आओ.	వెళలి అతని పాస పోరట తీసుకో.
हे, तुम. तुम कया कर रहे हो?	హేయ, ఓయ. మీరు ఏం చేసతుననారు?
जिसका मतलब है आज मुझे उसे चाइलडकेयर में छोडना पडेगा.	ఆ కారణంగా నేను వేరే చెలడ కేర సెంటర చూసుకోవలసి వచచింది.
ठीक है, फलाइट नंबर कया है?	సరే, ఆ విమానం నెంబరు ఎంత?
अगर वह झूठ बोल रहा हो तो?	అతను అబదధం ఆడి ఉండచచు కదా?
अगर तुम इनहें दोबारा देखना चाहते हो, तो इसे खोलो.	వీళలని నువవు మళలీ చూడాలి అనుకుంటే, దీనని ఓపెన చేయి.
यूरोप, गरेट बरिटेन, लंदन.	యూరోప, గరేట బరిటన, లండన.
कि सब कुछ ठीक है, तुमने सुना मैं कया कह रहा हूँ?	ఇకకడ అంతా బాగానే ఉందని వాళలకి చెపపాలి, వింటుననావా?
- माफ करना? - बिना वजह डर गए थे, इसका कया मतलब है?	- సారీ? - ఒక తపపుడు హెచచరిక, అది ఎలా జరుగుతుంది?
तो, ऐसे में वह कया चाहते हम कया करें?	అయితే, తను మనం ఏం చేయాలని ఆశిసతుననాడు?
"मैं आपके केबिन करू से बोल रही हूँ.	"మీ కయాబిన సిబబందిని మాటలాడుతుననాను.
पलीज अपना नंबर छोड दें और मैं आपको वापस फोन करूँगा.	మీ నెంబరు చెపపండి, తరువాత నేనే తిరిగి కాల చేసతాను.
हमें कोई मदद नहीं चाहिए.	మాకు ఏ సాయం అవసరం లేదు.
{\an8}एलेन, रॉबिन कैपटन	{\an8}అలెన, రాబిన కెపటెన
मुझे बस एक बार विमान में पीछे की तरफ जाने दो.	నేను విమానం వెనుక భాగానికి ఒకసారి వెళలి వసతాను.
यही दिककत है. मैं एक ऐसे आदमी को झेल रही हूँ.	ఇదే అసలు సమసయ. అలాంటి మనిషిని నేను భరిసతుననాను.
हमें कल से भी जयादा देर हो गई है. और कल वाला अपने आप में एक रिकॉरड था.	మనం నిననటి కననా ఈ రోజు ఇంకా ఆలసయం అయయాం. ఇదే ఒక రికారడు అయిపోయింది.
अगर ये हवाई यातायात नियंतरण वाले हैं, तो हमें इसका अभी जवाब देना होगा.	అది గనుక ఎయిర టరాఫిక కంటరోల అయితే, మనం వెంటనే దానికి జవాబు చెపపాలి.
मैं 30 सेकंड में अपनी कार तक पहुँच जाऊँगी. . .	మరో ముపపె సెకనలలో నేను నా కారులో ఉంటాను. . .
हाँ, हाय. हाँ, मुझे पाँच मिनट की देर हो जाएगी.	హాయ. అంటే, నేను ఐదు నిమిషాలు ఆలసయంగా వసతాను.
ठीक है, उनहें जाने दो.	సరే, ఆమెని వెళలనివవండి.
अपनी सीट पर वापस जाओ. इससे कुछ नहीं होने वाला.	వెళలి నీ సీటలో కూరచో. ఇలా చేయడంలో అరథం లేదు.
- उनसे कहो अपनी सकरीन शेयर करें. - ठीक है, हमसे अपनी सकरीन शेयर कर दीजिए.	- వాళల సకరీనస షేర చేయమని అడుగు. - సరే, మీరు మీ సకరీన ని వెంటనే షేర చేయండి.
रॉबिन एलेन से मेरी इसी समय बात करवाइए. सुरकषा उददेशयों के लिए, अभी.	నేను రాబిన అలెన తో వెంటనే మాటలాడాలి. ఇది విమానం భదరత కోసం తపపదు.
उडान भरने से पहले अपलोड कर दिया गया होगा.	ఇంకా ఆ రూట ని టేకాఫ కి ముందే అప లోడ చేశారు.
यह तो अचछी खबर है ना?	అది మంచి విషయం కాదా?
उनसे ऐसे बात मत करो.	ఆమెతో అలా మాటలాడకండి.
सोचो, अगले छह घंटों में कया हो सकता है.	తరువాత ఆరు గంటలలో ఇంకెంత జరగచచో ఊహించండి.
हमने पाँच बार पहचान जानने की कोशिश की.	మేము గురతించడానికి ఐదుసారలు పరయతనించాము.
अचछा. और यहाँ निशचित तौर पर उसके पूरव-पति की बात हो रही है?	సరే. అయితే మనం ఖచచితంగా ఆమె మాజీ భరత గురించే మాటలాడుతుననామా?
हाँ, कोई बात नहीं.	సరే, మరేం ఫరవాలేదు.
डिगरी के बारे में?	ఆ డిగరీల గురించా?
तुम. मुँह बंद रखो.	నువవు. నోరు మూయి.
हाँ, मैं सहमत हूँ.	అవును, ఒపపుకుంటా.
मैं बस उममीद करूँगी कि मेरा बॉस तुमहारे जितना होशियार ना हो. अब अंदर जाओ, पलीज.	మా బాస నీ అంత తెలివెన వాడు కాకూడదని ఆశిసతాను. ఇంక నువవు లోపలికి వెళలు, పలీజ.
मैं अपने जनमदिन पर यही चाहता हूँ.	నా పుటటినరోజున నేను కోరుకునేది అదే.
विमान पर बरफ है?	విమానంలో ఐస ఉందా?
मैं जानता हूँ कि यह बात करना अजीब है, जानता हूँ.	నాకు తెలుసు, ఇది ఒక విచితరమెన ఫోన కాల, నాకు తెలుసు.
पेशेवर सफाईकरमी.	పరొఫెషనల కలీనరలం.
हाँ, वहीं, दोसत.	ఇంక చాలు, మితరమా.
लेकिन असल में, इससे हालात और जयादा बिगड जाएँगे.	కానీ నిజానికి పరిసథితి అంతకననా ఘోరంగా తయారవుతుంది.
साइमन के पास फोन आया था, उसने दुबई फोन किया, दुबई ने बताया कि वह पुरानी खबर थी. उनका डर निराधार था.	సెమన కి ఫోన వచచింది, దుబాయ కి ఫోన చేశాడు, అది పాత వారతని దుబాయ వాళలు చెపపారు. తపపుడు హెచచరిక.
अचछा. यह आतंकवाद-विरोधी समसया नहीं है, डैनियल.	అవును. కానీ ఇది కౌంటర టెరరరిజమ ఘటన కాదు, డానియెల.
यहाँ मेरी फलाइट सकरीन पर एक मैसेज आता है, जो आपको वहाँ दिखाता है,	నా ఫలయిట సకరీన మీద మనం ఇకకడ ఉననామని చూపిసతూ ఒక మెసేజ వసతుంది.
ठीक है, समझ गई.	అలాగే, అరథమెంది.
वे लोग अगले हफते यह घर छोडकर जा रहे हैं. कया मैं ऊपर जाकर उनहें बताऊँ आप आए हैं?	వాళలు వచచేవారం ఇలలు మారిపోతుననారు. నువవు వచచావని పెకి వెళలి చెపపి రమమంటావా?
तुम मुझे आतंकवाद-विरोधी चीजों के सिलसिले में फोन करते हो तो ठीक है, लेकिन. . .	కౌంటర టెరరరిజమ కేసులు వచచినపపుడు నాకు ఎందుకు ఫోన చేసతావో తెలుసు కానీ. . .
{\an8}सूची - दोबारा शुरू करें	{\an8}మెనయూ - మళలీ పరారంభించండి
{\an8}2डी: तुमने दिशा बदल दी?	{\an8}2డి: నువవు దిశను మారచావా?
यह हमारे परभाव कषेतर में नहीं आता है, लेकिन कोई बात नहीं.	వాసతవంగా అది మన పరిధిలోకి రాదు, కానీ మనం పరయతనించి చూదదాం.
मैं आ रहा हूँ.	నేను వసతుననాను.
हाँ. एक सेकंड.	సరే. ఒకక సెకను.
{\an8}सही में?	{\an8}నిజంగానా?
शुकरिया, माइकल.	థాంకయూ, మెఖేల.
विमान के पीछे.	ఆ విమానం వెనుక.
मैं तुमसे दोबारा नहीं कहूँगा, दोसत. बैठ जाओ.	నీకు మళలీ ఇంకోసారి చెపపను, మితరమా. కూరచో.
इसे थोडा बडा करके दिखा सकते हैं, पलीज, जलाल?	దయచేసి మా కోసం కొదదిగా జూమ చేయగలవా, జలాల?
यह लुफथैनजा का कया चल रहा है?	ఈ లుఫతాంసాలో ఏం జరుగుతోంది?
वहाँ बिलकुल पीछे की तरफ जाकर.	అందరూ వెనుక వెపుకి వెళలండి.
- कहाँ कहा आपने? दुबई? - हाँ.	- ఎకకడ అంటావు? దుబాయ? - అవును.
बस, अब मुझे गुससा आने वाला है. जलदी करो.	చూడు, నాకు ఇంక ఇపపుడు కోపం వసతోంది. ఇంక రా.
ठीक है. अगर मैं वहाँ ऑटोपायलट दबाता हूँ,	సరే. అంటే, నేను అకకడ ఆటోపెలెట బటన ఆన చేసతే,
तो अगर कोई यह बात दूसरी बार कहता है. . .	మరి ఇదే మాటని ఎవరెనా రెండుసారలు చెబితే. . .
बिजनेस कलास में एक बंदे ने गोली चला दी, वहाँ लडाई हो रही थी, दो बंदों ने उनहें रोकने की कोशिश की थी.	బిజినెస కలాసులో ఒక గన పేలింది, అకకడ గొడవ జరిగింది, ఇదదరు వయకతులు వాళల మీద దాడికి పరయతనించారు.
मैं बस यह जानना चाहता था कि तुम इस बारे में कया सोचती हो.	సరే, నువవు ఏం అనుకుంటుననావో తెలుసుకోవాలి అనిపించింది.
लेकिन जिस यातरी ने ऐसा किया, जिसने इतनी परेशानी उठाई,	కానీ ఆ మెసేజ పంపిన పరయాణికుడు, ఆ పరమాదానని ఎదురకొనన వాడు,
अचछा आइडिया नहीं था, दोसत.	అది మంచి ఆలోచన కాదు, మితరమా.
{\an8}यातरी 1के को अनुरोध भेजा गया. . .	{\an8}పయాసింజర 1కెకి అభయరథన పంపబడింది. . .
कोई बात नहीं.	మరేం ఫరవాలేదు.
यह एक मैसेज है. विमान कुछ बताने की कोशिश कर रहा है.	అది ఒక మెసేజ. ఈ విమానం ఏదో చెపపాలని పరయతనిసతోందని అరథం.
यहाँ दिख जाता है. ईजीएलएल, यही कोड है.	అంటే, అది ఇకకడ ఉంటుంది. ఇజిఎలఎల, అది కోడ.
उसने विमान के उडान भरने के ठीक बाद मेरी गरलफरेंड को मैसेज भेजा कि विमान पर कुछ मुसीबत हो गई है.	ఆ విమానం టేకాఫ అయిన వెంటనే అతను ఒక మెసేజ చేసతూ విమానంలో ఏదో పరిసథితి తలెతతిందని చెపపాడు.
मैं एटीसी में काम करता हूँ.	నేను ఎటిసిలో పని చేసతాను.
देखो. इसे देखो, ठीक है? इनहें यह करने पर मजबूर मत करो.	చూడు, ఇదిగో, ఇపపుడు చేసతావా? వాళలని ఇలా చేయనివవకు.
उनका डर निराधार था. - देखा?	- తపపుడు హెచచరిక. - చూడు?
सुरकषा लाइसेंस नीला कुमार	సెకయూరిటీ లెసెనస నీలా కుమార
बंदूक! बंदूक को परे कर दो!	ఆ తుపాకి! తుపాకిని తనను!
मैं कह ही देती हूँ, हाँ?	నేను చెపపబోతుననాను, సరేనా?
हाँ. वह देखो.	అదిగో. అకకడ.
यही समय है. पहले मैं जाता हूँ, फिर तुम आ जाना. हाँ?	ఇదే సమయం. నేను వెళతాను, నువవు అనుసరించు. సరేనా?
अब बस हम आपसे दोबारा पता कर रहे हैं. - पूछो कि कया वे अपनी सकरीन शेयर कर सकते हैं.	- ఇపపుడు మేము మీతో రెండోసారి చెక చేసుకుంటుననాం. - వాళల సకరీన ని మనకి షేర చేయగలరేమో అడుగు.
पूरे दिल से पयार करो, डैन, नहीं तो जिंदगी आगे बढ जाती है.	ఆమె విషయంలో సపషటంగా ఉండు, డాన, లేదా పరిసథితులు మారిపోవచచు.
आज का दिन मेरे लिए बहुत जरूरी है, काई.	ఈ రోజు నాకు చాలా ముఖయమెన రోజు, ఖాయ.
- मारशा. . . - नहीं, सैम ऐसा ही है.	- మారషా. . . - లేదు, సామ ఇలాగే ఉంటాడు.
केए29. किलो एलफा दो नौ. विमान ने लगभग एक घंटा पहले उडान भरी थी.	కెఎ29. కిలో ఆలఫా రెండు తొమమిది. ఒక గంట కిందట టేకాఫ అయింది.
उनकी आवाज ऐसी ही होती है.	వాళలు అలాగే మాటలాడతారు.
वह, मतलब, दौड शुरू करने वाली बंदूक होती है ना.	అంటే అది, నీకు తెలుసా, ఏదెనా పోటీని పరారంభించే గన.
हमें इसका जवाब देना होगा.	మీరు దానికి సపందించాలి.
जिसका मतलब है वह आज सकूल नहीं गया है,	అందువలల ఈ రోజు సకూలుకు వెళలడంలేదు,
- साइमन? - तुम पहले ही काफी मुसीबत में हो.	- సెమన? - నీకు ఇపపటికే సరిపడా సమసయలు ఉననాయి.
- कैपटन कॉकपिट में नहीं हैं? - आपने सही सुना.	- కాక పిట నుండి కెపటెన బయటకి వెళలారా? - అది నిజం.
मुझे अफसोस है वह अभी बहुत दूर है.	అందుకు ఇంకా చాలా సమయం ఉంది అనుకుంటా.
अगर कुछ भी होता है, तो हम फोन पर बात करेंगे.	పరిసథితి ఏమెనా మారితే, మనం ఫోనులో మాటలాడుకుందాం.
ठीक है. हाँ.	సరే. అలాగే.
इसे पकडो, एडी! इसका गला घोंट दो!	అతడిని పటటుకో, ఎడీ! ఊపిరి ఆడనివవకు!
आप सीधा विमान से संपरक कर सकते हैं?	నేరుగా ఆ విమానానని సంపరదించగలవా?
आगे किसी भी तरह के विरोध का परिणाम किसी की मौत हो सकता है.	ఇక ముందు ఎవరెనా పరతిఘటిసతే ఫలితం పరాణాంతకంగా ఉంటుంది.
तुम लोगों को यकीन है कि ऐसा मौसम की वजह से नहीं हो रहा है?	వాతావరణం కారణంగా అది దారి తపపలేదని ఖచచితంగా చెపపగలమా?
ठीक है, और आजकल पाँच मिनट कितने लमबे होते हैं?	సరే, ఈ రోజులలో ఐదు నిమిషాలు అంటే ఎంత సమయం?
यह हीथरो, ईजीएलएल है, 320 डिगरी के कोण पर.	అది హీతరో, ఇజిఎలఎల, 320 డిగరీల బేరింగ లో ఉంది.
हे. तुमने पायलट से बात की थी. उसने कहा था सब ठीक है.	హేయ, నువవు పెలెట తో మాటలాడావు. ఏమీ జరగలేదని అతను చెపపాడు.
तुमहें लगता है हम बेवकूफ हैं. . .	మేము మూరఖులం అనుకుంటుననావా. . .
मेरी गरलफरेंड का पूरव-पति दुबई से लंदन आने वाली एक फलाइट पर सवार है.	నా గరల ఫరెండ మాజీ భరత దుబాయ నుండి లండన కి విమానంలో బయలుదేరాడు.
ठीक है. विमान पर कुछ दिककत हुई थी?	సరే. విమానంలో ఒక సమసయ ఏరపడిందా?
हाँ, अब बात करते हुए थोडा अजीब लग रहा है.	అవును, ఇది ఇపపుడు కాసత విచితరంగా అనిపిసతోంది.
वे उससे बात नहीं करेंगे. वे कैपटन से ही बात करेंगे.	వాళలు ఆమెతో మాటలాడరు. వాళలు కెపటెన తో మాతరమే మాటలాడతారు.
-. . . मैं इस सीट से नहीं उठने वाला. - जो यह कहता है, वह करो.	-. . . నేను ఈ సీటు నుండి లేవను. - అతను చెపపింది నోరు మూసుకుని చేయి.
बस यही है?	ఇది అంతేనా?
पायलट से उनकी पहले ही बात हो चुकी थी. उनहोंने पुषटि की कि उनका डर निराधार था.	వాళలు ఇపపటికే పెలెట తో మాటలాడారట. అది తపపుడు హెచచరిక అని ఖరారు చేశారు.
वहाँ बैठो.	అకకడ కూరచో.
नहीं, यह नहीं हो सकता.	లేదు, అది జరగని పని.
- वह कहते कि हम परेशान ना हों. - ऐसा नहीं कह सकते.	- మనలని ఆందోళన పడవదదని చెపపాడు. - ఆ విషయం నీకు తెలియదు.
मैं इसे पहचानता हूँ.	ఆమెని నేను గురతించాను.
तुरकिए - सीरिया - इराक	టరకీ - సిరియా - ఇరాక
आप कौन हैं?	మీరు ఎవరు?
गए काम से. - तुमहें एक फोन आता है, तुम दुबई को फोन करते हो,	- ఇదిగో విను. - సరే, నీకు ఫోన వచచింది, నువవు దుబాయ కి ఫోన చేశావు.
अगर तुमने मुझे कॉकपिट में भेजा, तो हालात और जयादा	ననను గనుక కాక పిట లోపలికి పంపితే, పరిసథితులు ఇపపటికంటే
इसे आखिरी चेतावनी समझा जाए. "	ఇది తుది హెచచరికగా భావించగలరు. "
पहली सीट, वहाँ बैठो. बस यहाँ.	మొదటగా, అకకడ కూరచో. సరిగగా అకకడ.
तुमहारा फोन आज तक बंद कब हुआ है?	నీ ఫోన ఎపపుడు ఆఫ అయింది గనుక?
पिछली टरम में आपने यह कहा था.	కిందటి టెరమ లో కూడా అదే చెపపావు.
मैं यहीं हूँ. ठीक है?	నేను ఉననాను. సరేనా?
अब सब कुछ ठीक है. उनका डर निराधार था.	ఇపపుడు అంతా సదదుమణిగింది. తపపుడు హెచచరిక.
ठीक है. तो, बगदाद वालों को यह दिख रहा है.	సరే. అయితే, బాగదాద చూసతుననది ఇదే కదా.
मैंने कहा सब कुछ ठीक है. वे बिना वजह डर गए थे.	అంతా బాగానే ఉంది అని చెపపాను. కేవలం తపపుడు హెచచరిక.
पलीज बगदाद कंटरोल को 123 दशमलव 52 पर कॉल करें.	దయచేసి బాగదాద కంటరోల కి 123 దశాంశం 52కి కాల చేయండి.
लेकिन. . .	కానీ. . .
और सुनो, हो सकता है इसमें कुछ ना निकले, लेकिन. . .	ఇంకా విను, ఇందులో విషయం ఉండకపోవచచు, కానీ. . .
मैं समझता हूँ. मुझे पता है.	నాకు అది తెలుసు. అది అరథమెంది.
उसने बस खुद को बचाने के लिए हम सबको धोखा दिया है. यह हो रहा है.	తనని తాను కాపాడుకోవడం కోసం మనందరికీ దరోహం చేశాడు. అదే జరుగుతోంది అకకడ.
इसके रहते हुए कोई गडबड नहीं हो सकती.	ఏదెనా సమసయ ఉంటే, ఆమె వెంటనే గురతిసతుంది.
यहाँ रेडियो में काफी समसयाएँ आ रही हैं,	మాకు రేడియోతో చాలా సమసయలు వసతుననాయి
सब कुछ काफी सामानय लग रहा है.	ఇదంతా చాలా మామూలు వయవహారం.
यह मेरी बेटी को अपने बचचे की पारटी में ले गई थी.	మా అమమాయిని తన బిడడ పారటీకి తీసుకువెళలింది.
पिछले हफते, इसने एक आदमी को खिलौने की बंदूक लाने से मना कर दिया था.	కిందటి వారం, ఒక వయకతి సటారటర పిసటల తీసుకువసతుంటే ఆమె ఆపింది.
इसका नाम नीला है.	నీలా. అది ఆమె పేరు.
1के: वे इराकी फौज से संपरक करेंगे.	1కె: వాళలు ఇరాకీ సెనయానని సంపరదిసతారు.
इसका कया मतलब है?	అది ఎలా జరుగుతుంది?
दाल में कुछ काला है. हाँ.	ఏదో తేడాగా ఉందని అరథం. నిజం.
और वह सकूल से भी आगे काफी दूर है.	అది వాడి సకూలు కననా చాలా దూరంగా ఉంది.
तो, किंगडम 2-9 पर कुछ हुआ है. . .	అయితే, కింగడమ 2-9కి ఏదో జరిగింది. . .
आने के लिए तैयार होती हो, वह चककर लगाता रहे, ठीक है?	విమానానని గాలిలో చకకరలు కొటటమని చెబుతాను, చెపపనా?
तुम ऐसा कयों कर रहे हो? तुम लोग कया चाहते हो?	ఎందుకు ఇదంతా చేసతుననావు? మీకు ఏం కావాలి?
मेरा हाथ!	నా చేయి!
वायुमारग लीमा 602 पर किंगडम 2-9,	కింగడమ 2-9 లీమా 602 ఎయిరవే మీద ఉంది,
सब कुछ पूरी तरह से सुरकषित है, शुकरिया बगदाद.	అంతా కషేమం ఇంకా బాగుననాం, థాంకయూ బాగదాద.
तभी देखा जब वे मुझे यहाँ लेकर आ रहे थे. वे बंधे हुए थे.	వాళలు ననను ఇకకడికి పంపించినపపుడు చూశాను. వాళలని కటటేసి ఉంచారు.
वह ऐसा कभी नहीं कहता अगर हालात गंभीर नहीं होते.	పరిసథితి చాలా తీవరమెనది కాబటటే అతను అలా చెపపి ఉంటాడు.
तुमने दुबई फोन किया तो उनहोंने ठीक-ठीक कया कहा?	నువవు దుబాయ కి ఫోన చేశావు మరి దుబాయ వాళలు ఏం చెపపారు?
जानता हूँ. मुझे माफ करना. मुझे एक मदद चाहिए.	నాకు తెలుసు. సారీ. నాకు ఒక సాయం చేయాలి.
या जब हमने यह फैसला किया था कि हमारे बीच सब खतम हो गया है, तो वह खतम हो गया था.	లేదా మన మధయ బంధం ముగిసింది అని నువవు ఒపపుకుననపపుడు, అది ముగిసిపోయింది.
अपनी कुरसी की पेटी खोलो. पेटी खोलो.	నీ సీట బెలట తీసేయ. బెలటు తీసేయ.
वह खास बीमार तो नहीं लग रही थी.	ఆమె అంత అనారోగయంగా ఏమీ కనిపించలేదు.
{\an8}1के: तुमहारी योजना काम कर गई.	{\an8}1కె: నీ పలాన పని చేసింది.
. . . तो मैं उसे उस बंदे की फिकर करने से नहीं रोकूँगी,	. . . అపపుడు ఆమె ఆ వయకతి కోసం తనకి కావలసినంతగా పటటించుకోవచచు,
यह बहुत जयादा जरूरी है.	ఇది ఖచచితంగా జరిగి తీరాలి.
उप-शीरषक अनुवादक: पुनीत	తెలుగు అనువాదం: సతీశ కుమార
मैं दुनिया की सबसे बुरी यातरा पर हूँ, बस और कुछ नहीं.	ఈ పరపంచంలోనే అతి చెతత పరయాణం చేసతుననాను, అదే నేను చేసతుననది.
हाँ, और हो सके तो इस तरह की बात के लिए मुझे दोबारा फोन मत करना, हाँ?	అవును, ఇంకా బహుశా మళలీ ఇలాంటి విషయాల గురించి నాకు ఇంకెపపుడూ ఫోన చేయకు, సరేనా?
यह योजना का हिससा हो ही नहीं सकता.	అది మీ పలాన లో భాగం కాకపోవచచు.
