रॉबिन!	రాబిన!
सवयंसेवा वाली बकवास नहीं,	మనం షేరహోలడరలకు తెలియచేసే
सोलजर बॉय की तरह हीरोज,	సోలజర బాయ లాంటి హీరోలు,
सटॉरमफरंट या किसी और को लेकर,	సటారమఫరంట లేదా ఇంకే విషయంలోనూ
तुमहें कैसे पता?	నీకు ఎలా తెలుసు?
रुको. जरा रुक जाओ.	ఆగు. ఒకక కషణం ఆగు.
धत, हयूई, मुझे इतनी खुशी है कि तुमने. . .	అబబా, హయూయీ, నాకు చాలా ఆనందంగా ఉంది. . .
और तुम हमारी सबसे कीमती समपतति नहीं हो.	ఇంకా నువవు మా అతయంత విలువెన ఆసతివి కావు.
या फिर इसे आज रात फेसबुक पर डाल दूँगी.	లేదా ఈ రాతరి నేను ఇది ఫేసబుకలో పెడతాను.
चलो भी. हमें इसी चीज का तो इंतजार था.	ఏంటిది. మనం దీని కోసం వేచి చూసతుననాము.
नकीब को खतम करने का काम पूरा किया है.	బలాక నార నిరవహించిందని నివేదించగలను.
बहुत मजा आया, पर हमें काम पर जाना है.	ఇది సరదాగా ఉంది కానీ, మాకు పని ఉంది.
जितना तुम उसे गहराई में धकेलते रहोगे,	నువవు ఆమెను ఇందులో ఎంత లోతు దించితే,
अमरीकी लोग हमें अपनी फौज में रखेंगे,	మనలని సెనయంలో ఉండనిచచేది అమెరికనలు,
-वहीं पर मेरी भूमिका शुरू होती है.	-అందుకే నేను వచచాను. -ఏం చేయడానికి?
सटारलाइट, ऐसा कहने के लिए शुकरिया.	సటారలెట, అది చెపపినందుకు ధనయవాదాలు.
हमारे पास काफी पैसा होगा. बात खतम.	మనకు సరిపడా డబబు సమకూరుతుంది. అంతే.
कैरल ने सच में मेरी मदद की थी, डीप.	కెరోల నిజంగా నాకు సహాయపడింది, డీప.
और अब, हमें आपके सहारे की जरूरत है.	ఇపపుడిక, మేము మీ మదదతు తీసుకోవచచు.
-तुमहारी हालत बहुत बुरी लग रही है.	-దారుణంగా కనిపిసతుననావు. -తెలుసు.
नहीं, बिलकुल नहीं. इतना इतराओ मत.	ఖచచితంగా లేదు. ఎకకువగా ఊహించుకోకు.
हम पागलों की तरह इधर-उधर दौडते हुए	మేము నువవు సృషటించిన సమసయలు తీరచే
हाँ. एलो वेरा वाला काफी अचछा है.	అలాగలాగే. కలబంద, అది చాలా మంచిది.
-तुमने सिम कारड तोड दिया या. . .	-సిమ కారడు మారచావా లేదా -మారచాను.
कृपया सटारलाइट का सवागत कीजिए.	దయచేసి సటారలెటకు సవాగతం పలకండి.
और वह वंडर बरेड अमेरिकन की तरह,	అపపుడు ఆయన డిసనీ మరియు ఎడిసనలా
लहरों में आता है, समझ रहे हो?	అది అనూహయంగా జరిగింది, తెలుసా?
ठीक है. हमारा कपतान कौन बनेगा?	సరే. మన కెపటెనగా ఎవరు ఉంటారు?
सच में हमें बडी हिममत दी है.	ఇతను మాకు మూల సతంభంగా ఉననాడు.
हाँ, वहाँ इतना मजा नहीं आता.	అవును, అకకడ అంత సరదాగా ఉండదు.
या फिर, हम भागना बंद कर दें.	లేదా, బహుశా మనం పారిపోలేమేమో.
गेको, वॉट समरटाइम कलबहाउस का	గెకో, వాట సమమరటెం కలబహౌజ యొకక
हाँ, पर शायद कोई सुन रहा हो.	సరే, కానీ, ఎవరెనా వింటుంటారు.
हाँ, तुम भी अचछे लग रहे हो.	అవును, నువవు కూడా బాగుననావు.
विलियम बुचर ऐसा कयों करेगा?	విలియం బుచర ఎందుకలా చేసతాడు?
एक दमदार नया रूप दे रही है.	సిటిజన సటారలెటలో అందిసతుంది.
तुम इनहें बता सकते हो, डीप.	నువవు ఆమెకు చెపపవచచు, డీప.
नीचा दिखाने वाला न सही तो,	సరే, ఇది ఉపనయాసంలా లేకపోతే,
हमें इससे दमदार शबद चाहिए.	బలమెన పదానని ఆశిసతుననాము.
तुमहारी आतमा आसमान में है	అకాశం మీ సపూరతితో నిండింది
और तुम एकदम अकेले होते हो.	మీరు చాలా ఒంటరిగా ఉంటారు.
वॉट की ओर से इस पतझड में.	ఈ శిశిరంలో వాట అందిసతుంది.
अचछा, तो पूरी बात कया है?	సరే, మరి పూరతి విషయం ఏంటి?
सब गडबड हो चुका है, बचचे.	ఇదంతా చాలా గందరగోళం, బాబు.
जो वॉट की एक मुलाजिम थीं.	కారణంగా అసంతృపతి వలనేమో.
कि मैं तुमहें यहाँ लाया.	నిననికకడికి తీసుకురావడమే.
-देखो, वह मेरा कंधा है.	-హే, అది నా భుజం. -ఏంటి?
तो, तुमहें कया पसंद है?	అయితే, నువవు ఏం చేసతావు?
यानी कि टेक-नाइट फिलम के	దానరథం టెక నెట సినిమాకి
बडे साहब, मिसटर एडगर ने?	మిసటర ఎడగర, పెదద మనిషా?
देखिए, मेरी एक बेटी है.	చూడండి, నాకొక కూతురుంది.
तुम यहाँ कया कर रहे हो?	నువవు ఇకకడేం చేసతుననావు?
यह अचछा तकिया-कलाम है.	అది మంచి ఆకటటుకునే పదం.
तुमहें टाँगें पसंद हैं?	నువవు కాళళు నరుకుతావా?
तुम कोई सिपाही नहीं हो.	నువవు సెనికుడివి కాదు.
तुम बहुत ही, मतलब. . .	నువవు చాలా, అంటే. . .
नजदीकी एटीएम कहाँ है?	దగగరలో ఏటీఎం ఎకకడుంది?
एकदम खुलकर बताओ, डीप.	మనసులోది మాటలాడు, డీప.
तुम कोई जासूस नहीं हो.	నువవు గూఢచారివి కాదు.
फरेंची ठीक कह रहा है.	ఫరెంచీ సరిగగా చెపపాడు.
मेरे पास कोई चारा है?	నాకు పరతయామనాయముందా?
मेरे पास तो नहीं है.	ఎందుకంటే నా దగగరలేదు.
यह कोई मजाक ही होगा.	ఇది ఒక జోక అయిఉండాలి.
मुझे उस वकत अहसास हुआ	నాకు జఞానోదయం అయినది
-झाग वाली पारटियों से जिंदगी बदल जाएगी.	-నురగ పారటీలు జీవితానని మారుసతాయి. -వెధవ.
-जिस चीज पर जीत हासिल की है, उसके चलते.	-అంటే, నువవు ఎదురకొనన దానికి. -ధనయవాదాలు.
तो तुम मुझे बताओगी.	నువవు నాకు చెబుతావు.
शुरुआती सपताहांत में दो संखया से गिरावट.	పరారంభ వారాంతాలు రెండంకెలు పడిపోతాయని.
मेरे तीर खतम हो गए.	నా బాణాలు అయిపోయాయి.
तुमहें लाना ही होगा.	నువవు తీసుకురావాలి.
टरांसलूसेंट की जगह.	టరానసలూసెంట సథానంలో.
उसके अंदर सब झोल है.	అది ఒక అంతరగత కుటర.
और तुम, मेरे दोसत, तुम एक सचचे हीरो हो.	ఇంకా నువవు, నా మితరమా, నిజమెన హీరోవి.
होमलैंडर, सटारलाइट.	హోంలాండర, సటారలెట.
कमान में कुछ ही तीर रखे जा सकते हैं.	అమములపొదిలో పరిమిత బాణాలే పొందుపరచగలం.
मैंने कभी नहीं कहा कि वे मेरे दोसत थे.	వాళళు నా సనేహితులని ఎపపుడూ చెపపలేదు.
तो, शायद मैं ली मारविन नहीं बन सकता,	అయితే, బహుశా నేను లీ మారవిన కాకపోవచచు,
पर हम कुछ नहीं हैं.	కానీ మనం ఏమీ కాము.
तुम बडी मजेदार हो.	నువవు సరదా మనిషివి.
तुमहें भरोसा है कि तुम यह कर पाओगी?	నువవు ఇది చేయగలవని నీకు నమమకంగా ఉందా?
कितनी अचछी है ना?	అమె ఉతతమురాలు కదా?
कितनी अचछी है ना?	అమె ఉతతమురాలు కదా?
मैं इसे जानती हूँ.	నాకు ఇతను తెలుసు.
पर विलियम बुचर ने बिलकुल यही किया.	కానీ విలియం బుచర చేసింది సరిగగా అదే.
यह एक पहेली ही है.	అది అంతుచికకనిది.
मुझे कुछ नहीं. . .	నాకు ఏమీ జరగ. . .
मुझसे झूठ मत कहो.	నాతో అబదధం చెపపకు.
पीछे रहो वरना लेजर चला दूँगा, साले!	వెనుకకు ఉండండి లేదా లేజర వేసతాను!
कि बिग गेम के साथ सो लेना चाहिए था.	బిగ గేమతో సంబంధం పెటటుకోవాలసింది.
हयूई, मदरस मिलक.	హయూయీ, మదరస మిలక.
हयूई, मैं बस. . .	హయూయీ, నేను. . .
बहुत अचछी बात है.	బాగుంది, మంచిది.
पता है, वह मेरे साथ सोना चाहता था?	అతను నాతో గడపాలనుకుననాడు తెలుసా?
नहीं, वहाँ अंधेरा है और ठंड है,	లేదు, అకకడ చీకటిగా చలలగా ఉంటుంది,
और आप कया इसकी चिकितसक वगैरह हैं?	నువవేంటి, అతని థెరపిసట ఏదెనానా?
बाकियों को मंजूरी मैंने ही दी थी.	మిగిలిన వారిని నేను అమోదించాను.
हाँ. ईशवर उनकी आतमा को शांति दे.	అవును. దేవుడు శాంతి చేకూరచాలి.
टरांसलूसेंट की जगह लेने के लिए	టరానసలూసెంట సథానంలో సరెన అభయరథి.
तुमहें समझ में आ गया कि मैं हूँ?	అది నేనేనని నువవు చెపపగలిగావా?
हमारे सामने है.	మన ముందు ఉంది.
हम वॉट-कॉन में पाँच बार मिले थे. मतलब. . .	మనం కలిశాము, వాట కానలో ఐదు సారలేమో. అంటే. . .
होमलैंडर, हैलो.	హోంలాండర, హాయ.
सुपर आतंकवादी.	ఒక సూప ఉగరవాది.
तो, सटॉरमफरंट.	సరే, సటారమఫరంట.
कमाल की बात है.	అదభుతంగా ఉంది.
शुकरिया, मैडम.	ధనయవాదాలు మేడమ.
अचछा, ठीक है, अब हम कया करें?	సరే, మంచిది, మనం ఏం చేదదాం?
पता नहीं आप कया कह रहे हैं.	మీరేం మాటలాడుతుననారో తెలియదు.
जिल, इनसे पूछो कि "सुपर बदमाश" के बारे में	జిల, వాళళను "సూపర విలన" ఎలా ఉందో అడుగు.
मुझे नहीं पता.	నాకు తెలియదు.
वह सब झूठ है.	అవననీ అబదదాలే.
मुझे पकका पता है कि जिनहें कौतुहल होगा,	ఖచచితంగా పతరికలు తెలుసుకోవాలని అనుకుంటాయి.
मुझे नहीं पता.	నాకు తెలియదు.
आसमान में कोई बैठकर हमें नहीं देख रहा.	మనలని ఆకాశం నుండి ఎవరూ గమనించే వారు లేరు.
पर मैं यह उसी के लिए कह रहा हूँ, बेटा.	కానీ నేనిది ఆమె మంచికి చెబుతుననాను, బాబు.
हमें हमारे हीरो बचाते हैं	మనం మన హీరోలచే రకషింపబడడాము
हमें शैतानी ताकत से बचाया	మమమలని దుషటల నుండి కాపాడుతూ
पर हमारे हीरो कभी नहीं मरते	కానీ మన హీరోలు చిరంజీవులు
उसके जैसा कमीना मरेगा नहीं.	అతను చనిపోయేంత వెధవ కాదు.
ना. "अमरीका को बचाना" होगा.	లేదు. అది "అమెరికా రకషణ".
मुझे नहीं लगता कि यह सच है.	చూడండి, నాకుందని అనుకోను.
तुम कया कह रहे हो? हम जनम से ही ऐसे हैं.	ఏం మాటలాడుతుననావు? మనం ఇలానే పుటటాము.
पर, अपने सुपरहीरो से मिलने कभी नहीं आते.	కానీ మీ సూపర హీరోలను కలవరు. కలుసతారా?
तुमहें बताना होगा, हयूई.	నువవు వివరణ ఇవవాలి, హయూయీ.
वैसे, मैं झूठ नहीं कहूँगा,	అంటే, నేను అబదధం చెపపను,
हाँ, मैं झूठ कह रही हूँ. मुझे माफ करना.	సరే, నేను అబదధం ఆడుతుననాను. కషమించు.
मारविन मिलक, हयू कैंबेल,	మారవిన మిలక, హయూ కయాంపబెల,
शायद मुझे एक हीरो मिला है.	నేనొక హీరోను కనుగొననాను.
अब मेरे पास बस यही बचा है.	నాకు ఇపపుడు ఉననదలలా ఇదే.
आखिर, आप एक सुपरहीरो कंपनी चलाते हैं	ఎంతెనా, మీరు సూపర హీరోల సంసథ నడుపుతారు,
और मुझे यह बात पसंद नहीं	ఎఫడీఏకు కాంపౌండ వీ గురించి
हयू कैंपबेल ने टरांसलूसेंट को मारा.	హయూయీ కయాంపబెల టరానసలూసెంటను చంపేశాడు.
आप सभी का शुकरिया. बहुत मायने रखता है.	అందరికీ ధనయవాదాలు. ఇది ఎంతో గొపపది.
और अब हम भी उस झमेले में फंस चुके हैं.	ఇపపుడు మనం అందులో కూడా ఇరుకకుననాము.
मैं पनना नंबर 134 पर हूँ.	నేను పేజీ 134లో ఉననాను.
वॉट बहुत खतरनाक है, बस.	వాట చాలా పరమాదకారి, అంతే.
एलो वेरा वाला लाना. और जलदी वापस आना.	అందులో కలబంద కలుపుకురా. వెంటనే రా.
मेरा कहने का मतलब है कि यह डरावना है.	నా ఉదదేశయం అది చాలా భయానకంగా ఉంది.
-यह आदमी कई लोगों को मार सकता. . .	-ఇతను చాలా మందిని చంపవచచు -హయూయీ. . .
उपशीरषक 16,	ఉపశీరషిక 16,
गिरोह के सुपर आतंकवादी	కిరాతకంగా హతయ చేయబడడాడు.
आँखों से परे, दिमाग से परे कभी नहीं.	కనులకు దూరం కావచచు, మనససుకు కాదు.
आँखों से परे, दिमाग से परे कभी नहीं.	కనులకు దూరం కావచచు, మనససుకు కాదు.
आँखों से परे, दिमाग से परे कभी नहीं.	కనులకు దూరం కావచచు, మనససుకు కాదు.
तुमने बरनर फोन का सिम कारड तोड दिया?	వాడిపడేసే ఫోన, సిమ కారడు మారచావా?
तुम कह सकते हो कि मैं इसकी गुरू हूँ.	నువవు నేను అతని బోధకురాలు అనవచచు.
रेनर का सिर फट गया है,	రేనర తన తల పేలచేసుకుంది,
उसे नयू यॉरक टाइमस के हवाले करेंगे,	దానినినయూ యారక టెమసకు తీసుకొచచి,
बात कंपाउंड वी की है.	ఇది కాంపౌండ వీ గురించి.
तुम लोग कहाँ रुके हो?	మీరందరూ ఎకకడ ఉంటుననారు?
इस वकत वह जिम में है.	అతనిపపుడు జిమలో ఉననాడు.
हमारे माननीय संसथापक.	మన గౌరవనీయ వయవసథాపకులు.
शायद "मेरी पवितर अगनि की ताकत से"?	బహుశా "నా పవితర జవాలా శకతితో? "
उसी से सुपरहीरो को शकति मिलती है.	ఇది సూపసకి వారి శకతులనిసతుంది.
शुरू से ही	మొదటి నుంచీ
मुझे तसवीर से निकाल नहीं सकते.	వాళళు ననను ఫోటోనుంచి తొలగించలేరు.
एनसेल एडमस?	ఆనసల ఆడమస?
सफाई का खरचा नहीं उठाना चाहता.	శుభరత బిలలులతో ఇబబందిపడాలని లేదు.
मैं कुछ नहीं कर सकता. इसे असपताल ले जाओ.	నేనేం చేయలేను. అతనిని ఆసుపతరికి తీసుకెళళండి.
तुमहें "अमरीका को बचाना" पसंद है?	మీరు "అమెరికా రకషణ" ఇషటపడతారా?
एक और झूठ.	ఇంకో అబదదం.
एक सुपर आतंकवादी है,	ఒక సూప ఉగరవాది ఉననాడు,
तीखी मुरगी और धनिए वाला सैंडविच?	కొతతిమీరతో చుటటిన మసాలా కోడి?
मैडम, एम. एम. उनहें देख सकता है?	మేడమ, ఎం. ఎం. వారిని చూడవచచా?
और मेरा मतलब, सब कुछ.	అంతా అంటే అంతా అని.
यह अचछा सवाल है, डीप.	అది మంచి పరశన, డీప.
तुमने इसे फोन किया?	నువవు అతనని పిలిచావా?
इसने कया कहा? कया हो रहा है?	అతను ఏం చెపపాడు? ఏం జరుగుతుంది?
और लगा कि वह नाराज हो जाएगा.	నిరాశ చెందుతాడని అనుకునే దానని.
मैं इन लोगों के साथ हूँ, है ना?	నేను అది చాలా చూశాను, సరేనా?
"तुम उन सुपर आतंकवादियों को ढूँढना. . . "	"మీకు ఆ మహా ఉగరవాదులు దొరికితే. . . "
विपकषी के अंदर घुसे ही पडे थे.	నీ నాలుక చొపపించినటటుననావు.
तुमहारी जमानत हो गई.	నీకు బెయిల ఇచచారు.
कि वे दुआ कर रहे हैं कि तुम उसे फोन करो.	వాళళు నువవది చేయాలని వేడుకుంటుననారు.
शायद इस वकत भी उनकी नजरें हम पर हों.	వాళళు ఇపపుడు కూడా మనలని గమనిసతూ ఉండవచచు.
कयों? वह तो कितना पयारा था.	ఎందుకు? అతను చాలా బాగుండేవాడు.
कोई नहीं.	ఎవరూ లేరు.
जिसकी हम जबरदसत तरीके से निंदा करते हैं.	అది మనం సాధయమెనంత తీవరంగా ఖండిసతాము.
इसलिए, मैंने सोचा कि मैं ही आ जाता हूँ.	అందుకే, నేనే రావాలని తెలుసుకుననాను.
अफसोस, इस बात का सबूत. . .	బాధాకరంగా, దానికి రుజువు. . .
और बिग गेम पॉनशस पायलट था.	ఇంకా బిగ గేమగా పాంటియస పెలెట.
जब पता होगा कि तुम महफूज हो, सो लूँगा.	నువవు సురకషితమని తెలిశాక పడుకుంటా.
पलीज! मेरे बचचे को एक माँ की जरूरत है!	ననను వదిలేయ! నా బిడడకు తలలి అవసరం!
इसलिए मैं तो चला.	అందుకే వెళుతుననాను.
"और हमें एक परिवार की तरह	"మనం ఒకటిగా నిలవాలి" అననాడు.
यार, हम लोग कंपाउंड वी लेकर,	కొంత కాంపౌండ వీ తీసుకుని,
-तुम उससे मिलना चाहते हो?	-అతనిని కలుసతావా? -కలుసతాను!
और काफी कुछ करना चाहिए था	ఇంకా చాలా విషయాలు చేయాలసింది
यह तो कैरल हैं. मेरी पुरानी दोसत हैं.	ఆమె కెరోల అంతే. మంచి సనేహితురాలు.
अल जाबडानी, सीरिया	అల జబదని, సిరియా
तुमहारी मौजूदगी ने हम पर कृपा की	నీ ఉనికి మమమలని నిజంగా అశీరవదించింది
-इंसटागराम पर मेरी जासूसी कर रहे हो?	-నా ఇనసటాగరాం చూసతుననావా? -లేదు.
ईगल हूँ.	అది ఈగిల.
हे भगवान, शुकरिया!	అబబా, ధనయవాదాలు!
कैरल, यह द डीप है.	కెరోల, ఇతను డీప.
वह एक पाक और पराचीन कला है.	అది పవితరమెన, పురాతన కళ.
हमें. . .	మనం. . .
सटारलाइट?	సటారలెట?
पागल हो गए हो कया?	నీకేమయినా పిచచా?
और शायद तुमने मुझे उसका हल बता दिया.	నేనది మీరు నాకు అందించారనుకుంటా.
इसलिए, रूजवेलट ने उनहें माफ कर दिया,	అందుకే, రూజవెలట అయనని కషమించాడు,
तीरों का मुकाबला करने लगते हैं.	టీఈసీ-9ని బాణాలతోనా ఎదురించేది అని.
"होमलैंडर, " एकदम अमरीकी अंदाज में.	"హోంలాండర" ఒక మంచి అమెరికన అని.
बीटलस में बरायन एपसटीन था.	బీటిలసకు, బరయిన ఎపసటీన.
वह एकदम गायब हो गया है.	అతను పూరతిగా కనుమరుగయయాడు.
जो भी हो, मुझे अब जाना है.	ఏదేమయినా, నేను వెళళాలి.
मुझे पता है कि हमारा जनम कैसे होता है,	మనం ఎలా పుటటామో నాకు తెలుసు, అది జీసస కాదు.
"सतय में जलो. "	"సతయంలో కాలిపో. "
कहाँ जा रहे हो?	ఎకకడికెళుతుననావు?
हमें यहाँ से निकलना होगा. अभी.	మనం ఇకకడనుండి వెళళిపోవాలి. వెంటనే.
यह तुमने बनाया?	ఇది నువవు చేశావా?
कयोंकि वह वही है.	అమె అదే కాబటటి.
या फिर, जॉन कॉनर,	లేదా, జాన కానర,
मुझे पता है किसी को खोना कया होता है.	ఎవరినెనా కోలపోవడం ఎలా ఉంటుందో నాకు తెలుసు.
सरवसममत ठोस परतिकरिया.	ఏకగరివం, బలమెన పరతిసపందన.
तुमहारे लिए बहुत खुश हूँ. सच में.	నినను చూసతుంటే సంతోషంగా ఉంది.
-देखो तो सही. सेवेन की बडी हीरो बन गई हो.	-అబబో. పె సథాయి సెవెన హీరో. -ఇక ఆపు.
सेंकेंड बटैलियन के डैन और बाकी मरीन,	డాన ఇంకా ఇతర రెండవ బెటాలియన సాహస నావికులు
-वैसे, मेरा नाम हयूई है.	-నా పేరు హయూయీ. -ఆనీ.
टरांसलूसेंट ने मुझसे कहा था. . .	టరానసలూసెంట నాతో అననాడు. . .
तवचा को नरम रखता है. ठीक है.	చరమానని మృదువుగా ఉంచుతుంది. సరే.
यार, तुम लोग जरा सुन तो. . .	అంటే, అందరూ, నేను చెపపేది వినండి
बस करो. छोडो भी.	ఇక ఆపు. సరేలే.
चलिए, इसे. . .	వెళళండి, ఆమెను--
फरेंची, इसने कया कहा?	ఫరెంచీ, అతను ఏం చెపపాడు?
नहीं, मैं पीता नहीं. . .	లేదు, నేను తాగను. . .
तो, तुम कया करना चाहते हो, हयूई?	అయితే, నీ వయూహం ఏంటి, హయూయీ?
तुमने कभी यह सोचा है?	అది ఎపపుడెనా ఆలోచించావా?
कंपाउंड वी का जो गोपनीय फारमूला है,	అది మా కాంపౌండ వీకు రహసయ సూతరం అవుతుంది,
कोई उस पर नजर रखे हुए था	ఆమెను ఎవరో గమనించారు,
तुमने यह कया पहन रखा है?	నువవు ఏం వేసుకుననావు?
यह तो बडा ही शैतानी है.	అది అతి పాశవికమెనది.
यह खुशशबरी किसने दी?	శుభవారత ఎవరు అందించారు?
पर चिंता मत करो. . .	కానీ కంగారు పడకండి. . .
तुमहारे लिए सैनिटाइजर लेने जा रहा हूँ.	నేను నీకు పయూరెల తీసుకువసతుననాను.
करिस हैंसेन के साथ एक नजर करीब से	కరిస హానసెనతో సమీప వీకషణ నాటక రూపాంతరం
-तुमहारा दिमाग कया बिलकुल खराब हो गया?	-నీకు పిచచా? -మనం జాగరతతగా ఉననాం.
किसी अरब को दिखाएँगे तो वह कहेगा,	నా ఫోటో చూపించినా, అతను తిరిగి అంటాడు,
अलविदा, दोसत.	వీడకోలు, సోదరా.
मुशकिल है. बहुत मुशकिल है.	ఇది కషటతరమెనది. చాలా కషటమెనది.
अचछा. तो. . .	సరే. అయితే. . .
कई लोग गोलियाँ चला रहे थे,	ఎంతోమంది షూటరలు, నేను వెళళాను,
आप मेरी तसवीर ले जाकर, सहारा में	సహారా మధయలో ఒంటె నడిపే నిరకషరాసయుడికి
जहाँ उनहें हर वकत इंसान तैयार मिलते थे	అకకడ ఆయన కాంపౌండ వీ యొకక పరారంభ పునరావృతాలను
नहीं, उससे कोई फरक नहीं पडता.	లేదు, అది అంత ముఖయం కాదు.
डिजनी और एडिसन के जैसे बन गए.	వండర బరెడ అమెరికన అయయారు.
बिलकुल.	అవును.
सतय में जलो!	సతయంలో కాలిపో!
टरांसलूसेंट.	టరానసలూసెంటకు.
पलीज, मुझे एक लावा फलो देना.	నాకు ఇంకో లావా ఫలో ఇవవు.
द बॉयज	ది బాయస
माफ करना, मैं बस. . .	కషమించు, నేను. . .
इस वकत उनके लिए सामाजिक समावेश	వారికి పరసతుతం చేరిక పెదద పరాధానయత.
मुझे नहीं लगता कि मैं गहराई पर हूँ.	నావి కలిషట పరిసథితులు అనుకోను.
तुम यहाँ कैसे पहुँचे?	ఇకకడకు ఎలా వచచావు?
मुझे नहीं पता कि यह सब कया है,	ఇదంతా తెలియదు, కానీ విచితరంగా ఉంది,
बचचों पर चिललाते हुए पाया गया.	డీప తాగి పిలలలపె అరుసతూ కనిపించాడు.
मुझे एक मदद चाहिए.	నాకు ఒక సహాయం కావాలి.
पास से, तुमहारी आँखें काफी नीली हैं.	మీ కళళు దగగరగా చూసతే నిజంగా నీలంగా ఉననాయి.
फुटबॉल?	సాకరా?
कया हमारे सिर फटने वाले हैं?	మన తలలు కూడా పేలిపోతాయా?
पुरानी सुपरहीरो कॉमिक यहाँ खरीदिए!	సూపరహీరో కామికలు ఇకకడ కొనండి!
कृपया फोन करें 1-888-0-अपराध.	దయచేసి 1-888-0 కరెమసకు ఫోన చేయండి.
-वह बुरी इंसान नहीं है.	-ఆమె చెడడది కాదు. -ఆమె సూప.
टावर में सभी का कया हाल है?	టవరలో అందరూ ఎలా ఉననారు?
अचछा, शुकरिया. एक बात कहूँ?	ధనయవాదాలు. ఏంటో తెలుసా?
मैं नौकरी नहीं करता.	నాకు ఉదయోగం లేదు.
तुम उसे खतरे में डाल रहे हो.	నువవు ఆమెను పరమాదంలో పడేసతుననావు.
या फिर यह कि कुछ ही समय में,	లేదా అది పరజలు తెలుసుకునేంత వరకే.
मैंने कहा, जाने का वकत हो गया है,	ఇక వెళళమననా, లేదా టీఎంజీకు ఫోన చేసతాను.
"हम सिरफ एक टीम नहीं, हम एक परिवार हैं,	"ఒక జటటుకంటే ఎకకువ మనమొక కుటుంబం,
अरे, मैं तुमहें जानता हूँ.	హే, నాకు నువవు తెలుసు.
डरटी डजन में ली मारविन था.	డరటీ డజనకు, లీ మారవిన.
हाँ, बस फरिज में रखना.	అవును, దానిని ఫరిజలో ఉంచు.
तुमहारे साले कमाल के दोसत.	నీ అదభుతమెన సనేహితులు.
आनुवांशिकी में अपने समय से काफी आगे थे.	జనయుశాసతరంలో వారి కాలంకంటే ముందే.
दो बचचे थे.	ఇదదరు పిలలలు.
और मेरी वजह से वह मारी गई.	నావలలే ఆమె చనిపోయింది.
और अब पूरा देश हमारे पीछे पडा है.	మనమిపపుడు దేశంలో అతయంత కావాలసిన వెధవలం.
इसका नाम किमिको है.	ఆమె పేరు కిమికో.
तुम अचछी लग रही हो.	నువవు బాగుననావు.
जनाब कसाई कहाँ हैं?	మిసటర బుచర ఎకకడ?
