लंदन, इंगलैंड	లండన, ఇంగలాండ
मैं बाद में फोन करता हूँ.	నేను తిరిగి కాల చేసతాను.
तो दुनिया भर का सारा तकनीकी कारोबार खतम हो जाएगा.	పరపంచమంతటా, మొతతం సాంకేతిక వయాపారం కూలిపోతుంది.
जयादा दूर नहीं गया होगा.	ఎకకువ దూరం వెళళి ఉండడు.
उसका नाम मैकस शैंकल है.	అతని పేరు మాకస షెంకెల.
डिजिटल इनोवेशन निदेशालय सी. आई. ए. मुखयालय	డిజిటల ఆవిషకరణ డెరెకటరేట సీఐఏ పరధాన కారయాలయం
यह टैनटलम कया बला है?	అసలు టాంటలం అంటే ఏంటి?
मेरे खयाल से तुमहें पता है कि मैं कहाँ हूँ.	సరే, నేను ఎకకడుననానో నీకు తెలుసనుకుంటాను.
जाओ, खाने का मजा लो.	మీ భోజనం ఎంజాయ చెయయి.
तो आप अमरीकी सरकार के लिए काम करते हैं?	అయితే మీరు యు. ఎస. పరభుతవంలో పని చేసతారా?
अब वह पैसों के लिए लोगों की हतया करता है.	ఇపపుడు డబబు కోసం జనాలని హతయ చేసతుననాడు.
टॉम कलैनसीज जैक रायन	టామ కలానసీస జాక రెన
नहीं, उसके हाथ पर गोली मारेंगे. जिससे वह हसतमैथुन करता होगा.	లేదు వాడి చేతిని కాలుదదాం. వాడు సవయంతృపతి చేసుకునే చెయయి.
हम यहाँ सेनयोरा बोनालडे से मिलने आए हैं.	మేము సెనయోరా బొండేలని కలవడానికి వచచాం.
- आपसे मिलकर अचछा लगा. - मिलकर अचछा लगा.	-మిమమలనికలవడం సంతోషంగా ఉంది. -నాకకూడా.
मिसटर रायन, मैं यहाँ तुमहारे दिल का बोझ हलका करने नहीं आया.	మిసటర రెన, నేను ఇకకడికి నీ భారానని తొలగించడానికి రాలేదు.
मिसटर मारजान हमारे एक सथानीय ऑफिसर हैं.	మిసటర మారటజాన మా సథానిక బలగాలలో ఒకరు.
- शुकरिया. - गरीयर.	-ధనయవాదాలు. -గరీర.
पता है मोरेनो की हतया से एक दिन पहले	మోరెనో హతయ జరిగే ముందు రోజు ఈ ఖాతాలోకి
मैंने मटीस से बात की, उसे वहाँ के निरदेशांक दिए हैं.	నేను మాటిసని సంపరదించాను, అతనికి గరిడ అకషాంశాలు ఇచచాను.
- यह देखो. - वाह.	-చూసుకో. -బాగుంది.
गोली बस छूकर निकलेगी. शायद पैर पर.	ఊరికే పెపెన గాయపడేటటు. బహుశా పికకలో.
यह होजे मारजान है.	తను జోసట మారటజాన.
मेरे खयाल से कसानडरा और मरिया को वहाँ अचछा लगेगा.	బహుశా కాసాండరాకి, మరియాకి అకకడ నచచుతుంది అనుకుంటాను.
मैं डॉ. रायन को करीब साढे तीन साल से जानती हूँ.	నాకు డా. రెన గురించి దాదాపు మూడుననర ఏళళుగా తెలుసు.
शवाइजर लैंडसबैंक ऑफ सविटजरलैंड मिसटर मैकस शैंकल	సవిటజరలయాండ షవెటజర లయాండెస బయాంక మిసటర మాకస షెంకెల
कि मुझे इंसानों की अचछी पहचान है.	సరిగగా అంచనా వేయగలనని నా నమమకం.
मैं उसके बारे में पता कर रहा हूँ.	నేను తన గురించి కనుకకుంటుననాను.
पर जब वह गधा मिलेगा, तो मुझे उसे गोली मारने देना.	కానీ ఆ వెధవ కనపడగానే, ననను వాడిని కాలచనివవాలి.
अचछा? यह तो. . .	అవునా? అది. . .
कराकस, वेनेजुएला	కరాకస, వెనెజులా
अमरीकी कैंप के पास जा रहे हैं.	అమెరికనలు శిబిరం వెపు వసతుననారు.
23 मई 10: 33 फिलाडेलफिया अमरीका	23 మే 10: 33 ఫిలడెలఫియా యుఎసఎ
ठीक है, तो. . .	సరే, అంటే. . .
और यह करने वाला इंसान इसी जगह का बाशिंदा है.	ఇదే పరాంతంలో పుటటి పెరిగిన ఒక పెదద మనిషి.
मैं आपकी सथिति में होने की सोच भी नहीं सकता.	మీరునన పరిసథితిలో ననను నేను ఊహించుకోలేను.
मैं किसी को वहाँ ले जाकर उसके सुरकषाकरमियों को परशिकषण देना चाहूँगा.	నేను ఎవరినెనా తీసుకెళళి ఆమె భదరతా దళానికి శికషణ అందించాలని అనుకుంటుననాను.
जेरेमी से पहले, थोरन से पहले?	జెరెమీకి ముందు, థారన ముందు?
मेरा एक बेटा है, जेजे, जो दो महीने में 16 साल का हो जाएगा,	నాకు ఒక కొడుకుననాడు, జెజె, రెండు నెలలలో 16 నిండుతుంది,
- हैरी. . . - मेरे पास और कोई चारा नहीं था.	-హయారీ. . . -నాకు ఇంకో మారగం లేకపోయింది.
एक हफते पहले.	ఒక వారం కరితం.
हैलो, एनाबेल.	హలో, అననబెలలె.
ठीक है, अगला.	సరే, తరువాతది.
कुछ देर मैं अगुवाई करता हूँ.	కొదదిసేపు నేను ముందుంటాను.
तुमहें पता है कि मैं झूठ नहीं बोल रहा है.	నేను అబదధం ఆడటలేదని నీకు తెలుసనుకుంటా.
मैं एनाबेल को छोड दूँगा और तुमहारे पीछे भी नहीं आऊँगा.	నేను అననబెలలెను వదిలేసతాను, నినను కూడా వదిలేసతాను.
जो वेनेजुएला के तट से करीब 17 नॉटिकल मील दूर है.	యు ఎస ఎస పెరలతాకి చెందిన నిరాయుధ డరోనస మాతరం ఉననాయి.
मैं उनहें इतना काबिल बनाना चाहूँगा कि कम से कम चुनावों तक उसकी सुरकषा कर सकें.	ఎననికల వరకు ఆమెను కాపాడడానికి పోరాడే అవకాశానని వారికి ఇదదామనుకుంటుననాను.
यह अपने काम में माहिर हैं.	తన పని బాగా తెలిసినవాడు.
हैरियट मोबाइल	హారియట మొబెల
और आपकी पतनी?	మరి మీ భారయ?
तुमने आकर मेरा सारा काम बिगाड दिया.	నువవు వచచి, నా పరణాళికలు నాశనం చేసావు.
जंगल में रेयस के खनन के काम की जानकारी	అడవిలో రేయేస గనుల తవవకాల పనులు ఇంకా
वह करीब एक घंटे पहले उस चटटान से नीचे उतरा था.	ఒక గంట కరితం తను ఆ రాతి ముఖం నుండి కిందికి దిగాడు.
अभी कयों नहीं देख लेते?	దానని ఇపపుడే చూడవచచు కదా?
रायन ने कहा था कि दकषिण चीन सागर वाला सैटेलाइट	ఇక, దకషిణ చెనా సముదరం నుండి ఉపగరహానని పరయోగించింది
पर तुमहारे पास उससे बात करने का कोई रासता तो होगा.	కానీ తనను సంపరదించడానికి నీకేదో మారగం ఉంటుంది.
तुमहारे बॉस को तुमहारी वफादारी पर शक होने लगा है.	నీ బాసకు నీ విశవసనీయత పెన అనుమానం మొదలయయింది.
समझ सकता हूँ कि अगर यह सच होता तो कितना असर पडता.	అదే నిజమెతే ఎంత అరథం ఉంటుందో నాకు తెలుసతుంది.
यह कॉलमबाइट-टैनटलाइट है.	ఇది కలుమబిటే తతనతలితే.
- मिसटर गरीयर. -सेनयोरा.	-మిసటర గరీర. -సెనయోరా.
उसने लिफट में तुमहें कयों नहीं मारा?	అతను నినను లిఫటలో ఎందుకు చంపలేదు?
रिकॉरडिंग से काम बन गया.	రికారడింగ పని చేసింది.
सीआईए की बात किसने की?	అసలు సీఐఏ మాట ఎవరెతతారు?
- बचचों का इसतेमाल करना उनमें से एक है. - अचछा?	-పిలలలను ఎరగా వాడడం వాటిలో ఒకటి. -నిజంగానా?
मैंने उसकी गलतियों से सीख ली है.	నేను అతని తపపుల నుండి నేరచుకుననాను.
- पकका? - कोई बात नहीं.	-ఖచచితంగానా? -ఫరలేదు.
आपने मुझे कैसे ढूँढा?	మీరు నననెలా కనుగొననారు?
जरा ये आँकडे देख लीजिए.	మీరు ఈ సంఖయలు చూడాలి.
सुना है अगर आपकी अंगरेजी उतनी अचछी न हो तो वह अमरीका के अचछे शहरों में से एक है.	నీ ఇంగలీష అంతగా బాలేకుంటే, యుఎసలో ఉండడానికి అది మెరుగెన నగరం అని విననాను.
मैं बता रहा हूँ, मुझे यहाँ कुछ ठीक नहीं लग रहा, यार.	నిజంగా చెపతుననాను, నాకు ఏదో చెడు జరుగుతుంది అనిపిసతుందోయ.
खाते का सारांश परारंभिक जमा राशि 481, 268. 51	ఖాతా సారాంశం ఓపెనింగ బయాలెనస 481, 268. 51
- एनाबेल, पलीज. - मैं कोई मदद नहीं कर सकती, ठीक है?	-అననబెలలె, దయచేసి చెపపు. -నేను మీకు సాయం చేయలేను, సరేనా?
और ऊँचे रासते से हाथ धो बैठें?	అందుకు ఎతతెన నేలను తయాగం చేదదామా?
बैंड-ऐड निकालने जैसा दरद होता है.	అది బయాండ ఎయిడ పీకేయడంలాంటిది.
बाहर निकलो.	బెటికి రా.
पर उसके पास कुछ जानकारी है जो हमारे काम आ सकती है, ताकि मैं उसकी मदद कर सकूँ.	కానీ అతని వదద మాకు ఉపయోగపడే సమాచారం ఉంది, కాబటటి నేను తనకు సహాయపడగలను.
वह रेयस था.	తను రేయేస.
अपराधों के कारण हम डर के साए में जीते हैं.	నేరాలు మనం భయంతో జీవించేలా చేసతుననాయి.
ताकि मुझे यकीन हो जाए कि तुम उसे छोड दोगे.	అలా అయితే, తనను వదిలేసావని తెలుసతుంది.
वह मुसीबत में है, एनाबेल. मुझे उसे ढूँढना होगा.	అతను సమసయలో ఉననాడు, అననబెలలె. నేను అతనని కనుకకోవాలి.
वहाँ जो गोलियाँ चली थीं, जिसमें एक आदमी मारा गया था?	అకకడి కాలపుల గురించి, అకకడ చనిపోయినతని గురించి?
वह जरमनी का एक बीएनडी ऑफिसर है.	అతను జెరమన బి ఎన డి అధికారి.
और अब मेरे मसीहा बनने आए हो.	ఇపపుడు ననను కాపాడడానికి వచచావు.
कि चुनाव लडने के मेरे फैसले के कारण उनहें कुछ न हो जाए.	పోటీ చేయాలనుకునే నా నిరణయం వలల వారికి ఏమెనా జరుగుతుందేమో అని.
अब वापस इस पर जाओ.	దీనికి తిరిగి వెళళు.
यह कया है?	ఇది ఏంటి?
ऊपर चलिए.	పెకి రండి.
वह मैकस शैंकल का है.	ఇది మాకస షెంకెలది.
बस तुम चिललाना मत.	కానీ నువవు అరవకూడదు.
या मैं रेयस को बता सकता हूँ	లేదా సీఐఏ ననను సంపరదిసతుననారని
आपके लोगों को आप जैसी नेता की जरूरत है.	మీ పరజలకి మీలాంటి నాయకురాలు కావాలి.
हाँ, और वह उसकी ओर जा रहा है.	అవును, ఆ దిశగా వెళతుననాడు.
इस खाते में एक बडी रकम किसने डाली?	అతి పెదద మొతతం జమ చేసింది ఎవరో ఊహించు?
वह आतमसममान बनाए रखना मुशकिल है जो मेरे माता-पिता में हुआ करता था.	ఒకపపుడు మా అమమానాననలకు ఉనన అదే గౌరవంతో ఇపపుడు ఉండడం అసంభవం.
आपने मुझे कयों बुलाया था?	మీరు నాకు ఎందుకు కాల చేసారు?
शेष राशि 729, 445. 30 ओवरडराफट की सीमा 2, 500. 00	కలోజింగ బయాలెనస 729, 445. 30 ఓవరడరాఫట పరిమిత 2, 500. 00
पर शायद आपके यह चुनाव लडने का एक कारण भी वही हैं.	కానీ మీరు పోటీ పడడానికి వాళళు కూడా ఒక కారణం అనుకుంటాను.
मुझे लगा हमारे पास हवाई मदद नहीं है.	మనకు వెమానిక మదదతు లేదనుకుననాను.
जैक रायन.	జాక రెన.
शायद तुमहारे लिए यह समझना मुशकिल हो,	నీకు అరథం చేసుకోవడం కషటం కావచచు,
हम अमीर नहीं थे,	మేము ధనికులం కాదు,
एनाबेल को ढूँढो.	అననబెలలెని కనుకకో.
हालात बदल रहे हैं.	ఒరవడి మారుతుంది.
उममीद कायम रखना,	ఆశతో ఎదురు చూడడమా,
ऑपरेशन कर रहे हैं.	విమానాలు ఉననాయి.
मैं उससे कभी नहीं मिला. सब ई-मेल के जरिए तय हुआ.	ఎపపుడూ వయకతిగతంగా కలవలేదు. అంతా ఎలకటరానికలగా జరిగింది.
थोरन ने झूठ बोला था, जब उसने कहा कि वह बस लोगों को मिलवाता है.	తను కేవలం పరిచయాలు మాతరమే చేసతుననానని థారన అననది అబదధం.
और तुम और हैरी कब से साथ काम कर रहे हो?	నువవు, హారీ ఎంత కాలంగా కలిసి పని చేసతుననారు?
कल गलोरिया ने मुझे बताया कि रेयस के एक आदमी ने	రేయేస మనిషి ఒకడు తన కూతురికి ఒక తుపాకి గుండు ఇచచాడని
- हैलो, तुम कहाँ हो? -मुझे अपनी बेटी से बात करनी है.	-హే, ఎకకడ ఉననావు? -నేను నా కూతురితో మాటలాడాలి.
एनाबेल को फोन दो. मुझे जानना है कि वह ठीक है कि नहीं.	అననబెలలెతో ఫోనలో మాటలాడించు. తను బాగానే ఉందని నాకు తెలియాలి.
मैं गुजारा भतते के 12 चेक एक ही बार में बनाकर हर महीने की तारीख डाल देता हूँ.	నేను మొతతం 12 మనోవరతి చెకకుల పె ఒకేసారి సంతకం చేసి, పోసటడేట వేసతాను.
सब ठीक तो है न?	అంతా బాగానే ఉందా?
आवक कॉल - नाम: थोरन, रूपरट जगह: लंदन, इंगलैंड	కాల వసతుంది - కాలర: థారన, రూపరట సథలం: లండన, ఇంగలాండ
कातिया, मैं आपको सुन सकती हूँ!	కాటియా, నాకు మీ సవరం వినిపిసతుంది!
मुझे गोली मारोगे?	ననను కాలుసతావా?
तुमहें कया चाहिए?	నీకు ఏం కావాలి?
वह एक जरमन नागरिक है और पैसों के लिए लोगों की हतया करता है.	అతను జరమన పౌరుడు, అతను జనాలని డబబు కోసం హతయ చేసతాడు.
एक बात कहूँ, यार? मुझे अभी तक वकत नहीं मिला.	నీకొక విషయం చెపపనా? నాకది చూడడానికి సమయం దొరకలేదు.
- लगता है उसने कहीं धुआँ देखा है. - धुआँ?	-అతను ఏదో పొగ చూసినటటుననాడు. -పొగనా?
आज, खाने और दवाई की भारी कमी के कारण	ఇవాళ, ఆహారం, మందులకు ఉనన తీవరమెన కొరత వలల
- आपकी मदद का शुकरिया. - चुनाव के लिए शुभकामनाएँ.	-మీ సహాయానికి ధనయవాదాలు. -దీనంతటికీ గుడ లక.
मैं कोई बेवकूफ नहीं हूँ. मुझे पता है वह कया काम करते हैं.	నేను పిచచిదానని కాను. తన ఉదయోగం ఏమిటో నాకు తెలుసు.
और फिर भी, न जाने कयों, हमारे पास अपने बचचों के लिए खाना नहीं है.	అయినా, ఎలాగో, మనకు మన పిలలల కడుపు నింపడానికి సరిపడా లేదు.
तो, वह कौन है?	అయితే, తను ఎవరు?
यहाँ आओ.	ఇలా రా.
- अंदर आ जाओ. - एक मिनट बात कर सकते हैं?	-లోపలికి రా. -ఒక నిమిషం మాటలాడవచచా?
उसका नाम फलैश लाइडार है.	దాని పేరు ఫలాష లెడార.
पर उनहोंने कभी खाने की कमी नहीं होने दी,	కానీ ఎపపుడూ తినడానికి తిండి ఉండేది,
मैंने कहा था कि दखल मत देना.	నినను జోకయం చేసుకోవదదని చెపపాను.
अगर वह मुसीबत में हैं, तो बीएनडी वाले उनकी मदद कयों नहीं कर रहे?	తను సమసయలో ఉంటే, మరి బి ఎన డి తనకు ఎందుకు సాయం చేయటలేదు?
बताओ तुमहें किसने काम पर रखा है.	నినను ఎవరు నియమించారో చెపపు.
इसी वकत.	వెంటనే.
पर अगर कोई और सरोत मिल जाए, तो?	కానీ ఒకవేళ ఇంకొక వనరు ఉంటే?
जाहिर है, अचछी तरह नहीं सिखाया.	నిజంగా, సరిగగా నేరపించలేదు.
मतलब, हम उसे ढूँढेंगे कैसे?	అంటే, అసలు తనని ఎలా కనుకకోవాలి?
उनमें से जयादातर लोग वॉलेनटियर हैं, किसान, टैकसी चालक.	వాళళు వాలంటీరలు, చాలావరకు రెతులు, కయాబ డరెవరలు.
सारे भुगतान एक जाली खाते के जरिए किए जाते हैं.	చెలలింపులననీ ఒక అకరమ ఖాతా నుండి వెళతాయి.
यहाँ तुमहारी मरजी नहीं चलेगी. मेरी मरजी चलेगी.	ఇది ఎలా జరగాలో చెపపేది నువవు కాదు. నేను.
कि मेरे यहाँ न होने पर भी तुमहारे पास जरूरत का सारा सामान हो.	నీకు కావలసినవననీ ఉండేలా నిరధారించుకోవాలని అనుకుననాను.
वह कई चीजों के उतपादन में काफी अहम है.	అనని రకాల తయారీలలో ఇది కీలకమెంది.
आपको एतराज न हो, सेनयोरा बोनालडे,	సెనయోరాబొండేల, మీరు అనయధా భావించకపోతే,
कोई इंसानी मदद नहीं है. केवल यूएसएस पेरालटा के निहतथे डरोन,	మనుషులుననవి లేవు. వెనెజులా తీరం నుండి దాదాపు 17 నాటికల మెళళ దూరంలోని
तुम रायन के साथ काम कर रही हो.	నువు రెనతో పని చేసతుననావు.
मुझे लगा था कि तुम मुझे बेहतर समझती हो.	నీకు నా గురించి ఇంకా ఎకకువ తెలుసు అనుకుననాను.
मुझे जाना होगा.	నేను వెళళాలి.
उसने मेरे पापा के बारे में	మా నానన గురించి అతను చెపపింది,
हमने अभी उबारी को अपनी पतनी से फोन पर बात करते सुना.	మేము ఇపపుడే ఉబరరి తన భారయకు చేసిన కాల విననాం.
दोसतों, या तो दररे से चलकर जा सकते हैं या तीन दिन झाडियों से जूझ सकते हैं.	మనం వాగు నుండి వెళలవచచు లేదా మూడు రోజులు తుపపలలో నుండి వెళళవచచు.
यहाँ मैं सुरकषित महसूस करता हूँ.	అంటే, నాకికకడ సురకషితంగా అనిపిసతుంది.
मेरे रासते में मत आना.	నా దారికి అడడురాకు.
और मेरी माँ पास ही के एक सकूल में पढाती थीं.	మా అమమ అకకడి బడిలో టీచరుగా పని చేసేది.
बोनालडे चुनाव मुखयालय कराकस, वेनेजुएला	బొండేల ఎననికల పరధాన కారయాలయం కరాకస, వెనెజులా
और कि उसका उस अमरीकी सांसद की हतया से कया संबंध है.	దానికి, యుఎస సెనెటర మరణానికి మధయ ఉనన సంబంధం.
मुझे एक काम पूरा करना है.	నేను పూరతి చేయవలసిన పని ఉంది.
यह तुमहारी इकलौती चेतावनी है.	ఇది నీకిచచే ఏకెక హెచచరిక.
लगता है आपके भी बचचे हैं.	మీకు కూడా పిలలలు ఉననటటుననారు.
मुझे इसे डेटा से मिलाने में एक सेकंड लगेगा.	మనం సకరేప చేసిన డేటాను చూడడానికి ఒకక నిమిషం ఆగాలి.
किसी से मदद ले ली.	సహాయం చేయమని అడిగాను.
यह कहाँ से है?	ఇది ఎకకడిది?
यह बहुत खूबसूरत है. शुकरिया.	చాలా బాగుంది. ధనయవాదాలు.
कया तुम लैंडलाइन से मेरे दूसरे नंबर पर फोन करोगे?	నా కవర నంబరకు లయాండ లెన నుండి కాల చేయగలవా?
बहुत लंबी सूची है.	చాంతాడంత జాబితా ఉంది.
उसे जाने दो.	అతనని వదిలేయి.
वह कॉलेज में पढती है.	ఆమె చదువుకుంటుంది.
मैंने उसे मेरे रासते में न आने का एक मौका दिया था, उसने बात नहीं मानी.	తనకు వెళళిపోవడానికి అవకాశం ఇచచాను, కానీ తను ఉపయోగించుకోలేదు.
मैं बस तुमहें उसे फोन करने को कह रहा हूँ.	నినను కేవలం ఆయనకి కాల చేయమంటుననాను.
कया तुम अब तक यही सोच रहे थे?	ఇంత కాలం, నువవు ఆలోచించింది అదేనా?
बस यह पकका कर लेना चाहता था	అంటే, నేను వెళళినపపుడు,
मैंने तुमहें चेतावनी दी थी.	నేను నినను హెచచరించాను.
आपकी आँख को कया हुआ?	నీ కంటికి ఏమెంది?
यह तो बहुत सुंदर है.	ఇది చాలా బాగుంది.
सिनेमा के सिवाय. कोई बेवकूफ भी वह आराम से कर सकता है.	ఒకక సినిమా తపప. అది ఎంత వెధవెనా బాగా చేయగలడు.
तो तुमहें लगता है कि किसी को यहाँ इसका भंडार मिला है?	అయితే ఈ నికషేపణం ఇకకడ ఎవరికెనా దొరికిందంటావా?
बलकि हमारे पास दुनिया का सबसे बडा तेल का भंडार भी है.	మనకు పరపంచంలోనే అతి పెదద చమురు నిలవలు ఉననాయి.
नाम, खाता नंबर, पैसों का लेन-देन.	పేరలు, ఖాతా నంబరలు, అతను చేసిన బదిలీలు.
पलीज, मैकस.	దయచేసి, మాకస.
घर लौट जाओ.	ఇంటికి వెళళు.
किंग एडवरड.	కింగ ఎడవరడలో.
वह कहाँ है?	తను ఎకకడుంది?
हालाँकि तुमहारा दरद देखकर मुझे खुशी जरूर हो रही है.	నీ బాధ చూడడం అనేది సంతోషకరమెన పరమాదం అనుకో.
मैं आग जलाने के लिए लकडी काट रहा था और एक टुकडा उडकर आया,	వంట చెరుకు కోసం కటటెలు కొడుతుంటే, చినన తునక వచచి
वोगलर नाम की एक कंपनी ने लॉनच किया था.	వోగలేర అనే సంసథ అని రెన చెపపాడు.
