लिजी?	లిజీ?
तुमहें यकीन है यही करना है?	మీరు ఖచచితంగా చెబుతుననారా?
ताकि तुम मेरे दिमाग से खेल सको और जानकारी निकलवा सको?	అపపుడు ననను మాటలలో పెటటి నా నుంచి సమాచారం లాగుతావా?
मैं तुमहारी आवाज से बता सकती हूँ. तुम जानते थे लेकिन तुमने मुझे नहीं बताया.	నీ మాట తీరు బటటి నేను గురతుపటటాను. నీకు తెలుసు కానీ నువవు నీ వరకే ఉంచుకుననావు.
तुम लोगों ने कया कर दिया?	మీరంతా ఇపపుడు ఏం చేశారు?
पता लगाओ ये लोग कौन हैं.	వీళలంతా ఎవరో తెలుసుకోండి.
- लेकिन कय. . . - डेविड.	- కానీ ఏంటి. . . - డేవిడ.
आपको खबर मिल जाएगी. हाँ?	నువవు అది వింటావు. సరేనా?
मारशा, विमान से हमारा यही एकलौता संपरक हो पाया है.	మారషా, ఆ విమానం నుంచి వచచిన ఒకే ఒకక కాంటాకట ఇదే.
यह विमान बुकारेसट के ऊपर से गुजरने वाला है. हम सीधा उसी की तरफ जा रहे हैं.	మనం బుకారెసట మీదుగా పరయాణించబోతుననాం. మనం నేరుగా ఆ నగరం వెపు వెళతుననాం.
सारी खिडकियाँ बंद कर दो.	అననీ కిటికీలు మూసేయండి.
हाँ, ठीक है. बहुत अचछा.	సరే, అలాగే. చాలా మంచిది.
या हो सकता है सैम हमें कुछ जानकारी, नंबर वगैरह बताने की कोशिश कर रहा हो.	లేదా కొనని వివరాలు, నెంబరలు మనకి తెలియజేయడానికి సామ పరయతనించి ఉండచచు.
यह बुशी, हारटफरडशेर है.	అది బుషీ, హెరట ఫోరడ షెర.
कयोंकि सामराजय, पराकरम और महिमा सदा तेरे हैं.	ఎందుకంటే ఈ రాజయం నీది, ఈ అధికారం, ఈ కీరతి నీవి.
कया यह विदेश सचिव हैं?	ఆమె విదేశాంగ మంతరి కదా?
अगर जादू से मुझे कुछ और मिल जाता है, तो मैं उसका इसतेमाल कर लूँगी.	ఏదో మాయ జరిగి మా చేతికి మరేదయినా అందితే, అపపుడు నేను అదే ఉపయోగిసతాను.
जो चीज तुमने लगाई थी, वह काम नहीं कर रही है.	నువవు దగగర ఉండి కటటించిన కటటు, పని చేయడం లేదు.
- यह कया है? - इनसुलिन. यह डायबिटीज के लिए है.	- ఇది ఏంటి? - ఇనసులిన. ఇది చకకెర వయాధి కోసం.
अचछा, अगर दरवाजा नहीं खुलता है, तो मैं पैकेज पडोसी के पास छोड दूँगा.	సరే, ఎవరూ పలకకపోతే, నేను ఆ పయాకేజీని మీ పకక ఇంటలో ఇచచేసి వెళతాను.
उसके डैड के लिए वापसी का कोई रासता नहीं है.	వాళల నానన తిరిగి మా జీవితాలలోకి రావడం అసాధయం.
तेरी इचछा जैसे सवरग में पूरी होती है, वैसे ही पृथवी पर पूरी हो.	భూమి నందు నీ పని ముగిసినది ఎందుకంటే ఇక నీవు సవరగములో నివసించవలెను.
तो कोई और मारा जाएगा.	ఎవరో ఒకరు హతం అవుతారు.
ये कहीं से भी हो सकते हैं. इसके बारे में अभी भी हम कुछ नहीं जानते.	వాళలు ఎకకడి వారయినా కావచచు. ఇదంతా ఏమిటో మనకి ఇంకా తెలియడం లేదు.
- कया कहा? - तुम. तुम खुद को चालाक समझते हो.	- అది ఏంటి? - నువవు. నువవు తెలివెన వాడివి.
-इनसे कहो ये खिडकियाँ खोल सकते हैं. -नहीं!	- వాళలు కిటికీ తెరలు తెరవచచని చెపపు. - వదదు!
परधानमंतरी के कारयालय को सूचना दे दी गई है.	పరధానమంతరి కారయాలయానికి సమాచారం అందించాం.
-मारशा. -लेकिन तुमहें यह बात पता थी, है ना?	- మారషా. - కానీ ఆ విషయం నీకు తెలుసు, కదా?
कया विमान में कोई डॉकटर है? कोई भी? पलीज!	విమానంలో ఎవరెనా డాకటర ఉననారా? ఎవరెనా? పలీజ!
मुझे लग रहा है आज मुझे देर होने वाली है.	ఈ రాతరికి బాగా ఆలసయం అవుతుంది అనిపిసతోంది.
मैं सोच रही हूँ काई के लिए कुछ खरीद लूँ.	ఖాయ కోసం నేను ఏదెనా కొనాలని ఆలోచిసతుననాను.
- कया? - वैसे, नहीं.	- ఏంటి? - అంటే, లేదు.
हमें कुछ करना होगा!	మనం ఏదో ఒకటి చేయాలి!
उसके लिए शुभकामनाएँ.	అందుకు మీకు గుడ లక.
-खिडकियों को बंद रहने दो. -इनहें बाहर देखने दो.	- ఆ కిటికీలు మూసి ఉంచండి. - వాళలని బయట చూడనివవు.
बंद हो रहा है. . .	ఆపివేయబడుతోంది. . .
तीन मिनट. हमले के लिए तैयार हो जाओ.	మూడు నిమిషాలు. దాడికి సిదధంగా ఉండండి.
देवियों और सजजनों,	లేడీస, జెంటిలమెన,
घुटनों के बल बैठो.	మోకాలి మీద కూరచో.
घुटनों के बल बैठो.	మోకాలి మీద కూరచో.
एक सामानय इंसान की तरह टयूब पकडकर घर जाने के बजाय. . .	మెటరో రెలులో మామూలు మనిషిలా ఇంటికి వెళలే బదులు. . .
समझ आ रहा है? ओय!	నీకు అరథమెందా? ఓయ!
और फिर वह तुमहारी आवाज सुन सकेंगी.	ఆ తరువాత ఆమె నీ గొంతు వినగలుగుతుంది.
वह सच है, डैनियल.	అది నిజం, డానియెల.
आप हमारी कोई मदद नहीं कर रही हैं.	మాకు సాయం చేయడానికి మీరు ఏమీ చేయరు.
पर अगर ऐसा करने से तुम मुझ पर थोडा भरोसा करते हो,	కానీ దీని వలల నాకు కొదదిగా వెసులుబాటు ఇవవగలిగితే,
हाँ? 016 32. . .	అవునా? 01632. . .
ठीक है, जरा रुको.	సరే, అలాగే ఉండు.
-हमारे पास समय नहीं है. -हम एक दूसरे के सहयोगी हैं.	- మాకు సమయం మించిపోయింది. - మనం మితరదేశాల వాళలం.
एरिका, यह डैनियल हैं. मैं चाहती हूँ संदिगध आईडी का पता लगाने में यह हमारी मदद करें.	ఎరికా, ఇతని పేరు డానియెల. అనుమానితులని గురతించడానికి తనని మనతో చేరమని అడిగాను.
रोमानियाई एटीसी.	రొమేనియన ఎటిసి.
-फिर बाद में मिलते हैं. -ठीक है.	- అయితే తరువాత కలుదదాం. - సరే.
नहीं, सुनो, आप बस मेरी बात सुनो.	లేదు, విను, ముందు నా మాట విను.
इसे ऑकसीजन नहीं मिल पा रही है.	ఇతనికి ఆకసిజన అందడం కషటంగా ఉంది.
हमें किसी चीज से इसकी छाती में छेद करना होगा.	అతని గుండెలోకి పంపించడానికి ఏదెనా పరికరం కావాలి.
ए7एएनआई बुकारेसट	ఎ7ఎఎనఐ బుకారెసట
मैं बस अपनी पहुँच से बाहर की चीजें देख रही हूँ.	నేను కొనలేని వసతువులని ఊరికే అలా చూసతుననాను.
तो, पीएम और उनका बेटा वहाइट माउंटेनस से अपने होटल की तरफ वापस जा रहे हैं.	సరే, పరధాని ఇంకా ఆమె కుమారుడు వెట మౌంటేనస నుండి వాళల హోటల కి తిరిగి వసతుననారు.
कया मैं उस बंदे को अपनी बात समझा सकता हूँ जो तुमहारा सरदार है?	ఎవరు ఇన ఛారజ గా ఉననారో ఆ కురరాడికి నేను ఒకసారి వివరించాలి.
तब से हमें यहाँ से निकलने का समय नहीं मिला है.	అపపటి నుండి మేము కదలడానికి సమయం లేకపోయింది.
मैंने कहा था, "इस बार मैं तैयार नहीं हूँ. "	నేను చెపపాను, "ఈ పనికి నేను సిదధంగా లేను" అని.
और बस मुझे यहाँ से आजाद कर दो.	ననను మాతరం బయటకు వచచేలా చేయి.
यह देखो, फरेड.	ఇది చూడు, ఫరెడ.
मुझे थोडा अचछा नहीं लग रहा है.	అంటే, నాకు ఆరోగయం బాగా లేదు.
हाँ. नंबर कोई दूसरा था, लेकिन उसमें सैम किसी और आदमी से बात कर रहा था.	అవును. అది వేరే నెంబరు నుండి వచచింది, కానీ సామ మరొక వయకతితో మాటలాడుతుననాడు.
मुझे उममीद है हम जलदी ही बात करेंगे.	నేను ఆమెతో మాటలాడాలి అనుకుంటుననాను.
-तुम डॉकटर नहीं हो. -यहाँ कोई डॉकटर नहीं है,	- నువవు డాకటర వి కాదు. - ఎవరూ డాకటర కాదు,
तुम मेरी तरकीबें जानना चाहते हो? मेरी योजना?	నా వయూహాలు తెలుసుకుంటావా? నా పలాన చెపపనా?
हम बुकारेसट नहीं जा रहे हैं. बुकारेसट की चिंता मत करो.	మనం బుకారెసట కి వెళలడం లేదు. బుకారెసట గురించి ఆందోళన పడకు.
कहो कि हम रोमानियाई नहीं हैं.	మనం రొమేనియనలం కాదని చెపపు.
इनके साथ किसी ने कुछ किया है?	ఎవరెనా వీటిని ఏమెనా చేశారా?
जिन लोगों के इशारे पर यह हो रहा है, उनहोंने हर चीज की तैयारी की है.	ఇలా చేయమని ఎవరు ఆదేశించారో, వాళలకి ఖచచితంగా పరతి దానికీ ఒక పలాన ఉంటుంది.
रोमानियाई गृह मंतरी बार-बार फोन कर रहे हैं.	రొమేనియన హోమ మంతరి చాలాసారలు ఫోన చేశారు.
तो हम काररवाई करने के लिए मजबूर हो जाएँगे.	మేము తపపనిసరిగా చరయ తీసుకోవలసి ఉంటుంది.
हाँ? 960 487?	అవునా? 960487?
आप बस यह याद रखना कि मैं आपसे पयार करता हूँ. ठीक है?	నేను నినను పరేమిసతుననానని నువవు తెలుసుకుంటే చాలు. సరేనా?
उधर मुँह करो.	వెనకకి తిరుగు.
-मैं तुमहें मरने नहीं दे सकता. -तुम बातें करना बंद करो.	- నేను అలా చూసతూ ఊరుకోను. - నువవు మాటలాడటం ఆపేయాలి.
-डैड मर चुके हैं. -यह सुनकर अफसोस हुआ.	- నానన చనిపోయాడు. - అది వినడం బాధగా ఉంది.
उतसाह में ऐसा ही होता है.	అయితే ఏదెనా కొనాలనే ఉతసాహం.
. . . 1632. हाँ? 960 487?	. . . 1632. చెపపు? 960 487?
और मैंने मैसेज आगे भेज दिया है.	నేను వాటిని వాళలకి పంపించాను.
अपने परिवार के पास, ठीक है? उन लोगों के पास जिनसे तुम पयार करते हो.	నీ కుటుంబం దగగరకి వెళతావు, అవునా? నువవు పరేమించే మనుషుల దగగరకి వెళతావు.
इसके लिए योजना तैयार होगी.	దీనికి ఒక వయూహం ఉంటుంది.
- वह मेरी. . . - ठीक है.	- ఆమె నా. . . - సరే అయితే.
मैं बचचे को सकूल छोडती हूँ, लंच के लिए ससता खाना खरीदती हूँ	మా పాపని సకూలుకి పంపిసతాను, నా మధయాహనం భోజనం కోసం ఆఫరలు చూసతాను,
यह अपनी पूरी कोशिश करेगा. है ना, दोसत?	వీడు దీనని బాగా చేసతాడు. కదా, బాబు?
- तुमहें यह बात कैसे पता चली? - मुझे विमान से एक मैसेज मिला है.	- నీకు ఎలా తెలిసింది? - నాకు ఆ విమానం నుండి మెసేజ వచచింది.
इसका दिमाग यहीं जाता है. सच में, इसने सबसे पहले यही सोचा.	అతని ఆలోచనలననీ అలాగే ఉంటాయి. నిజాయితీగా, ఇదే అతని మొదటి ఆలోచన.
एक आदमी को यहाँ थोडी मदद चाहिए, पलीज!	ఒక మనిషికి ఇకకడ సాయం కావాలి, పలీజ!
-इनहें देखने दो जेट विमान चले गए हैं. -मेरी बात सुनो. उनहें मत खोलो!	- యుదధవిమానాలు వెళలిపోయాయని వాళలని చూడనివవు. - నా మాట వినండి. వాటి మూయండి!
-मुझे नहीं पता मैसेज कैसे भेजते हैं. -मैं बताता हूँ कैसे भेजते हैं.	- నాకు అది ఎలా పంపాలో తెలియదు. - అది ఎలా చేయాలో నేను చెబుతాను.
और तुम कह रही थीं कि वह समझौता करने में अचछा है.	అతను మాటలతో మంచిగా ఒపపిసతాడని నువవే చెపపావు.
अभी तो हैं.	పరసతుతానికి.
कया हुआ था?	ఏం జరిగింది?
ऐसा होने पर हमें इनहें अनदेखा करना है. हमने ऐसा ही कहा.	ఇది గనుక జరిగితే, వాళలని మనం పటటించుకోవదదు. మేము అదే చెపపాం.
ठीक है. हाँ.	సరే. అలాగే.
उनमें से कुछ भी आपकी वजह से नहीं हुआ था. ठीक है?	వాటిలలో దేనికీ కూడా నువవు కారణం కాదు. సరేనా?
चार घंटे से भी कम समय बाकी है.	నాలుగు గంటలలోపే చేరుకుంటుంది.
-तुमहें एक डॉकटर की जरूरत है. -अपनी सलाह अपने पास रखो.	- నీకు ఒక డాకటర అవసరం ఉంది. - నినను ఎవరూ అడగడం లేదు.
- तुम ऐसा करोगे, है ना? - हाँ, बिलकुल करूँगा.	- నువవు ఆ పని చేసతావు, కదా? - అవును, అది నిజం.
-हमने सब संभाला हुआ था. -ठीक है.	- మనం వాళలని అదుపులో పెటటాం. - సరే.
आप खरीददारी करते हैं.	నువవు ఏమెనా కొంటుననావా?
हाँ. लेकिन, जब यह सब शुरू हुआ, हम यहीं थे.	అవును. అంటే, అది మొదలెనపపుడు మేము ఇకకడే ఉననాం.
तुमहें किसी ने लात नहीं मारी है. कुछ घोंपा है.	నినను ఎవరూ తననలేదు. నినను కతతితో పొడిచారు.
जरा सुनो. कया मैं तुमसे बात कर सकता हूँ, पलीज?	ఎకస కయూజ మీ. నీతో ఒకసారి మాటలాడవచచా, పలీజ?
अगर मेरी जगह आप होतीं, तो आप भी यही करतीं.	నా సథానంలో ఉంటే, మీరు కూడా ఇదే విధంగా చేసతారు.
डैनियल ओफैरेल होमीसाइड डिटेकटिव	డానియెల ఓ ఫారెల హతయానేరాల డిటెకటివ
और फिर वह तुमहारी आवाज सुन सकेंगी.	ఆ తరువాత ఆమె నీ గొంతు వింటుంది.
- तुम ससता खाना खरीदती हो? - हालात अचछे नहीं हैं. तुम जानती हो, है ना?	- నీకు భోజనం ఆఫరలు ఉననాయా? - అవి బాగుండవు. ఆ విషయం నీకు తెలుసు, కదా?
मुझसे अभी कहा गया है कि आपके पास वापस अपनी सीटों पर जाने के लिए दस सेकंड हैं.	మీ సీటలలో కూరచోవడానికి మీకు పది సెకనలు మాతరమే సమయం ఉందని నాకు చెపపారు.
यह सब करने के लिए यह जगह सही नहीं है, है ना?	ఈ వయవహారానికి ఇది సరెన పరదేశం కాదు, కదా?
तुम इन भले वयकति से कया कहोगे?	ఆ మంచి మనిషికి నువవు ఏం చెబుతావు?
यह अचछी बात है, है ना?	అది మంచి విషయం, కదా?
बेटीना, मेरी बात सुनो.	బెటీనా, నా మాట విను.
बगदाद इराक	బాగదాద ఇరాక
सुनो. तुमने अचछा किया. ठीक है?	ఇలా చూడు. నువవు బాగుననావు. సరేనా?
काम हो गया.	ఇదీ విషయం.
पता नहीं. कया फरक पडता है?	నాకు తెలియదు. ఏంటి విషయం?
मैं बस घर जाना चाहता हूँ और अपने परिवार से मिलना चाहता हूँ.	నాకు కేవలం మా ఇంటికి వెళలి, నా కుటుంబానని చూడాలని ఉంది.
ठीक है? तुमहारी कोई, मतलब, गरलफरेंड है?	సరేనా? నీకు ఎవరెనా, అంటే, గరల ఫరెండ ఉననారా?
मिसेज एचिसन, आपने हमें ऐसी कोई वजह नहीं दी है जिससे यह लगे	మిసెస ఐటచిసన, ఈ మనుషులు మా దేశానికి ముపపు తీసుకురారని చెపపడానికి
नहीं? हे! दोसत हैं? साथी हैं?	లేదా? హేయ! పోనీ ఫరెండస? మితరులు?
मतलब, मुझे चोट लगी है और. . .	చూడు, నాకు గాయం అయింది ఇంకా. . .
हमें रोमानिया या बुकारेसट या उनमें से किसी से भी	మాకు రొమేనియాతో ఎలాంటి సంబంధం లేదా సమసయ లేదు,
वे गुरुवार या उसके बाद वाले सोमवार के लिए कह रहे हैं.	వాళలు గురువారం లేదా తరువాత సోమవారం అడుగుతుననారు.
हमें कुछ नहीं होगा.	మనం సురకషితంగా ఉంటాం.
बरिटेन नेटो का हिससा है. वे हमारी तरफ हैं.	బరిటన నాటో దేశం. వాళలు మన పకషం ఉననారు.
अपनी जगह से हिलना मत.	కొదదిగా కూడా కదలకు.
कोई बात नहीं करेगा. हमसे उलझने की कोशिश मत करो!	మీరు వాళలకు ఎలాంటి సందేశాలు ఇవవదదు. నాతో ఆటలు ఆడదదు!
यही कि यह सच में हो रहा है और इसका नेतृतव आप कर रही हैं.	అంటే, ఇది వాసతవ సమసయ అని ఇంకా మీరు సారథయం వహిసతుననారని చెపపాం.
या, बहुत मुमकिन है, एक सैनय विमान है.	లేదా, పరధానంగా, మిలటరీ విమానం అయి ఉండచచు.
हाँ. मैं तुमहारा फोन निकालता हूँ, ठीक है?	సరే. నీ కోసం నీ ఫోన తీసుకుంటా, సరేనా?
किंगडम 2-9, आप सुन रहे हैं?	కింగడమ 2-9, మీకు వినిపిసతోందా?
ये कुछ नहीं कर सकते.	వాళలు ఏమీ చేయలేరు.
सुनिए. . .	విను. . .
दो मिनट. हथियार छोडने की पुषटि की गई है.	రెండు నిమిషాలు. ఆయుధాల విడుదల ఖరారు.
शुकरिया. हाँ. सिंकलेयर रोड.	ధనయవాదాలు. సరే. సింకలెయిర రోడ.
और उनहोंने कुछ नामों का जिकर किया और एक फोन नंबर का जिकर किया.	ఇంకా వాళలు కొనని పేరలు పరసతావించారు, ఇంకా ఒక ఫోన నెంబరు కూడా చెపపారు.
हर बेटे को उसकी माँ की जरूरत होती है, है ना?	పరతి కొడుకుకీ తన తలలి పరేమ కావాలి, అవునా?
- पते की? - मेरे पास आपका पता, फलैट नंबर 30, बरविक हाउस है.	- చిరునామా? - ఇకకడ ఫలాట 30, బెరవిక హౌస అని రాసి ఉంది.
यह एटीसी बुकारेसट से लाइव सकरीन है.	ఏటిసి బుకారెసట నుండి ఇది పరతయకష పరసారం.
पीछे वाली सीट पर जाओ. पीछे वाली सीट पर.	ఆ సీటు వెనకకి వెళలు. ఆ సీటు వెనకకి.
