बैका. गारवी.	బెకా. గారవీ.
अरस?	ఉరస?
काफी समय से.	కొదదికాలంగా.
मुझे वह इतना पसंद है. . .	తనని చాలా పరేమిసతాను. . .
-धयान दो, गरेस. -तुम में से एक. . .	-దృషటి పెటటు, గరేస. -మీలో ఒకరు. . .
बरिटनी सपीयरस!	బరిటనీ సపియరస!
गाना गाओ, गरेस.	పాట పాడు, గరేస.
सातवाँ? भगवान.	ఏడవదా? దేవుడా.
बैका, चलो तुमहें एक डरिंक दिलाती हूँ.	బెకా, మనం వెళలి ఒక డరింక తాగుదాం, పద.
-उसे डरिंक नहीं चाहिए. वह पागल है. -नहीं, मैं पागल नहीं हूँ. मैं गुससे में हूँ.	-తనకి డరింక అవసరం లేదు. తను చెడిపోయింది. -లేదు, నేను చెడిపోలేదు. కోపంతో ఉననాను.
उसने. . .	వాడు. . .
और मैंने उससे कहा, "यह योनि तुमहारी है. "	అపపుడు అతనికి చెపపాను, "ఈ యోని నీది" అని.
समझी? वह इसका जिममेदार है!	సరేనా? ఈ చరచ వాడి గురించి!
मुझे पता नहीं वह अगली बार कया करेगा.	వాడు తరువాత ఏం చేసతాడో నాకు తెలియదు.
वैसे. . .	అంటే. . .
नहीं.	వదదు.
पर मैं तुमसे गुरुवार को मिलूँगी, है न?	కానీ ఈ గురువారం నినను కలుసతాను, సరేనా?
नहीं.	వదదు.
कलाफिन एंड संस	కలాఫిన అండ సనస
हम बात कर सकते हैं?	మనం మాటలాడుకుందామా?
झूठ नहीं कहा. बस गलतफहमियाँ हुईं.	అవి అబదధాలు కావు. కేవలం అపారథాలు.
नहीं?	లేదా?
ठीक है अगर मैं वह चीजें नहीं बन रही हूँ, पर मैं तुमहारी रकषा करना नहीं छोडूँगी. . .	వీటిలలో నేను ఏదీ కాకపోయినా ఫరవాలేదు, కానీ నినను మాతరం నేను కాపాడుకుంటూ ఉంటాను. . .
नहीं, मैं इस बारे में बात नहीं करना चाहता, समझे? यह खतम हुआ. हमारा काम खतम हुआ.	లేదు, నాకు దాని గురించి మాటలాడాలని లేదు, సరేనా? ఇది ముగిసిపోయింది. మేము కలవము.
और विशवास नहीं होता कि हतया की कोशिश में मैं भागीदार बन गई हूँ, और किसके लिए?	ఒక హతయా పరయతనంలో నేను కూడా కుటరదారు అయయానంటే నమమలేకపోతుననాను, ఇదంతా దేని కోసం?
और मेरा मानना है कि सथानीय पुलिस को इस आदमी की मृतयु पर कोई संदेह नहीं हुआ.	ఈ వయకతి మరణం అనుమానాసపదంగా ఉందని సథానిక పోలీసులు ఏమీ నిరధారించలేదు అనుకుంటా.
उममीद है तुमहें ऐतराज नहीं होगा कि मैं इस तरफ से आया. यह. . . शायद. . .	నేను ఈ మారగంలో వచచినందుకు ఏమీ అనుకోరని ఆశిసతుననాను. అది. . . అంటే. . .
मुझे उसके बिसतर के नीचे दूध के सात गिलास मिले, जिनमें मरे हुए मेंढक थे.	అతని మంచం కింద ఏడు వేరవేరు గలాసులలో పాలలలో పడి చనిపోయిన కపపలని చూశాను.
-हे भगवान. पयारा. जलदी! -मुझे पता था तुम एक-दूसरे के लिए बने हो.	-ఓహ, దేవుడా. ముదదుగా ఉంది. తవరగా రండి! -ఇకకడే ఉంటారు అనుకుననాం.
शायद उसे फोन करना बंद करना चाहिए. उसे तुम में दिलचसपी नहीं है.	అతడికి ఫోన చేయడం ఆపేయ. అతనికి ఈ కేసు మీద అంత ఆసకతి లేనటలుంది.
मैंने कलेरस ऐकसेसरीज के बाहर तुमहारे लिए 55 मिनट इंतजार किया.	కలెయిరస యాకససరీస ఎదుట మీ కోసం యాభె అయిదు నిమిషాలు వేచి చూశాను.
-मैं धौंसिये पुरुष बरदाशत नहीं कर सकती. -मैं धौंस नहीं जमाता.	-నియంతరించే మగవారిని నేను భరించలేను. -నేను నియంతరించడం లేదు.
बेशक, किसी ने वह साइन उतार दिया, पर वह ऐसा कैसे कर सकता है?	అయితే, తరువాత ఎవరో ఆ రాతని తొలగించారు, కానీ ఏంటి ఆ చెతత రాత?
यह देखने के लिए कया मौत की रात को जेपी वहाँ सच में गया था.	జెపి చనిపోయిన రాతరి అసలు అకకడ ఉననాడా లేదా తెలుసుకోవాలి కదా.
-खुश हो? अचछी खबर है? -नहीं. मैं दुःख में हाथ हिला रही थी.	-సంతోషమా? శుభవారతా? -లేదు. నేను బాధతో గాలిలోకి కొడుతుననాను.
-कया हो रहा है? -वह हमें बरबाद करने की कोशिश में है.	-ఏం జరుగుతోంది? -వాడు మనలని నాశనం చేయాలని చూసతుననాడు.
-पर हम यूँ ही चुप नहीं रह सकते! -बैका, उसने कया किया?	-కానీ మనం ఏమీ చేయలేకపోతుననాం! -బెకా, అతను ఏం చేశాడు?
-ऑसकर के साथ जो हुआ उसके बाद. . . -एक सेकंड रुको.	-ఆసకర కి అలా జరిగిన తరువాత. . . -ఒకక కషణం ఆగండి.
कया? तो, अब तुम. . . अब तुम मेरा पीछा कर रही हो?	ఏంటి? అయితే, నువవు ఊరికే. . . నా వెంట పడుతుననావా?
माफ कर दो. माफ कर दो. माफ कर दो. मैं कमीनी हूँ.	కషమించు. కషమించు, ననను కషమించు. నేనొక చెతతదానని.
-मैं खडी ही तो हूँ. -आप कभी कुछ नहीं करती हैं!	-నేను నిలబడుతుననాను. -నువవు ఎపపుడూ ఏమీ చేయవు!
तो, अब तुमहारी बारी है, सुंदरी. तुम तैयार हो?	సరే, ఇపపుడు మీ వంతు, అందాలరాణి. మీరు సిదధమేనా?
मुझे नहीं लगता जेपी ने मुझे दसतक देते सुना.	నేను తలుపు తడుతుంటే జెపి వినలేదు అనుకుంటా.
-बुरी बात है. -अरे, नहीं. ऐसी बात नहीं है.	-అమరయాదకరం. -అయయో, లేదు. ఇది అలాంటిది కాదు.
-हमें पुलिस को बताना होगा. -कया हुआ, बैका?	-మనం పోలీసులని పిలవాలి. -ఏం జరిగింది, బెకా?
-कया तुम कह रहे हो. . . -वह कया उदधरण है?	-అయితే నువవు ఏం అంటుననావు, -ఆ కొటేషన ఏంటి?
मुझे लगता है उसे तुमहें खुद बताना चाहिए.	తనే సవయంగా చెబితే మేలు అని అనుకుంటుననాను.
मैंने कहा न, विधवा ने हसताकषर किए हैं.	మీకు చెపపాను, ఆ వితంతువు సంతకం చేసింది.
जाहिर है, उसे लगता है कि कुछ गडबड है.	ఏదో తపపు జరిగిందని ఆమె భావిసతూ ఉండచచు.
बिना बताए बलानड के लिए बिलली खरीदना?	బలానడ కి దొంగ పిలలులని కొనడం గురించా?
बहन-संबंधी समसयाएँ, जैरलड. माफ करना.	అకకచెలలెళల సమసయలు, జెరాలడ. కషమించు.
-मैं यह नहीं कह रही कि आप बेकार हैं. -यह अचछी बात है. सुनकर खुशी हुई.	-నువవు పనికిరాని దావిని అనడం లేదు. -సరే, అయితే మంచిదే. అది చకకని విషయం.
मुझे लगा हम सैर पर निकले हैं. बिबी.	మనం నడక కోసం వచచాం అనుకుననా, బీబీ.
मुझे लगता है यह बस एक गलतफहमी है.	ఇది కేవలం ఒక అపారథం అనుకుంటుననాను.
ठीक है. मैं उस पर बहस नहीं करूँगा.	సరే. ఆ విషయంలో నేను ఏమీ వాదించను.
-फरगल गॉलफ खेल रहा है, बीमा वाले. -मैं तुमसे बात नहीं कर रहा हूँ.	-ఫెరగల ఇపపుడు గోలఫ ఆడుతుననాడు, బీమా బాబూ. -నేను మీతో మాటలాడటం లేదు.
उसने लीज पर हसताकषर कर दिए, जेपी.	తను లీజ మీద సంతకం చేసింది, జెపి.
मैंने आपको देखा था. बेशक देखा था.	నేను నినను చూశాను. నినను చూశాను.
-भगवान! -यह एक किताब का उदधरण है.	-దేవుడా! -అది ఒక పుసతకంలో వాకయం.
पता है कया? तुम गरेसी को गराहकों के सवागत के लिए रख सकती हो, चूँकि उसका वयवहार इतना अचछा है.	నీకొకటి చెపపనా? గరేసీ రెసెపకషన లో ఉంటే, తన చకకని మరయాదపూరవకరమెన పరవరతనతో అందరినీ ఆకటటుకుంటుంది.
जॉन पॉल को मेंढक बेहद पसंद थे.	జాన పాల కి కపపలంటే ఇషటం ఉండేది.
हमें पिछले साल के वारषिक कविज के बाद से इतना मजा नहीं आया था.	కిందటి ఏడాది వారషిక కవిజ తరువాత మనం ఇంత సరదాగా ఎపపుడూ లేము.
मैं जॉन पॉल के बारे में बात नहीं करना चाहती, समझी? बहुत हुआ.	నాకు ఇంక జాన పాల గురించి మాటలాడాలని లేదు, సరేనా? ఇంక చాలు.
कयोंकि जहाँ तक मुझे पता है, तुमहारे पास कोई सबूत नहीं है.	ఎందుకంటే, నాకు తెలిసినంత వరకూ, మీ దగగర ఎలాంటి ఆధారాలూ లేవు.
थॉमस कलाफिन, कलाफिन इनशुरनस.	థామస కలాఫిన, కలాఫిన ఇనసూరెనస.
-तुम जिम में नहीं हो. -बेशक.	-నువవు జిమ లో లేవు. -అవును.
मैं डनडरम शॉपिंग सेंटर के बाहर बेवकूफ की तरह खडा रहा.	డనడరమ షాపింగ సెంటర బయట ఒక పిచచోడిలా నిలబడి ఎదురుచూశాను.
धनयवाद गरेस तुमहारे और जेपी के समरथन के लिए. एकसएकसएकस	గరేస, ఇంకా జెపి, మీ సహకారానికి ధనయవాదాలు. ఎకసఎకసఎకస.
आप हर समय बस यहीं रहती हैं.	నువవు ఎపపుడూ ఇకకడే ఉంటావు.
अरसला. डॉनल इतना पयारा है.	ఉరసులా. డోనల చాలా మంచివాడు.
मेरी बात सुनो, अरसला गारवी.	నా మాట విను, ఉరసులా గారవీ.
वह तुमहारी योनि है, तुम उसके साथ जो मरजी कर सकती हो.	అది తన మరమాంగం, దానితో తనకి ఇషటమొచచినటలు చేసుకుంటుంది.
अप-शीरषक अनुवादक: मून कलिता	తెలుగు అనువాదం: సతీశ కుమార
-उनहोंने कया कहा? -"वह कमीना है. " "वह मजेदार है. "	-వాళలు ఏం చెపపారు? -"అతను ఒక నస" అని. "మంచివాడు" అని.
धनयवाद, आंटी इवा और बिबी.	ధనయవాదాలు, ఆంటీ ఈవా, బీబీ.
गरेस हमारा घर संभालती है.	గరేస మా ఇంటిని నడుపుతుంది.
-हाँ, कयोंकि यह बेहद आसान है, है न? -सच में आसान है.	-అవును, అది అంత తేలిక, కదా? -అది నిజంగా అంత తేలిక.
-अचछा? -हाँ, मैं 12: 30 बजे तुमहारे डेसक पर आऊँगा.	-అవునా? -అవును, నీ డెసక దగగరకి 12. 30 గంటలకు వసతాను.
मेरा जूता वापस ले आओ, जान.	నా షూ తెచచిపెటటు, బంగారం.
और पता चला है, अगर तुम महाधमनी को काटो, तो 90 सेकंड में काम हो जाएगा, तो. . .	చూడబోతే, ఆ బృహదదమనిని గనుక కోసేసతే, వాడు తొంభె సెకనలలో చసతాడు, కాబటటి. . .
तुमसे मिलने को बेताब हूँ	నినను చూడాలని తహతహగా ఉంది
कया तुमहें कभी पैसों की समसया हुई है, मिस गारवी?	మీరు ఎపపుడెనా ఆరథిక సమసయలు ఎదురకొననారా, మిస గారవీ?
-अलविदा, बचचों. -अलविदा.	-ఉంటాను, పిలలలూ. -ఉంటాము.
मैंने डॉनल को धोखा दिया.	డోనల ని నేను మోసం చేశాను.
मैंने अभी-अभी मेरे सटूडियो की लीज पर हसताकषर किए!	నా సటూడియో లీజు ఒపపందం మీద ఇపపుడే సంతకం చేశాను.
सथिति इतनी बुरी नहीं है.	అది ఏమీ పెదద తపపు కాదు.
तुमहें जाना होगा, बैका.	నువవు ఇంక వెళలాలి, బెకా.
बिबी बस नोरा का इंतजार कर रही है, और अरस. . .	బీబీ ఏమో నోరా కోసం వేచి చూసతోంది, ఇంకా ఉరస. . .
विशवास नहीं होता कि जेपी तुमहारी बहन का पति है.	జెపి మీ అకకని పెళలాడాడు అంటే నమమలేకపోతుననాను.
यह इतना मुशकिल नहीं है.	అందులో మాటలు ఏమీ లేవు.
-वैसे, मदद करके खुशी हुई. -तुमहें अपने वयवसाय पर धयान देना चाहिए.	-అంటే, సాయం చేయడం నాకు సంతోషమే. -నువవు నీ కారయాలయం మీద శరదధ పెటటాలి.
-नहीं. -मेरी तरफ देखो.	-లేదు. -నా వెపు చూడు.
-मैं नहीं चाहती थी. . . -नहीं, कोई बात नहीं.	-నా ఉదదేశం అది కాదు. . . -లేదు, ఫరవా లేదు.
हाँ, पर तुमहारा अपना सटूडियो नहीं है. तुम बस. . . कया? यहाँ लोगों का मसाज करती हो?	అవును, కానీ మీకు మీ సొంత సటూడియో లేదు. మీరు కేవలం. . . ఏంటి? జనానని ఇకకడికి రపపిసతారా?
-और मैंने तुमहारी माँ की भी मदद की. -कया?	-మీ అమమకి కూడా నేను సాయం చేసతుననాను. -ఏంటి?
हे भगवान! बस उसके बारे में बोलना बंद करो.	దేవుడా! దయచేసి వాడి గురించి మాటలాడటం ఆపండి.
मैं उसका नाम और नहीं सुनना चाहती, ठीक है?	నాకు వాడి పేరు కూడా వినడం ఇషటం లేదు, సరేనా?
शायद हम उसे डराकर वह उगलवा सकेंगे जो बाकी लोग बता नहीं रहे हैं.	మిగతా వాళలు చెపపకుండా దాచిన విషయాలని ఆమెతో మనం కకకించవచచేమో.
भगवान, तुम लडकियों को पादरी की जरूरत है.	దేవుడా, మీ అకకచెలలెళలకి ఒక మతపూజారి అవసరం.
-इवा, तुम तैयार हो? -हाँ, मैं तैयार हूँ.	-ఈవా, నువవు సిదధమేనా? -అవును, నేను సిదధమే.
जो हम कर रहे हैं, वह बेहद, बेहद बुरा है.	మేము చేసతునన పని, అది నిజంగా, నిజంగా తపపు.
-शायद, दूसरा छंद गुनगुनाओ? -सुनो, सुनो.	-మరొక చరణం పరయతనించు, బహుశా? -విను, విను.
बात इतनी सी नहीं है.	ఇది అంత తేలిక కాదు.
तुम यह गाना जानते हो. यह बेहद आसान होगा. हाँ, चलो शुरू करें.	ఇది నీకు తెలుసు. ఇది చాలా సుళువెనది. అవును, ఇదిగో వినండి.
मैंने अभी-अभी सुपरमारकेट में एक लडकी को यह कहते सुना था.	ఇందాకే ఆ సూపర మారకెట లో ఒక అమమాయి ఈ మాటే అనడం నేను విననాను.
मुझे खेद है, मिना.	ననను మననించు, మినా.
मुझे समझ नहीं आ रहा. कयों? कया हो गया?	నాకు అరథం కాలేదు. ఎందుకు? ఏం అయింది?
पर उसने अरसला के साथ इतना बुरा किया.	కానీ వాడు ఉరసులాతో చెతతగా పరవరతించాడు.
बेवकूफ. पर मैंने यहाँ नहीं छोडा, तो अब मैं जा रही हूँ.	మూరఖురాలిని. కానీ నేను వదలేయలేదు. అందుకే బయలుదేరుతుననాను.
पर मैंने कभी उसे ऐसा करते नहीं देखा था. तो, मूल रूप से, मैं एक आशवसत महिला हूँ, गैबरिएल.	కానీ జెరాలడ ఇంతకుముందు ఎపపుడూ ఇలా చేయడం నేను చూడలేదు. కాబటటి, నేను చాలా చెడడ దానని, గాబరియేల.
-मैं जलद मिलने आऊँगी. -धनयवाद, जान.	-తవరలో కలుసతాను. -ధనయవాదాలు, డారలింగ.
हे भगवान. इतनी सवारथी मत बनो, बैका.	ఓహ, దేవుడా. అంత సవారథంగా ఉండకు, బెకా.
वह अचछा कुतता था.	వాడు ఒక మంచి కుకక.
उसने एक कयूबिकल में एक साइन लगाया,	అతను ఒక కయుబికల మీద చినన రాత రాశాడు,
-तो, तुमने उसे कब धोखा दिया? -यह कुछ समय से चल रहा है.	-సరే, నువవు ఎపపుడు చేశావు? -కొదదికాలంగా జరుగుతోంది.
खैर, मुझे बस पेंट पर तुमहारी राय चाहिए कयोंकि. . .	సరే, రంగుల విషయంలో మీ అభిపరాయాలు కావాలి ఎందుకంటే. . .
अरे, हाँ. हाँ, मैं गया था. मैंने बारमेड से बात की.	ఓహ, అవును. సరే. నేను వెళలాను. బార అమమాయితో మాటలాడాను.
तुमहें और जेपी को पारटनर बनना होगा.	నువవు, ఇంకా జెపి మాతరమే మిగిలారు.
मुझे पता है कभी-कभी हमें झेलना आसान नहीं होता है.	కొననిసారలు మేము ఎకకువగా మాటలాడుకుంటామని నాకు తెలుసు.
मेयोनेज? खैर. . .	మయోనీస? సరే. . .
ठीक है, अब, रुको.	సరే, ఇంక, ఆపండి.
वह जेपी हो सकता है. शायद जेपी ने उससे वादा किया और वादा नहीं निभाया.	అది జెపి చేసిన పనే కావచచు. ముందు హామీ ఇచచి తరువాత మోసం చేశాడేమో.
अतिथि खाता खोलें	గెసట కరియేట అకౌంట
तो मैं चलती हूँ.	ఇంక నువవు చూసుకో.
-चलो लंच के लिए बाहर चलें. -हाँ?	-మనం విందుకి బయటకి వెళదాం. -అవునా?
"डरटी ओलड टाउन. "	"డరటీ ఓలడ టౌన. "
-. . . शैमपेन पसंद है. . . -हाँ.	-. . . షాంపేన గురించి. . . -అవును.
पर उसे जेपी के फोन में भेज दिया.	కానీ దానిని జెపి ఫోన కి పంపించాను.
-हैलो. -आंटी इवा.	-హాయ. -ఆంటీ ఈవా.
हाँ. मुझे डालकी में एक तीन हतयाओं की जाँच के लिए बुलाया गया था.	అవును. డాలకీలో ముగగురిని హతయకు గురెన కేసు గురించి ననను పిలిపించారు.
मैं मजे करने और बहनों से बात करने को तैयार हूँ.	సరదాగా ఉండటానికి, అకకచెలలెళల ముచచటలకీ నేను సిదధమే.
हैलो ऑसकर. सवागत है, मैं रॉजर हूँ	హలో ఆసకర, సవాగతం, నా పేరు రోజర.
इसलिए जब तक मैं अपनी बात कह नहीं देता मैं यहाँ से नहीं जाऊँगा.	కాబటటి నేను చెపపదలచుకుననది మీకు చెపపకుండా నేను ఇకకడి నుండి వెళలను.
-वयवसाय तबाह मत होने दो! " -इसकी कोई जरूरत नहीं है. यह पागलपन है.	-అని మాతరమే వినిపిసతోంది. -ఇంత కషోభ అవసరం లేదు. ఇది పిచచితనం.
तुम ठीक हो, जान?	సరేనా, డారలింగ?
कैसे संकेत? बस संभोग करो, इवा.	ఏం సిగనలస? ముందు కానిచచేయి, ఈవా.
-मैं जा रही हूँ. -वह मेरा. . .	-నేను వెళతుననాను. -అది నాది. . .
कया यह लॉरा है?	లోరా అంటే ఈమేనా?
तुम उससे मिलकर उसे बता दोगी कि उसने गलत समझा है?	తన దగగరకి వెళలి తన అయోమయానని నివృతతి చేసతావా?
मेरी बहनें कहती हैं कि यह रिवरस होती वैन जैसी सुनाई पडती है.	నేను నవవితే ఏదో వయాన రివరస చేసినటలు ఉంటుందని నా చెలలెళలు అంటారు.
कैबिन में आग लगी. होटल में कार दुरघटनागरसत हुई.	కయాబిన లో అగనిపరమాదం. హోటల దగగర కారు పరమాదం.
यह तुम पर जँचता है, और तुमहारी तवचा के रंग से मेल खाता है.	అది నీ రంగుకు దగగరగా ఉంది, అది నీ చరమం రంగుకు కూడా సరిపోతుంది.
तुम शुरू कर चुकी हो. पता नहीं था कि हम सब मिलने वाले हैं.	మీరు ఇపపటికే మొదలుపెటటారు. మనం కలుసతుననాం అని నాకు తెలియలేదు.
-मुझे पता है तुमहें यह चाहिए. -नहीं. मैं यह नहीं कर सकता.	-నీకు ఇది కావాలని నాకు తెలుసు. -నా వలల కాదు. ఇది నా వలల కాదు.
सुनिशचित कर रहे हैं कि तुमहारी बहन, गरेस को वही मिले जिसकी वह हकदार है.	దాని వలల మీ అకక గరేస కి రావలసినంత బీమా సొమమును ఆమెకు అందించాలననది మా ఉదదేశం.
मैं उसे जानता हूँ. बैका गारवी.	ఆమె నాకు తెలుసు. బెకా గారవీ.
उस बिलली की कीमत नौ यूरो है.	ఒక పిలలి ఖరీదు తొమమిది యూరోలు.
उसने कया किया?	అతను ఏం చేశాడు?
पर पुलिसवाले इन मामलों में कुछ नहीं करते हैं.	ఈ విషయంలో పోలీసులు ఏదో ఒకటి చేసతారని కాదు.
उसे शराब पीना बेहद पसंद है. हर फोटो में अलग लडके के साथ है.	వెన గలాసు. కానీ పరతి ఫోటోలోనూ వేరేవేరే కురరాళలు ఉననారు.
पर उनके घर इतने शानदार हैं, पर कोई तुमहारी मदद नहीं कर पाई?	వాళలందరికీ మంచి ఇళలు ఉననాయి కానీ ఎవవరూ సాయం చేయడం లేదా?
तुमहें कविज के लिए पढाई करनी चाहिए, गरेस.	మనం దాని మీద దృషటి పెటటాలి, గరేస, కవిజ కోసం.
नहीं. मैंने अभी-अभी हेंडरसन सौदे पर कंपनी के पचास हजार बचाए, तो. . .	లేదు. హాండరసన ఒపపందంలో మన సంసథకి యాభె వేల డాలరలను ఆదా చేశాను, కాబటటి. . .
और इससे मैं पागल नहीं बनती हूँ, न ही नशे में होती हूँ, या उनमतत बनती हूँ.	దాని అరథం నాకు పిచచి ఉందనో, నేను తాగుబోతుననో, ఉదరేకంగా ఉననాననో కాదు.
गैबरिएल के साथ संभोग कर लो.	గాబరియేల తో శృంగారం చేయనివవు.
यह उसके पसंदीदा डैंगरीज थे.	అది తనకి ఇషటమెన డంగరీ డరెససు.
-हे भगवान. जलदी कहो. -ठीक है.	-దేవుడా. తవరగా చెపపు. -సరే.
-हैलो? -हाँ. तो जेपी ने तुमहें लोन दे दिया?	-హలో? -సరే. అయితే జెపి నీకు అపపు ఇచచాడా?
कया तुमने कहीं और सेव करके रखा है? कया तुमने फोटो कहीं और सेव. . .	నువవు ఆ ఫోటోని ఎకకడయినా సేవ చేశావా? ఆ ఫోటోని మరెకకడయినా సేవ చేశావా. . .
. . . तुमहें कुछ बताना है.	. . . నీకు ఒక విషయం చెపపాలి.
कया वह अंदर साँस ले सकती है?	దానికి లోపల శవాస ఆడుతుందా?
मैं भी उसे कुछ नहीं बताऊँगी.	నేను కూడా తనకి ఏమీ చెపపను.
जैसे को तैसा.	చెలలుకి చెలలు.
हम बस बातें कर रहे थे. मुझे उनसे मिलकर खुशी होती है.	మేము ఊరికే మాటలాడుకుంటుననాం. ఆమెని వచచి చూడటం నాకు ఇషటం.
उनमें अविशवसनीय कोर ताकत है.	ఆమెకు అసమానమెన ధెరయం ఉంది.
हाँ. नहीं. नहीं भागती हूँ.	అవును. లేదు. పరిగెతతడం లేదు.
फरैंक सिनाटरा!	ఫరాంక సినతరా!
पागल कहीं की!	ఓసి పిచచిదానా!
मैं तुमहारे ऑफिस के बाहर हूँ. झगडा करने नहीं आई हूँ.	నేను నీ ఆఫీసు దగగర ఉననాను. పరశాంతంగా మాటలాడదామని వచచాను.
हाँ. कोई समसया नहीं है. दरअसल, उनके कूलहे में सच में सुधार हो रहा है.	అవును. అది పెదద సమసయ కాదు. తన తుంటి భాగం కొదదిగా మెరుగుపడుతోంది.
और, तुम यहाँ बिललियों पर पैसे उडा रही हो जो तुमसे किसी ने नहीं माँगी.	మీరేమో, ఎవవరూ అడగకపోయినా పిలలుల మీద డబబులు పోసి వృథా చేసతుననారు.
-यह पूरी तरह सच नहीं है, है न? -सैडी की माँ पोल डांसिंग करती है.	-కానీ, ఖచచితంగా అది నిజం కాదు, అవునా? -శాడీ వాళలమమ పోల డానస చేసతుంది.
बिललियों को संभालना आसान है, जेपी. वे खुद अपनी देखभाल करती हैं.	పిలలులని చాలా తేలికగా పెంచుకోవచచు, జెపి. వాటి సంగతి అవే చూసుకుంటాయి.
तो तुम ऐसे सेशन चलाती हो?	నీ చికితసలు ఇలా చేసతుంటావా?
मैंने सालों से कहीं काम नहीं किया है. मुझे बोलना ही नहीं आएगा.	నేను ఎననో సంవతసరాలుగా ఎకకడా పని చేయలేదు. నాకు ఆ మాటలు కూడా తెలియవు.
फोकस एंड शाइन में सवागत है युवा चरच समूह	ఫోకస అండ షెన ద యూత చరచ గరూప కి సవాగతం
-तुम अब भी उससे बात कर रहे हो? -नहीं.	-నువవు ఇంకా ఆమెతో మాటలాడుతుననావా? -లేదు.
कया तुम कभी उपनयासों के बारे में बात करती हो? राजनीति के बारे में?	మీరు ఎపపుడయినా నవలల గురించి మాటలాడుకుంటారా? రాజకీయాల గురించి?
मेरी भोजन-नली जल रही है.	నా అననవాహిక మంట పెడుతోంది.
मैं ऑसकर हूँ	నా పేరు ఆసకర.
मैं बैका हूँ.	నేను బెకాని.
मैं दूसरी किशत भरने के लिए कल एसटेट एजेंट से मिलने वाली हूँ.	నేను ఎసటేట ఏజెంట ని రేపు కలిసి రెండవ ఇంసటాలమెంట చెలలించబోతుననాను.
बेशक ठीक है.	ఖచచితంగా సరే.
चलो भी, जेपी!	చెపపు, జెపి!
