-रायन!	-రాయన!
चिंता मत करो, काम होगा.	కంగారుపడకు, పనిచేసతుంది.
अचछा. यह तो पागलपन है.	సరే, ఇది చాలా పిచచితనం.
हमें और सुपरहीरो चाहिए!	చాలామంది సూపలు కావాలి!
"सुनन"? हाँ? माफ करना,	"బిగుసుకుపోవడమా"? ఏంటి?
तुम इनहें नहीं रोकोगे.	నువవు వాళళను వెళళనివవు.
अगर फिर से ऐसा हुआ तो?	అది మళళీ జరిగితే ఎలా?
वॉट सॉनिक यंतर मैनेजर	వాట సోనిక డివెజ మేనేజర
इस जिंदगी में तो नहीं.	నీ పరాణం పోయినా రాడు.
सेवेन के लीडर के नाते,	ఇంకా సెవెన నాయకుడిగా,
मुझे बहुत अफसोस हुआ.	నాకు చాలా బాధగా ఉంది.
-यह तुमहें कहाँ मिली?	-ఇది ఎకకడ దొరికింది?
रायन उनके किसी भी सोशल मीडिया पर नहीं है,	రాయన వాళళ సామాజిక మాధయమాలు వేటిలో లేడు,
ऐसे करोडों लोग हैं,	రెండు లకషల కోటలమంది,
बिली. वे उसे ले गए.	బిలలీ, బిలలీ, బిలలీ.
मुझे अपनी माँ चाहिए.	నాకు మా అమమ కావాలి.
ओकलहोमा, ऑरेगन. . .	ఒకలహామా, ఓరెగాన. . .
मैं तुमहें सिखाऊँगा.	నేను నీకు నేరపిసతా.
तुमहें नाचना आता है?	నువవు డానస చేసతావా?
माँ, मुझे माफ कर दो.	అమమా, ననను కషమించు.
पर उस वकत, जान की हिफाजत के लिए शांति	గురతుంచుకోండి, ఆ కషణంలో బరతికుండడానికి,
बॉब, इससे पहले कि वह कोई फैसला करें,	బాబ, అతను ఏదెనా నిరణయం తీసుకునే ముందు,
काश कि मैंने वोगलबाम को मार डाला होता.	నేను వోగెలబామను చంపాలని కోరుకుననాను.
तो, यह सब बेकार है?	అయితే అవకాశం లేదా?
नाराज लोगों को कंपाउंड वी की जरूरत है.	రెచచిపోయిన వారికి కాంపౌండ వీ కావాలి.
मिसटर बुचर, इतिहास में ऐसा कब हुआ है	బుచర, చరితరలో, ఎపపుడెనా ఏదెనా మారిందా?
उततरी डकोटा, ओहायो,	నారత డకోటా, ఒహాయో,
पर मैं एक मरद हूँ,	కానీ నేను మగవాడిని,
बस. कोशिश करते रहो.	అంతే. వెళుతూ ఉండు.
पर अगर बिली बुचर सही काम कर सकता है,	కానీ బిలలీ బుచర సరెన పని చేయగలినపపుడు,
अचछा, तो तुमने यह सब नहीं किया. . .	సరే, అయితే నువవు ఇది చేయలేదననమాట. . .
तुम कया इस साले को बचाते-बचाते. . .	ఏంటి, నినను నువవు పేలచేసుకుంటావా. . .
एक गिरवी दुकान के	తాకటటు దుకాణం కింద
डिपारटमेंट ऑफ होमलैंड सिकयूरिटी ने	హోంలాండ సెకయూరిటీ విభాగం భారీ ఉగరవాద
मेरी माँ मरी नहीं.	మా అమమ చనిపోలేదు.
तो और कया लगता है?	దానిని ఏం అంటావు?
पता नहीं मैं इस शबद का सही इसतेमाल	నేను ఆ పదం సరిగా వాడానోలేదో తెలియదు.
तुमहारे कहने पर हम झूठ बोलना, जासूसी	నువవు మమమలని నీకోసం అబదధమాడమననావు,
कभी-कभी इससे आप ऐसे किसी के बारे में	అంటే, కొననిసారలు నీకు నచచని వారిని
जो कि वॉट इंटरनैशनल के संसथापक थे.	అతను, అవును, వాట ఇంటరనేషనల సథాపకుడు.
वे सब झूठ नहीं है.	అవి అబదధాలు కావు.
उसकी गलती नहीं है.	అది తన తపపు కాదు.
जैसी तुमहारी मरजी.	నువవెలా అంటే అలా.
किसी ने वहाँ जाकर	ఎవరో సటారమఫరంట మీద
-जलद मुलाकात होगी.	-తవరలోనే కలుదదాం.
कयोंकि मुझे दोबारा शामिल होना है,	ఎందుకంటే నాకు తిరిగి పరవేశం కావాలి,
तुमहारा टीचर बहुत अचछा था, है ना?	అంటే, నీకు మంచి టీచర ఉండేవాడు, కదా?
कुछ दरशक इससे परेशानी हो सकते हैं.	కొంతమంది పరేకషకులు కలత చెందవచచు.
माफ करना, काश मैं भी यह कह पाती.	కషమించండి, నాకు అదే చెపపాలని ఉంది.
तुमहें वह सब करने की जरूरत नहीं.	సరే, నువవు ఇవననీ ఎదురకోనవసరం లేదు.
लडका मिल गया कया?	అబబాయి దొరికాడా?
हम आपके हीरो हैं.	మేము మీ హీరోలము.
नयाय होकर रहेगा.	నయాయం జరుగుతుంది.
आपसे मिलकर हमेशा खुशी होती है, सर.	ఎపపుడూ మిమమలని చూడటం సంతోషం, సర.
भाड में जाए ठंडा.	ఫరెసకాను వదిలేయ.
रचनातमक परयवेकषक	కరియేటివ సూపరవెజర
जिसमें गोबलस और गोरिंग शामिल हैं.	ఫోటోలు ధరువీకరించబడినవి ఉననాయి.
उनहें पता है कि तुम यहाँ आए हो?	వాళళకు నువవికకడకు వచచావని తెలుసా?
करियाकरम पर मौजूद होने वाला हूँ,	సమారక సభలో నేను నిలబడి ఉంటాను,
बिलकुल होती है.	అవును పెడుతుంది.
तुम सटारलाइट का पीछा नहीं करोगे.	నువవు సటారలెటను వేటాడడం మానేయ.
और मुझे लगता है	బహుశా నేను అకకడే
विकटोरिया नयूमन	వికటోరియా నయూమెన
कि उसे उसके बेटे तक पहुँचा दूँ,	తన కొడుకుతో కలపమని వేడుకుంటే?
कुछ नहीं होगा. कंपाउंड वी को	ఇది ఫలితానని ఇవవదు. కాంపౌండ వీ
वह लडका ही होमलैंडर के खिलाफ	ఆ అబబాయి హోంలాండరకు వయతిరేకంగా
पर मैं किसी से नफरत नहीं करता.	కానీ నాకు ఎవరననా దవేషం లేదు.
पर. . . हम ऐसा नहीं कर सकते.	కానీ. . . అది మనం భరించలేనిది.
मुझे आँखों की रोशनी जाते देख	మనిషిలో జీవం పోవడం చూడటం ఇషటం.
और अगर रोका तो?	వెళళనివవకపోతే?
यह आतमहतया है.	అది అతమాహుతే.
जहाँ तक मुझे पता है, तुम 57 के तो नहीं हो.	నాకు తెలిసినంత వరకు, నీకు 57 ఏళళు కాదు.
-और हमें. . .	-ఇంకా మనం. . .
उससे भी अविशवसनीय बात यह है,	ఇంకా అససలు నమమశకయం కానిది,
रायन, यहाँ आओ.	రాయన, ఇలా రా.
यहाँ आओ, रायन.	ఇలా రా, రాయన.
कमीनी कहीं की.	దరిదరపు ముఖం.
मैं उसे धोखा कयों देने लगा?	అతనిని ఎందుకు మోసగిసతాను?
वहाँ. . . बहुत से लोग थे.	అకకడ. . . చాలా మంది ఉననారు.
तुमहें धीरज रखना होगा, डीप.	నువవు సహనంతో ఉండాలి, డీప.
-हमारी नजर में तो नहीं है.	-మనకు తెలిసిన ఎవరూ లేరు.
हमने वॉट को सही तरीके से	ఇపపటికే వాటను సరెన మారగంలో
और इस वकत, मुझे उसे खुश करके रखना होगा.	ఆ సమయంలో, నేను ఆమెను ఆపాలసి వచచింది.
मैंने जो कुछ कहा, उसके बाद	నేను అననదాని తరువాత నాకు
कोई गोरा होता तो ऐसा करता.	అది తెలలజాతి వారి సౌఖయం.
उडकर चला गया.	ఎగిరిపోయాను.
बडा पयारा है.	ఇది బాగుంది.
माफ कर दीजिए. मेरा वह इरादा नहीं था.	ననను కషమించు. నేనలా చెపపాలని అనుకోలేదు.
-तुम ठीक हो?	-బానే ఉననావా?
-देखो तो सही.	-నినను చూడు.
हयू कैमपबेल.	హయూ కయాంపబెల.
उनहोंने मुझे आई-9 में 80 मील दूर पाया,	ననను ఐ-9కి 80 మెళళ కింద కనుగొననారు,
बचचे को वापस लाना तुमहारा काम नहीं है.	బాబును తిరిగి తేవడం మీ పోరాటం కాదు.
देखो, बेकका, तुम हमारे साथ नहीं चलोगी.	చూడు, బెకకా, నువవు మాతో రావడం లేదు.
यह निषठुर होना नहीं है,	అది కనికరం లేకపోవడం కాదు.
मैं लडके को होमलैंडर से	ఆ అబబాయిని హోంలాండర నుండి
वे उसे ले जाने वाले थे,	వాళళు వాడిని తీసుకెళతారు,
तुमहें यकीन है कि तुमहारे टावर में	టవరలోకి తిరిగి వెళళటం నీకు సురకషితమా?
नियुकति पर बधाई हो, काँगरेस सदसया.	నియమకానికి శుభాకాంకషలు, కాంగరెస మహిళ.
फरेडरिक के पास हर चीज का इलाज था.	ఫరెడరిక దగగర అననిటికీ పరిషకారం ఉంది.
-सब को मार डालें, भगवान समझ लेगा?	-వాళళని చంపేసతే, దేవుడే చూసుకుంటాడా?
अपने इस हिजडा को लेकर,	నీ సుకుమారుడిని తీసుకుని
पर घर पर, जब मैं "नफरत" कहता हूँ, तो	కానీ నేను ఇంటలో నాకు "నచచదు" అంటే
मैं एलजियरस में जो पारटियाँ रखता था,	నేను అలజీరసలో రేవ పారటీలో ఏరపాటలు
एमएम तुमहें	ఎంఎం మిమమలని
वे उन पर भरोसा करते हैं.	వాళళు దానిని నమముతారు.
चलो. आरपीजी!	రా. ఆరపీజీ!
समझ रहे हो?	నీకు తెలుసా?
मुझसे यह और नहीं होगा.	అది ఇకమీదట నేను చేయలేను.
वॉट ने पूरे देश पर हमला किया, हयूई.	వాట దేశంపెన దాడి చేసింది, హయూయీ.
मानो कोई बंद पडा अलारम बज उठा हो	నేను ఏదో నిశశబధ అలారంలా ఉండేవాడిని,
झटका लगते ही, आरपीजी से	ఆరపీజీ అయసకాంత పరకంపన
नहीं, मैंने कोशिश की.	లేదు, నేను పరయతనించాను.
अचछा, तो जलदी करते हैं.	సరే, తవరగా కానివవండి.
अचछा, हाँ.	సరే, ఇదిగో.
मुझे माफ करना, ठीक है?	ననను కషమించు, సరేనా?
-कुछ नहीं.	-ఏం కాలేదు.
पर वही तो असली बात है.	కానీ విషయం అంతా అదే.
तुम मुझे बता दो कि वह कहाँ है,	అతను ఎకకడుననాడో నువవు నాకు చెపపు,
तुम दुनिया के सबसे ताकतवर आदमी हो	నువవు పరపంచంలోనే శకతిమంతుడివి,
यहाँ कोई गोलक नहीं है,	ఇకకడ సవేర జార ఉండదు,
कया बात है? कया हुआ?	ఏం జరుగుతోంది? ఏమెంది?
माँ, पलीज.	అమమా, పలీజ.
उसने यह बहुत पहले मुझे दिया था	ఆమె నాకు ఇది చాలాకాలం కరితం ఇచచి,
-हमें और कंपाउंड वी की जरूरत है.	-మనకు చాలా కాంపౌండ వీ కావాలి.
वॉट के खिलाफ, होमलैंडर के खिलाफ,	వాటకు వయతిరేకంగా, హోంలాండరకు,
अगर मैं गवाही दूँ तो?	నేను సాకషయం చెబితే?
-पर यह वजह नहीं है.	-కానీ కారణం అది కాదు.
तुम मजाक कर रहे हो!	నాతో హాసయమాడుతుననావు!
पकका इससे काम होगा?	ఇది పని చేసతుందంటావా?
कौन सा सच? सच कया है?	ఏ నిజం? నిజం ఏమిటి?
तुमने टावर में मुझे कयों बचाया?	నననెందుకు టవర దగగర కాపాడావు?
फिर मुझे पकोडे वगैरह नहीं खाने,	అయితే నేను అపెటెజరలను తినను,
अपने भाई की आतमा की कसम खाओ.	నీ తమముడి ఆతమ మీద పరమాణం చెయయి.
ठीक है? तो, वह कोशिश करके देखो.	సరేనా? అయితే, అది పరయతనించు.
किसी ने चोर को आते या जाते नहीं देखा.	ఎవరూ దొంగ రావడం కానీ వెళళడం కానీ చూడలేదు.
सभी दरवाजे-खिडकियाँ बंद कर लो.	తలుపులు, కిటికీలు మూసేయండి.
हैलो, कया चल रहा है?	హే, ఏం జరుగుతుంది?
अधिकारी अभी भी उस मुजरिम का पता लगाने की	అధికారులు కాపిటలపె దాడి చేసిన వారిని
वॉशिंगटन में, सभी सरकारी इमारतों को. . .	వాషింగటనలో, అనని పరభుతవ భవంతులు. . .
कया कहते हो, पापा?	నువవు ఏమంటావు నాననా?
मैं कुछ कर सकता हूँ.	అది పరిషకరించగలను.
थोडा सा और, तुम कर सकते हो.	ఇంకొంచెం, ఇంకొంచెం, వచచేసింది,
हमारी चमडी के रंग की वजह से	వాళళు మనలని ఈ చరమ రంగు కారణంగా
जरा रुको, मेरे दोसत!	ఒక నిమిషం, మితరమా!
वह कौन है?	అది ఎవరు?
कोई हमारी मदद करो!	ఎవరెనా సహాయం చేయండి!
शांति रखो.	శాంతించు.
आप मुझे कोई नौकरी दे सकती हैं.	మీరు నాకు ఒక ఉదయోగం ఇవవండి.
तो तुमहारे बचने के आसार बहुत बढ जाएँगे,	మీరు మీ మనుగడ అవకాశాలు పెంచుకోవచచు,
तुमने सुना मैलोरी ने कया कहा,	మాలోరీ చెపపింది విననావుగా,
हयूई, तुमहारी जान जा सकती थी.	హయూయీ, నినను చంపేసే వాళళు.
फोरट बरैग का परिसर याद है?	ఫోరట బరాగ దగగర రేంజ గురతుందా?
तुमहारे बिना मैं नहीं जाऊँगी.	నేను నువవు లేకుండా వెళళను.
मैं तुमहें धोखा देने वाला था.	నేను నినను మోసం చేయబోయాను.
सजजनो, आने के लिए शुकरिया.	అందరికీ వచచినందుకు ధనయవాదాలు.
मैं जिस तरह से तुमहारे साथ पेश आई,	అంటే, నేను నీతో పరవరతించిన దాని తరువాత
मेरी मदद करो. . .	నాకు సహాయం చెయ. . .
रॉचेसटर की किसी कुटिया में उसे रखा है.	వాళళు రోచెసటరలో తనని నిరబంధించారు.
धत तेरी! बाय, साले!	సరే, అబబా! గుడబె!
इसलिए मैं मदद कर रही हूँ.	అందుకే నేను సాయం చేసతుననాను.
तुमने मैसेज करके गलती की.	నువవు సందేశం పంపడం పిచచితనం.
और सीधे मुददे पर आते हैं.	మనం సూటిగా విషయానికి వదదాము.
कयोंकि तुमहें उस कमीनी से	ఎందుకంటే ఆ పిచచిముఖంది నినను
मैं पलटकर जवाब नहीं दे सकता.	పిచచివాడిలా విరుచుకుపడను.
बाकी का काम मैं संभाल लूँगा.	మిగతాది నేను చూసుకుంటాను.
बुचर, यह सब तो नहीं सोचा था.	బుచర, ఇది పరణాళికలో లేదు.
तुम इसके जैसे नहीं हो, रायन.	నువవు ఆమెలాగా కాదు, రాయన.
पर वे लोगों को नुकसान पहुँचा रहे हैं.	కానీ వాళళు జనానని గాయపరుసతుననారు.
इन दिनों चरच को कितना कमीशन मिलता है?	ఈ మధయ చరచికి ఎంత కమీషన అందుతుంది?
अब, अगर वे दोनों माँ-बाप की जिममेदारी	వాళళు వారడ మరియు బీవ తలలిదండరులలా
कर-मुकत दरजा दिलाने के लिए तैयार हैं.	మీరు చరచి పనను మినహాయింపు సథితిని
और सुपरहीरो चाहिए!	చాలా మంది సూపలు!
अपने विचार पेश करूंगा और	అమెరికా భదరత కోసం పరారథనలు,
बाप रे, तुम. . .	దేవుడా, నువవు. . .
मिसटर बुचर, हमें आपकी जरूरत है. अभी!	మిసటర బుచర, మీరు రావాలి. ఇపపుడే!
ए, रायन.	హే, రాయన.
तोहफों का सिलसिला कभी रुकता ही नहीं.	బహుమతులు ఇసతూనే ఉంటారు, ఎపపటికీ.
सटॉरमफरंट लोगों को	సటారమఫరంట జనానని
पर, पापा, मैं ऐसा नहीं हूँ.	కానీ, నాననా, నేను ఉండను.
तुमने किया? यार!	అది నువవా? మితరమా!
-आखिरकार.	-చివరకు.
मैं पागल नहीं हूँ.	నాకు పిచచి కాదు.
मुझे डर लग रहा है.	నాకు భయంగా ఉంది.
मैंने सटैन एडगर से एक वादा किया था.	సటాన ఎడగరతో ఒపపందం చేసుకుననాను.
तो फिर छोड कयों नहीं दिया?	కానీ ఎందుకు వదిలేయలేదు?
जब कलेकटिव नया-नया बना था.	కలెకటివ పరారంభ రోజులలో.
मैं उनहें फोन कर सकता हूँ?	నేను ఆమెకు ఫోన చేయవచచా?
डॉना ने मेरे लिए खरीदा.	ఇది నాకోసం తీసుకుని ఉండదు.
नयू यॉरक, उततरी कैरोलाइना,	నయూయారక, నారత కారొలీనా,
मैंने अपना बैंक का खाता	నా ఖతాలు మొతతం వరాసిచచాను.
और ए-टरेन का कया?	ఏ టరెయిన సంగతి?
शुकरिया, एलविन.	ధనయవాదాలు, ఆలవిన.
कयोंकि तुम एक निषठुर कमीने हो.	ఎందుకంటే నువవు కనికరం లేని వెధవవి.
वह मुझ पर छोड दो.	అది నా వయవహారం.
और तुम कभी उससे नहीं मिल पाती.	నువవు వాడిని మళళీ ఇంకెపపుడూ చూడవు.
भाड में जा, साली!	పోవే, చెతతముఖం!
-आपने जो जानकारी माँगी थी, यह रही.	-ఇదిగోండి మీరు అడిగిన పరిశీలన.
गलत मत समझिएगा,	తపపుగా అనుకోకండి,
मैं एक सेलफी ले सकती हूँ?	నేను సెలఫీ తీసుకోవచచా?
अब हिसाब बराबर हुआ, साले.	మనం ఇపపుడు సమానమయయాము.
पर तुम यह कयों कर रहे हो?	ఇది ఎందుకు చేసతుననావు?
पर हमें इस परिसथिति का	కానీ మనం పరిసథితులను బటటి
किसी घटिया औरत से शादी की	దారుణంగా ఆకరషించే ఎవరో
कब से शुरू कर सकते हो?	ఎపపటి నుంచి మొదలుపెడతావు?
तुम खुद से गृहकारय कर रहे हो?	నీకు నువవు హోంవరక ఇచచుకుంటుననావా?
रायन को होमलैंडर से बचाने का.	రకషించడానికి అదొకటే మారగం అంటావు.
वह. . . तुमहारे लिए बहुत अचछा है.	అతను. . . అతను నీకు తగినవాడు.
तुम कया करोगे?	మీరు ఏం చేసతారు?
वैसे, मैं तुमसे सहमत हूँ	నీతో అంగీకరిసతుననాను,
हमेशा रोड रनर का पीछा करता है, लंबा-चौडा	ఎపపుడూ విసతృతమెన పరణాళికతో రోడ రననర
भागे हुए अपराधियों की बात पर	పరారీలో దోషులకు విశవసనీయత ఉండదు.
वे तुमहारे साथ कुछ करने वाले थे.	వాళళు నీకు హాని తలపెటటేవారు.
ऐसा है कि वह कई लोगों के	అంటే, అతను చాలామందితో
पर अब सवाल यह उठता है	కానీ ఇపపుడు పరశన ఏంటంటే,
यहाँ आओ.	ఇలా రా.
चलो भी.	కానివవు.
यहाँ आओ.	ఇలా రా.
रायन, यहाँ आओ.	రాయన, ఇకకడకు రా.
सटॉरमफरंट को पकड लिया गया है	సటారమఫరంట కరియావిహీనం చేయబడింది,
और किसी अजञात जगह पर रखा गया है.	ఆమె రహసయ పరదేశంలో ఉంచబదింది.
इसका मतलब. . .	అంటే దానరథం. . .
तो मेरी मदद कयों कर रही हो?	మరి నువవెందుకు సాయం చేసతుననావు?
वहीं से बिली जोल की शुरुआत हुई.	అపపుడే బిలలీ జోయెల వచచింది.
अब सब कुछ समझ में आ रहा है.	ఇపపుడు అంతా కొంచెం అరథమవుతుంది.
तुम यहाँ हो, कमीनी कहीं की.	ఇకకడ ఉననావు, పారిపోయే ముఖందానా.
और गलत लोगों का कया?	తపపుడు వయకతుల సంగతేంటి?
रुको! पलीज, रुक जाओ.	ఆగు! ఆగు! దయచేసి, ఆపేయ.
उस भरोसे का खंडन किया, वह असवीकारय है,	సటారమఫరంట ఉలలఘించడం కషమించరానిది,
अपना खयाल रखना.	కషేమంగా ఉండు.
कंपाउंड वी को निकाला जाएगा	కాంపౌండ వీను విడుదల చేసతుననారు
मैं हूँ शेरिफ एड फलैनिगन, और मैं सकूल	నేను షెరీఫ ఎడ ఫలానగన, హోంలాండరతో
यकीन मानो, मैं भी यही करना चाहती हूँ.	నమము, నేను ఇదంతా చేయాలనుకుననాను.
सभी मुझे घूर रहे थे	అందరూ నననే చూసతుననారు,
-हम पर हमला हुआ है.	-మనపె దాడి చేసతుననారు.
अगर तुमने ऐसा किया,	ఒకవేళ నువవు అలా చేసతే,
पराइवेट डेटा रिजरव.	వయకతిగత సమాచార రిజరవు.
अपने बेटे को बचाने के लिए	ఒక తలలి కొడుకును రకషించేందుకు
मैं भी लौट पाऊँगा? है ना?	నేనూ తిరిగి చేరుతుననాను, కదా?
विकटोरिया नयूमन नई मालकिन है.	వికటోరియా నూమెన కొతత జార.
हमें पता है, हम वहीं थे.	మనకు తెలుసు, మనమకకడ ఉననామని.
या फिर होमलैंडर को	లేదా బహుశా హోంలాండరను
द बॉयज	ది బాయస
-अचछा.	-అలాగే.
ए. मुसकुराओ. यह अचछी खबर है.	హే. నవవు. ఇది మంచి వారత.
सारवजनिक बयान.	అధికారికంగా.
हमारे अंदरूनी खोज कारयालय ने	మా అంతరగత పరిశోధనా బయూరో
कमीने कहीं के.	చెతత వెధవలు.
उसताद से पूछो.	బాసను అడుగు.
वह और मैं बहुत नाचा करते थे.	నేను ఆమె, ఈ డానస పారటీలు
और दोबारा कभी फोन नहीं किया.	ఇంకా ఎపపుడూ ఫోన చేయలేదు.
