इटली.	ఇటలీ.
लेकिन जैसा कि आप देख सकते हैं, विमान गयोर जाने के रासते पर है.	కానీ మీరు చూసతే, ఆ విమానం గయేయర వెపు పరయాణిసతోందని తెలుసతుంది.
और उनहें हाइजैक के बारे में मालूम है?	వాళలకి ఈ విమానం హెజాక అయినటలు తెలుసా?
चलो, काम पूरा करते हैं!	పని పూరతి చేదదాం పదండి!
सटुअरट!	సటువరట!
किंगडम 2-9. . .	కింగడమ 2-9. . .
अनुमति मिली?	దిగుతుననామా?
जो कोई भी नीचे होगा, वह कुछ नहीं कर पाएगा.	ఆ కింద ఎవరు ఉననా, వాళలు మనలని ఏమీ చేయలేరు.
सैम नेलसन.	సామ నెలసన.
पलीज.	పలీజ.
ओह, नहीं.	ఓహ, చెతత.
एलेन, नहीं!	ఎలెన, వదదు!
हमें उडते रहना होगा.	మన పరయాణం కొనసాగాలి.
और अब वह एक पेन के जरिए साँसें ले रहा है और जयादा देर वह यह नहीं कर पाएगा.	కానీ ఇపపుడు తను పెనను గొటటం దవారా ఊపిరి తీసుకుంటుననాడు, అది ఎకకువసేపు కషటం.
विमान के नीचे ना उतरने के बाद बुडापेसट ने उनसे संपरक करने की कोशिश की है,	లయాండింగ ఆగిపోయాక బుడాపెసట. . . . . . విమానానని సంపరదించాలని పరయతనించింది,
- हम उसे कहाँ ले जा रहे हैं? - एरिका, नौसिखियों जैसी बातें मत करो.	- ఆమెని ఎకకడికి తీసుకువెళతుననాం? - ఎరికా, మరీ అంత అమాయకంగా అడగకు.
-तुमने सुना उसने कया कहा. -वह एक बॉल पेन के जरिए साँस ले रहा है.	- డాకటర మాట విననావు కదా. - పెనను గొటటం దవారా గాలి పీలుసతుననాడు.
विमान नीचे जरूर उतरने वाला है, लेकिन सिरफ चिकितसीय कारणों से.	విమానం లయాండ అవుతుంది కానీ అది కేవలం వెదయ సహాయం కోసం మాతరమే.
ठीक है. जब भी तुमहें सही लगे, सीधे अंदर चले जाना. समझ गए?	సరే. మీరు రెడీ అయయాక, నేరుగా ఆ ఇంటలోకి జొరబడండి. అరథమెందా?
वे हमें, हमारे परिवारों को, तुमहारे परिवार को मार देंगे.	వాళలు మనలని చంపేసతారు, మన కుటుంబాలనీ, నీ కుటుంబానని కూడా.
एक हाइजैक किए गए विमान को अपने यहाँ कौन उतारना चाहेगा?	హెజాక అయిన విమానం తమ ఎయిర పోరట కి రావడం ఎవరూ ఇషటపడరు.
देवियों और सजजनों, पलीज अपनी कुरसी की पेटी बांधे रखें.	లేడీస అండ జెంటిలమెన, మీ సీట బెలటులు పెటటుకుని ఉండండి.
हम आपको लिफाफा देने वाले आदमी की तसवीरों के लिए	మేము వెట హాల సిసిటీవీ ఫుటేజ కూడా చెక చేసతుననాం
दुबई का एक हवाई यातायात नियंतरक उसे ढूँढने उसके घर गया था. उसकी लाश भी मिली है.	ఆమె కోసం వెతుకుతూ దుబాయ ఎయిర టరాఫిక కంటరోలర వెళలాడు. అతను కూడా హతయకు గురయయాడు.
-हाँ. -दोसतों, हम अभी भी रोमानिया के ऊपर हैं.	- అవును. - మనం, ఇంకా రొమేనియా పరిధిలోనే ఉననాం.
तो, अगर हमें यह करना है, तो अभी करना होगा.	అందువలల, మనం ఏదెనా చేయాలంటే, ఇపపుడే చేయాలి.
आप लूइस और सटुअरट एटरटन की माँ हैं, हाँ?	మీరు లూయిస ఇంకా సటువరట అటెరటన అమమ, అవునా?
हमने कुछ नहीं किया. पेन उसके हाथ में है.	మేము ఏమీ చేయలేదు. అది అతని చేతిలోనే ఉంది.
यही मैसेज है. एक घंटे से भी कम. यह. . .	అదే మెసేజ. గంట కననా తకకువ సమయం. అది. . .
हाँ. हाँ, और हमने इस बात की पुषटि की है.	తెలుసు. అవును, మేము నిరధారణ చేసుకుననాం.
हमने हमेशा यही रासता अपनाया है, है ना?	మనం ఎపపుడూ పాటించే విధానం అదే, అవునా?
वह मरने वाला है. अगर अभी नहीं, तो लंदन पहुँचने से पहले तो निशचित तौर पर.	అతను చావుబతుకుల మధయ ఉననాడు. ఇపపుడు కాకపోయినా, లండన చేరేలోగా చనిపోవచచు.
या फिर आपको आतंकवाद अधिनियम के सेकशन 41 के अंतरगत गिरफतार कर लिया जाएगा.	లేదా టెరరరిజమ చటటం సెకషన 41 కింద మిమమలని అదుపులోకి తీసుకోవలసి వసతుంది.
हाँ. लेकिन ये सिरफ डरगस का धंधा नहीं करते.	అవును. కానీ అది కేవలం డరగస వయాపారమే కాదు.
कया कहा तुमने, दोसत? दोबारा कहना.	ఏంటి అననావు, మితరమా? మళలీ చెపపు.
यह विमान को ऐसे नहीं उतार सकता.	విమానానని అతను కిందికి దించలేడు.
इस वकत इसकी हालत सथिर है और इसके अलावा मैं और कुछ नहीं कह सकता.	ఇపపటికి అతని ఆరోగయం నిలకడగా ఉంది, కానీ నేను అంతవరకే చెపపగలను.
ये कोई वितरक या तसकर नहीं हैं.	వాళలు డీలరలు లేదా సమగలరలు కారు.
यह नली, जो तुमने लगाई है, यह इसे जिंदा नहीं रख पाएगी, है ना?	అతనికి ఊపిరి అందిసతునన టయూబు, అది ఎకకువ సేపు ఉండదు, అవునా?
हम अपना फैसला बताने वाले हैं.	మా నిరణయం మరికాసేపటలో చెబుతాం.
मुझे लगता है तुम गलत घर पर आ गए हो, दोसत.	నువవు పొరపాటున వేరే ఇంటికి వచచావు, బుజజీ.
मुददे की बात यह है कि हम उनके सामने मजबूर नहीं दिख सकते.	ఇకకడ విషయం ఏమిటంటే, మనలని బలాక మెయిల చేసే అవకాశం ఇవవకూడదు.
-अब विमान नहीं रुकेगा. -हाँ.	- మనం ఏదీ ఆపడం లేదు. - అవును.
नहीं, एक इंसान के लिए नहीं.	లేదు, ఒకక మనిషి కోసం ఆపలేము.
आप विमान नीचे उतार सकते हैं.	మీరు దిగడానికి అనుమతి ఉంది.
डॉकटर ने मुझसे यही कहा था.	డాకటర నాకు ఆ విషయం చెపపాడు.
सच यह है कि उसके फेफडे पूरी तरह से काम नहीं कर रहे हैं	వాసతవం ఏమిటంటే, తన ఊపిరితితతులలో గాలి ఇరుకకుపోయింది,
चलो, उससे पूछते हैं, कयों?	అతనినే అడుగుదాం, అడుగుదామా?
इनका काम इसका नेटवरक चलाना है. ऐसे समझो कि ये पटरियाँ बनाते हैं, टरेन नहीं चलाते.	వాళలు చేసే పని ఏమిటంటే, నెటవరక ని నిరవహించడం. టరాకులు వేయడం, రెళలు నడపడం కాదు.
इसका फैसला यह नहीं कर सकता.	నిరణయించాలసింది అతను కాదు.
सथिति जस की तस बनी हुई है.	పరిసథితి ఇంకా అలాగే ఉంది.
आप बता सकते हैं अगर यह आपकी जानकारी से मेल खाता है.	మీ సమసయతో దీనికి ఏమెనా సంబంధం ఉందనిపిసతే చెపపండి.
पेन कहाँ है? पेन कहाँ चला गया? कया किया है तुमने?	ఆ పెన. ఆ పెన ఎకకడికి పోయింది? నువవు ఎంత పని చేశావు?
और सकरीन वापस चालू करनी होंगी, बस एक मिनट के लिए, ताकि मैं नकशा देख सकूँ.	మనం మళలీ సకరీనస అననీ ఆన చేయాలి, ఒక నిమిషం సేపు, అపపుడే నేను మయాప ని చూడగలను.
मतलब, हो सकता है ना भी हों. हो सकता है वह बस उस बंदे की माँ को जानता हो.	అంటే, వాళలు సొంత అననదమములు కాకపోవచచు. ఆ చిననవాడి తలలి అతనికి తెలిసి ఉండచచు.
मुझे ताजा जानकारी चाहिए.	నాకు తాజా సమాచారం కావాలి.
और अगर इसमें कुछ गडबड हो गई, तो वे तुमहारे पूरे परिवार का वही अंजाम करेंगे.	మనం ఈ పని సరిగగా చేయకపోతే, వాళలు నీ కుటుంబానని, మొతతం అందరినీ చంపేసతారు.
हंगेरियाई भाषा में, "हमें चिकितसीय मदद चाहिए. "	హంగేరీ భాషలో, "మాకు వెదయ సహాయం కావాలి" అని చెపపు.
इस बार बिना लाग-लपेट के.	ఈసారి మంచి మాటలు ఉండవు.
हमें चिकितसीय मदद चाहिए.	మాకు వెదయ సహాయం కావాలి.
हमें चिकितसीय मदद चाहिए.	మాకు వెదయ సహాయం కావాలి.
कया मैं एक टिशू ले आऊँ?	నేనొక టిషయూ తెచచుకోవచచా?
उसने खुद अपनी जान ली है.	తనే సవయంగా చేసుకుననాడు.
विमान को नीचे मत उतारो.	లయాండింగ పరకరియని ఆపండి.
पहले हमें अपने बडे अफसरों से बात करनी होगी.	మా ఉననత అధికారులతో మాటలాడి కానీ ఏమీ చెపపలేము.
वापस अपनी सीट पर बैठो.	వెళలి నీ సీటలో కూరచో.
यह उसकी माँ का घर है. इसकी तलाशी लो. जो भी मुमकिन है, पता लगाओ.	అతని తలలి ఉనన ఇలలు. దానని వెతకండి. మీకు ఏం తెలిసతే అది సేకరించండి.
इन लोगों को जेल से रिहा करने के लिए आपके पास	ఆ విమానం లండన చేరుకునే వరకూ మీకు సమయం ఉంది
इसके पास कितना समय है?	అతనికి ఎంత సమయం ఉంది?
आईएलएस संवेदनशील कषेतर	ఐఎలఎస సమసయాతమక పరదేశం
यही होता है जब आप उनकी बातें मान लेते हैं.	వాళలు అడిగినది చేసతే చివరికి ఇదే జరుగుతుంది.
और अगर आप लीडस के फैन नहीं हैं,	మనం లీడస జటటుకి అభిమాని కాకపోతే,
जिन लोगों के लिए हम काम करते हैं, उनहोंने इसके पिता को मरवाया था.	మేము ఎవరి దగగర పని చేసతామో, వాళళు అతని తండరిని అలాగే చంపేశారు.
जिसने केए29 में चढने वाले बिजनेस कलास के यातरियों को चेक किया था,	కెఎ29 పరయాణికుల బిజినెస కలాస పరయాణికులను తనిఖీ చేసిన ఒక ఉదయోగి
अचछा. इसके साथ रहना.	సరే. ఇతని దగగరే ఉండు.
एना कोवैकस फरसट ऑफिसर	ఆనా కోవాకస ఫసట ఆఫీసర
हम वही करेंगे जो हमने कहा था. बात खतम.	మనం ఏం చేయాలని చెపపారో అదే చేసతాం. అంతే.
हम नीचे उतर रहे हैं.	కిందికి దిగుతుననాం.
तुमहें यह विमान नीचे उतार लेना चाहिए.	మీరు ఈ విమానానని లయాండ చేయాలి అనుకుంటా.
लेकिन कयों? हमने लोग बंधक बनाए हुए हैं.	దేనికి, అయితే? మన దగగర బందీలు ఉననారు.
जिसके बारे में तुम कुछ नहीं जानते और जिसमें कुछ भी गलत हो सकता है.	దాని గురించి నీకు ఏమాతరం అవగాహన లేదు, అపపుడు కూడా ఏదెనా నషటం జరగచచు.
तुमहें किसने बताया?	నీకు ఎవరు చెపపారు?
उसने ऐसा ही कहा था.	అతను చెపపింది అదే.
तुमहें यह कैसे पता?	అది నీకెలా తెలుసు?
इसलिए उनके लिए और आपके लिए, मैं इस बात की पुषटि करती हूँ कि विमान की समसया हल हो चुकी है,	కాబటటి వాళల కోసం, మీ కోసం నేను నిరధారించేది ఏమిటంటే, విమానంలో ఏరపడిన పరిసథితి పరిషకారం అయింది,
मेरे खयाल से आप जानती हैं, एलेन, कि हम यहाँ कयों आए हैं.	మేము ఇకకడికి ఎందుకు వచచామో మీకు తెలిసే ఉంటుంది, ఎలెన.
पता नहीं मैंने फुटबॉल कयों कहा. मैं खुद फुटबॉल के बारे में कुछ नहीं जानता.	నేను ఫుట బాల అని ఎందుకు అననానో తెలియదు. నాకు దాని గురించి ఏమీ తెలియదు.
कया यह आपराधिक संगठन अपनी धमकी पर काम भी कर सकता है?	ఈ నేరగాళల గరూపు ఈ హెజాక బెదిరింపుని అమలు చేయగలుగుతుందా?
और इन दोनों को 35 साल की जेल हुई. साथ ही, ये दोनों बेहद निरदयी इंसान हैं.	ఇంకా ఈ ఇదదరికీ 35 ఏళల జెలు శికష పడింది. వాళలిదదరూ కరడుగటటిన నేరగాళలు.
शुकरिया, बुडापेसट.	థాంకయూ, బుడాపెసట.
तुम दोबारा उडान भर सकते हो और इस हाइजैक को जारी रख सकते हो,	మీరు కొదదిసేపు విరామం తీసుకుని మళలీ మీ పని మీరు కొనసాగించచచు,
पहले एफपीसीसी से बात करवाओ, पलीज.	ముందు ఎఫ. పి. సి. సి. తో మాటలాడదాం.
कयोंकि अगर वे सोशल मीडिया पर होंगे, तो उनसे इन लोगों की पहचान और मंशा पता चल सकती है.	ఎందుకంటే వాళలు గనుక సోషల మీడియాలో ఉంటే, వాళల అసలు సవరూపాలు, ఉదదేశాలు బయటపెడతారు.
- अचछा? तुमने यह कहाँ से सुन लिया? - वह तो यह करना भी नहीं चाहता है.	- అవునా? అది నీకు ఎలా తెలిసింది? - అతనికి ఈ పని చేయడం ఇషటం లేదు.
-विमान दोबारा उडान भर सकता है. -नहीं भर सकता, वे हमें रोक सकते हैं.	- మనం మళలీ టేకాఫ కావాలి. - మనం అది చేయలేం, వాళలు మనలని ఆపేయచచు.
इस देश का एक लमबा इतिहास रहा है	ఈ దేశంలో ఒక సుదీరఘమెన చరితర ఉంది,
अपनी सथिति की पुषटि करें, पलीज.	మీ పరిసథితిని నిరధారించండి, పలీజ.
हो सकता है उसका इस सबसे कोई लेना-देना ना हो, लेकिन वह उसके बारे में हमें बताना चाहते हैं,	ఈ వయవహారంతో దానికి సంబంధం ఉండకపోవచచు, కానీ ఆయన దానని మనతో షేర చేసుకోవాలని అనుకుననారు,
यह काफी छोटा है, तो पहले मैं इसे पढ देता हूँ.	ఇది కలుపతంగానే ఉంది, కాబటటి నేను మొదట చదువుతాను.
वह कुछ नहीं था.	మా మధయ ఏమీ లేదు.
उसने तुमहें अभी तक कया बताया है?	ఆమె నీకు ఖచచితంగా ఏం చెపపింది?
नहीं. उसने कहा, "मैंने माँ को फोन किया था. "	లేదు. అతను అననాడు, "నేను అమమకి ఫోన చేశాను" అని.
मैं दोहराती हूँ, विमान सिरफ चिकितसीय कारणों से रोका जा रहा है.	మళలీ చెబుతుననాను, వెదయ అవసరాల కోసం మాతరమే విమానం ఆగుతుంది.
बुडापेसट, हम 10, 000 फुट की ऊँचाई पर हैं. हम नीचे उतरना शुरू कर रहे हैं.	బుడాపెసట, మేము పదివేల అడుగుల ఎతతులో ఉననాం. మా చివరి అవరోహణని మొదలుపెడుతుననాం.
तुम लीडस से नहीं हो ना? तुमहारी बातों से तुम लंदन के लगते हो.	నీ సవసథలం లీడస కాదు, కదా? నీ భాష లండన వాసి మాదిరిగా ఉంది.
कया हुआ, दोसत?	అది ఎవరు, బాబు?
किसी को भेजकर उसे मरवा दिया.	అతని ఒంటలోకి బులెట ని దించారు.
ताकि मैं देख सकूँ कि हमें किस हवाई अडडे से गुजारिश करनी है.	అపపుడే, మనం ఏ ఎయిర పోరట దిగుతామో చూసి వాళలని ఒపపించాలి.
ज. . . जरूरत है, कयोंकि अपहरणकरता हंगेरियाई नहीं बोलते हैं.	నాకు. . . మనకి అవసరం, ఎందుకంటే హెజాకరలు ఆ భాష మాటలాడరు.
नील, हम तुमहें फोन कर रहे थे.	నీల, నీ కోసం కాల చేసతుననాం.
लेकिन उसे इलाज की जरूरत है.	కానీ అతనికి వెదయచికితస అవసరం.
वह मेरा भाई है. तुमहारा साथी.	వాడు నా తమముడు. నీ సహచరుడు.
किंगडम 2-9, हमें आपके खिलाफ एक चेतावनी संकेत दिया गया है.	కింగడమ 2-9, మీ విమానం పెన పరసతుతం పరమాద హెచచరిక ఉంది.
कया ये आत. . .	ఇవి ఏంటి. . .
इसलिए, ऐसा लग रहा है कि मुमकिन है वे विमान को उतरने दें.	కాబటటి, ఏదెనా అవకాశం దొరకచచు అని ఇకకడ అనుకుంటుననారు.
तुम खुद उससे पूछ लो, पलीज.	కావాలంటే అతడినే అడుగు, పలీజ.
-अचछा. मुझे यह दिया गया है. -माफ करना.	- సరే. నాకు ఇది అందించారు. - ఎకస కయూజ మీ.
नहीं तो, सब खतम हो जाएगा.	లేకపోతే, మా పని అయిపోతుంది.
- किसने कहा वह मेरा भाई है? - वह तुमहें निराश नहीं करना चाहता.	- నా తమముడని నీకు ఎవరు చెపపారు? - నినను నిరాశ పరచడం తనకి ఇషటం లేదు.
तो अगर तुम हंगेरियाई भाषा में उन तक एक मैसेज पहुँचा दो, तो यह सब खतम हो सकता है.	కాబటటి హంగేరీలో వాళలకి మన పరిసథితి చెపపగలిగితే, ఈ గొడవకి పరిషకారం ఉంటుంది.
जिस भी दरवाजे पर चिकितसक बुलाए जाते हैं,	మెడికల సిబబంది ఏ దవారం గుండా వెళతారో,
हाँ. नहीं, नहीं. विमान को नीचे मत उतारो.	అవును. లేదు, లేదు. లయాండింగ ని ఆపండి.
हंगेरियाई हवाई यातायात नियंतरक अंगरेजी बोलते हैं.	హంగేరీ ఎయిర టరాఫిక కంటరోల వాళలు ఇంగలీష లో మాటలాడగలరు.
ठीक है. अचछा.	సరే. మంచిది.
जाओ, कल आना.	మళలీ రేపు రా.
यहाँ कोई विकलप नहीं हैं.	మనకి ఎలాంటి అవకాశాలు లేవు.
मेरी मदद करो.	సాయం చేయండి.
बोलकर दिखाओ.	ఆ మాటే చెపపు.
और आगे के निरदेशों का इंतजार करेंगे.	ఇంకా మేము ఇచచే ఆదేశాల కోసం వేచి ఉండండి.
अपने घर में मृत पाई गई है.	ఆమె ఇంటలో హతయకు గురెంది.
और हम वही करते हैं जो वे चाहते हैं, हमेशा. हमें करना ही पडता है.	వాళలు ఏం చెబితే మేము అదే చేసతాం. ఎపపుడూ, మేము అలాగే చేయాలి.
हमें जो काम सौंपा गया है, हमें वह काम पूरा करना है.	మనకి ఒక పని అపపగించారు. మనం ఆ పని పూరతి చేసతాం.
उनहोंने अभी फैसला नहीं किया है.	వాళలు పరసతుతం చరచలు జరుపుతుననారు.
हमें विमान को उतरने से रोकना होगा.	మనం దీనని ఆపాలి, ఆ లయాండింగ ని ఆపాలి.
द चीपसाइड फरम, जिसके सरगना हैं एडगर यैनसन, बाएँ,	ఒక చీప సెడ సంసథకి, ఎడమ వెపు ఉనన ఎడగర జానసెన,
हाइजैक अभी भी जारी है.	హెజాక ఇంకా కొనసాగుతోంది.
एलेन एटरटन?	ఎలెన అటెరటన?
और अपनी सीटों को बिलकुल सीधा कर दें.	మీ సీట ని తిరిగి నిటారుగా ఉంచండి.
आप मुझे बताएँगी कि वे किसके साथ काम कर रहे हैं?	వాళలు ఎవరితో కలిసి పని చేసతుననారో చెబుతారా?
शायद विमान को उतारने का अनुरोध किया गया है.	విమానం లయాండింగ కోసం వాళలు పరమిషన అడుగుతుననారు.
आज से पहले कभी इतने सारे यूके नागरिकों को बंधक नहीं बनाया गया है	సరే, గతంలో ఎపపుడూ ఇంతమంది బరిటీష పౌరులను బందీలుగా చేసుకునన దాఖలా లేదు,
हम समझते हैं कि अपहरणकरता विमान को दोबारा यहाँ से ले जाना चाहेंगे?	హెజాకరలు మళలీ టేకాఫ కావడానికి పరయతనిసతుననారని మాకు తెలుసతోంది, నిజమేనా?
मुझे समझ नहीं आ रहा है.	నాకు అరథం కావడం లేదు.
देखिए, यही तो बात है.	చూడండి, ఇది అసలు విషయం.
कया तुम मजाक कर रही हो?	నువవు జోక చేసతుననావా?
उठो, दोसत.	చూడు, బాబు.
माँ, देखो.	అమమా, చూడు.
सभी यातरी सुरकषित हैं. लेकिन अब हमें आपके सहयोग की जरूरत है.	పరయాణికులు అందరూ కషేమంగా ఉననారు. కానీ మాకు ఇపపుడు మీ సహకారం అవసరం.
वह कहाँ है?	ఎకకడ ఉంది?
विमान पर कुछ दुरघटनाओं की खबर है,	విమానంలో గాయపడిన వాళలు ఉననారు,
मेरे खयाल से विमान के सभी लोगों को यह सुनकर खुशी होगी.	ఈ విషయం విని విమానంలో అందరూ సంతోషపడతారు అనుకుంటా.
- मेरे परिवार को कयों? - जो यातरी हमारे लिए समसया पैदा करे, उसके परिवार को.	- నా కుటుంబం దేనికి? - ఏ పరయాణికుడెనా సమసయలు సృషటిసతే, మేము చెపపాలి.
यह एक आपराधिक संगठन है. एक पेशेवर आपराधिक संगठन.	వాళలు ఒక వయవసథీకృత నేరగాళల ముఠా. చాలా సమరథత ఉననవాళలు.
अचछा, हमें यह जानकारी दूसरों के जरिए मिल रही है,	పరసతుతానికి, ఇదంతా వేరే వాళల దవారా తెలుసతునన సమాచారం,
मैंने एक फोन किया था.	నేను ఒక ఫోన చేశాను.
हमें सिरफ पूछना है.	మనం అడుగుతుననాం అంతే.
यौन वयापार, हथियार,	సెకస వరకరలు, ఆయుధాలు,
मुझे एक लिफाफा दिया गया है जिस पर लिखा है "माँगें. "	నా చేతికి "డిమాండలు" అని రాసిన ఒక ఎనవలప ఇచచారు.
मेरी बात धयान से सुनिए. हमारे पास जयादा समय नहीं है.	నా మాటలు జాగరతతగా వినండి. మనకి ఎకకువ సమయం లేదు.
कोई भी चालाकी करने की कोशिश मत करना. तुमहारी वजह से लोग अपनी जान गँवा बैठेंगे.	తెలివిగా ఏదెనా చేయాలని పరయతనించకు. జనం చనిపోవడానికి నువవు కారణం అవుతావు.
और मेरा विशवास करो, एलेन, जेल कोई अचछी जगह नहीं है.	ననను నమమండి, ఎలెన, అకకడ మీరు సంతోషంగా ఉండలేరు.
और वह पेन उसे लंदन पहुँचने तक जिंदा नहीं रख पाएगा. सच यही है.	ఆ పెనను గొటటంతో శవాస పరయాణం అయయేవరకూ ఉండదు. అది వాసతవం.
अपना मैसेज छोडें और मैं आपको वापस फोन करूँगा.	మీ మెసేజ చెపపండి, నేను తిరిగి ఫోన చేసతాను.
पीएम कॉल पर आने के लिए तैयार हैं.	పరధానమంతరి ఫోనుకి అందుబాటులో ఉననారు.
-डॉकटर ने कहा उसकी हालत सथिर है. -सोचकर देखो.	- బాగానే ఉననాడని డాకటర చెపపాడు. - ఒకసారి ఆలోచించు.
और फिर उनहें पानी में घोलना है, हाँ?	వాటిని కొదదిగా నీళలలో కరగపెటటగలమా, చూడు?
लेकिन अब हमें तुरंत चिकितसीय मदद की जरूरत है.	కానీ మాకు ఇపపుడు చాలా అరజెంట గా వెదయ సహాయం కావాలి.
-मुझे आपको कुछ दिखाना है. -अभी रुको.	- మీరు ఇది చూడాలి. - నువవు కాసేపు ఆగాలి.
-ए. . . एफ. . . टी. -वापस अपनी सीट पर.	- ఎ. ఎఫ. టి. - వెళలి నీ సీటలో కూరచో.
ऐसा नहीं है कि इससे हमारे फैसलों पर असर पडेगा.	అది మనలని మరింత కంగారు పెడుతోందనో మరొకటో చెపపను.
वहाइटहॉल के सीसीटीवी भी चेक कर रहे हैं.	మీకు ఎనవలప ఇచచిన వయకతి దృశయాల కోసం.
इस. . . इस विमान का उतरना नियत नहीं था!	ఇది. . . ఇది ముందసతు సమాచారం లేని లయాండింగ!
मैंने तुमसे पूछा?	నేను నినను అడిగానా?
यह चाहती हैं कि वे ऐसा ना कर पाएँ.	మీరు కోరుకోవడం లేదని మాకు అరథమవుతోంది.
विमान नीचे उतर गया तो बहुत अचछा होगा.	మనం లయాండ అయితే, అది మంచి విషయమే.
बुडापेसट, हम 12, 000 फुट ऊपर हैं.	బుడాపెసట, 12 వేల అడుగుల ఎతతులో ఉననాం.
अब हम नीचे उतरना शुरू कर रहे हैं.	మనం లయాండింగ పరకరియని పరారంభిసతుననాం.
एक सौ बारह. वह रहा. कूडे के डिबबों पर लिखा है.	112. అదిగో. ఆ చెతతకుండీల మీద కనిపిసతోంది.
हम हंगरी के ऊपर उड रहे हैं.	మనం హంగేరీ మీదుగా వెళుతుననాం.
यह एक आपराधिक संगठन है जो अंतरराषटरीय सतर पर डरग वयापार करता है.	వాళలు అంతరజాతీయ డరగస వయాపారం చేసే వయవసథీకృత నేరగాళల ముఠా.
उनहोंने तुमहें यहाँ आते हुए देख लिया होगा. वे जानते हैं तुम यहाँ हो.	మీరు రావడం ఎవరెనా చూసి ఉండచచు. మీరు ఇకకడికి వచచిన సంగతి వాళలకి తెలుసు.
एडगर यैनसन और जॉन बेली-बराउन को अनुचित रूप से जेल भेज दिया गया.	ఎడగర జానసెన ఇంకా జాన బెయిలీ బరౌన అకరమంగా అరెసట పాలయయారు.
हाँ. यहीं तो हमें जिममेदारी से काम करना होगा.	సరే. అయితే, మనం ఇకకడి నుండి మొదలుపెడదాం.
वह देखो.	అటు చూడు.
हम धीरे-धीरे नीचे उतरना शुरू करेंगे.	మేము కరమంగా కిందికి దిగబోతుననాం.
और उनके एक बार फैसला करने के बाद, उनहें कोई नहीं रोक सकता.	వాళలు ఒకసారి నిరణయించుకుననాక, ఇక ఎవవరూ దానిని ఆపలేరు.
"गृह सचिव और यूके सरकार के सदसयों के धयान हेतु.	"విదేశాంగ మంతరి ఇంకా బరిటీష పరభుతవ సభయులందరికీ గమనిక.
- तुम हंगेरियाई भाषा बोलती हो, हाँ? - हाँ, लेकिन. . .	- నీకు హంగేరీ భాష వచచు, కదా? - అవును, కానీ. . .
उनहें जेल से बाहर निकालने से पहले यह तो देख लें कि ये बदमाश कुछ कर भी सकते हैं या नहीं.	ఈ రౌడీ వెధవలు జెలు నుండి బయటకు వచచేలోగా వీళల గుటటుమటలు అననీ మనం తెలుసుకోవాలి.
उनहें चाहे कुछ भी कहो. . .	మనం ఎలా పరకటించినా. . .
उप-शीरषक अनुवादक: पुनीत	తెలుగు అనువాదం: సతీశ కుమార
जमीन के लोगों के सारे संपरक संदेशों को अनदेखा किया जा रहा है.	ఇంకా గరౌండ నుండి ఎలాంటి కాంటాకట కోసం పరయతనించినా సపందించడం లేదు.
हम उनहें यह बताएँगे कि सभी यातरी सुरकषित हैं, ठीक है?	పరయాణికులు అందరూ సురకషితంగా ఉననారని మనం మొదలుపెటటాలి, సరేనా?
