साला!	అబబా!
होमलैंडर?	హోంలాండర?
तो मेरे भी जयादा दोसत नहीं थे.	నాకూ ఎకకువమంది సనేహితులు లేరు.
इसे साझा कर सकते हैं.	అది కలిసి పంచుకోవచచు.
फिर तो हमारी वाट लग गई समझो.	మనం సరిగగా బాగా చికకుకుంటాం.
तुम ठीक तो हो?	బాగానే ఉననావా?
किमिको!	కిమికో!
किमिको!	కిమికో!
होमलैंडर?	హోంలాండర?
हाँ.	సరే.
मुझे उसको ढूँढना होगा.	నేను ఆమెను కనిపెటటాలి.
उस आतंकवादी को मैलोरी के हवाले किया	నేను మెలరీ కోసం ఉగరవాదిని కనుగొంటే,
पिपि लांगसटॉकिंग. वह नौ साल की लडकी है.	పిపపీ లాంగసటాకింగ. తను తొమమిదేళళ అమమాయి.
खाने वाली टोकरी शायद तुमहीं ने भेजी थी?	నువవు ఆ పూలతో పళళబుటట పంపించావనుకుంటా?
आज मेरा काफी रिसाव हो रहा है. यह. . .	నాకు అధిక రుతుసరావం అవుతుంది. అది. . .
या फिर तुमने उसका जिकर ही नहीं किया.	లేదా బహుశా నువవా సంగతి వివరించలేదేమో.
इसे तो तेज गेंद फेंकनी तक नहीं आती.	వాడు కనీసం బంతిని వేగంగానూ విసరలేడు.
आज हम सूजन रेनर को अलविदा कहते हैं,	ఈ రోజు సుసన రేనరకు వీడకోలు పలుకుదాం,
कि उसने मेरी बीवी के साथ कया किया.	బాధపెటటాలని భావించాడని అనుకుంటుననా.
हाँ, कर सकते हो! तुम मेरे बेटे हो.	నువవు చేయగలవు! నువవు నా కొడుకువి.
तुमने तो अपना सूट खोला भी नहीं था.	నువవు ఎపపుడూ నీ సూట జిప తెరవలేదు.
माफ करना. अब जब उसे पता चल गया है,	కషమించు. ఇక అతనికి తెలుసు కాబటటి,
मुझे तो यह दुरघटना जैसा नहीं लगता.	అది పరమాదంలా నాకు అనిపించడం లేదు.
शाइनिंग लाइट अनयाय के साथ लडता है.	షెనింగ లెట అనయాయానని ఎదిరిసతుంది.
सन '56 वरलड सीरीज की एक गेंद थी.	1956 పరపంచ సీరీసలో ఆడిన బాల ఉంది.
नहीं, बुचर! नहीं! आराम से, बुचर.	వదదు, బుచర! వదదు! శాంతించు, బుచర.
बुक ऑफ रेवेलेशन में से पढते हुए,	పరకటన గరంథం నుండి చదువుతుననాను,
छोडो भी, तुमहें कया फरक पडता है	నేనేం అనుకుంటుననానో నీకు ఎందుకు?
तो, तुमने उसका जिकर किससे किया?	అయితే, ఆ విషయం ఎవరికి చెపపావు?
तुमहें करिसटाल नहीं पीनी चाहिए?	కరిసటల తాగి ఉండాలసింది కాదేమో?
वह यही कहने की कोशिश कर रही थी.	ఆమె నాకు అదే చెపపాలని చూసింది.
जो कहा, उसी को कहो पर अंत में	అది మళళీ చెబుతారా, కానీ చివరకు
वैसे, शायद यह बात गलत नहीं है.	అంటే, అది తపపు కాదు అనుకుంటా.
तुमहें बस वह दिखाई नहीं देता	నేను చూసేది నువవు చూడవు అంతే.
शायद मुझे लगता है कि वॉट. . .	బహుశా నేను అనుకోవడం వాట. . .
बुचर, रुको. यह उसका भाई है.	బుచర, ఆగు. అతను ఆమె సోదరుడు.
लडकियाँ काम पूरा करती हैं.	అమమాయిలు అది పూరతి చేసతారు.
अचछा. अचछी बात है. बधाई हो.	సరే. మంచిది. శుభాభినందనలు.
ऐसा सौदा जो आज भी कारगर है	ఆ ఒపపందం ఒక సవేచఛా పకషిలా
नहीं. मैं ऐसा नहीं कह रहा.	లేదు. నేను అలా అనడం లేదు.
जब होमलैंडर को पता चला था	నువవు హయూయీని కలుసతుననావని
लडकियाँ काम पूरा करती हैं	అమమాయిలు ఇది పూరతిచేశారు
यार, हमें बात करनी होगी.	సోదరా, మనం మాటలాడుకోవాలి.
मैलिसा डेबराओसकी याद है?	మెలీససా డబరోసకీ గురతుందా?
-मुझे भी ऐसा ही लगता है.	-నాదీ అదే భావన. -లెగవదదు.
अचछा, बेटा. हम पहुँच गए.	సరే, బాబు. ఇదిగో వచచేశాం.
मैं कुछ बात कर सकती हूँ?	నేను ఒకసారి మాటలాడవచచా?
तुम मुझे फोन कर सकते हो.	నువవు నాకు ఫోన చేయవచచు.
नहीं. पिपि लांगसटॉकिंग.	కాదు. పిపపీ లాంగసటాకింగ.
तुम यहाँ कया कर रही हो?	నువవికకడేం చేసతుననావు?
रुको, तुम पियोगे नहीं?	ఆగు, నువవు ఏమీ తాగవా?
केएमएफटी. डबलयूडीसीएस.	కేఎంఎఫటి. డబలయూడీసీఎస
मेरे साथ खेल मत खेलो.	ననను గందరగోళం చేయొదదు.
मेरे पिता थे ही नहीं.	నాకు ఎపపుడూ నానన లేడు.
नहीं, यह बात सच नहीं.	లేదు, అది నిజం కాదు.
वह हमारी मदद करेंगी.	మనకామె సాయం చేసతుంది.
मैं कहीं नहीं जाऊँगा.	నేను ఎకకడికీ వెళళను.
मैं मदद माँग रहा हूँ.	నేను వేడుకుంటుననాను.
बहुत अचछे, मेरी जान.	సరే, అభినందనలు, పరేమ.
तुम इतने खूबसूरत हो	నువవు చాలా అందగాడివి
तुम इतने खूबसूरत हो	నువవు చాలా అందగాడివి
तुम इतने खूबसूरत हो	నువవు చాలా అందగాడివి
ऐसा लगा कि तुमने अपने जूते में कुछ डाला.	నువవు ఏదో బూటలో పెటటినటటు అనిపించింది.
तुम हमें और चुप नहीं करा सकते, केविन.	ఇకమీదట నువవు మా నోరు మూయించలేవు, కెవిన.
अरे, बाप रे, तुम लोग तो किसमत वाले हो	దేవుడా, నేను రావడం మీ వెధవల అదృషటం కదా?
अचछा. बैकगराउंड फिर से रीसेट करते हुए.	సరే. ఒకరి చోటును తిరిగి సరదుతుననాము.
तुम कया कह रही हो?	నువవేం చెబుతుననావు?
तुम मुझे अभी यह सब कयों बता रही हो?	నువవిది నాకిపపుడు ఎందుకు చెబుతుననావు?
बुचर, अगर तुम. . .	బుచర, ఒకవేళ నువవు
ताकि हम अपने असली काम पर लग सकें.	అపపుడు మనం మన అసలెన పని చేసుకోవచచు.
मुझे तुमसे और कोई बात नहीं करनी.	నేను మీకు చెపపాలసింది ఇంకేమీ లేదు.
शायद. इसके बदले में मुझे कया दोगी?	ఉంచుకోవచచేమో. బదులుగా ఏం ఇసతావు?
तुमहारा सवागत है.	నీకోసం ఎలలపపుడు.
कि द सेवेन में दोबारा जगह मिलेगी?	సవాగతించాలని ఎలా అనుకుంటుననావు?
कया? मैं यह बिलकुल भी नहीं. . .	ఏంటి? నేను అసలు అలాంటి దానని కాదు
लो, तुमहारे लिए नमूना लाया हूँ.	ఇదిగో, నేను నీకోసం నమూనా తెచచాను.
सटॉरमफरंट, इधर!	సటారమఫరంట, ఇకకడ!
और न ही माँ थीं.	లేదా అమమా లేదు.
नहीं होनी चाहिए.	అది నొపపి భావన.
कया? वॉट कया है?	ఏంటి? వాట ఏంటి?
मैंने ही तुमहें यह सिखाया था.	వాసతవానికి ఇది నేను నేరపించాను.
जो कुछ उसने मुझसे करवाया. . .	అతను నా చేత చేయించిన పనులు. . .
उस रात जब तुम गायब हो गई. . .	నువవు ఆ రాతరి మాయమయినపపుడు. . .
अचछा. शुकरिया.	సరే, ధనయవాదాలు.
अमरीका को बचाना	అమెరికాకు రకషణ
मुझे माफ करना.	ననను కషమించండి.
कया? कुछ नहीं.	ఏంటి? ఏమీ లేదు.
मैंने उसे जो कुछ करते देखा है,	నేను చూసిన అతను చేసిన పనులు,
रुको, नहीं थे?	ఆగు, నీకు లేరా?
हाँ. गणित, हाँ. माफ करना, मैं भूल गया था.	సరే. గణితం. అవును. ననను కషమించు, మరచిపోయాను.
सटॉरमफरंट, जरा अपना दम दिखाओ.	సటారమఫరంట, నీ శకతి చూపించు.
मैं बोर होकर आगे नहीं बढूँगा.	నేను విసుగుచెంది వెళళిపోను.
तुम हमारे साथ खेल खेल रहे हो?	నువవు మాతో హాసయమాడుతుననావా?
कि पूरे का पूरा सकूल, बचचों समेत ढह गया?	ఒక సకూల మొతతం అందులో పిలలలతో నేలమటటం అయినా?
मुझे माफ करना.	ననను కషమించు.
पलीज, शांत हो जाइए. फिर से शुरू करेंगे.	దయచేసి నిశశబదం. మళళీ పరారంభం. ఘంట మోగగానే.
मुझे यह पुतला और कहाँ मिलता?	ఈ బొమమను ఇంకెకకడ పొందగలను?
माफ करना, एशी.	కషమించు, ఆషీ.
शुकरिया. बाय.	ధనయవాదాలు. బె.
सच तो यह है कि	నిజం ఏమిటంటే,
उसके साथ एक छोटा सा लडका था,	ఆమెతో ఒక చినన బాబు ఉననాడు,
और तुम अपनी बेटियों के पास वापस जा पाओगे.	నినను నీ భారయాబిడడల చెంతకు చేరుసతుంది.
ए. मुझे बाहर निकालो, यार.	హే. హే. ననను బయటకు రానివవు.
-तुमहारा फिर से सवागत है.	-తిరిగి సవాగతం. -ధనయవాదాలు.
अगर यह सच है, तो फिर हम दोनों शैतान हैं.	అదే నిజమయితే, ఇపపుడు మనిదదరం దుషటులం.
किसी और को? कोई गरलफरेंड या फिर. . .	ఇంకెవరికెనా? ఎవరెనా గరలఫరెండ, లేదా. . .
उस जैसी लडकी के साथ तुम खुश रह सकते थे.	అలాంటి అమమాయితో సంతోషంగా ఉండేవాడివి.
हम भगवान हैं.	మనం దేవుళళం.
शाइनिंग लाइट लिबरेशन आरमी?	షెనింగ లెట లిబరేషన ఆరమీ?
ठीक है. कोशिश करके देख लो.	కానివవు. పరయతనించి చూడు.
और इसमें मुझे तुमहारी मदद की जरूरत है.	అది చేయడానికి నాకు మీ సహాయం కావాలి.
यह तुमहारे पास कयों है?	దీనితో నువవేం చేసతుననావు?
वैसे तो, मैंने इसे वापस बुलाया है.	నిజానికి, నేను అతనిని రమమని పిలిచాను.
यीशु के नाम में. आमीन.	దేవుని సతుతించుడి. ఆమెన.
रेनर को बडे अचछे लगते.	రేనరకు అది నచచి ఉంటుంది.
समझ रही हो?	నీకు తెలుసా?
और रात भर, वह मुझसे बातें करता रहा.	నాతో రాతరంతా మాటలాడుతూనే ఉననాడు.
कि खुद के परिवार से मिलने से जयादा,	ఆమె కుటుంబం ఎకకువని చెబుతుననారా?
शाइनिंग लाइट ने मुझे यहाँ भेजा है.	షెనింగ లెట ననను ఇకకడకు పంపింది.
उनहोंने हमारे माँ-बाप को मार डाला!	వాళళు మన తలలిదండరులను చంపేశారు!
या फिर हम घर जा सकते हैं. वापस अपने गाँव.	లేదా మనం ఇంటికి వెళళిపోవచచు. తిరిగి మన ఊరికి.
अचछा, रायन,	సరే, రాయన,
यही वह पल है. लडकियाँ काम पूरा करती हैं!	ఇది ఆ తరుణం. అమమాయిలు అది చేయాలి! నువవు. . .
हैलो, गरेस.	హలో, గరేస.
अचछा. हाँ.	సరే. అవును.
अभी करनल के साथ मेरी मुलाकात हुई.	కలనలను ఇపపుడే కలిసి వసతుననాను.
हैलो, रायन. कैसे हो?	హాయ, రాయన. ఎలా ఉననావు?
गाडी में जाकर बैठिए.	వెళళి కారులో కూరచోండి.
मैं तुमहारी नाराजगी समझ सकता हूँ.	ఇది నిరాశ కలిగించిందని తెలుసు.
बाकी सब, मेरे साथ चलो.	తకకినవారు నాతో రండి.
जब तुम. . .	నువవు. . .
अमरीकी लोग.	అమెరికనలు.
हलका सा फरक है, पर है तो सही.	సూకషమమెనదే కానీ ముఖయమెన వయతయాసం.
अगर तुमने यह किया तो,	ఒకవేళ నువవలా చేసతే,
मेरा पिछवाडा साफ दिखाई देता है.	నా నడుము పరతి మడతను చూడగలరు.
अरे, रायन, चलो. गणित का वकत हो गया, बेटा.	హే, రాయన, ఇక రా. గణితం చేయాలసిన సమయం.
कयोंकि फिर तो अब तक मैं मर चुकी होती.	అలా అయితే ఇపపటికే నేను చనిపోయి ఉండేదానని.
मुझ पर जो बीती है,	నేను ఎదురకునన దానికి
खूबसूरत हो	అందగాడివి
किसे. . . किसे इतने पयार से	ఎవరికి. . . ఆ శృంగార సందేశాలు?
फिर तो, यह अचछी बात है कि मैं यहाँ हूँ.	అయితే, నేను ఇకకడకు రావడం మంచిదెంది.
छोडिए भी, गरेस. आपको सच में लगता है	ఊరుకో, గరేస. నేనది చేశానని నమముతుననావా?
और उनहें पता था कि वह तुम पर असरदार थी,	అది నీపె పనిచేసిందని వాళళకు తెలుసు,
चुप हो जाओ, घटिया कहीं के.	నోరుమూసుకోండి, దరిదరపుమొహాలు.
हे भगवान. माफ करना.	అయయో, ఛ. కషమించు.
हम सुपर आतंकवादी को उनके हवाले करेंगे,	మనం ఆమెకు సూప ఉగరవాదిని పటటిసతాము,
अब गाँव नहीं रहा.	అకకడ ఇక ఊరేమీ లేదు.
कोई. . . कोई भी जवाब सही या गलत नहीं होता.	లేదు. . . తపపు లేదా ఒపపు జవాబు లాంటిది ఏం లేదు.
जो होमलैंडर का हमशकल लगा.	హోంలాండర నోటలోంచి ఊడిపడడాడు.
मुझे तुमहें ढूँढना चाहिए था.	నేను నినను కనుగొనాలసింది.
अचछा, लडकियो, आज बहुत बडा दिन है.	సరే, అమమాయిలు, మనము ఈ రోజు చాలా బిజీ.
मतलब, वॉट इस बात को दबाकर खुश है, पर. . .	వాట అది కపపిపుచచేందుకు సిదధంగా ఉంది, కానీ. . .
मेरे लिए	నాకుమటుకు
-तुमने कोई माइकरोफोन वगैरह लगाया हुआ है?	-నువవు మెకరోఫోన లాంటిది పెటటుకుననావా? -అదేంటి
तुम मुझे नहीं जानती. मैं बिकाऊ नहीं हूँ.	నీకు నేను తెలియదు. నేను అమముడుపోయేదానని కాదు.
आराम से!	శాంతించు!
आराम से.	నెమమదిగా.
तुम ठीक कहते हो. मुझे माफ करना.	నువవు సరిగగా చెపపావు. ననను కషమించు.
कयोंकि तुम वही करते हो.	ఎందుకంటే నువవు చేసేది అదే.
धत तेरी! डॉ. पारक! अभी!	అబబా, ఛ! డా. పారక! ఇపపుడే!
कया तुम मुझसे यह कह रहे हो	మీ కుటుంబానని కలవడంకంటే
मैं आपको सच बात बताता हूँ, ठीक है?	నీతో నిజాయితీగా ఉంటాను, సరేనా?
उनहोंने मुझे. . .	వాళళు ననను. . .
-किसी संपरक सूतर से मिलने जा रहा हूँ.	-పరిచయసతులను కలవడానికి వెళుతుననాను. -ఎవరు?
हाँ, फिर भी डॉकटर से मिलना चाहती हूँ.	సరే, అయినా నేను డాకటరను కలవాలనుకుంటుననాను.
शायद दादाजी और दादी अभी भी जिंदा हों.	బహుశా అమమమమా తాతయయలు ఇంకా బరతికే ఉననారేమో.
मुझे बाहर निकालो! ईगल!	ననను బయటకు రానివవు! ఈగిల!
जरा देखो. ठीक से देखो.	ఒకసారి చూడు. నిజంగా చూడు.
पर किमिको हममें से एक है.	కానీ కిమికొ మనలో ఒకరు.
हमें पलटकर मुकाबला करना होगा.	మనం తిరిగి పోరాడాలి. నాతో పోరాడు!
लडकियाँ बेहतर हीरो होती हैं कया?	అమమాయిలు మంచి హీరోలు కాగలరా?
लडकियाँ बेहतर हीरो होती हैं कया?	అమమాయిలు మంచి హీరోలు కాగలరా?
बिलकुल.	పూరతిగా.
दरवाजा खोलो. अब दरवाजा खोलो!	తలుపు తెరువు. చెతత తలుపు తెరువు!
तुम किसी को कुछ नहीं बताओगे.	నువవు ఎవరికీ ఏమీ చెపపబోవడం లేదు.
उस हिसाब से, तुमहें मुझको भगा देना चाहिए,	మీకు ననను వెళళిపొమమనే హకకు ఉంది, అయినాగానీ. . .
आपको यह नहीं पता. नहीं पता.	అది మీకు తెలియదు. మీకు తెలియదు.
अचछा, वाह. अचछी बात है.	అవునా. చాలా బాగుంది.
अकेली घर में रहती थी? पालतू बंदर?	ఒంటరిగా ఒక ఇంటలో ఉండేది? పెంపుడు కోతి?
कयोंकि तुमहारा उससे टाँका भिडा हुआ है.	నువవు ఆమెను ఇషటపడుతుననావు కాబటటి.
तुम यहाँ कया कर रहे हो? निकलो यहाँ से!	నువవు ఇకకడేం చేసతుననావు? వెళళిపో!
जो इस कमीने सुपर आतंकवादी को ढूँढने में	ఈ వెధవ సూప ఉగరవాదిని కనుగొనడంలో సహాయపడేవాళళు.
ओह, यह मेरा है.	ఓహ, అది నాది.
देखो, रायन, कभी-कभी बहुत मुशकिल होता है	చూడు, కొననిసారలు, అది కషటతరంగా ఉంటుంది, రాయన,
मुझे माफ कर दो.	ననను కషమించు.
तकलीफ हुई थी?	అది బాధించిందా?
मुझे माफ कर दो.	ననను కషమించు.
तुम भी मेरे साथ ही डूबोगी.	నాతో నినను కూడా నాశనం చేసతాను,
तुमहें सूजन की कभी कोई परवाह नहीं थी.	నువవెపపుడూ సూసనను పటటించుకోలేదు.
तुमहारा मनपसंद है. मैं अभी आई, ठीक है?	అది నీకిషటమెనది. ఒకక నిమిషంలో వసతాను, సరేనా?
मुझे बाहर निकालो, यार!	ననను బయటకు రానివవు!
कारयातमक रूप से असतितवहीन है.	కరియాతమకంగా ఉనికిలో లేదు.
नहीं, डीप, यह सफर तुमहारा है.	లేదు, డీప, ఇది నీ పరయాణం.
तुमने बहुत अचछा काम किया.	అనుకుంటుననారని నీకు తెలియాలి.
नहीं, मतलब, मैं तुमसे सहमत हूँ.	లేదు, నువవు చెపపినదానికి సమమతిసతాను.
मुझसे कहा गया था कि मुझे दोबारा	నేను అతనిని ఇక తిరిగి ఎపపుడూ చూడనని,
जो अनयाय का सामना नहीं कर पाते,	వారు మౌనంగా జనానికి అండగా నిలుసతారు.
हाँ, अगली बार पकड लूँगा.	అవును, తరువాతది పటటుకుంటాను.
अदभुत.	అదభుతం.
बिलकुल नहीं.	ఖచచితంగా వదదు.
जरा बताओ कि लडकियों के लिए यह आजादी,	ఈ అమమాయి శకతిని పొందడం ఎంత సరదానో చెపపండి.
"भाड में जाए, मुझे यह चाहिए. "	"అది వదిలేయ, నాకు అది కావాలసిందే. "
हाँ, फरेंची.	అవును, ఫరెంచీ.
तुम मुझे कुछ खिलाने के लिए ले जा सकती हो.	ననను డిననరకు బయటకు తీసుకెళళనిసతాను.
कयोंकि हम वही तो हैं, रायन.	ఎందుకంటే మనం అదే, రాయన.
तुम अभी भी मेरे भाई हो.	అయినా నువవింకా నా తమముడివే.
यहाँ. एक नजर इधर भी देखो. खूबसूरत!	ఇటు. మమమలని ఒక ఫోటో తీసుకోనివవు. మనోహరి!
मुझे भी परिवार के काम से जाना है.	నాదీ కుటుంబ అతయవసర పరిసథితి.
हैलो! ए-टरेन पहुँच गया! कया हाल-चाल है?	హే! ఇదిగోండి వచచేశాడు ఏ టరెయిన! ఏంటి విశేషాలు?
मैं आपसे वापस आने को नहीं कह रहा,	నేను నినను పూరతిగా అందులో చేరమనడం లేదు,
पुलिस हमारा पीछा करना बंद कर देगी	పోలీసులు మనలని పరీశీలించకుండా చేసతుంది,
और भगवान को	ఇంకా దేవుళళకు
और अब, तुम और मैं. . .	ఇక ఇపపుడు, నువవూ నేనూ. . .
कि उसे बेसबॉल के खेल पर जाना है,	రాయన బేసబాల ఆటకు వెళళాలంటే?
आपको हमारी हिफाजत करनी होगी. आपको. . .	మీరు మమమలని రకషించాలి. మీరు. . .
तुम गलत समझ रही हो.	నువవు పొరబడడావు.
तुमहें मार डालूँगा.	నినను చంపేసతాను.
सुनो, मैं बस इतना कहना चाहती थी	హే, నేను ఇది చెపపి తీరాలి,
बदमाश बनना है तो बनो, जो मन चाहे करो,	దవేషపూరితంగా ఉండాలనుకుంటే ఉండు,
उनमें से एक ने तो हडडी भी तोड दी थी.	నిజానికి అందులో ఒకటి ఎముకను ముకకలు చేసింది.
मुझे कुछ समझ नहीं आ रहा.	నాకు అరథంకావడం లేదు.
सबसे पहले यहाँ पर देखिए, डबलयूएफएके.	ఇకకడే మొదట చూడండి, డబలయూఎఫఏకే.
एक दिन जब रायन कहेगा	ఏం జరుగుతుంది, ఏదో రోజు,
बेकका जिंदा है.	బెకకా బరతికే ఉంది.
हाँ, अचछा. अचछी बात है.	సరే, అలాగే. మంచిది.
मर जाने का मन किया.	నేను చనిపోదామనుకుననాను.
अचछा, आज तक का सबसे बडा सुपरहीरो कौन है?	సరే, ఎపపటికీ ఎవరు గొపప సూపర హీరో?
मुझ पर छोड दीजिए.	అది నాకొదిలేయ.
हमें कैसे पता कि तुम सच कह रहे हो?	నువవు చెపపేది నిజం అని ఏంటి?
वॉट का तुमसे बडा नुमाइंदा तो	నువవు మొతతం వాట పరతినిధిలా ఉననావు.
अगर आतंकवादी पर इसका असर न हुआ तो?	ఇది ఉగరవాది మీద పనిచేయకపోతే?
यह हो कया रहा है?	ఏం జరుగుతోంది?
देखो, मैं बहुत ही पयार से कह रही हूँ,	చూడు, నేను సాధయమెనంత మంచిగా చెబుతుననాను, కానీ
मैं तुमहारी माँ को फोन करूँ?	మీ అమమకు ఫోన చేయమంటావా?
. . . विलियम बुचर के लिए, अलग-अलग राजयों में	. . . బహుళరాషటర అనవేషణ పరారంభించారు,
बेकका, हमारे बीच तय हुआ था.	బెకకా, మనం ఒక ఒపపందం చేసుకుననాము.
और उसे वहाँ से बाहर निकालना होगा.	అకకడనుండి ఆమెను బయటపడేయాలి.
ऐसा कयों?	అలా ఎందుకు?
कया लगता है, उसे कैसा लगेगा	నువవు వాడితో జీవితాంతం
संवाद अनुवादक परवीन कौर शोम	సబటెటిల అనువాద కరత సమత
दो दिन बाद, उसके दफतर में आग लग गई.	రెండు రోజులకు, అతని ఆఫీసులో మంటలంటుకుననాయి.
तुम बजाते हो?	నువవు వాయిసతావా?
तुम वह सब हो जिसकी मुझे जरूरत है	నాకు కావాలసినది అంతా నువవే
तुम वह सब हो जिसकी मुझे जरूरत है	నాకు కావాలసినది అంతా నువవే
तुम मेरे घर से दफा हो जाओ.	నువవు నా ఇంటినుండి బయటకు నడవాలి.
मैं कोई दूसरा रासता निकाल लूँगा.	నేను మరో మారగం కనుగొంటాను.
इसलिए वे समझ गए कि मुझ पर भी असर करेगी.	అందుకే అది నాపెనా పనిచేసతుందని వాళళు కనుగొననారు.
मैं हर रात उसके लिए परारथना करती हूँ.	పరతిరాతరి ఆయనకోసం పరారథిసతాను.
मैं ऐसा नहीं कर सकता.	నేను అది చేయలేను.
बस उसे भडकाना मत.	అతనిని శాంతంగా ఉండనీ.
आप अकेले रह जाते हैं.	అది వేరుగా ఉండడం.
तुमने ठीक कहा था.	నువవు సరిగగా చెపపావు.
तुमहारी गलती नहीं है.	అది నీ తపపు కాదు.
तुमहारी गलती नहीं है.	అది నీ తపపు కాదు.
उसे तकलीफ हुई थी?	ఆమె బాధ అనుభవించిందా?
तुमहें पयार का हक है.	నీకు పరేమ పొందే అరహత ఉంది.
मुझे अपना हाथ पकडाओ. अचछा.	నీ చేయి అందించు. సరే.
कयोंकि वह मुझ पर हँसी थी.	ఎందుకంటే ఆమె ననను పరిహసించింది.
वह चीज जिसके बिना जिंदा नहीं रह सकता?	ననను నేను అది లేకుండా ఊహించుకోలేనిది? నా పరతిభ
पेन? कुछ भी.	పెన? ఏదెనా సరే.
पीला	యెలలో
यहाँ पर कया नहीं है?	ఇకకడ ఏం వేయలేదు?
यह कया है? खुमी?	ఏంటవి? పుటటగొడుగులా?
हैलो?	హలో?
कया?	ఏంటి?
ईगल?	ఈగిల?
हमारी तरफ देखो!	మమమలని చూడు!
अकेली हूँ.	ఒంటరిని.
अकेली हूँ.	ఒంటరిని.
शुकरिया.	ధనయవాదాలు.
करनल मैलोरी से?	కలనల మలలోరీ?
अंदर से.	అంతరగతంగా.
तुम इतने	నువవు చాలా
वह रायन या मेरे बारे में नहीं जान पाएगा.	రాయన లేదా నా గురించి తెలుసుకోలేడననారు. అది ఒపపందం.
कौन?	ఎవరు?
उस तरह की तकलीफ. . .	అలాంటి భావన ఉండకూడదు. . .
मैं तुमसे पयार करता हूँ, बेटा.	నాకు నువవంటే పరేమ, బాబు.
चलकर उससे पूछते हैं.	వెళళి వాడినే అడుగుదాం పద.
चूहा.	మౌస.
रुको!	ఆగు!
तुम. . .	నువవు. . .
कया?	ఏంటి?
मेरा भी.	నేను కూడా.
कया?	ఏంటి?
कौन?	ఎవరు?
सब छोड-छाडकर भाग गए.	అందరూ చనిపోయారు.
तुम कुछ नहीं करोगे.	నువవు ఏమీ చేయబోవడం లేదు.
उससे आपका देखने का नजरिया बदल जाता है.	నిజంగా నీకు ఒక అవగాహన ఇసతుంది.
बहुत अचछा अहसास है.	చాలా మంచి భావన.
लडका. लडकी. . .	అబబాయి. అమమాయి. . .
तुम दोनों, पलीज, अभी नहीं.	ఇదదరూ, దయచేసి ఆపండి, ఇపపుడు వదదు.
मैं कुछ देर रुकूँगी, बस देखो, ठीक है?	నేను కొంచెంసేపు వేచి చూసతాను, చూసతానంతే, సరేనా?
हैलो, दोसतो. कैसा चल रहा है?	హేయ, ఎలా కొనసాగుతోంది?
"दमदार होने को ही खूबसूरत होना कहते हैं. "	"బలంగా ఉండడం కొతతదనం" అనుకుంటారు.
मेव, मैं ठीक हूँ. सच में.	మేవ, నేను బాగానే ఉననాను. నిజంగా.
हमें किसी और जगह ले जाना होगा, पलीज.	మీరు మమమలనీ పంపించాలి, పలీజ.
हे भगवान.	దేవుడా.
ठीक है.	తపపకుండా.
अगर वह कहने में खतरा हो तो?	అది సురకషితం కాకపోతే?
हे भगवान!	దేవుడా!
अगर तुम मुझे थोडा सा वकत दो,	నాకు నిమిషం ఇసతే, నీకంతా వివరిసతాను.
तुम ठीक तो हो?	నువవు బానే ఉననావా?
किस चीज के करीब जा रही थी?	దేనికి దగగరవవడానికి?
इस घटिया, बडी छाती वाली	పెదద పలాసటిక బొమమ ఏదెతే చివరకు
तुम कुछ भी साबित नहीं कर सकती.	నువవు ఏదీ నిరూపించలేవు.
