और चाबियाँ?	మరి తాళాలు?
मतलब केए29 के 25 मील के घेरे में कोई नागरिक विमान नहीं होना चाहिए.	కెఎ29 విమానం పరిధికి 25 మెళల దూరంలో ఎలాంటి పౌర విమానం లేకుండా చేదదాం.
तुमने विमान के नीचे उतरने तक हमें रोकने के लिए रासता बंद किया है.	విమానం లయాండ అయయే వరకూ మమమలని అడడుకోవాలని మీరు రోడడు బలాక చేయించారు.
सबकी जरूरत पड सकती है.	అలాంటి పరిసథితే వసతే.
नहीं तो तुमहारे राज दुनिया में फैल जाएँगे.	లేదా పరపంచానికి నీ గురించిన వారత తెలుసతుంది.
हे. कया यह सच है? उनमें से एक आदमी मर गया?	హేయ, ఇది నిజమేనా? వాళలలో ఒకడు చనిపోయాడా?
धीरे-धीरे आदेश मानो.	నిదానంగా అమలు చేసతాం.
अभी भी रुके हुए हैं.	ఇంకా కదలకుండా ఉననారు.
वही दोबारा हो रहा है.	మళలీ అదే జరుగుతోంది.
अगर ये अभी भी किसी हवाई कषेतर में जा रहे हैं, तो इनकी मंजिल सिरफ फरनहिल हो सकती है.	వాళలకి ఏదెనా వెమానిక సథావరమే కావాలి అనుకుంటే, అకకడ ఉననది కేవలం ఫెరన హిల మాతరమే.
वे अचछी तरह जानते हैं उनहें कहाँ जाना है.	ఎకకడికి వెళలాలో వాళలకి ఖచచితంగా తెలుసు.
हमें वहाँ पहुँचने में कितने मिनट लगेंगे?	మనం ఇంకా ఎనని నిమిషాలలో ఇంటికి వెళతాం?
हमारे पास साफ तौर पर यही दो विकलप हैं.	ఇది సపషటంగా ఒకటెనా లేదా మరొకటెనా కావచచు.
टारगेट रुका हुआ है.	టారగెట సథిరంగా ఉంది.
देखो, तुम अपने आदमियों को वापस बुला लो. इन लोगों को जाने दो.	విను, మన దళాలని తిపపి పంపించేయ. వీళలని సవేచఛగా వెళలనివవు.
हमें यहाँ से जाना चाहिए. आप दोनों. . .	మనం ఈ గదిని ఖాళీ చేయాలి. మీరిదదరికీ. . .
किसे मरना है? किसे?	ఎవరికి కావాలి? ఎవరు?
मैं हम सबकी बात कर रहा हूँ. विमान में बैठे हुए सब लोगों की.	నేను అందరి గురించి మాటలాడుతుననాను. మొతతం విమానంలో అందరూ.
फरनहिल में एक विमान इंतजार कर रहा है और उसने उडने की बाकायदा अनुमति ली है.	ఫెరన హిల దగగర ఒక విమానం సిదధంగా ఉంది, ఇంకా దానని చటటబదధంగా అదదెకు తీసుకుననారు.
नहीं. बिलकुल नहीं.	లేదు. అవకాశమే లేదు.
मैंने कहा कार रोको.	కారుని వెంటనే ఆపు.
कया हमने उस मोबाइल पर दोबारा फोन किया?	ఆ మొబెల ని మరోసారి పరయతనించి చూశామా?
यहाँ कुछ नहीं होगा!	ఏమీ జరగబోవడం లేదు!
इनहें एक लाश दिखानी थी. जमीन पर कुछ लोगों को एक लाश की तसवीर भेजनी थी.	వాళలు ఒక శవానని చూపించాలని అడిగారు. గరౌండ కి ఒక శవం ఫోటోని పంపమని చెపపారు.
कुछ भी हो, कया हम इस बात पर सहमत हैं:	ఏది ఎలా జరిగినా, మనమంతా ఒపపుకోవాలి:
जमीन पर बैठो! मैंने कहा जमीन पर बैठो!	నేల మీద కూరచోండి! నేల మీద కూరచోండి!
मतलब, 37. यह. . .	అంటే, 37. ఇది. . .
उनहोंने एक यातरी को गोली मार दी. उसका कतल कर दिया.	వాళలు ఇపపటికే ఒకరిని తుపాకీతో కాలచారు. ఒక హతయ చేశారు.
हाँ? कि हम अपने समझौते पर कायम हैं.	సరేనా? మనం ఒకే మాట మీద ఉంటాం కదా.
यह मेरे पास है! मेरे पास है. ले लो.	అది ఇకకడ ఉంది! ఇకకడ ఉంది. తీసుకో.
इस पर लिखा है, लडने के लिए "तैयार हो जाओ".	పోరాడటానికి "సిదధంగా ఉండండి" అని రాసి ఉంది.
विमान पर एक ही लाश थी और इनहोंने उसकी तसवीर भेज दी,	అంటే, విమానంలో ఉనన ఒకే ఒకక శవం ఫోటోని పంపించారు,
यह विमान उडकर उततरी अफरीका जा सकता है, और यही बात सबसे जरूरी है.	ఈ విమానానికి ఉతతర అమెరికా వరకూ వెళలే సామరథయం ఉంది, అది కీలకమెన అంశం.
- अगर यह नहीं, तो कौन? - सटुअरट.	- అతను కాకపోతే, ఇంకెవరు? - సటువరట.
धत तेरे की. जारा, जरा यहाँ देखो.	ఛ. జాహరా, నువవు ఇది ఒకసారి చూడాలి.
ठीक है. चलो, इसे आसान कर देते हैं.	సరే. దీనని మరింత తేలికగా చేదదాం.
- हम रुके हुए हैं. हमें देख लिया गया है. - समझ गई.	- మేము సథిరంగా ఉననాం. దొరికిపోయాం. - వింటుననాం.
ऐसा अनुमान है कि इस बरिटिश विमान पर 200 से जयादा लोग सवार हैं.	ఈ బరిటీష విమానంలో సుమారు రెండు వందల మంది పరయాణికులు ఉననారని అంచనా.
जो कुछ भी नीचे हो रहा है, उस पर.	కింద ఏం జరుగుతోందో, దాని కోసం.
यह किसने बनाया?	ఇది ఎవరు చేశారు?
ये सीधा उसी की तरफ जा रहे हैं.	వాళలు నేరుగా అకకడికే వెళతుననారు.
मममी, यह कया है?	అమమా, అది ఏంటి?
मेरी तरफ मत देख!	నా వెపు చూడదదు!
मुझसे यह चालाकी मत करो, डैनियल. तुमने रासता बंद कर दिया है.	నాతో ఇలాంటి ఆటలు ఆడదదు, డానియెల. మీరు ఈ రోడడుని బలాక చేయించారు.
दिखाई दे रहा है. टारगेट वाहन हमारे सामने है.	సమాచారం అందుకుననాం. టారగెట వాహనం మీద నిఘా ఉంది.
बुरा मत मानिएगा, लुइस, इसे सिरफ एक ही इंसान रोक सकता है और वह हैं आप.	మీ మీద గౌరవంతో చెబుతుననాను, లూయిస, దీనిని ఆపగలిగే ఏకెక వయకతి మీరే.
जिसके लंदन पहुँचने का तय समय एक बजकर छह मिनट है. वह विमान मुसीबत में है.	లండన కి ఒంటిగంట ఆరునిమిషాలకు చేరుకోవలసి ఉంది. ఆ విమానం పరసతుతం పరమాదంలో ఉంది.
- मैंने यह कहा था. - वह भी इतने कम समय में.	- ఆ విషయం చెపపాను. - ఇంత తకకువ సమయంలో చేయలేము.
टारगेट के पास हथियार हो सकता है. कया करना है?	టారగెట సాయుధుడె ఉండచచు. ఏం చేయాలో చెపపండి.
- किसने कहा है? - इससे तुमहारा कोई मतलब नहीं.	- ఇది ఎవరు కోరుకుననారు? - అది నీకు అనవసరం.
नहीं. यह देखो.	లేదు. ఇది చూడు.
हैलो? कया आप दोहरा सकते हैं?	హలో? మరొకసారి గటటిగా చెపపగలరా?
कुछ हो रहा है.	ఏదో జరుగుతోంది.
ऐसा करने की कोई जरूरत नहीं है.	ఇది ఇలా జరగకుండా ఉండాలసింది.
यह गृह मंतरालय का मामला है.	ఇది హోమ శాఖ కారయాలయం వయవహారం.
तुमहें एक यातरी को मारना है,	మనం ఒక పయాసింజర ని చంపాలి,
वही हो रहा है.	ఇంక మొదలెంది.
इसके अलावा, यह किंगडम एयरलाइंस की फलाइट है, जो दुबई से लंदन आ रही है.	అంతేకాక, అది దుబాయ నుండి లండన బయలుదేరిన కింగడమ ఎయిర లెనస విమానం.
ठीक है. वे हमारी नजरों के सामने हैं. ओवर.	సరే. వాళలని ఒక కంట కనిపెడుతుననాం. ఓవర.
ठीक है, जब विमान हमारे हवाई कषेतर में आएगा, तब के लिए एक बबल तैयार करो.	సరే, ఆ విమానం మన గగనతలంలోకి పరవేశించగానే మనం ఒక రకషణ కవచం ఏరపాటు చేదదాం.
समझ गया. तुमहें एक यातरी को मारना है और उसकी तसवीर खींचनी है.	నాకు అరథమెంది. మీరు ఒక పయాసింజర ని చంపేసతారు, ఒక ఫోటో తీసుకుంటారు.
वह रही वह लडकी. तुम उसे देख सकते हो, वहीं दीवार पर, मुसकुराते हुए,	అదిగో ఆమె. మీరు నిలబడిన పకకనే గోడ మీద ఆమె నవవుతూ కనిపిసతోంది,
कार में बैठे उन दो लोगों पर कम धयान दो और उस कमबखत विमान में बैठे 200 लोगों पर जयादा.	మనం కారులో ఉనన ఇదదరి మీద తకకువ దృషటి పెటటి, విమానంలో ఉనన రెండు వందల మంది గురించి ఆలోచించాలి.
हाँ. यहीं से.	అంతే. అలాగే.
अपने मुँह से पेन निकालो.	నీ నోటి లోంచి పెనను తీసేయ.
ठीक है. मैं आपको तुरंत वापस कॉल करूँगी.	సరే. నేను వెంటనే తిరిగి ఫోన చేసతాను.
किंगडम 2-9 एक घंटे से भी कम समय में हमारे हवाई कषेतर में आ जाएगा.	కింగడమ 2-9 గంట కననా తకకువ సమయంలో మన గగనతలంలోకి పరవేశిసతుంది.
ये उन देशों में नहीं जाएँगे, कयोंकि ये यहाँ से उड ही नहीं पाएँगे.	వాళలు ఆ దేశాలకు వెళలడం లేదు, ఎందుకంటే వాళలు అసలు టేకాఫ కారు.
- हम कोई समझौता नहीं कर सकते इन. . . - योजना उनकी बातें धीरे-धीरे मानने की थी.	- మనం తీవరవాదులతో చరచలు జరపం. . . - మనం నిదానంగా వయవహరించాలననది మన పలాన.
सभी को विमान से सुरकषित नीचे उतार लिया जाए. सभी 216 यातरियों को.	అందరూ కషేమంగా చేరుకునేలా చూడాలి. మొతతం 216 మంది పరయాణికులు.
इसके अनुसार, इसे कुछ ही दिन पहले सपीच थेरेपिसट की नौकरी मिली थी.	ఈ పోసట పరకారం ఆమెకు సపీచ థెరపిసట గా ఈ మధయనే ఉదయోగం వచచింది.
मतलब, इंकार नहीं. मेरा मतलब है. . .	అంటే, ఎదురుతిరగడం కాదు. నా ఉదదేశం. . .
हमारा इससे कोई लेना-देना नहीं है. मुझसे बेहतर तुम जानते हो	దీనితో మాకు ఎలాంటి సంబంధం లేదు. ఈ విషయం నాకననా నీకే బాగా తెలుసు
एडगर यैनसन. तारीख 28 दिसमबर, 1959.	ఎడగర జానసెన. 28వ తేదీ, 12వ నెల, 1959.
तो लोग अपनी जान गँवा बैठेंगे. समझ गए?	జనం కరమంగా చనిపోతుంటారు, అరథమెందా?
ठीक है, अचछा. उनके बहुत पास मत जाना.	సరే, మంచిది. మరీ దగగరగా వెళలకండి.
वे सबसे पहले यही बात सोचेंगे, है ना?	మొదటగా వాళలు అదే ఆలోచిసతారు, కదా?
जब हर जगह तबाही मची हो	ఒకటి మాతరం ఖచచితంగా నిజం
टारगेट वाहन चल रहा है.	టారగెట వాహనం కదులుతోంది.
बहुत बढिया.	బాగా చేశారు.
टारगेट एक मोबाइल छोडकर गया है, एक सिलवर रंग का मोबाइल.	టారగెట ఒక మొబెల ఫోన ని విడిచి వెళలాడు, అది సిలవర మొబెల ఫోన.
तो एक बात निशचित है: लोग सबसे पहले अपनी जान बचाते हैं.	ఏదెనా హఠాత పరిణామం జరిగితే, జనం తపపించుకోవాలని చూసుకుంటారు.
बस बात यह है कि किसी को मारने की जरूरत नहीं है.	విషయం ఏమిటంటే, ఎవరూ ఎవరినీ చంపే అవసరం లేదు.
टारगेट एक वाहन से बाहर निकल रहा है.	మొదటి టారగెట ఆ వయాన దిగుతుననాడు.
आपने आधिकारिक रूप से साफ कर दिया है कि आपको इससे एतराज है,	మీ అభయంతరాలని సపషటంగా చెపపారు, అదంతా రికారడ అయి ఉంది,
विमान पर कबजा करने के लिए हमें तैयार रहना होगा और मैं सिरफ अपनी बात नहीं कर रहा हूँ.	ఈ విమానానని సవాధీనం చేసుకోవడానికి సిదధంగా ఉండాలి, ఇంకా నేను నా గురించి మాతరమే మాటలాడటం లేదు.
जो सोमवार से शुरू होने वाली थी.	సోమవారం నుంచి అందులో చేరాలసి ఉంది.
वाहन पूरव दिशा से इस तरफ आ रहा है.	వాహనం తూరపు వెపు నుండి వసతోంది.
लेकिन पतरकार फीलिकस सटेटन ने एक टवीट किया है,	కానీ జరనలిసటు ఫెలికస సటాటన చేసిన టవీట ని,
मतलब, इनके एक लाश की तसवीर भेजने से यह साबित होता है कि ये जो कह रहे हैं, वह वाकई करेंगे.	నా ఉదదేశం, వాళలు ఒక శవం ఫోటోని పంపిసతే, అది చూపించి తాను ఎంత పరమాదమో చాటుకుంటారు.
हमने उनके टरक का जीपीएस हैक कर लिया है. यह लाल बिंदु वही है.	మేము ఆ ఫోర వీలర వయాన జిపిఎస ని హయాక చేశాము. ఆ రెడ డాట ఆ వాహనానిదే.
तो यहाँ से चलते हैं.	మనం వెళలిపోదాం అంటాను.
हमें नहीं पता वहाँ नीचे कया हो रहा है और ना ही इनहें पता है.	కింద ఏం జరుగుతోందో మనకి తెలియదు, అలాగే వాళలకి ఇకకడి సంగతి తెలియదు.
फरसट ऐड किट से. चलो.	ఫసట ఎయిడ కిట. కానివవు.
ऐसी और मौतें हों, इससे बेहतर है इन आदमियों को जाने दिया जाए?	ఇలాంటి మరణాలు మరినని సంభవించేకంటే ఈ మనుషులని వదిలేయడమే మంచిది కదా?
ठीक है, मेरी बात सुनो. मैं कुछ करता हूँ.	అలాగే, నా మాట విను. నేను దీనని పరిషకరిసతాను.
लगता है विमान उडने की तैयारी में है. अभी कोई हरकत नहीं.	ఆ విమానం బయలుదేరడానికి సిదధంగా ఉననటలుంది. అపరమతతం.
कया, तुम इसी समय मिलना चाहते हो?	ఇపపుడు నేను ఏం చేయాలి అంటావు?
हे. पता नहीं. यह उन महिला का है.	హేయ. నాకు తెలియదు. ఇది ఆమెది.
हमें जरूरत पडेगी. . .	మనకి అవసరమెనది. . .
जारा, तुमने देखा पिछली बार कया हुआ था.	జాహరా, ఇంతకుముందు ఏం జరిగిందో నీకు తెలుసు.
यह तूने ही चुना था!	ఇది నువవు ఎంచుకుననదే!
मुझे बेवकूफ मत समझो, डैनियल.	నేను వెరరివాడిని కాదు, డానియెల.
मैं अपनी पूरी शराफत से तुमहें समझाता हूँ.	ఇకకడ నేను సామానయ పౌరుడిలా మారిపోయాను.
इनहोंने लूइस की जान बचाने की कोशिश की थी.	లూయిస పరాణానని కాపాడాలని పరయతనించాడు.
इसलिए, हम यहीं रुकेंगे.	కాబటటి, మనం ఇకకడే ఉందాం.
टारगेट एक के पास हथियार हो सकता है. कया करना चाहिए?	మొదటి టారగెట సాయుధుడె ఉండచచు. మీ సలహా చెపపండి.
{\an8}उडान के दौरान हुई एक बडी घटना की अपुषट खबरें आ रही हैं.	{\an8}బరిటీష పయాసింజర విమానంలో ఒక పెను పరమాదం జరిగింది.
मैं विमान में मैसेज भेज रहा हूँ और एक और तसवीर मँगवा रहा हूँ.	నేను విమానానికి మెసేజ చేసి మరొక ఫోటో కోసం అడగబోతుననాను.
अगर कार किसी हवाई अडडे की तरफ जा रही है,	ఆ కారు గనుక ఎయిర పోరట కోసం వెళతుంటే,
- मैं चाहती हूँ. . . - और फरनहिल का एक हवाई कषेतर.	- నాకు. . . - ఫెరన హిల దగగర విమానకషేతరం ఉంది.
वाहन उततरपशचिमी दिशा में जा रहा है. उततरपशचिम में.	వాహనం వాయువయం వెపు వెళుతోంది. అది వాయువయ దిశ.
हमने विशेष बल बुला लिए हैं.	సపెషల ఫోరసెస ని సిదధంగా ఉంచాం.
ये कया कर रहे हैं?	వాళలు ఏం చేసతుననారు?
छोटा वाहन आ चुका है.	ఎవరో నిరధారించారు.
मैं यह तब तक जारी रख सकता हूँ, जब तक तुमहें मेरी बात समझ नहीं आ जाती.	మీకు పరిసథితి అరథమయయే వరకూ నేను ఒకకొకకరినీ చంపుకుంటూ వెళలగలను.
एडगर, सब कुछ वैसे ही हो रहा है जैसा तुम चाहते हो.	ఎడగర, నీకు ఏం కావాలో అవి అననీ నీకు ఇసతుననాం.
बिल वगैरह देखो. कहीं उन पर उस औरत का नाम हो.	ఆ బిలస గురించి చూడు. ఆమె పేరు కనిపిసతుందేమో చూడు.
उनकी कार चेक की गई थी. टारगेट की तलाशी ली गई थी. टारगेट के पास हथियार नहीं है.	ఆ కారుని తనిఖీ చేశాం. టారగెట ని చెక చేశాం. టారగెట దగగర ఆయుధం ఏదీ లేదు.
हाल की सरकारी घोषणा के बाद बाजारों में,	మారకెటలలో, బాండ ధరలు సథిరంగా తగగాయి
यहाँ कया हो रहा है?	మనం ఏం చేసతుననాం?
एडगर, हमने कोई रासता बंद नहीं किया है.	ఎడగర, మేము ఏ రోడడునీ బలాక చేయలేదు.
माफ करना. यह कया ब. . . यह कया बकवास चल रही है?	సారీ. ఏంటి ఈ చెతత. . . అసలు ఏం జరుగుతోంది?
- उसने संसदीय विशेषाधिकारों का इसतेमाल करके. . . - हाँ, लेकिन उसे वह जानकारी तुमहीं ने दी थी.	- అతను పారలమెంటర హకకులని ఉపయోగించుకుని. . . - కానీ, అతనికి సమాచారానని నువవే ఇచచావు.
जरूर, बचचे. तुम जरूर देख सकती हो.	నువవు చూడచచు, బేబీ. తపపకుండా చూదదువు.
मैं मजाक नहीं कर रहा हूँ, डैनियल. रासता खुलवाओ, नहीं तो एक और यातरी मरेगा.	నేను నిజంగా చెబుతుననా, డానియెల. మాకు అడడు తొలగించు, లేదంటే ఇంకో పయాసింజర చనిపోతారు.
तो अब वह लयूटन या सॉउथएमपटन नहीं हो सकता.	ఆ దారిలో లూటన లేదా సౌతాంపటన ఎయిర పోరటులు రావు.
यह खबर अगले 30 मिनट में बाजार में फैल जानी चाहिए,	ఇంకో ముపపె నిమిషాలలో సటాక మారకెట కి ఈ విషయం తెలుసతుంది,
तो वह जहाँ भी है, वहाँ जाओ, उसकी तसवीर खींचो,	కాబటటి ఆమె దగగరకి వెళలి ఒక ఫోటో తీసుకుని
और बस उतना ही समय विमान के घर पहुँचने में लगेगा.	మన విమానం మన ఊరు చేరుకోవడానికి అంత సమయం పడుతుందనన మాట.
यहाँ यही करना उचित होगा कि हम उनकी बातें मानें,	ఇకకడ చేయాలసిన పని ఏమిటంటే పరిసథితిని అరథం చేసుకోవాలి,
