जून लेंकर	జూన లెంకర
यह इतना शरमनाक है. वह कैसी थी? कया वह अचछी थी?	పరువు పోయిందిపో. ఎలా చెపపేదేంటి? బాగానే చెపపేదా?
हम समुदाय के नेताओं के साथ मिलकर काम कर रहे हैं,	మేము వివిధ వరగాల నాయకులతో కలిసి పని చేసతుననాం,
आप इस महिला को जानते हैं	ఈ మహిళ ఎవరో మీకు తెలుసా
हमें इसकी जरूरत नहीं है.	కానీ మాకు ఈ అవసరం లేదు.
माफ करना. कोई और भी कारला को ढूँढ रहा है? कौन?	సారీ. కారలా కోసం వేరే వాళలు వెతుకుతుననారా? ఎవరు?
उसने किसे फोन किया था?	అతను ఎవరికి కాల చేశాడు?
मैंने उनसे कहा कि अगर मैंने जून के बारे में बुरा बोला तो कलॉडिआ मेहयू	తన గురించి వయతిరేకంగా మాటలాడితే, కలాడియా మేహయూ, ఇంకా పోలీసులలో ఉనన
कया? आपका कया मतलब है?	ఏంటి? ఏమంటుననావు నువవు?
शायद तुमहें शुरुआत. . .	నువవు మొదలుపెటటడం. . .
तुमहें डैन मकैब याद है जो ऐलथम में रहता है?	ఎలతమ లో పని చేసే డాన మెక కేబ గురతుననాడా నీకు?
वह लाल बालों वाली. उसका नाम कया है? कलॉडिआ.	అదే ఆ ఎరర జుటటు ఆవిడకి. ఆమె పేరేంటి? కలాడియా.
- मुसतफा डेमिर? - हाँ.	- ముసతఫా డెమీర? - హా.
हे भगवान, तुमहें ढूँढने में काफी कठिनाई हुई.	బాబోయ, నినను కనిపెటటడానికి చాలా కషటపడడాను.
तुमसे मिलकर खुशी हुई.	మిమమలని కలవడం బాగుంది.
मैंने कभी उस शबद का इसतेमाल नहीं किया. पर रॉय मेरे पीछे पड गया था.	ఆ పదమే నేను వాడలేదు. కానీ రాయ పరశనలతో ఉకకిరిబికకిరి చేసతుననాడు.
हाँ, तो गिलफॉएल के साथ कया समझौता था? वह तुमहें पैसे दे रहा था?	సరే, గిలఫోయిల తో నువవు కుదురచుకునన ఒపపందమేంటి? నీకు డబబులు ఇసతాడా?
ठीक है, तुम आज रात डोरिस को फोन करोगी. . .	సరే, ఈరాతరికి నువవు డోరిస కి కాల చేయాలి. . .
सुनो, मुझे हर संभव मदद की जरूरत है, समझे?	చూడు, నాకు ఎంత సాయం వీలెతే, అంత కావాలి కదా?
वह कया है? आरमेनियन?	ఎవరు అతను? అరమేనియనా?
- कषति? - हाँ. कषति.	- నషటమా? - హా, నషటమే.
हैलो, सर. यह बस उस घटना के बारे में है जो पारक में घटी थी.	హలో, సర. పారకులో జరిగిన కాలపుల ఘటన గురించి దరయాపతు చేసతుననాం.
नहीं, नहीं, नहीं, तुम यह अचछी तरह जानती हो. वह परेस कॉनफरेंस?	లేదు, లేదు, నీకు బాగా తెలుసు. ఆ మీడియా సమావేశం జరిగిందిగా.
- कि तुम पुलिस में कयों भरती हुई. - मैं कोशिश कर रही थी. . .	- నాకు అససలు అరథం కాని విషయం అదే. - నా పరయతనం ఏంటంటే. . .
और आपको पूरा यकीन है कि यह वही महिला है?	ఆవిడ ఈవిడే అని మీకు పకకాగా తెలుసు కదా?
- कैसी जानकारी? - तुम उसकी चिंता मत करो.	- ఏ సమాచారం? - దాని సంగతి నీకు వదదులే.
उसने सब कुछ सवीकार कर लिया, पूरी घटना.	మొతతం నేరమంతా తనే చేసినటటు అంగీకరించాడు.
कैमरा घुमाओ. घुमाओ.	కెమెరా తిపపు. తిపపు.
और बात को हद से आगे बढा दिया, तो यह उसकी गलती है. यह. . . मेरी गलती नहीं है.	మొతతానని పెసథాయికి రిపోరట చేశాడంటే, ఇది జరిగింది అతని వలలే. నా. . . నా వలల కాదు.
- नहीं. नहीं कर सकती. -. . . और उनहें,	- నేను చేయలేను. -. . . ఎవరికో బాగాలేదనో,
आप उसका नाम जानती हैं, मिसेज ओदिनाका?	ఆమె పేరేంటో మీకు తెలుసా, మిసెస ఒడినాకా?
मानो मुझे यहाँ की सारी खबरें पता हों.	నేను ఏదో ఇకకడి పరజల పరతినిధిని అయినటటు.
उसके पास अनयतर उपसथिति का गवाह भी था.	ఆ సమయంలో వేరే చోట ఉననానని కూడా చెపపాడు.
हमें तुम पर विशवास है. तुमहें बस हमें उसका नाम बताना होगा.	నినను మేము నమముతుననాం. నువవు మాకు అతని పేరు చెపపు చాలు.
उसकी शानदार देखभाल की जा रही है. . .	అతనని వెదయులు బాగా చూసుకుంటుననారు. . .
वे पूरे इलाके पर नियंतरण करना चाहते हैं और उनहें कोई विरोधी नहीं चाहिए.	అననీ వాళల అదుపులోనే ఉంచుకోవాలనుకుంటారు, పరతయరథులు ఉండటం వాళలకి అససలు నచచదు.
हाँ. मेरा मतलब, मुझे विशवास हुआ, हाँ.	హా, నాకు అది నమమకంగానే అనిపించింది.
पर कया उसने वह खुद चलाई थी या उसने किसी दोसत के लिए उसे सहेजकर रखा था?	కానీ అతనే కాలచాడా, లేకపోతే వేరే మితరుని కోసం దానని అతని దగగర పెటటుకుననాడా?
मेरा मतलब, कया मैं कुछ चूक रही हूँ?	అంటే, నాకేమెనా తెలియాలసిన సంగతి ఉందా?
पर उसे एक फोन करने का समय मिल गया.	ఆ కంగారులో కూడా అతను ఫోన కాల చేశాడు,
गलती मेरी है. मुझे तुमहें परेस कॉनफरेंस में बोलने ही नहीं देना चाहिए था.	తపపు నాదే. మీడియా సమావేశంలో నినను భాగసథురాలిగా చేసి ఉండాలసింది కాదు.
हमें तुमहें इस जाँच से हटाना होगा.	విచారణ నుండి నినను తపపించక తపపటలేదు.
हम बस यहाँ जितना हो सके जानकारी इकटठी करने आए हैं.	మాకు వీలెనంత సమాచారం సేకరించే పనిలో ఉననాం మేము, అంతే.
पर मैंने कभी नहीं कहा कि तुमने मुझ पर दादागिरी की थी.	కానీ నువవు ననను బెదిరిసతుననావని మాతరం నేను అనలేదు.
मेरा मतलब, चलो यह सच मान लें, तुमने काफी जोर डाला था.	ఉనన విషయం చెపతాను, నువవు కూడా బాగా గటటిగా అడిగావు.
- तुम शानदार जिंदगी जी रहे हो. - हाँ, मेरे दोसत. जिंदगी शानदार है.	- ఇంత కననా ఏం కావాలి నీకు! - అవును, నేసతమా. జీవితం సాఫీగా సాగిపోతోంది.
आप यहीं रहती हैं?	ఇకకడే ఉంటుననారా?
नहीं, तुमने सही कहा. मैं बस. . .	లేదు, నువవు అననది నిజమే. నేను. . .
सभी को सुरकषित और संरकषित महसूस करने का हक है. . .	అందరికీ సురకషితంగా, భదరంగా అనిపించడం ముఖయం. . .
पर मैं बता रही हूँ, एरॉल जलद ही घर वापस लौटेगा.	కానీ చెపతుననా కదా, ఎరరొల తవరలోనే ఇంటికి వచచేసతాడు.
उसने मुझे जाँच दल से हटा दिया. आप यह जानते हैं?	అతను ననను విచారణ నుండి తపపించాడు. అది మీకు తెలుసా?
कया तुमने किसी को बताया कि हम उसे ढूँढ रहे हैं?	తన కోసం మనం వెతుకుతుననామని నువవు ఎవరికెనా చెపపావా?
लोग देखते हैं, वे बातें करते हैं.	జనాలు చూసతే, గుసగుసలాడుకుంటారు.
एक बेहद जरूरी मामला सामने आया है.	ఒక అతయవసరమెన పరిసథితి ఏరపడింది.
अब उनहोंने उसे बस कुछ धमकी भरे संदेशों के कारण	బెదిరించే విధంగా ఉండే మెసేజలను కొననింటిని పంపాడని
- हाँ, वह. . . - मेरी कोई. . .	- హా, అతను. . . - కోపం అంటే. . .
जो कि बेहद अजीब है. इसलिए उनहोंने मुझे फोन किया.	అదే వింతగా ఉంది. అందుకే ఆమె నాకు కాల చేసింది.
किस चीज के बदले?	దేనికి బదులుగా?
या तुमहारे किसी परिवार वाले को.	అలాగే నీ కుటుంబ సభయులని కూడా.
तुमहें फोन पर उसकी आवाज सुननी चाहिए थी. हैगरटी की. वह अकड रहा था, पर वह घबराया हुआ था.	ఫోనులో హెగరటీ మాటలను నువవు విని ఉండాలసింది. కటువుగానే మాటలాడినా, కలవరపడుతుననాడని తెలుసతోంది.
पहली पुलिसवाली हो जिसने मेरा नाम सही लिखा.	నా పేరు సపెలలింగ ని సరిగగా రాసిన పోలీసు మీరే.
थोडा "माई लिटिल पोनी" जैसा है.	అమమాయిలకి ఇచచేదిలా ఉంది ఇది.
हाँ, सब ठीक है.	హా, ఏం పరలేదు.
उनके बीच एक बडा झगडा हुआ था.	వాళలిదదరూ బాగా గొడవపడుతుననారు.
वही मिला जिसके वे हकदार हैं #मॉबआरमी हमें परेशान किया तो हम बदला जरूर लेंगे	వాళలకి తగిన శాసతే జరిగింది #గూండాల సెనయం మాతో పెటటుకుంటే వేసి పారేసతాం
मैं समझाने की कोशिश कर रही थी.	నేను వివరించే పరయతనం చేశాను.
जो टीवी पर दिखाया गया था, जिसके बारे में वे बता रहे थे?	టీవీలో ఒక సంఘటన గురించి మాటలాడారు కదా, దాని గురించే అననమాట.
वे जाँच बिठाएँगे. वह जाँच कई महीनों तक चलेगी	విచారణ చేపడతారు. అది ఏళల తరబడి సాగుతుంది,
- यह सोनया है. मुझे जाना चाहिए. - ठीक है.	- సోనియా మెసేజ చేసింది. నేను వెళలాలి. - సరే.
तो तुमने वापस जाकर कहा कयों नहीं कि तुमसे गलती हुई थी?	మరి పోలీసుల దగగరికి వెళలి, పొరపాటు జరిగిందని చెపపవచచు కదా?
हाँ. हाँ, मुझे अभी-अभी लेयटन के एक आशरय गृह से फोन आया था.	సరే. లేటన లో ఉండే ఒక శరణారథుల ఆశరయం నుండి ఫోన వచచింది.
- मुझे पता है कि मैंने तुमहें निराश किया. - कोई बात नहीं.	- నేను నినను చాలా నిరాశపరచానని తెలుసు. - ఏం పరలేదులే.
डैनिएल हैगरटी	డయానియల హెగరటీ
हाँ. जो भी हो.	హా, ఏదోకటిలే.
शायद उसे आखिरकार अपना मन हलका करके कुछ हद तक सुकून मिला.	నాకు చెపపాక, అతని గుండె బరువు వదిలినటటు అనిపించింది.
पुषटि करेगा कि उसने एरॉल को ही देखा था?	అతను చూసింది ఎరరొల నే అని పకకాగా చెపపగలడా?
मैंने अभी-अभी मुसतफा नाम गूगल किया था.	ఇందాకే ముసతఫా అనే పేరును గూగుల లో వెతికా.
पैटरिक, तुम यहाँ इस तरह आते नहीं रह सकते.	పాటరిక, నువవు ఇలా ఊరికే వసతూ ఉండకూడదు.
. . . किसी भी समुदाय में.	. . . అది ఏ వరగానికెనా సరే.
पूरी तरह से मना कर दिया था.	ఆ జఞాపకానని తుడిచివేశాడు.
तुमहें मेरा नाम कैसे पता?	మీకు నా పేరు ఎలా తెలిసింది?
और एरॉल मैथिस की फिकर करना बंद कर दो. मैंने वह मामला सुलझा लिया है.	ఇక ఎరరొల మయాథిస గురించి కంగారుపడటం ఆపేయ. అది పరిషకారమెపోయింది.
तुमहें नहीं पता तुम किससे उलझ रही हो.	మీరు దేనని గెలుకుతుననారో మీకు తెలీటలేదు.
कलॉडिआ मेहयू	కలాడియా మేహయూ
मुसतफा डेमिर	ముసతాఫా డెమీర
अगर कोई है जो तुमहें चेतावनी देने की कोशिश कर रहा है	ఆగంతకులు కొందరిని లకషయంగా చేసుకొని దాడులు చేసతూ,
सर, उस आदमी को कैसे पता चला कि मेरी कार वहाँ खडी थी?	సర, నా కారు పారక చేసి ఉందని అతగాడికి ఎలా తెలుసు?
- नहीं. मैंने तुम पर विशवास किया था. और तुमने कया किया? - यह. . .	- లేదు, నేను నినను నమమాను. కానీ నువవు ఇలా చేశావు! - అది. . .
- सूची में? - फलैट के लिए.	- జాబితానా? - ఫలాట కోసం.
तुम उनसे दूर रहोगी और तुम यह आज रात को ही करोगी.	తన దగగర నువవు ఉండకూడదు, ఆ ఫోన నువవు ఈరాతరికే చేయాలి.
अगर मुझे पता चला कि तुमने जानकारी साझा की है, कोई भी जानकारी, तो मैं कोई परहेज नहीं करूँगा.	ఆ విషయాలను, కొనని అయినా నువవు చెపపావని నాకు తెలిసిందనుకో, నువవు నా విశవరూపం చూసతావు.
मैं तुमहें बरबाद कर दूँगा.	నినను భూసథాపితం చేసేసతా.
धनयवाद. जैसा कि आप जानते हैं, आइजैक की हालत अब भी गंभीर है.	థయాంకయూ. మీకు తెలిసే ఉంటుంది, ఐసాక పరిసథితి ఇంకా విషమంగానే ఉంది.
हैलो. आप जाँच दल से बात कर रहे हैं.	హలో. మీరు విచారణ బృందానికి కాల చేశారు.
हाँ. माफ कीजिए, सर. यह बस एक और झटका है, समझे?	అవును. సారీ, సర. వేరే విషయం గురించి ఆలోచిసతుననాను.
- पैथॉलोजी रिपोरट. - हाँ.	- పాథాలజీ రిపోరట. - హా.
सीना तानकर अंदर जाओ. कोई नहीं हँसेगा.	వెళలి ధెరయంగా మాటలాడు. ఎవరూ నవవరు.
पर तुमहें सूचित करना मेरा करतवय है	కానీ నా బాధయతగా నేను మీకొకటి చెపపాలి,
माफ करना, मैं ब. . . मैं बस बडबडा रही हूँ और. . .	సారీ, నేను. . . నేను ఏదేదో వాగుతూనే ఉననా. . .
- कैसे पकष? - तुमहें पता है कि मैं तुमहें विवरण नहीं दे सकता.	- అందరి పటలా అంటే? - ఆ విషయం నేను చెపపలేనని నీకూ తెలుసు.
आपको कयों लगता है कि आप जिस महिला से मिली थी, यह फलायर वाली महिला वही है?	పాంపలెట లో ఉనన మహిళ, మీరు కలిసిన మహిళ ఒకకరే అని మీకు పకకాగా తెలుసా?
हाँ. धनयवाद.	హా. థయాంకస.
यही तथय हैं.	అవి నిజాలే.
तुमहारे पुराने बॉस को लगता है कि तुम इसतानबुल जाकर बस गए थे.	నీ పాత బాస, నువవు ఇసతానబుల కి వెళలిపోయావేమో అని అననాడు.
बस फोन करो.	ఫోన చేయవమమా.
हम आप पर हमला नहीं कर रहे हैं. बस शांत हो जाइए.	మేమేమీ మీపె దాడి చేయటలేదు. కాసత శాంతించండి.
- कया तुमने इसकी पुषटि की? - हाँ. हे भगवान.	- అది నువవు నిరధారించుకుననావా? - హా. అయయ బాబోయ.
- कया? - तुम और तुमहारे नए दोसत.	- ఏంటి? - నువవు, నీ కొతత సనేహితులు.
नहीं, हम तुमसे सूची मिलने का इंतजार कर रहे हैं. कयों?	లేదు, నువవు పంపే జాబితా కోసం మేము ఎదురు చూసతుననాం. ఏమెంది?
हेलपलाइन पर फोन करें.	హెలప లెన కి కాల చేయండి.
- सात बार. - सात बार.	- ఏడుసారలు. - ఏడుసారలు.
नहीं. आपका कया मतलब है?	లేదు. ఎందుకలా అననారు?
हम बस जानना चाहते थे कि उनकी योजना कया है.	వాళల వయూహం ఏంటో తెలుసుకోవాలననదే మా పలాన, అంతే.
- चलो भी. - और फिर अब, आज मैंने किसी पर दादागिरी की?	- ఏం మాటలాడుతుననావు? - ఇవాళేమో, ఏకంగా ననను రౌడీ చేసేశాడు.
ठीक है. तो, बेशक, तुमने उसे कारला के बारे में बताया?	సరే. అయితే, నువవే ఆయనకి కారలా గురించి చెపపుంటావు, అంతేనా?
पर तुमहारी माँ तीखा खा सकती थी.	కానీ అంత కారముననా మీ అమమ తినేసేది.
मुझे इस सबके लिए खेद है, पर यह मेरा फैसला था.	ఈ ఏరపాటలకి మననించాలి, నేనే ఈ పని చేయమననా.
तुमहें खुद से पूछना होगा, "उसने किसे फोन किया था? "	"అతను ఎవరికి కాల చేసి ఉంటాడు? " అనే పరశన మనం వేసుకోవాలి.
उनहोंने उनके वयसक जीवन के दौरान, हर दिन उनहें परेशान किया था.	అతడిని రోజూ చితరహింసలు పెటటి, అతని జీవితానని అతనికి కాకుండా చేశారు.
जेनी विटलो	జెననీ విటలో
इतने लंबे और सुंदर बनते देखकर.	చాలా పొడుగగా, అందంగా తయారెనందుకు.
दूसरे लडके का? चलिए भी. बेशक, मुझसे बदतर है.	వాడా? తెలీటలేదా? నాకననా దారుణంగా ఉననాడు.
हम कया करेंगे, मुसतफा?	ఏం చేసతావు, మొసతాఫా?
जून. मुझे पता है कि यह बहुत बडा झटका है.	జూన, నాకు తెలుసు, ఇవననీ దిగమింగుకోవడం కషటమే.
यह मेरी बेटी है, लीसा.	తను నా కూతురు, లీసా.
तुमहें कोई अंदाजा नहीं है कि कितनी कषति पहुँची है.	దాని వలల ఎంత నషటం జరిగిందో మీరు ఊహించను కూడా ఊహించలేరు.
सब ठीक है?	అంతా ఓకేనా?
तुमहें मुझ पर विशवास नहीं है. वो यह पहले भी कर चुका है.	మీరు నా మాటలని నమమటలేదు. అతనికి ఇది కొతతదేమీ కాదు.
एक पुरुष पुलिस ऑफिसर ने कारला के नाम से रहने वाली	ఆ ఆశరయంలో కారలా అనే పేరుతో చేరినవారు ఎవరెనా ఉననారా అని
हमारे पास चशमदीद गवाहों का बयान है कि उनहोंने तुमहें हथियार के साथ देखा था.	ఆయుధం నీ చేతిలో ఉండిందని కొందరు సాకషులు ఇచచిన వాంగమూలం ఉంది మా దగగర.
पर हतया की कोशिश के लिए नहीं.	కానీ హతయాయతనం మీద ఎపపుడూ కాలేదు.
तुमहारी दोसत, मेगन मारकल के साथ.	నీ సనేహితురాలు మేఘన మారకల తో.
देखो, मैं किसी मुसीबत में नहीं पडना चाहता.	చూడండి, నాకు సమసయలలో ఇరుకకోవాలని లేదు.
मुसतफा, कुछ है जो तुम मुझे बताना चाहते हो?	మొసతాఫా, నువవేమెనా చెపపాలనుకుంటుననావా?
- लीसा. - एक सेकंड.	- లీసా. - ఒకక నిమిషం.
- मैं उसे जानकारी देती हूँ. - जानकारी?	- నేను అతనికి కొనని చెపతాను. - కొనని అంటే?
जो मरजी कह सकती हो.	నీకు నచచింది చెపపుకో.
- माँ नाटक में हिससा लेती थी? - दरअसल, सभा में.	- అమమ నాటికలు వేసేదా? - నాటికలంటే అసెంబలీ చెపపేదిలే.
देखो. वह इसमें है. पीछे खडी है.	చూడండి. వెనుక పకకన ఉంది ఆమె.
ठीक है, ठीक है. तो मैं फोन करूँगी. वे शिकायत दरज करेंगे.	సరే. నేను కాల చేసతాననే అనుకుందాం. వాళలు ఫిరయాదు నమోదు చేసతారు.
- माँ. - कया हुआ? उसे जानने का हक है.	- అమమా. - ఏంటి? వీడికి కూడా తెలియాలి కదా.
हाँ, तो हम बस 28 तारीख, बुधवार को घटी	సరే, బుధవారం 28వ తేదీన జరిగిన ఘటన గురించి
