हैलो! मदद करो!	హలో! కాపాడండి!
जब मैं इसकी उमर की थी, तो पैसे लेकर भी मैं नहीं पढती थी.	నేను తన వయసులో ఉననపపుడు, ననను కూరచోబెటటి చదివించలేకపోయారు.
लगभग गाडी के पास. जलदी करो!	కారు దగగరదాకా వచచాము. తవరగా!
वापस आया तो बुरे हाल में था.	తిరిగి వచచాక, కలతగా ఉననాడు.
हाँ. मैं गाडी लेकर आती हूँ.	అవును. నేను టరక తీసుకొసతాను.
हरनैंडेस ने बीस घंटों का फुटेज देखा. कुछ पता नहीं चला.	హెరనాడెజ 20 గంటలుగా సమాచార సేకరణలో ఉననాడు. ఏం తెలియలేదు.
हमने कई बार उसे पकडा भी था.	అతనని పలుమారలు అరెసటు చేశాం.
यानि खेल अंकों पर आधारित था?	అయితే ఆటలో పాయింటలు ఉంటాయా?
सपरलॉक की सुरंगों में जो नामों की सूची मिली थी, याद है?	సపరలాక సొరంగాలలో నాకు కనిపించిన పేరల జాబితా గురతుందా?
माँ को दोनो पर दसतखत करने होंगे, वरना अधययन यातरा नहीं.	అమమ ఆ రెండిటిపె సంతకం చేయాలి, లేదా ఫీలడ టరిపపులుండవు.
गरमियाँ खतम होने तक समय है.	నాకు వేసవి చివర వరకూ ఉంది.
-तुमने हेदर को घर से निकलते देखा? -नहीं. उसे फोन करो.	-హేథర ఇంటి బయటకు రావడం చూశావా? -లేదు. తనకు కాల చెయ.
अभी भी गीला है. इसे कुछ मिनट पहले ही लिखा गया होगा.	ఇది ఇంకా తడిగానే ఉంది. కొనని నిమిషాల ముందే వేసుంటారు.
-पलेयरस कया? -पलेयरस बॉल.	-పలేయరస ఏంటి? -పలేయరస బాల.
शहर में आते-जाते देखा है.	ఊరిలో అనుకుంటుంటే విననాను.
गुंडागरदी, तेज गाडी चलाना.	దౌరజనయం, నిరలకషయ డరెవింగ.
अपनी अगली रखैल को दे देना!	నీ తరువాతి వయభిచారికివవు!
अजीब बातें कयों कर रही हो?	విచితరంగా పరవరతిసతుననావు?
"अगर कोई मुझमें से परवेश करे, तो उसकी सेवा होगी. "	"ఎవరెనా నా నుండి పరవేశిసతే, అతను రకషించబడతాడు. "
वह बस विकलांग हो चुकी है.	ఆమెకు పకషపాతం వచచిందంతే.
यह दरअसल अलग ही है. हाँ.	ఖచచితంగా అలాంటిదే. అవును.
तुम डॉलफ. . . डॉलफिन हो.	నువవు ఒక డాల. . . డాలఫిన.
पर मैं तुमहें कुछ बताऊँ?	కానీ నేను నీకోకటి చెపపనా?
दरअसल, कया फरक पडता है?	నిజానికి, ఎవరికి కావాలి?
पिछले साल गरैजुएट हुआ.	గత ఏడాది డిగరీ పొందాడు.
पर वह इसलिए कयोंकि. . .	కానీ అదీ ఎందుకంటే. . .
यह यहाँ कया कर रहा है?	అతను ఇకకడేం చేసతుననాడు?
हे भगवान, मैं भी नहीं.	అయయో దేవుడా, నాకు కూడా.
भगवान के आदेशानुसार हम दवार खुले रखते हैं.	దేవుడు శాసించినటటు, దవారాలు తెరిచి ఉంచుతాము.
खिडकियाँ खुली रखने पर भी, उनके कमरे से आती	అతని పడకగది నుండి వచచే మందు వాసనకు, కిటికీలు
गोली लगी, रीढ की हडडी से एक इंच बचकर निकली.	వెననెముకకు అంగుళం దూరంలో బులలెట తగిలింది.
फलैश डिफयूजर खो जाते हैं. यह काम देता है.	నా ఫలాష డిఫయూసరలు కనిపించకపోతే ఇవి వాడతాను.
इतना याद रखना, तुम किसी की नौकरानी नहीं हो.	గురతుంచుకో, నువవు ఎవరికీ పనిమనిషివి కావు.
-हाँ, वहाँ पर. -अचछा.	-అవును, అకకడే. -సరే.
उसका मतलब पता है न कि हमारे साथ कोई जज था?	దానరథం నయాయనిరణేతలు మనలోనే ఉననారని, కదా?
हम शरत लगाया करते थे.	దానిపె పందెం కాసాము.
मुझे कितना वकत लगेगा.	ఆలోచించడం నాకు ఇషటం.
तुमने काफी पी रखी है.	ఇపపటికే బాగా తాగావు.
-बडे भाई की ओर से खास तोहफा! -छोड मुझे!	-నీకోసం నీ అనన పరతయేకంగా తెచచాడు! -వదులు!
हाँ, तुमने मुझे बताया. बडी मजेदार बात है.	సరే, చెపపావు. అది చాలా ఆసకతికరంగా ఉంది.
-कभी-कभी तुमसे डर लगता है. -बस कभी-कभी?	-ఒకకోసారి నినను చూసతే భయమేసతుంది. -అవునా?
भूलना मत, इसके साथ सखती से पेश आना होगा.	చూడు, మరచిపోకు, వీడితో కఠినంగా ఉండాలి.
-मैकस सलिंगर. -हैलो.	-మాకస సలింగర. -హాయ.
हेदर. देखो, यह. . .	హేథర. చూడు, ఇది. . .
तुम कहाँ जा रही हो?	ఎకకడికి వెళుతుననావు?
तुम दोनों अंदर आओगी,	ఇదదరూ లోపలికొసతారా,
ईमानदारी से पेश आओ.	నువవు వాసతవంగా ఉండు.
तुमहारा बदन पसंद है.	నాకు నీ శరీరం ఇషటం.
माफ करना, तेरे गरेजुएशन पर नहीं पहुँचा.	కషమించు, నీ గరాడయుయేషనకు రాలేకపోయాను.
साला मेरे जनमदिन पर फूल तक नहीं देता.	వెధవ నా పుటటినరోజు కనీసం పూలూ కొనివవడు.
-तुमहें भरम में हो. -बात को टाल रही हो.	-ఊహించుకుంటుననావు. -ఆలసయం చేసతుననావు.
-पयार से पेश आओ. . . -कया? देर तक उनका मजा लूट सकते हो?	-చకకగా సుననితంగా చూసుకుంటే. . . -ఏంటి? ఎకకువ సేపు ఎకకొచచా?
हाँ. उसे जानती हो?	అవును. అతను తెలుసా?
उममीद है पसंद आएगा!	నచచుతుందనుకుంటాను!
मैं मैवरिक में हूँ.	మావెరికలో చదివాను.
-अब याद आया. -हाँ.	-గురతొచచింది. -సరే.
मैं. . . मैं तुमहारे लिए बहुत खुश हूँ.	నాకు. . . నాకు నిజంగా సంతోషంగా ఉంది.
-हैलो, यार. -हैलो!	-హే, అమమాయిలు. -హే!
पसीना. भूख. जिदगी.	చెమట. ఆకలి. జీవితం.
तुम कया पूरी तरह टिंडर की बदौलत हो,	నీ ఈ వయకతితవానని టిండర నుండి పొందావా,
जीतने के लिए जिमी को चुना, नहीं जीता तो लडके गुससा हुए.	మేము జిమమీ గెలుసతాడననాము, అతను ఓడిపోతే కోపం వచచింది.
जैसा तुमने पिछली चुनौती पर कहा था. तुम मरना पसंद करोगी.	ఇదివరకటి సవాలులో నువవే చెపపావు. అంతకంటే చావడం మేలని.
जो पैसे लिए थे, उनमें से 400 डॉलर.	అవి నీవి తీసుకునన వాటిలో 400 డాలరలు.
मैं पडी नहीं हूँ.	నేను బాధపడడం లేదు.
गाडी से ले जाएगा.	మనలని తీసుకెళతాడు.
और उनकी आहट सुनकर हम उठ जाया करते.	అతను వసతుననటటు వినపడగానే లేచే వాళళం.
मुझे लिली को शिविर से लेने जाना है.	కయాంప నుండి లిలలీని తీసుకురావాలి.
डॉलफिन औरत हूँ. बहुत मुशकिल बात है.	నేను డాలఫిన మహిళను. అది కషటమెనది.
खुशकिसमत हो कि तुमहें जानता हूँ.	నీ అదృషటం, నాకు నువవు బాగా తెలుసు.
मैंने नहीं खेला.	నేనెపపుడూ ఆడలేదు.
ऐन ऐसी नहीं हैं.	ఆన అలాంటిది కాదు.
उसके चलते वहिसकी से दूर रहते थे.	అంటే అతను విసకీకి దూరంగా ఉండేవాడు.
या फिर, शायद. . .	లేదా, బహుశా. . .
मुझे नहीं पता उसकी जगह कौन आया.	అతని సథానంలో ఎవరు వచచారో తెలియదు.
कम से कम मुझे निराशा नहीं होती.	అది నాకు నిరాశ కలగకుండా చేసతుంది.
"तयोहार. " अचछा.	"పండగలా. " సరే.
घोडों में काफी अनतरजञान होता है.	గురరాలలో అంతరదృషటి చాలా ఎకకువ.
भितति चितरण कहीं से तो आया होगा.	గరాఫిటీ ఎవరో ఒకరు వేసి ఉండాలి.
-अचछा. -विलियमस.	-సరే. -విలియమస.
हाँ, कयों नहीं?	అవును, ఖచచితంగా.
तो, आप और बो फिर से अलग हो गए?	అయితే, నువవు బో మళళీ విడిపోయారా?
हाँ. मैंने. . .	అవును. నేను. . .
एकदम बेकार हैं.	విసిరేయబడడవాళళం.
अमीर लडकियाँ पलासटिक जैसी हैं.	గొపపింటి అమమాయిలది పలాసటిక వాసన.
दोनो पर दसतखत करवाना मेरी जिममेदारी. पकका वादा.	తను అది సంతకం చేసేలా చూసతాను. మాట ఇసతుననాను.
तुमहारे बारे कया सोचता हूँ, उससे तुमहें कया?	నేను నీ గురించి ఏం అనుకుంటుననానో నీకనవసరం, కదా?
और देखो कि किस मुसीबत में है.	అతను ఏ సమసయలో ఇరుకకుననాడో చూడు.
-नाम याद दिलाओगी? -मैं नैट हूँ.	-నీ పేరు గురతు చేసతావా? -నాట.
तुमहारी आँखें जबान बन जाती हैं.	అవి మాటలాడుకుంటుననటటు ఉంటాయి.
ताकि लीला के साथ अजीब सा न लगे.	అపపుడు లీలాతో ఇబబందిగా ఉండదు.
अचछा, तुम जीत गई, डॉलफिन. आधी डॉलफिन इंसान.	సరే, నువవే గెలిచావు, డాలఫిన. సగం డాలఫిన మనిషి.
यह बकवास नहीं.	అవి పిచచిమాటలు.
मंजूरी वाली परचियाँ और वेलकम पैकेट मत भूलना.	అనుమతి చీటీలు ఇంకా వెలకం పయాకెట మరచిపోకు.
टीवी पर कुछ देखो, रिमोट वहीं सोफे पर पडा है.	నువవు ఏదెనా చూసతానంటే, రిమోట సోఫాలో ఉంది.
खैर, हंट बताता है कि कहानी एकदम बकवास है.	ఏదేమెనా, హంట ఆ కథ, అంతా గాలి మాటలని చెపపాడు.
-सबूत वाली तसवीर याद है? -धत.	-సాకషయం ఫోటో పంపించావా? -ఛ.
इसे. वह इसे चाहता है या नहीं.	అది. అతనికి అది ఇషటమో కాదో.
शुकरवार शाम से लेकर सुबह तक गरेबिल हाउस.	శుకరవారం రాతరి నుండి ఉదయం వరకు గరేబిల ఇలలు.
ऐबी को जगह देने के लिए जिमी को अपने अंक कम कयों रखने पडे?	ఆబీకు సథానం కోసం జిమమీ తన సకోర ఎందుకు తగగించుకుననాడు?
कल मैं ऐबी की माँ से मिली.	నినన ఆబీ వాళళ అమమను కలిశాను.
हम खुद का नाटक भी लिखेंगे.	ఎవరి నాటకం వాళళే రాసుకోవాలి.
मुझे भी तुमसे कुछ कहना है.	నేను కూడా నీకు ఒకటి చెపపాలి.
मतलब, तुम और मैं, वह तो. . .	అంటే, నువవు నేను, అది. . .
पर बहुत खूबसूरत लग रही हो.	కానీ చాలా ఆకరషణీయంగా ఉననావు.
तुम और मैं काफी एक जैसे हैं.	నేను నువవు ఒకేలాంటి వాళళం.
पिछले कुछ महीने, मैंने. . . एक बदलाव सा महसूस किया.	చూడు, గత కొనని నెలలుగా, నాకు ఒక. . . మారపు కనిపించింది.
मैं डरता हूँ कि तुम मेरी दोसत नहीं रहोगी.	నీ సనేహానని కోలపోతానేమోనని భయంగా ఉంది.
तुम मुझे सब कुछ बताती हो न?	నువవు నాకననీ చెపతావు కదా?
पर जिमी उसकी बात करता था?	జిమమీ దాని గురించి చెపపాడా?
कभी सोचती हूँ कि काश. . .	నేను అలా చేయకుండా ఉంటే. . .
यह बकवास है कि तुमहारे पास तीन राजा हैं.	ఖచచితంగా, నీ దగగర మూడు రాజులు ఉననాయి.
लाओ, तुमहारी मदद कर दूँ.	ఇదిగో, నేనూ సహాయం చేసతాను.
-नहीं. -कया?	-లేదు. -ఏంటి?
गरेजुएशन की तसवीरों का कया हुआ? देखने को कब मिलेंगी?	గయాడయుయేషన ఫోటోలు ఏం అయయాయి? అవి ఎపపుడు చూడవచచు?
-रुको. -नहीं?	-ఆగు. -లేదా?
पहले ही काफी मुसीबतें हैं.	నాకునన సమసయలు నాకు చాలు.
मुझे यकीन नहीं होता कि मैं तुमहारे आगे बकती रही,	నేను అకకడ నీతో అనాలోచితంగా మాటలాడుతుననానంటే నమమలేను,
कभी-कभी. . .	ఒకకోసారి. . .
कभी-कभी. . .	ఒకకోసారి. . .
खेल चालू है!	ఆట మొదలయింది!
तुमहें पता नहीं कि मैं कया चीज हूँ!	మీరు ఎవరితో పెటటుకుననారో మీకు తెలియదు!
तो, तुमने वह नहीं देखी?	అయితే, నువవు అది చూడలేదా?
-हाँ, हँसता हूँ. -जरूर!	-అవును, నవవుతాను. -అవును!
तुमसे कोई लेना-देना नहीं, शेरी. समझी?	నీతో ఇక ముగిసింది, షెరీ. అరథమెందా?
यह कोई राज नहीं कि बिशप और तुम पयार में पागल हो.	నీకూ బిషపకు మధయ పిచచి పరేమ అననది రహసయం కాదు.
मैंने कभी खेल नहीं खेला.	నేను ఎపపుడూ ఆట ఆడలేదు.
अनुमति परचियाँ, ताकि लिली अधययन यातरा पर जा सके.	లిలలీ ఫీలడ టరిపపులకు వెళళేందుకు అనుమతి చీటీ.
अधिकांश काम जानवरों को लेकर होता है.	ఎకకువగా జంతువుల దగగర పని చేసతాను?
इसके लोगों के मालिक हैं.	వారి సొంతం అనుకుంటారు.
तुम कभी हँसते कयों नहीं?	నువవు ఎపపుడూ నవవవేంటి?
-लिंग जैसा लगता है. -कमीने कहीं के.	-ఇది అంగం లాగా ఉంది. -చెతత వెధవ.
और मैं अचछी खबर की उममीद कर रहा था.	ఏదెనా మంచి వారత వింటాననుకుననాను.
हाँ, सवतंतर रूप से काम करता हूँ.	అవును, ఈ ఊరిలో సొంతంగా పని చేసతాను.
पिछले साल और किसने अंक बटोरे थे?	గత ఏడాది ఇంకెవరికి పాయింటలు వచచాయి?
यकीन नहीं होता कि तुमने बताया नहीं.	నాకు చెపపకపోవడం నమమలేకపోతుననాను.
-मेरे पास एक डरिंक है. -शुकरिया.	-నీకు ఒక డరింక తెచచాను. -ధనయవాదాలు.
-हाँ. -मुझसे और कया सुनना चाहती हो?	-అవును. -మరి ననను ఏం చెపపమంటావు?
उसने कहा कि वह हमेशा वहीलचेयर पर ही रहेगी.	ఆమె జీవితాంతం చకరాల కురచీలోనే ఉండాలని చెపపాడు.
मेरा. . . मेरा वह मतलब नहीं था.	అది కాదు. . . అది కాదు నా ఉదదేశయం.
गाने सुनना, नशा करना अचछा लगता था.	సంగీతం వింటూ, గంజాయి తాగేదానని.
मुझे परचार का काम शुरू करना चाहिए.	నేను తిరిగి పరచారానికి వెళతాను.
अचछा बचचा.	మంచివాడివి.
मेरे गरेजुएशन में तसवीरें ली थीं.	నా గరాడయుయేషనలో ఫోటోలు తీశావు.
-कुछ वेबसाइट पर. -चेहरों की तसवीरें लेते हो?	-కొనని వెబసెటలో పెటటాను. -తలవరకు ఫోటోలు?
तुमने पैसा लगाया था.	పందెంలో డబబులు కాసావు.
मेरा फोन बंद पडा है.	నా ఫోనలో ఛారజింగ లేదు.
पापा की गाडी में चारजर रह गया.	నా ఛారజర నానన కారులో ఉండిపోయింది.
अचछा. हाँ.	సరే. అలాగే.
तुमहें बताना चाहिए था.	నాకు చెపపుండాలసింది.
अचछा, सुनो.	సరే, విను.
अचछा लगने की कोशिश कर रही हूँ.	అందంగా కనిపించాలని అనుకుంటుననాను.
अचछा, तुम जीती. वह पयारा लगता है.	సరే, గెలిచావు. అతను బాగుంటాడు.
डॉज की है.	ఇది డాడజది.
बाप रे! ए!	అదభుతం! హే!
वहिसकी. . .	విసకీ. . .
नहीं. मेरा मतलब, हम किसी काम के इंसान नहीं.	కాదు. నా ఉదదేశయం మన పనికి రాని వాళళమని.
मुझे हमेशा खुद का घोडा चाहिए था.	నాకు ఒక గురరం ఉండాలని ఉండేది.
आप इस शहर को जानते हैं, रेवरेंड.	మీకు ఈ ఊరంతా తెలుసు, రెవరెండ.
मोमी कागज मिलता है?	వాకస పేపరలు అమముతారా?
देखो, बात यह है कि हम	చూడు, విషయం ఏంటంటే,
यह गाना सबको पसंद है.	అందరికీ ఈ పాట ఇషటం.
कम से कम मेरी वाली सचची हैं.	కనీసం నేను నిజాయితీగా చెబుతాను.
भाला मुकाबले में राह चलते आदमी पर गाडी चढा दी थी न?	కారు పోటీ ఆడుతూ అతను ఒక పాదచారిని గుదదాడు కదా?
-ए! -सुनो!	-హే! -హే!
-ए. -सुनो.	-హే. -హే.
दुखद कालपनिक बहकाने वाली कैसी रहेगी?	బాధాకరమెన అపసరసలాంటి మోహిని ఎలా ఉంటుంది?
डॉलफिन से.	డాలఫినలు.
जानना चाहता हूँ जिमी कोरटेज को	నోటలో తుపాకీ పెటటుకుననపపుడు
जो चिटठियाँ पढी नहीं गईं, उनसे खास पता नहीं चल सकता, है न?	ఎపపుడూ చదవని చీటీలు మనకు ఎకకువగా ఏం తెలియచేయవు, కదా?
पता नहीं यह आदत कहाँ से मिली.	తనకది ఎలా వచచిందో తెలియదు.
मैंने कहा था, मुझे नहीं जाना.	నేను నీకు చెపపానుగా, రాను.
तुमहारे होंठ नरम लगते हैं.	నీ పెదాలు చాలా మెతతగా ఉననాయి.
-नहीं. -अभी के लिए,	-కాదు. -ఈ రోజుకు,
अब मैं जा सकता हूँ?	నేను ఇక వెళళవచచా?
लिली, पाँच मिनटों में खाना खाएँगे!	లిలలీ, భోజనానికి ఐదు నిమిషాలలో రావాలి!
तुमहारे लिए कुछ है.	నీకు ఒకటి ఇవవాలి.
खूबसूरत लग रही हो. अचछे से तैयार किया.	నువవు బాగుననావు. నేను బాగా చేశాను.
उसने पैनिक खेला था?	అతను పానిక ఆడాడా?
हाँ, झूठी खबर है.	అంతా తపపుడు వారతలు.
यह पहले भी सुना है.	నేను అదే విననాను.
मैंने तुमहारा सबूत भेज दिया.	నేను నీ సాకషయానని పంపాను.
मुझे कुछ भी महसूस नहीं होता.	నాకు ఏమీ అనిపించేది కాదు.
-सच में? -सच में नहीं. चलो! हँसो!	-నిజంగానా? -నిజంగా కాదు. కానీయ! నవవు!
तुम भाग नहीं सकते!	మీరు పారిపోలేరు!
मदद करो!	కాపాడండి!
-कया हाल है? -हाँ, हैलो.	-ఎలా ఉననారు? -బాగుననాం, రా.
माफ करना.	కషమించు.
काश मुझे वो पैसे लेने ही न पडते.	నేను అసలు అవి తీసుకోవాలనే అనుకోలేదు.
सच में कुछ अचछा?	నిజంగా మంచి విషయం?
कोरटेज से पहले, उसके पिता शेरिफ थे.	కోరటెజకు ముందు వాళళ నానన షెరీఫ.
डॉज का नाम लेते समय शरमाती कयों हो?	డాడజ అనగానే ఎందుకు సిగగుపడతావు?
सपरलॉक और डीए हाई सकूल से दोसत हैं.	సపరలాక ఇంకా డీఏ హె సకూల ఫరెండస.
हे भगवान, मैं भूल गई. लिटल बिल आज आने वाला था.	మరచిపోయాను. లిటిల బిల ఈరోజు వసతుననటటు నీకు చెపపలేదు.
जहाँ तक मुझे लगता है, हाँ.	ఇంతకుముందు చూసినంతవరకు.
कचरे में फेंकने लायक कूपन.	చెతతలో పడేసే కూపనలలాగా.
