16 अपरैल, 2018	ఏపరిల 16, 2018
उसके हाथ में दो तराजू हैं जहाँ. . .	ఆమె రెండు తరాసులు పటటుకుంటుంది. . .
और फिर फैसला करना होता है.	అపపుడు నిరణయం తీసుకుంటారు.
कयोंकि तुमहें जेल नहीं भेजना चाहिए,	ఎందుకంటే మిమమలసి పంజరంలో పెటటకూడదు.
मीक मिल: कैदियों को नए अधिकार चाहिए	మీక మిల: ఖెదీలకు కొతత హకకులు కావాలి
रैपर ने नयाय परणाली के सुधार के लिए आवाज उठाई	రయాపర శికషాసమృతుల సంసకరణ కావాలని వాదిసతుననాడు
वहाँ हजारों बचचे हैं,	కొనని వేల మంది పిలలలు
23 जनवरी, 2019	జనవరి 23, 2019
रीफोरम	సంసకరణ
"मैंने किया कया है? " मुझे पता था यह सामानय बात नहीं है,	"నేను ఏం చేశాను? " అని. నాకు ఇది సాధారణంగా లేదని తెలుసు,
जरा हंगामा हो जाए!	కొంచెం గోల చేయండి!
मीक मिल	మీక మిల
हम यह सब आपके हाथों में छोडते हैं और हमारी परारथना है आप सब ठीक करेंगे.	మేమిది నీ చేతులలో పెడుతుననాం, నీవు చేయాలనుకుననది చేయాలని, పరారథిసతుననాం.
पीए सुपरीम कोरट का ऑरडर निकलने पर मीक मिल की जेल से रिहाई का इंतजार है	ఎంతగానో వేచిసతునన మీక మిల విడుదల సుపరీమ కోరటు ఉతతరవులను అనుసరించనుంది
मैं काम करता रहा हूँ. मैं लोगों को काम देता हूँ, टैकस भरता हूँ.	నేను పని చేసతుననాను, నేను ఉదయోగాలు ఇసతుననాను, పననులు కడుతుననాను.
यह एक विवादपूरण सुनवाई थी, एकदम अजीब. बाहर जुलूस निकल रहा था.	ఇది వివాదాసపద విచారణ, అనాగరికంగా కూడా ఉంది. రయాలీ నిరవహించారు.
काफी समय से इस बढती हुई भीड को आशा है कि वह रिहा हो जाएगा.	ఇపపుడు ఇకకడ పెరుగుతునన జనం, అతను బయటకు రావాలని ఆశిసతుననారు.
मैं बस छह महीने के लिए जेल गया, वहाँ बहुत सी किताबें पढीं.	నేను కేవలం ఆరు నెలలు జెలుకు వెళళాను, చాలా పుసతకాలు చదివాను.
और मीक कहता है, "नहीं, मैं सिसटम पर ही मुकदमा कर दूँगा. "	ఇంకా మీక, "లేదు, నేను వయవసథను విచారణలో పెడతాను" అంటుననాడు.
हमें दुनिया को आजाद करवाना है. मीक मिल को आजाद करवाना है.	మనం పరపంచానికి సవేచఛనివవాలి. మనం మీక మిలకు సవేచఛనివవాలి.
मैं जो कहना चाहता हूँ सब कह रहा हूँ. मैं खुलकर बोलता हूँ.	నేను చెపపాలని అనుకుననది చెబుతుననాను. నేను పచచిగా ఉంటాను.
जब उसने बात करना शुरू किया, तब शुरू में बहुत अकड रही थी.	మేము మాటలాడటం మొదలుపెటటినపపుడు మొదట తను అహంకారంగా ఉంది.
मीक इस तरह काम नहीं करता. वह दूसरे लोगों से सीखता है,	మీక అలా కాదు పని చేసేది. అతను ఇతరుల నుండి పని చేసతాడు,
एक दिन दो दिनों में, और दो दिन तीन दिनों में बदल गए.	ఒక రోజు రెండు రోజులు అయయింది, ఆ తరువాత మూడు రోజులు.
उसने कहा कि मीक ने रिलीफ के दावे को साबित नहीं किया	ఆమె అది తన "ఉపశమన అభయరథన" సాకషయం యొకక పరాధానయం దవారా
कयोंकि वे जेल गए, तो निराश हो गए, दवाइयाँ खाने लगे,	వారు మనోవయాకులత చెంది, మందులు వాడటం మొదలు పెడతారు.
और मेरे खयाल से हमारे पास वह जजबा है, वह पूँजी है,	పెదద పరభావం కలిగించడానికి కావలసిన పటటుదల, పెటటుబడి,
मुझे यकीन है हम बदलाव ला सकते हैं, और उसके साथ ही,	మేము మారపును తీసుకురాగలమని నాకు నమమకం ఉంది, దానితో,
और मैंने कभी रीफोरम का चेहरा बनना नहीं चाहा था.	నేను సంసకరణ సంసథ ముఖ చితరానని అవవాలని అడగలేదు.
-हाँ. -तो, आजाद महसूस कर रहे हो? सच में आजाद?	-అవును. -సవేచఛగా అనిపిసతుందా? నిజమెన సవేచఛా?
नशा करना उनकी आदत हो गई जो हो रहा है अब बदतर	మతతులో ఉంటుననారు అది ఇంకా దారుణంగా అవుతుంది
कयोंकि हम सब देख सकते हैं कि यह कुछ ऐसा है	ఎందుకంటే మా అందరికీ మాలో దీనిని మారచగల శకలి
जाना फलाइशमैन संसूचन विभाग ईवीपी, रॉक नेशन	జానా ఫలీషమయాన ఈవీపీ కమయూనికేషనస, రాక నేషన
"उस नियम की सारी शरतें पूरी होनी चाहिए. "	"మీరు ఆ చటటం యొకక నిబంధనలు నెరవేరచాలి. "
सबको, गुड ईवनिंग. मैं हूँ यूकी वाशिंगटन.	అందరికీ, శుభ సాయంతరం. నేను యూకీ వాషింగటన.
डानिया डियाज फिलेनथरॉपी परमुख - रॉक नेशन	డానియా డయాజ దాతృతవ శాఖాదిపతి - రాక నేషన
बस आशा करती हूँ कि उसे वापस न जाना पडे.	నేను అతను తిరిగి వెళళకూడదనే ఆశిసతుననాను.
उन लोगों की आवाज जो इस समय जेल में हैं.	పరసతుతం జెలులో ఉనన వాళళ గొంతు అవుతాడు.
मीक के वकीलों ने पेनसिलवेनिया कोरट से	మీక లాయరలు పెనసిలవేనియా సుపరీమ కోరటును
वैसे ही जेल के बाहर भीड भी बढ रही है.	జెలు బయట ఉనన జనం కూడా పెరుగుతుననారు.
तो, इसलिए मीक ने वहाँ कुछ नहीं लिखा,	అందుకే, అతను అకకడ నిజంగా ఏమీ రాయలేదు,
और 13वाँ संशोधन नहीं कहता हम राजा हैं	13వ సవరణలో మనము రాజులమని చెపపటం లేదు
मीक मिल के बारे में शानदार बात यह है	మీక మిల గురించి అదభుతమెన విషయం ఏంటంటే
अभियोग और बचाव पकष दोनों को मंजूर है? यह लो. अलविदा. बाद में मिलते हैं.	అభియోగము మరియు పరతివాదముకు సమమతిసతారా? మంచిది. వెళళొసతాము. మళళీ కలుసతాము.
मैंने सोचा तुम हेलिकॉपटर लेकर आओगे.	నువవు హెలికాపటర తెసతావని అనుకుననాను.
कयोंकि उनहें लग रहा है कि, "कयों? देखना जब मैं कभी इस ओहदे पर पहुँचूँगा,	ఎందుకంటే వాళళు, "ఎందుకు? నేను దానని రూపొందించి అంటే ఒక అతయుననత సథాయికి
हो सकता है आज हो, या कल हो, या छह हफते के बाद हो. हमें कुछ नहीं पता.	అది ఈ రోజు కావచచు లేదా రేపు, లేదా ఆరు వారాలు కావచచు. మాకు తెలియదు.
मीक के जीवन के इस मुशकिल समय में,	మీకకు తన జీవితంలోని ఈ కషటకాలంలో,
18 जून को एक सुनवाई रखी है जिसकी माँग दोनों पकषों ने नहीं की है.	పరతయకష విచారణను ఇరు పారటీలు కోరుకోని విధంగా జూన 18న ఏరపాటు చేశారు.
-शुकरिया, सर. -बहुत-बहुत शुकरिया.	-ధనయవాదాలు, సర. -చాలా ధనయవాదాలు.
वे नयाय सुधार के लिए इकटठे होंगे.	చటట సవరణకు ఒకటవుతారని అనుకోలేదు.
कुछ याद नहीं है. सच कहूँ तो, लगता है उस पल अपना होश खो बैठा था.	నాకు పెదదగా గురతులేదు. నిజానికి, అవి, అపసమారక కషణాలలా అనిపించాయి.
भगवान के सब बचचे बोलें "आमीन. "	దేవుని బిడడలందరూ "ఆమెన" చెపపండి.
जैसे, आप 24 घंटे जागते रहते हैं,	ఎలా అంటే 24 గంటలు మేలకొని ఉండి,
मैं इतना डरा हुआ हूँ कि अपने ही हालातों पर खुद बात नहीं कर सकता,	ఈ కషణంలో నాకు చాలా భయంగా ఉంది నేను ఈ పరిసథితి నుంచి బయటపడేదాకా
और मुझे खबर मिली कि सुपरीम कोरट ने बहुत ही कमाल का काम किया है.	నాకు సుపరీమ కోరటు ఇపపుడే ఎంతో అదభుతమెన పని చేసిందని తెలిపారు.
हम इस सिसटम में सुधार लाने के लिए एक फाउंडेशन की शुरुआत करेंगे.	మేము ఒక ఫౌండేషన సథాపించాలని ఆ కషణాన మేమిదదరం కలిసి అనుకుననాం.
सबके लिए! यही हम करने वाले हैं.	అందరికోసం! అదే మేము చేయబోయేది.
नहीं. जेल से निकलने के बाद एक मिनट के लिए भी नहीं सो पाया.	లేదు. నేను జెలు నుంచి బయటకు వచచాక ఒకక నిమిషం కూడా పడుకోలేదు.
जो बहुत ही भावुक परिसथिति थी.	ఇది నిజంగా ఉదవేగభరితమెన సథితి.
या लगता है कि कयोंकि अभी भी हालात पूरी तरह सुलझे नहीं हैं,	లేదా ఇంకా తేలాలసిన విషయాలు ఇంకా ఉననాయి కాబటటి, మీరు చెపపాలని
मीक ने पिछले पाँच महीने बिना किसी कारण के जेल में काटे हैं.	మీక తన జీవితంలో గత ఐదు నెలలు అరథం లేకుండా జెలులో గడిపాడు.
और फिर अदालत चले जाते हैं. आप सो ही नहीं पाते. पता है कयों?	కోరటుకు వెళళేవాడిని. మనకు నిదర కూడా పటటదు. ఎందుకో తెలుసా?
उममीद लगाए सडकों पर जमा हैं, जो अब किसी पल भी हो सकती है.	వారు వీధులలో బారులు తీరి ఉననారు, అది ఏ కషణమెనా జరగవచచు.
तो वह शायद अमरीका में दिन में हजार बार होता है, समझे न?	అమెరికాలో అది బహుశా రోజుకు 1000 సారలు జరుగుతుంది, తెలుసా?
बरायन मैकमॉनेगल मीक का वकील	బరాయన మెకమొనాగిల మీక లాయరు
और यह सच है. इसके बारे में जानना है, तो गूगल पर ढूँढो.	అది వాసతవం. అది తెలుసుకోవాలంటే, దానిని గూగుల చేయండి.
जाहिर है, हमें लगा था कि इस पर तो बहस होगी ही नहीं.	ఖచచితంగా, అసలు ఇది వాదనాంశం అవుతుందని మేము అనుకోలేదు.
जज बरिंकली, उसने मीक के सारे अनुरोध नामंजूर कर दिए.	నయాయమూరతి బరింకలీ, ఆమె మీక అభయరథనలననీ తోసిపుచచేసింది.
हम सब मीक की सुनवाई के लिए	మేమందరం ఫిలడెలఫియా నగరంలో
मुझे बिलकुल अलग महसूस हुआ.	నాకు భిననంగా అనిపించింది.
जज को निषपकष रहना होता है,	నయాయమూరతి తటసథంగా ఉండాలి,
उनमें से बहुतों से सुनता हूँ कि जो कुछ नयाय परणाली	నేను చాలా మంది నయాయవయవసథ వాసతవంగా నాకు చేసతుననదానికి
यदि वे ऐसा नहीं करते, तो वह याचिका नामंजूर कर देगी,	ఒకవేళ వాళళది చేయలేకపోతే, ఆమె బెయిల నిరాకరిసతుంది,
इस हालत को बयाँ करना मुशकिल है, पर मैं बहुत खुश थी.	అది నేను వివరించలేను, కానీ నాకు అమితానందంగా ఉంది.
मुझे परवाह नहीं कि वह कया करती है, और कैसे करती है.	నేను ఆమె ఏం చేసతుననది, ఎలా చేసతుననదీ పటటించుకోను.
पेनसिलवेनिया सुपरीम कोरट	పెనసిలవేనియా సుపరీమ కోరటు
पर मैंने कहा, "रमीक, मैं यह खबरों में देख रही हूँ.	కానీ నేను అననాను, "రమీక, నేను వారతలు చూసతుననాను.
मीक मिल का कया समय है! ए!	మీక మిలకు మంచి సమయం! హే!
-ये मायने रखते हैं! -हाँ.	-అదే నాకు ముఖయం! -అవును.
और हमारी अगली सुनवाई की तारीख 60 दिन आगे कर दी,	తదుపరి సథితి విచారణకు ఇంకా 60 రోజుల గడువు పెటటారు
पर हमने वही किया है. कोई सविरोध मुददा है ही नहीं.	కానీ మేము చేసింది అదే. వివాదాసపద సమసయలేవీ లేవు.
पापी विलियमस मीक का बेटा	పాపీ విలియమస మీక కొడుకు
अनुरोध का अनुमोदन किया,	అభయరథనను బలపరిచారు, ఇంకా
नशीमा विलियमस मीक की बहन	నషీమా విలియమస మీక సోదరి
दादी को तुमसे पयार है.	నినను బామమ పరేమిసతుంది.
जो टाकोपीना मीक का वकील	జో టాకోపీనా మీక అటారనీ
कैथी विलियमस मीक की माँ	కయాథీ విలియమస మీక తలలి
कैथी विलियमस मीक की माँ	కయాథీ విలియమస మీక తలలి
तो हमें आपकी मदद चाहिए,	మాకు మీ సహకారం కావాలి,
पेनसिलवेनिया सुपरीम कोरट ने ऑरडर दिया है कि	పెనసిలవేనియా సుపరీమ కోరటు నయాయమూరతి బరింకలీను
मैंने कहा था मैं जलद वापस आऊँगा. यह तो. . .	నేను తవరగా తిరిగి వసతాను అని అననాను. ఇది. . .
सबूत के तौर पर फुटेज देखता हूँ, और सोचता हूँ,	నేను వీడియో సాకషయం చూసాక, నాకు అనిపించింది,
जो मेरे जैसे हालातों से आए हैं, जहाँ मुझे सहारा देने वाला कोई न था.	నేను వచచిన చోటు నుండి వచచిన వారు, వాళళకు సహాయపడేవారు ఎవరూ ఉండరు.
यह एक दरदनाक अनुभव था,	అది బాధాకరమెన అనుభవం,
मैं हमेशा से कहता आया हूँ कि एक मुशकिल लकषय चुनो और जान लडा दो.	నేనెపపుడూ ఒక మొండి లకషయానని ఉదదేశించుకుని, దాని వెంట పడాలి అంటాను.
ए. चारलस पेरूटो जूनियर जज बरिंकली के वकील	ఏ. చారలస పెరూటో జూ. నయాయమూరతి బరింకలీ లాయరు
-हम ठीक हैं. -कितना अचछा महसूस हो रहा है?	-మేము బాగుననాము. -ఇది ఎంత బాగా అనిపిసతుంది?
आज का दिन अचछा था, जैसा आइस कयूब ने कहा था.	ఈ రోజు చాలా మంచి రోజు, ఐస కయూబ చెపపినటటు.
मीक मिल को परोबेशन उललंघन के लिए जेल हुई	మీక మిక పరిశీలనా ఉలలంఘన వలన జెలుకు వెళళాడు
कोई नयाय नहीं हुआ. न ही उसकी कोशिश की गई.	నయాయం జరగలేదు. నయాయం కోసం పరయతనించలేదు.
इससे एकता को भडकाने दो. यदि हम साथ होंगे, तो हम एक रहेंगे.	ఇది ఐకమతయం రగలచాలి. మనందరం ఒకటిగా కలిసి ఉంటే, ఐకమతయంగా ఉంటాం.
विधि कारयालय पेरूटो	నయాయ కారయాలయం పెరుటో
इससे इस नियम की शरतें पूरी नहीं होतीं.	అది ఆ చటటానికి కావలసిన వాటిని నెరవేరచదు.
गवरनर ने कहा वह चाहते हैं मीक रिहा हो,	గవరనర మీకకు సవేచఛను కలిపించాలని చెపపారు,
साइमन कार पूरव बॉकसर	సెమన కార మాజీ బాకసర
मुझे हेलिकॉपटर में बैठना और जो भी हुआ,	నేను హెలికాపటర ఎకకటం, నిజంగా ఏం జరిగిందో
माइकल रूबिन सह-संसथापक - रीफोरम अलायंस	మెఖేల రూబిన సహ సంసథాపకుడు - సంసకరణ కూటమి
लगा, धत तेरे की. हमें लग रहा था कि चीजें आगे बढ रही हैं,	అది దారుణంగా ఉంది. మేము పరిసథితిలో పురోగతి ఉందని అనుకుననాం,
"यह एक नियम है, पोसट-कनविकशन रिलीफ एकट.	"ఇది చటటం, నేరసథాపనానంతర పరిహార చటటం.
आखिर वह इसे मंजूर कयों नहीं कर देती?	ఆమె అసలు ఇది ఎందుకు మంజూరు చేయటం లేదు?
जब तक पीसीआरए पर फैसला नहीं हो जाता.	నేరసథాపన తదనంతర పరిహార చటటం ముగిసింది.
यह सब समय की बात थी	మీక మిల వంటి రయాపర
चाहे जो भी हो वह अभी भी सबसे जूझ रहा है और गा रहा है,	అతను రోజు ముగింపు వరకు ఇంకా పోరాడుతూనే, పాడుతూనే ఉననాడు,
उस नियम की शरतों को पूरा करने के लिए	వాళళు చాలా ఈ చటటానని నెరవేరచటానికి
हमारे पास नहीं था.	మా దగగర అది లేదు.
मैं इस समय बहुत ही भावुक हो गया हूँ,	ఈ కషణంలో నేను చాలా ఆనందంగా ఉననాను,
मैंने उन दीवारों के बीच समय काटा है,	నేను నాలుగు గోడల మధయ ఆ పరిసథితులలో
परयापत सबूत मौजूद हैं, और उस पर नया मुकदमा चलना चाहिए.	గరాహం అవినెతికి తగినంత సాకషయం ఉందని పరదరసించడానికి.
मैं काफी मुसीबतों से गुजरा हूँ और अपने दिल की बात सबको बताना चाहता हूँ,	నేను కొనని కషటాలను ఎదురకొననాను, ఒక నిరదిషట మారగంలో వయకతపరుచుకోవాలి,
उनहोंने एक नए जज के साथ एक नई सुनवाई का आदेश दिया है.	వారు కొతత నయాయమూరతితో ఒక కొతత విచారణకు ఆదేశించారు.
जिला अटॉरनी, जो इस केस में अभियोगपकष अधिकारी हैं,	ఈ కేసులో, పరాసికయూటింగ అధికారి అయిన డిసటరికట అటారనీ,
और तब भी उसने उसे जेल भेज दिया! हमारे सामने एक बेईमान अधिकारी है.	అయినా ఆమె అతనని జెలులో పెటటింది! మనము అవినీతి అధికారులను ఎంచుకొననాము.
सोमवार सुबह. . .	సోమవారం ఉదయం. . .
पता है, मैंने कभी सपने में भी. . .	నీకు తెలుసా, నేను కలలో కూడా. . .
हम दुआ माँगते हैं रॉबरट विलियमस, और उसके परिवार,	మేము నీ ఆశీరవాదం రాబరట విలియమసకు, అతని కుటుంబానికి,
तो समझ लो वे यहाँ के किसी आम अशवेत	వాళళు సగటు చుటటుపకకల ఉనన నలలజాతి
वेलस फारगो सेनटर	వెలస ఫారగో కేందరం
वे कहते हैं. . .	వాళళు అననారు. . .
गलतियाँ और अनयाय दिखाई देते हैं.	చూడగలిగిన అదభుతమెన వయకతులు ఉంటారు.
मैंने कभी भी. . . यह मैं 30 साल से करता आ रहा हूँ.	నేను ఎపపుడూ. . . నేను ఇది 30 ఏళళుగా చేసతుననాను.
कानून के गुलाम. है न वह पागलपन?	చటటపరమెన బానిస. అది పిచచిగా లేదా?
तब से आजाद महसूस नहीं किया. अब मैं 30 साल का हूँ.	నాకు సవేచఛగా అనిపించలేదు. ఇపపుడు నాకు 30 ఏళళు.
मैं आज अदालत में टोपी वाली सवेटशरट पहन रहा हूँ, कयोंकि इस जज से मुझे चिढ है.	ఈ రోజు కోరటుకు ఆతమవిశవాసంతో టోపీ చొకకా వేసుకుంటాను, ఎందుకంటే ఆమెపె గౌరవం పోయింది.
कयोंकि जिला अटॉरनी की मंजूरी अभी तक लिखित रूप से नहीं आई है.	ఎందుకంటే డిసటరిక అటారనీ సథితిని ఇంకా వరాత పూరవకంగా తెలియచేయలేదు.
कानून के अनुसार,	చటటం చెబుతుంది,
मैकमॉनेगल पेरी मैकहयू एंड मीशैक	మెకమొనగల పెరరీ మెకహయూ & మిసచక
फिलाडेलफिया रैपर की सजा ने राषटरीय सतर पर कोहराम मचा दिया है.	ఫిలడెలఫియా రయాపర నేరసథాపన జాతీయసథాయి నిరసనలు లేవనెతతింది.
"और हम यह भी मानते हैं कि तुरंत इसे जमानत मिलनी चाहिए. "	"ఇంకా అతనికి తకషణ బెయిలు మంజూరు చేయాలని కూడా అనుకుంటుననాం. "
हमें कुछ चीजें अपने समुदाय में करनी होंगी.	మనం సమాజం కోసం ఎంతో కొంత చేయాలసిన అవసరం ఉంది.
मुझे वीडियो में टैग कर रहे थे, कयोंकि वे जेल के बाहर थे.	ననను ఆ వీడియోలో టయాగ చేసారు, ఎందుకంటే వాళళు జెలు బయట ఉననారు.
लग रहा है आज राषटरीय छुटटी है.	ఇపపుడు ఇది జాతీయ సెలవు దినం.
जिस पर नयाय और सुधार के दरवाजे टिके रहें.	తనకు నయాయ దవారాలు తెరుచుకొని, సంసకరణ జరగాలి.
"ठीक है, तो कया अब जमानत की बात कर सकते हैं?	"సరే అయితే ఇపపుడు బెయిల విషయం మాటలాడవచచా?
और जेल में ही पागल हो गए, बहुत ही दरदनाक है.	చివరకు సథిరచితతం కోలపోతారు. చాలా బాధాకరం.
मैं कई वकीलों को जानता हूँ.	నాకు చాలా మంది లాయరలు తెలుసు.
"ठीक है, मुझे मौका मिला है,	"సరే, నాకు ఒక అవకాశం వచచింది,
-सोमवार. सोमवार का दिन था. . . -जज बरिंकली.	-ఆ రోజు సోమవారం. . . -నయాయమూరతి బరింకలీ.
हम इसी का सामना कर रहे हैं. जब उसके परोबेशन ऑफिसर ने कहा,	మేము ఎదురకొంటుంది ఇదే. అతని పరిశీలనా అధికారి చెపపాడు,
मेरा हर किसी के लिए संदेश है, कि अगर मेरे जैसा कोई है	అందరికీ నేనివవాలనుకునన సందేశం ఏంటంటే, ఒకవేళ నాలాంటి వాళళు
और उसने कहा, "हम जमानत पर बात नहीं कर रहे.	ఆమె, "లేదు, మనం బెయిల విషయం చరచించబోము.
यह करना बहुत मुशकिल था कयोंकि इस जज का बचाव करना अब. . .	అది చేయటం చాలా కషటం ఎందుకంటే ఈ నయాయమూరతి ఇపపుడు. . .
मैंने आज तुमसे कया कहा था?	నేను నీకు ఈ రోజు ఏం చెపపాను?
मेरा साथ दिया है, जब से मैं इस नयाय परणाली में फँसा हूँ.	నాకు మదధతుగా నిలబడిన అందరికీ కృతజఞతలు తెలుపుతుననాను.
कयोंकि जब तक सब आजाद नहीं हो जाते, कोई आजाद नहीं है.	ఎందుకంటే అందరికీ సవేచఛ లభించే వరకూ, ఎవరికీ సవేచఛ లేనటటే.
यह आज रात मेड इन अमेरिका में, मेरी घर वापसी की सवागत पारटी की तरह है.	ఇది మేడ ఇన అమెరికాలో ఈ రాతరి నాకు ఇంటికి ఆహవానించే వేడుకలా ఉంది.
हर कोई मीक के बारे में खबर सुन रहा है.	అందరూ మీక గురించి వచచే వారతలు చూసతుననారు.
"तुमहें मुझसे बात करते भी देख सकती हूँ. "	"నువవు నాతో మాటలాడటమూ చూసతుననాను" అని.
तो अभी से जाकर बात करो. . . अभी जाओ! उनहें बुक करना शुरू कर दो.	మీరు చెపపాలి. . . అంటే, ఇపపుడు పరారంభించాలి! ఒపపుకోవటం మొదలుపెటటాలి.
बरायन मैकमॉनेगल मीक का वकील	బరాయన మెకమొనాగిల మీక లాయర
आज सुबह जब उठे थे तब लगा था कि आज बाहर निकलने वाले हो?	ఈ ఉదయం నువవు లేచినపపుడు, బయటకు వసతావని అనుకుననావా?
कयोंकि जब किससा हो जाएगा खतम और तुम लौटोगे जमीं पर	ఎందుకంటే అది అంతా చెపపాక, చేసాక, తిరిగి అడుగుకు చేరితే
बरायन मैकमॉनेगल मीक का वकील	బరాయాన మొకమొనగిల మీక లాయర
यह दिखाने के लिए कि गराहम के भरषटाचार के	అతనికి కొతత విచారణను మంజూరు చేయటానికి
और जब उठना होता है उसके 30 मिनट पहले सो जाते हैं,	లెగవాలసిన సమయం ముందు చివరి 30 నిమిషాల ముందు నిదరపోయి,
हम नयाय में सुधार की ही बातें करते हैं, तो, मतलब. . .	మేము నయాయ సంసకరణల గురించి మాటలాడతాము, అందుకే. . .
मिल, मेरा पोता, बहुत मेहनती लडका है.	మిల, నా మనవడు, తను చాలా కషటపడే యువకుడు.
उसे पहले से ही दोषी माना जा चुका है.	అతను ఇపపటికే ముదదాయిగా నిరథారించబడడాడు.
अब, हमें बस इंतजार करना है	ఇపపుడు, మనం చేయాలసిందలలా
इस सबसे लडने में संगीत मेरा साथी था.	దానిని సంగీతంతో సమరథవంతంగా ఎదురకొననాను.
मीक ने रीफोरम अलायंस फाउंडेशन शुरू किया	మీక సంసకరణ కూటమి సంసథను పరారంభించాడు
. . . नहीं सोचा था कि यह केस अब तक चल रहा होगा.	. . . ఈ కేసు ఇంక కొనసాగుతూనే ఉంటుంది అని ఊహించలేదు.
पीसीआरए के उन अधिकतर मामलों के साथ नहीं रख रहीं	చాలా అధిక సంఖయలో అదే పరిహరం కోసం ఇందులోనుంచే బయటపడడ
मैं जीवन में कभी इतना खुश नहीं हुआ.	నేను ఇంత ఉతసాహంగా జీవితంలో ఎననడూ లేను.
यदि आपके परिवार का सदसय जेल में किसी फालतू कारण से बंद है,	ఒకవేళ మీ కుటుంబ సభయులు ఎవరెనా జెలులో ఏదెనా చెతత కారణం చేత ఉంటే,
"ए, हो सकता है आज रात तुम खेल देखने आओ. " मैंने कहा, "यह तो नहीं हो सकता. "	"హే, నువవు ఈ రాతరి ఆటకు వెళళవచచు" అని. నేను, "అది అసాధయం" అని అననాను.
घर में सवागत है, मीक मिल!	ఇంటికి సవాగతం, మీక మిల!
वह इस आवेग के साथ जो कर पा रहा है,	ఇపపుడునన ఊపుతో అతను ఏం చేయబోతుననాడంటే
और आगे बढने में उनकी मदद कर सकता हूँ, और उनकी सथिति पर रोशनी डाल सकता हूँ.	వాళళ పరిసథితిని వెలుగులోకి తీసుకురావటానికి సహాయపడాలని అనుకుంటుననాను.
परतिकरिया के लिए दो दिन हैं ताकि तुम पहले खेल में आ सको.	మొదటి ఆటకి తీసుకెళళటానికి మనకు ఇంకా రెండు రోజులు మిగులుననాయి.
जज बरिंकली यह याचिका मंजूर कर लेगी और वह रिहा हो जाएगा.	నయాయమూరతి బరింకలీ బెయిల మంజూరు చేసతారు, అతను విడుదల అవుతాడు.
और हर चीज के लिए आभारी हूँ. आप सबका शुकरिया.	నేను అంతటినీ అభినందిసతుననాను. అందరికీ ధనయవాదాలు.
वे कहते हैं हम गुलाम हैं यदि हम जेल जाते हैं	వాళళు అంటారు మనం బానిసలం అని మనం బింగలోకి వెళితే
वे मिलकर कानून बदलने में लगे हैं,	వాళళందరూ చటటంలో మారపుల కోసం ఒకటయయారు
जज बरिंकली बेईमान है. मीक को अभी भी नयाय नहीं मिला है!	నమాయమూరతి బరింకలీ అవినీతిపరురాలు. ఇంకా మీకకు నయాయం జరగలేదు!
