गरेस	గరేస
-शाबाश, जान. -यह शानदार है. बढिया है.	-శభాష, బంగారం. -అది అదభుతం. గొపప విషయం.
जिस रात तुमहारे पति मरे, तुम कहाँ थी?	మీ భరత మరణించిన రాతరి మీరు ఎకకడ ఉననారు?
बुरा न मानना, नोरा.	ఏమీ అనుకోకు, నోరా.
-डॉनल, चलो दाँव लगाएँ कि वह किसके साथ है. -हैलो, लडकियों!	-డోనల. ఆమె ఎవరితో ఉందో తవరగా కనిపెటటు. -హలో, అమమాయిలూ!
-मॉली, यहाँ! -रुको.	-మోలీ, ఇకకడ! -ఆపు.
हमें बस निरिकषण करना है और सुनना है.	మనం చేయవలసిందలలా గమనించడం ఇంకా వినడమే.
मैं बेस बजाता हूँ.	నేను బాస వాయిసతాను.
यहाँ महिला मुकति दिख रही है. टेबल की मुखिया. दोनों छोर पर महिलाएँ बैठी हैं.	మహిళల విముకతి ఉదయమం అకకడ నడుసతోంది. టేబుల కి రెండు పకకలా మహిళా నాయకులు.
ऐसा लगता है उनहें मेकअप लगाया गया है.	తను మేకప వేసుకుననటలు కనిపిసతుననాడు.
मैं बलानड को उसकी धुत माँ के साथ तैरने जाने नहीं दूँगा.	తాగిన తలలితో బలానడ ని సముదరంలో ఈత కోసం నేను పంపలేను.
देखो उनहें, डॉनल.	వాళలని చూడు, డోనల.
-ए! -शाबाश, बैका!	-హేయ! -శభాష, బెకా!
मुझे बेहद खेद है.	నా పరగాఢ సానుభూతి.
-वह मेरा सकारफ है, बैका. -जानती हूँ.	-అది నా సకారఫ, బెకా. -నాకు తెలుసు.
तो फिर, मेरे लिए खरीद सकते हो? मेरे पैसे खतम हो गए.	సరే, అయితే నాకు ఒక డరింక కొనిసతావా? నా దగగర డబబులలేవు.
-नहीं, इसकी जरूरत नहीं है. सच में. -अरे, नहीं. चलो भी. मैं अचछी हूँ.	-లేదు, అవసరం లేదు. నిజంగా చెపతుననా. -ఓహ, లేదు. ఇలా చూడు. నేను బాగుననాను.
-अरे, नहीं. तो, तुम अकेले लंच करोगे, या. . . -नहीं, नहीं. . . नहीं.	-ఓహ, లేదు. నువవు, సవయంగా వండుకుంటుననావా, లేక. . . -వదదు, మనకొదదు, వదదు.
-हाँ. मैं संभाल लूँगा. -सिवाए उसके.	-సరే. నేను అందుకుననాను. -అది తపప.
खैर, मैं तुमहें अकेला छोड देता हूँ.	సరే, ఇక మీ నుండి సెలవు తీసుకుంటా.
मैं अपने भाई के साथ काम करता हूँ.	అంటే, నా అననయయతో కలిసి పని చేసతాను.
मैं अपने दोसतों से कहूँगी कि वह नींद में ही चल बसे.	అతను నిదరలోనే చనిపోయాడని నా సనేహితులకు చెబుతాను.
तो तुमहें कैसे पता चलेगा कि कितना खाना बनाना है?	ఎంతమందికి భోజనాలు తయారు చేయాలో నీకు ఎలా తెలుసతుంది?
तुम एक बेहद पयारे बीच बॉल जैसी हो.	నువవు చకకని బీచ బంతిలాగా ఉననావు.
यह तुमहारे लिए है. हम सबकी तरफ से.	ఇది నీ కోసం. ఇది మా అందరి తరపున.
किसने कवर चढाया?	ఇది ఎవరు చుటటారు?
इसका कया मतलब है?	నీ ఉదదేశం ఏమిటి?
कयों? वह पुलिसवाला नहीं है. बस बीमा कंपनी से है.	ఎందుకు? వాడు ఏమీ పోలీసు కాదు కదా. మామూలు బీమా వెధవ.
-माफ करना. -गरेस!	-కషమించు. -గరేస!
हमारे पास उनकी बस यही चीज है. हम इसे कयों बेचेंगे?	వాళలు మాకు ఇదే మిగిలచారు. మేము ఎందుకు అమముతాము?
अपने नाम की खातिर, मुझे सही राह पर ले जाते हैं.	ఆయన తన కీరతి అనుసరించి ననను సనమారగములో నడిపిసతాడు.
-हैलो. -मैं अनुमान नहीं लगा पाता.	-హాయ. -నేను ఇది ఊహించలేకపోవచచు.
तुम हर करिसमस पर तैरने जाती हो?	పరతి కరిసమస కి మీరు ఈతకి వెళతారా?
अकाउंटेंट के वेतन को देखा जाए तो.	ఒక అకౌంటెంట జీతానికి ఇది ఎకకువ.
पर तुम कैसी हो?	కానీ ఎలా ఉననావు?
-सभी सुनो, यह फरैंक है. -हैलो.	-అందరూ వినండి, ఇతను ఫరాంక. -హాయ.
उचित डरिंक पीने.	మంచి మందు కోసం.
काफी शानदार है.	చాలా చకకగా ఉంది.
सब ठीक हो जाएगा. चिंता मत करो.	అంతా బాగానే ఉంటుంది. కంగారుపడకు.
हाँ, तब तक उसकी जिंदगी का सबसे बेहतरीन हिससा बीत चुका होगा.	అవును, కానీ అపపటికి జీవితంలో ఆనందాననంతా అపపటికి తను కోలపోతుంది.
मैं बस जयादा ही चिंता करता हूँ.	నేను చాలా ఎకకువ ఆందోళనపడతాను.
मैं अभी-अभी उन सबसे मिला. वे काफी रोचक हैं.	వాళలందరినీ కలుసుకుననా అనుకుంటా. చకకని కుటుంబం.
तुमने उसे देखा?	అతడిని చూశావా?
मेरे लिए कोई सरपराइज लेकर आना.	తిరిగి వచచి ననను ఆశచరయపరుచు.
कृपया, मेरे लिए फलश कर दोगी?	నా బదులు దయచేసి నీళలు కొడతావా?
-मैं ठीक हूँ, सच में. -नहीं.	-నేను నిజంగా బాగుననాను. -లేదు.
गरेस नहीं आ सकती. माफ करना एकस	గరేస నా వలల కాదు. కషమించాలి.
वह मर चुका है.	అతను చనిపోయాడు.
तो आमतौर पर दोषी अंतयेषटि में जरूर आता है.	నేరం చేసిన వారు సాధారణంగా అంతయకరియలకు వసతారు.
ठीक है, कोलमबो.	అలాగే, కొలంబో.
हाँ. समय पंख लगाकर उड जाता है.	అవును. కాలం గడిచిపోతుంటుంది.
बरेड पंदरह मिनट बाद बाहर निकालना. वैसे भी उसे पकने में एक घंटा लगेगा.	ఆ బరెడ ని పదిహేను నిమిషాల తరువాత తీసేయి. దానిని గంట సేపు అలా ఉంచేయాలసిందే.
हम तुमहारे लिए बेहद खुश हैं. अगर कोई भी जरूरत हो, तो बताना.	నీ విషయంలో మేము సంతోషిసతుననాం. నీకు ఏం కావాలాననా అడుగు.
कया इसका मतलब है कि मैं संदिगध हूँ? कया मैं संदिगध हूँ?	దాని ఉదదేశం నేను అనుమానితురాలిని అనా? నేను అనుమానితురాలినా?
चुप रहो. तुम यह पढ चुकी हो?	నోరు మూయి. నువవు ఇది చదివావా?
लगभग मार डालने की भरपाई करूँ?	నినను దాదాపు చంపబోయాను కదా?
तुम गाडी नहीं चला सकती. तुमने बडा गिलास पीया था. . . तुम मजाक कर रही हो?	నువవు డరెవ చేయకూడదు. నువవు పెదద గలాసులో. . . నీకు పరాచికాలుగా ఉందా?
तुम भददे दिख रहे हो. पीले पड गए हो और पसीने से तर हो.	నువవు ఘోరంగా ఉననావు. మొహం పాలిపోయి, ఒళలంతా చెమటలు పటటాయి.
उसे पता ही नहीं वह कया कर रहा है, और वह बेहद आलसी है.	వాడు ఏం చేసతుననాడో వాడికి తెలియదు, పెగా వాడు బదధకపు వెధవ.
छह महीने पहले	ఆరు నెలల కిందట
इससे एक अचछा ऐपिटाइजर बनेगा.	ఇది కూడా చకకగా తోడవుతుంది.
बात बस एक करिसमस की नहीं है.	ఈ ఒకక కరిసమస గురించి కాదు.
कुछ समय से तुमहारी किसमत काफी बुरी रही है.	ఈ మధయ మీకు అదభుతమెన అదృషటం కలిసొచచింది.
कोई बात नहीं.	కంగారు పడకండి.
इसलिए, अब यह हमारी समसया है.	అయితే, ఇది ఇపపుడు మన సమసయ.
-हाँ. -और गरम पानी की बोतलें भी ले लो.	-అలాగే. -ఇంకా వేడి నీళల బాటిలస తీసుకోండి.
ठीक है. यह अचछा विचार है.	అలాగే. సరే, అది మంచి ఆలోచన.
-तुमहारे वाले की तरह. -हाँ.	-నీ దుసతులు లాంటివి. -హా.
और जॉन पॉल का बॉस भी, बेशक.	ఇంకా జాన పాల యజమాని కూడా.
बस. . . यह बस सफेद वाइन है.	అది. . . కేవలం తెలల వెను.
. . . इवा, अरसला, बिबी और बैका गारवी.	. . . ఈవా, ఉరసులా, బీబీ ఇంకా బెకా గారవీ.
कया हुआ? यह बचपन का मोटापा है. यह बेहद सामानय है.	ఏంటి? అది. . . అది పసితనపు కొవవు. అది పూరతిగా మామూలే.
कृपया. अगर तुमहें कुछ हुआ, तो याद रखना मैं तुमहारे बिना कुछ नहीं कर सकती.	దయచేసి విను. నీకు ఏదెనా అయితే, ఒకటి గురతుంచుకో, నువవు లేకుండా నేను ఏమీ చేయలేను.
जीवन बीमा बीमा परमाण पतर	జీవిత బీమా పాలసీ సరటిఫికెట
यह कया. . . रुको, तुम ऐसे नहीं जा सकते.	ఏమెంది. . . ఆగు, నువవు అలా వెళలలేవు.
बलानड? अपने तोहफे ले लो.	బలానడ? నీ బహుమతులు సరదుకో.
-मैमी! -हाँ?	-మామీ! -ఏంటి?
करीम लगा लो.	కరీమ పెటటుకో.
मेरा पिछवाडा.	నా పిరుదులు.
उससे पहले भी मर सकता है.	అంతకంటే ముందే పోవచచు కూడా.
-तुमसे टॉयलेट के पब की बू आ रही है. -सच में? मुझे लगा कुतता-घर की बू आ रही थी.	-నువవు ఒక పబ మూతరశాల కంపు కొడుతుననావు. -నేనా? కుకక గూడు వాసన అనుకుననాను.
तुम कयों. . .	ఎందుకలా. . .
वैसे तुम शनिवार को कयों काम कर रहे हो?	శనివారం రోజు ఎందుకు పని చేసతుననావు?
-हम साथ में तैरें? अब तुम काफी बडी हो गई हो. -हाँ.	-మనం వెళదామా? నీకు ముసలితనం వచచేసింది. -అవును.
कोई जेल नहीं जा रहा है.	ఎవవరూ జెలుకు వెళలడం లేదు.
हे भगवान. तुम अभी पूरी तरह से मैम जैसी दिख रही हो.	ఓహ, దేవుడా. నువవు అచచు అమమలాగా పరవరతిసతుననావు.
तीस दिनों से गरभावसथा में पडी हूँ.	గరభంతో ముపపె రోజులుగా ఇలా పడి ఉననాను.
वह मुझे शांत झीलों पर ले जाते हैं.	నిశచలమెన నీటి వదద నాకు దారి చూపుతాడు.
हम विलियमस की अंतेषटि में जा रहे हैं.	మనం విలియమస అంతయకరియలకు వెళతుననాం.
-बहुत खूब. तुम इसकी हकदार हो, जान. -हे भगवान.	-మంచి పని. నువవు సాధించుకుననావు, బంగారం. -దేవుడా.
-नहीं. हमें करना चाहिए. मैं करना चाहती हूँ. -चलो.	-లేదు. మనం చేయాలి. నాకు చేయాలని ఉంది. -పదండి.
मैं कल तुमसे फोरटी फुट में तैराकी के लिए मिलूँगी.	ఈత కోసం ఫారటీ ఫుట దగగర రేపు మిమమలని కలుసతాను.
मुझे इसका आदी होने में थोडा समय लगा.	అలవాటుపడటానికి కొంత సమయం పటటింది.
हाँ, और तुम सच में मोटी हो गई हो.	సరే, కానీ, నువవు బాగా లావుగా ఉననావు.
