जेपी!	జెపి!
अपनी बहन को परेशान मत करो, जॉन पॉल.	మీ చెలలెలు లాంటిది, వదిలేయ, జాన పాల.
नेटबॉल को मुझसे और इस शादी से जयादा पराथमिकता देने की हिममत भी मत करना.	నా కననా మన పెళలి కననా ఆ నెట బాల కి ఎకకువ పరాధానయం ఇచచేంత ధెరయం చేయకు.
वह तुम हो जिसे इस घर से जाना चाहिए.	ఇకకడ నుండి వెళలవలసిన వాడివి నువవు.
वह बस यहाँ आपसे पैसे ऐंठने आई है कयोंकि वह मुझसे पैसे ऐंठ नहीं सकी.	తను నా నుంచి డబబు గుంజలేకపోయింది కాబటటి నీ డబబు కోసం ఇకకడికి వసతోంది.
कभी-कभी मैं सोचती हूँ, चूँकि मेरी माँ और डैड यहाँ नहीं हैं. . .	నేను ఒకకోసారి అనుకుంటాను, తెలుసా, మా అమమా నాననా లేకపోవడం వలల. . .
और समूह को चलाने वाले इंसान को मेरे बेटे में अजीब सी दिलचसपी है.	కానీ దాని నిరవాహకుడు మా అబబాయి మీద అనవసరమెన శరదధ చూపిసతుననాడు.
तो, बताओ तुमहारा दिन कैसा बीता.	సరే, నీ రోజు ఎలా గడిచిందో చెపపు.
हमें यह काम पूरा करना होगा, इवा.	మనం ఈ సమసయని పరిషకరించాలి, ఈవా.
खैर, धनयवाद. बहुत-बहुत धनयवाद.	సరే, ధనయవాదాలు. చాలా ధనయవాదాలు.
तुमहें इसका आदी होना होगा. . .	సరే, నీకు అలవాటయిపోతుంది. . .
कया वह तुमहें देखकर खुश थी?	నినను చూసి తను సంతోషించిందా?
वह खाना नहीं पका सकता, सीखता भी नहीं है और डिलीवरी के पैसे देने में कंजूसी करता है.	వాడు వండుకోలేడు, ఏదీ నేరచుకోడు ఇంకా ఏదెనా కొనుకకుని తినడానికి కూడా డబబులు తీయడు.
आपको उस वृदधाशरम में जाना चाहिए जिसकी हमने बात की थी.	మనం గతంలో మాటలాడుకునన ఆ వృదధ శరణాలయానికి నువవు వెళలాలి.
हाँ, पर मेरा काम पूरा होने से पहले ही तुम चली आई थी.	అవును, కానీ నేను పని ముగించే లోగానే నువవు వెళలిపోయావు.
बिबी का फोन है. ए, कया हुआ?	బీబీ ఫోన. హేయ, ఏంటి విషయం?
उप-शीरषक अनुवादक: मून कलिता	తెలుగు అనువాదం: సతీశ కుమార
पर भगवान के लिए, अपना फोन उठाओ, यह सुनो और कॉल करो.	కానీ దయచేసి, ఫోన తీయి, ఇది విని నాకు తిరిగి కాల చేయి.
तो फिर, तुम अपने बारे में कुछ बताओ. कोई भयानक बात.	నీ గురించి ఏదెనా నాకు చెపపు, అయితే. ఏదెనా భయపెటటేది.
हम अभी इस पर बात नहीं कर सकते. वह टीम में है, जेपी. मुझे उसे ले जाना होगा.	మనం ఇపపుడు ఇలా మాటలాడుకోలేము. తను జటటులో ఉంది, జెపి. నేను తనని తీసుకువెళలాలి.
और मैंने सोचा, तुमहारी भी एक परेशानी हलकी कर दूँ.	నేను వచచి ఈ పని చేసి నీకు ఊరట కలిగిదదామని అనుకుననా.
शायद किसी रात मैं किसी ऐसे लडके के साथ बैठी हूँगी	బహుశా ఏదో ఒక రాతరి నేను ఒక కురరాడితో కలిసి ఉంటానేమో
तो रासते में किसी कुतते, किसी इंसान, किसी के आने का खतरा नहीं होना चाहिए.	మనం కుకకలకీ, మనుషులకీ పరమాదాలు జరగకుండా మధయలో ఏ అడడంకులు లేకుండా చూసుకోవాలి.
मैं इस पर हसताकषर कर दिए हैं. मैं नहीं चाहती थी कि तुमहें सारा शरेय मिले.	నేను దీని మీద సంతకం చేశాను. నువవు ఆ చెతత అపపులలో కూరుకుపోవడం నాకు ఇషటం లేదు.
-मुझे जाना होगा. -ठीक है.	-నేను ఇంక వెళలాలి. -సరే.
माफ करना. कया हो रहा है?	మననించండి. ఏం జరుగుతోంది?
तुम यहाँ कया कर रही हो?	అకకడ కింద ఏం చేసతుననావు?
रॉजर, तुम बहुत अचछे हो.	రోజర, నువవు ఒక దేవదూతవి.
आपको याद है कल रात को गॉलवे नेटबॉल टूरनामेंट है?	గాలవే నెట బాల టోరనమెంట ఈ రాతరికి ఉంది, తెలుసా?
तुम अचछी बातें कहती हो.	మీరు ఈ మాట చెపపి తీరాలి.
इसमें इतनी सिलवटें हैं.	నా దుసతుల నిండా మరకలు.
वह कभी घर नहीं लौटेंगे.	ఆయన ఇంటికి రావడం లేదు.
तुमहें पता है वह कैसा महसूस होता है? कयोंकि मुझे पूरी तरह पता है.	అది ఎలా ఉంటుందో నీకు తెలుసా? ఎందుకంటే నాకు దాని గురించి చాలా తెలుసు.
पर शायद अब वह मुझे उन नजरों से नहीं देखता है,	కానీ బహుశా అతను ఇంక నా వెపు చూడటం మానేశాడు,
जेपी? वह राजी नहीं था?	జెపి? ఆయన ఒపపుకోలేదా?
कया? इसका कया मतलब है?	ఏంటి? నీ ఉదదేశం ఏంటి?
हम बस मजे करेंगे. . .	నేను ఊరికే వచచాను. . .
तो, तुम और डॉनल अब भी	అయితే, నువవు ఇంకా డోనల
खैर, यह बहुत अचछा है.	సరే, ఇది చాలా బాగుంది.
उममीद है तुमहें ऐतराज नहीं है. मैं बस अपनी झाडियाँ काट रहा था	నువవు ఏమీ అనుకోవని భావిసతాను. ఊరికే నాకు నేనుగా ఇదంతా చేసతుననాను
एक काम निकल आया है. अगली बार. जलद मिलेंगे.	వేరే పని పడింది. తరువాత వెళదాం. కలుదదాం.
मेरी किताब कहाँ है?	నా పుసతకం ఎకకడ ఉంది?
यह ओछी चीज तुमसे ओछी चीजें कहलवा रही है.	ఈ చౌక వసతువు నీతో చౌకగా మాటలాడిసతోంది.
उसका नाम गैबरिएल है.	అతని పేరు గాబరియేల.
कया? मेरा मतलब. . .	ఏంటి? నా ఉదదేశం. . .
कया वह उसकी नाव है?	అదేనా వాడి చెతత పడవ?
माफ करना. मैंने कारमेल से वादा किया है कि मैं डबल शिफट के लिए उपलबध रहूँगी.	ననను మననించు. డబుల షిఫట అవసరమెతే నేను అందుబాటులో ఉంటానని కారమెల కి హామీ ఇచచాను.
मैंने अभी-अभी उस पर एक डाकयूमेंटरी देखी थी. कितना कमीना है.	ఈ మధయనే అతని గురించి డాకయుమెంటరీని చూశాను. ఎంత వకరబుదధి.
शायद मेरे पति तुमसे सहमत नहीं होंगे.	నా భరత మీతో ఏకీభవిసతాడని నేను అనుకోను.
-और तुम कौन हो? -कया इसका इस सवाल से कोई लेना-देना है?	-ఇంతకీ నువవు ఎవరు అనుకోవాలి? -నా పరశనకు దానితో ఏం సంబంధం?
कया मुझे बराउजर हिसटरी भी देखनी चाहिए?	నీ బరౌజర హిసటరీలోకి వెళలి చూడమంటావా?
तुमहारी विरासत? तुम मजाक कर रहे हो?	నీ వారసతవ సంపదా? నాతో జోకులేసతుననావా?
मॉम, आप वहाँ हैं?	అమమా, అకకడ ఉననావా?
मिन विलियमस दवारा	మిన విలియమస బొమమలు
हम नहीं बता सकते.	అది మీకు చెపపలేము.
अजनबी? कया मैंने तुमहें कुछ देर पहले दरवाजे से टॉयलेट पेपर नहीं दिया था?	అపరిచితురాలినా? ఇంతకుముందు నీ తలుపు గుండా నీకు టాయిలెట పేపర ఇవవలేదా?
मुझे पूछने का हक है, और मुझे लगता है मुझे पूछना चाहिए.	ఇది అడగడం నా బాధయత, ఇంకా నేను అడగాలి అనుకుంటుననాను.
पर तुमने कहा कि वह जयादा महँगा है.	కానీ అది చాలా ఖరచని నువవు ఆపావు.
हिममत भी मत करना.	ఇంత ధెరయం చేయకు.
तुमहें जाकर उससे बात करनी होगी. सुलह करनी होगी.	నువవు వెళలి తనతో మాటలాడాలి. పరిసథితిని చకకబెటటాలి.
सज-धजकर? मैंने बस एक कोट पहना है.	ముసతాబా? నేను కోటు వేసుకుననాను.
तुमहें लगता है यह मेरी गलती है?	ఇది నా కారణంగానే జరిగింది అంటావా?
और मुझे वह बेहद सुंदर दिखता है.	అతను నాకు చాలా అందంగా కనిపిసతాడు.
शायद मेरे पास तुमहारे लिए कुछ है.	నీకు ఒక విషయం అయితే చెపపగలనేమో.
आपको मदद चाहिए.	నీకు సాయం అవసరం.
अगर दोबारा मारना है, तो कया नीचे वाले होंठ पर निशाना लगाओगी?	నువవు ననను మళలీ కొటటాలనుకుంటే, ఈసారి నా పెదవి కింద గురి చూడగలవా?
जेपी, यह कया है?	జెపి, ఏంటి ఇది?
शायद, मेरा मतलब. . . शायद मैंने खुद की देखभाल करना छोड दिया है.	బహుశా, నా ఉదదేశం. . . బహుశా నేనే ఆ కోరికని వదిలేసుకోవాలేమో.
यही इसका सिदधांत है. आह, ध. . .	అదే ఆమె ఉదదేశం. ఆహ, చెతత. . .
तुमने वहाँ से शुरुआत कयों की?	అకకడ నుండే ఎందుకు మొదలుపెటటావు?
कोई पानी का नल बंद करो. पानी का नल बंद करो!	ఎవరెనా ఆ బాతరూమ లో నీటిని ఆపండి. నీటిని ఆపండి.
मैं उसकी हतया की योजना नहीं बना रहा, गरेस.	ఆ మనిషిని చంపాలని నేను పథకం వేయడం లేదు, గరేస.
जब एक रासता बंद हो, तो कुछ नया करने की कोशिश करनी चाहिए.	నీకు తెలుసు, దేవుడు ఒక తలుపు మూసేసతే, మరొక కిటికీ తెరుసతాడు.
शायद बिबी के लौटने तक हम कुछ नहीं कर सकते.	బీబీ తిరిగి వచచేవరకూ ఏమీ జరగదు అనుకుంటుననాను.
तुमहें अपने शरीर को लेकर सहज महसूस करना होगा.	ఇది మీ శరీరం, దీనితో మీరు సౌకరయంగా ఉండాలి.
डॉनल, जवाब दो.	డోనల, సపందించు.
अपना पैर हटाओ.	నీ కాళలు జరుపు.
तुमहारे पिताजी किसी मोटे किसान से तुमहारी शादी करवा देंगे.	మీ నానన నినను ఒక లావుపాటి రెతుకు ఇచచి పెళలి చేసేయగలడు.
समसया यह है कि मेरा बेटा एक युवा चरच समूह में भाग लेता है,	సమసయ ఏమిటంటే, మా అబబాయి చరచ యూత గరూప లో పాలగొంటుననాడు,
उसकी दिमागी सेहत के बारे में.	అతని మానసిక ఆరోగయం గురించి.
शायद अब ये फैशन में नहीं हैं.	ఇవి ఇపపుడు ఫయాషన కాకపోవచచు.
हम अलमारी या बिसतर के नीचे नहीं छुपेंगे, समझी? भगवान.	మనం అలమారాలలోనూ, మంచాల కింద దాకకోవడం లేదు, సరేనా? దేవుడా.
अंतिम समय में मना करने के लिए माफी चाहूँगा	చివరి నిమిషంలో రాలేకపోతుననందుకు కషమించు
जानती हो तुम सबसे जयादा कब सुंदर दिखती हो?	నువవు చాలా అందంగా ఎపపుడు ఉంటావో తెలుసా?
और, वे अब भी मेरी बहनें हैं.	పెగా, వాళలు ఇంకా నా అకకలే.
हमें उसके और गरेस के बीच चुनना होगा. है न?	అది అతని కారణంగా లేదా గరేస కోసం. సరేనా?
कया तुम अपनी खुद की पतनी नहीं ला सकते?	నువవు నీ సొంతానికి ఒక భారయని తెచచుకోలేవా?
-बलानड पास ही है. -माँ, हम चल रहे हैं?	-బలానడ ఇకకడే ఉంది. -అమమా, మనం వెళతుననామా?
जब तुम अपनी बहनों जैसी नहीं दिखती हो.	నీలో నీ అకకచెలలెళలు ఎవవరూ కనిపించనపపుడే.
तुमहें मेरी चिंता करने की जरूरत नहीं है.	నువవు నా గురించి పటటించుకోనవసరం లేదు.
मेरे कॉल नजरअंदाज करना बंद करो, गरेस.	నా ఫోన కాలస ని నిరలకషయం చేయడం ఆపు, గరేస.
और शुभरातरि.	ఇంక శుభరాతరి.
-यह आपकी अपनी भलाई के लिए है. -बस जाओ.	-అది నీ మంచి కోసమే. -నువవు వెళలిపో.
मुझे सच में खुशी है कि तुम यहाँ आई.	నువవు వచచినందుకు నిజంగా సంతోషంగా ఉంది.
तुमहें यह करने की जरूरत नहीं है, समझी?	నువవు బాధ పడాలసిన పని లేదు, తెలుసా?
यह काफी भडकीला है, मिन.	ఇది చాలా మంచి విషయం, మిన.
सर, माफ करना. माफ करना.	సర, మననించాలి. కషమించండి.
अब वह खुद को एक महिला के रूप में भी नहीं देखती है.	తనని తాను ఒక ఆడదానిగా కూడా భావించడం మానేసింది.
तो, जो कुछ भी हुआ उसके बाद, योजना आगे बढाने के बारे में कया खयाल है?	అయితే, ఇదంతా జరిగిన తరువాత మామూలుగా నీ పని చేసుకోవడం నీకు ఎలా అనిపిసతోంది?
पकका अब तक, तुम अपने शरीर को लेकर सहज महसूस करती होगी, है न?	ఇపపటికి ఖచచితంగా, మీ శరీరంతో మీరు సౌకరయంగా ఉననారు, కదా?
हैलो, गरेसी.	హాయ, గరేసీ.
तुमहें लगता है मुझे तुमहें अपनी शादीशुदा जिंदगी के बारे में बताना चाहिए?	నా వెవాహిక జీవితంలోని సుననితమెన అంశాలని నీకు చెపపాలని ఆశిసతుననావా?
इससे फरक पडता है तुम इसे यहाँ कयों लेकर आए?	నువవు దానిని ఇంతదూరం తీసుకురావడం ఏమెనా విశేషమా?
जब घबराती हूँ, तब मेरे पेट में दरद होता है.	నాకు భయం వేసినపపుడు నా కడుపులో నొపపి పెడుతుంది.
उस इंसान से दोसती करना असंभव था.	ఆ మనిషితో సనేహం చేసే అవకాశమే ఉండదు.
मुझे पता है कि तुम इस बारे में बात नहीं करना चाहते हो. . .	ఈ విషయం గురించి మాటలాడటం నీకు ఇషటం ఉండదని తెలుసు. . .
मेरा मतलब, मैं इससे सहमत नहीं हूँ.	నా ఉదదేశం, నేను అంతగా చెపపలేను.
-हम बलानड के बिसतर के नीचे नहीं छुपेंगे. -तो फिर अलमारी में छुपेंगे.	-మనం బలానడ మంచం కింద దాకకోవడం లేదు. -అయితే అలమారాలో దాకకుందాం.
किस बारे में? उससे मरने के लिए अनुरोध करने के बारे में?	ఏంటి ఆలోచించడం? తనని తానే చంపుకోమని అడగడం గురించా?
कयोंकि उनका जिकर करना बेहद कठिन होता है.	ఎందుకంటే వాటిని తలచుకోవడం చాలా కషటమెన విషయం.
कया मेरी वजह से वह मरना चाहता था?	అతను చనిపోవడానికి నేనే కారణమా?
उसे पता है कि तुम मेरे साथ हो?	నువవు నాతో ఉననావని అతనికి తెలుసా?
-धत! -नहीं.	-ఛ! -వదదు.
ठीक है! धत!	మంచిది! ఛ!
मुझे याद दिलाना कि मैं बिबी से कभी न पूछूँ कि वह इसमें कयों माहिर है.	బీబీ ఇలాంటి విషయాలలో సహజమెన పరతిభని ఎలా అలవరచుకుందో నేను విచారించకుండా చూడు.
और मैंने बस किसी और को यही घाव दे दिया.	నేను చేసిందలలా దీనిని మరొకరికి అందించానంతే.
उसे पूरी तरह से बेहोश हो जाना चाहिए था.	ఒక పెదద ఏనుగుని కూడా అది మతతులో ముంచెతతేది.
कयोंकि हमने उसे आमंतरित किया था.	ఎందుకంటే మనం తనని ఆహవానించాం.
दरअसल, उनहोंने आतमहतया की थी.	ఆయన నిజానికి ఆతమహతయ చేసుకుననాడు.
इसमें बाथटब भी शामिल है, इवा.	కానీ, నీటి తొటటెలో పెటటాలి, ఈవా.
मैं यह इसलिए कर रही हूँ ताकि कोई मुझे बताए कि मैं इससे बेहतर की हकदार हूँ.	ఇలా ఎందుకు పరవరతించడానికి కారణం నా మంచి గురించి ఎవరెనా ఆలోచిసతారని.
या ऐसे इंसान के रूप में जिसे सुना जाए.	లేదా కనీసం నా మాటకి కూడా విలువ ఇవవడం లేదు.
मजाक कर रही थी. बेस अचछा है. काफी भारी है.	జోకింగ. బాస బాగుంది. బాస ఎకకువగా ఉంది.
तो यह मेरी गलती है.	కాబటటి అది నా తపపిదం.
चलो, जान. चलो चलें.	పద, బుజజీ. వెళదాం పద.
तो, यह मेरी बहनों की गलती है कि अब मैं तुमहें आकरषक नहीं लगती हूँ?	అయితే, నువవు ననను చూడకపోవడానికి మా అకకచెలలెళలు చేసిన తపపులే కారణం అంటావా?
दवाइयाँ लेने में कोई शरमिंदगी नहीं है, जॉन पॉल.	టాబలెటలు వేసుకోవడం ఏమీ సిగగుపడే విషయం కాదు, జాన పాల.
उनहोंने तुमहारे साथ डांस कलास में जो किया, उसके बाद कोई अनय महिला टूट जाती.	డానస కలాస లో నీకు జరిగిన అవమానానికి ఇంకో తకకువ సథాయి ఆడవారు అయితే డీలా పడిపోయేవారు.
-ठीक है. अपने कमरे में घुसो. -धनयवाद.	-సరే. మీ గదిలోకి పరవేశించండి. -ధనయవాదాలు.
कया जेपी ने कभी खुद को चोट पहुँचाने की कोशिश की थी?	జెపి ఎపపుడయినా ఆతమహతయ చేసుకోవాలని పరయతనించాడా?
अरसला, तुम हजारों बार बोल चुकी हो कि पोसटमॉरटम में डरगस पकडे जाते हैं.	ఉరసులా, డరగస అనేవిశవపరీకషలో బయటపడతాయని నాకు వందల సారలు చెపపావు.
मिन! कौन सी चाहिए?	మిన! ఏది తీసుకోవాలి?
वह ऐसा नहीं कर सकता.	అతను అలా చేయకూడదు.
यह कया है?	అది ఏంటి?
यह कया है?	ఏంటి ఇది?
अरे, हाँ.	ఓహ, అవును.
कोई सुराग ढूँढो. कुछ पता लगाओ.	ఏదెనా తెలుసుకో. ఏదెనా చూడు.
ऐसा मत करो, गरेसी.	అలా మాటలాడకు, గరేసీ.
माफ करना. मैं. . .	కషమించండి, నేను. . .
गरेस और बलानड दूध पीती हैं.	గరేస ఇంకా బలానడ పాలు తాగుతారు.
अरे, हाँ.	ఓహ, అవును.
हमें पता नहीं उसमें कया होता है, पर वह उसके बिना नहीं रह सकता.	అందులో ఏం ఉంటుందో తెలియదు, కానీ అతను మామూలుగా దానికి అలవాటుపడిపోయాడు.
पर मैं कहूँगा कि यह अफसोस की बात है	కానీ చాలా సిగగుచేటు అయిన విషయం ఏమిటంటే,
वह कहा करती थीं, डांस करना सीखो और तभी तुमहें मौका मिलेगा.	ఆమె ఎపపుడూ చెపపేది, డానసు నేరచుకో, ఛానసు అందుకో అని.
मेरे हाथों कुछ बडा लगा है.	నాకు ఒక పెదద ఆధారం దొరికింది.
कोशिश कर रही हूँ.	ఏదో పరయతనిసతుననాను.
गरेस, मुझे खेद है कि मुझे पूछना पडेगा.	గరేస, నేను మిమమలని ఒక పరశన అడగాలి.
-खाने पर बात करेंगे. -नहीं आ सकती.	-అపపుడు దాని గురించి మాటలాడు. -కుదరదు.
उधर. इस तरफ. चलो.	అటు. ఆ వెపు. పదండి.
वह कया कर रहा है?	వాడు ఏం చేసతుననాడు?
वह कया कर रहा है?	వాడు ఏం చేసతుననాడు?
जब मेरी जगह नाचना हो, बस इशारा करना, जेपी.	గరేస తో డానస చేయడానికి సిదధమెనపపుడు చెపపు జెపి.
मुझे काफी कम चीजें पता थीं. जयादातर उसके डॉकटरों से ही.	నాకు అది మాతరం తెలుసు. అతని డాకటరల దవారా విననాను.
सही कहा.	ఖచచితంగా.
माँ. . .	మామా. . .
बढिया है.	బాగుంది.
तुमने कया सुना है?	మీరు ఏం విననారు?
जानते हो न कि तुम बेहद किसमतवाले हो?	నువవు చాలా అదృషటవంతుడివి తెలుసా?
माफ करना.	కషమించు.
जॉन पॉल का. बलानड के जनम से पहले. . . चिंता में डूबा था.	జాన పాల. బలానడ కి ముందు కూడా. . . ఎపపుడూ ఆందోళన పడుతూ ఉండేవాడు.
एक बोतल चुरा सकती है और अगर वह चुरा पाई,	ఇంకా అది ఖచచితంగా పని చేసతుందని హామీ ఇసతోంది,
माफ करना?	మననించు?
अरे, धत.	ఓహ, చెతత.
अरे, धत.	ఓహ, చెతత.
अरे, धत.	ఓహ, చెతత.
माफ करना.	మననించు.
चलो चलें. चलो. चलो चलें.	వెళదాం పదండి. రండి. వెళదాం.
तुम यहाँ हो, बेंजामिन फरैंकलिन की तरह जासूसी कर रहे हो.	ఇకకడ ఉననాడు చూడు, బెంజమిన ఫరాంకలిన లాగా ఇలలాంతా తిరుగుతుననాడు.
-यह लो. -भगवान. मुझ पर तुमहारा करज रहा.	-ఇదిగో. -దేవుడా. నేను నీకు ఒకటి బాకీ ఉననాను.
उसने बस आज छुटटी ली है.	ఈ రోజు అతనికి సెలవు, అంతే.
तुम सेकस करना चाहती हो.	నీకు శృంగారం చేయాలని ఉంది.
मेरी बहनों को भी नहीं पता.	మా వాళలకు కూడా తెలియదు.
यह अचछा संदरभ है.	అది మంచి పోలిక.
मैं मुसकुराकर जागता हूँ, रॉजर.	నేను ఉదయాననే నవవుతూ లేసతాను, రోజర.
मुझे पता है कि तुमहें दुःख हो रहा है,	నా ఉదదేశం, నువవు బాధపడుతుననావని అరథమయింది,
जब पुलिस किसी आदमी का कंपयूटर जबत करती है?	సాధారణంగా దేని గురించి అనుకుంటుననావు?
-वह किसी से नहीं मिलना चाहती है. -हम अजनबी नहीं हैं. है न?	-ఆమె ఎవవరినీ కలవాలని అనుకోవడం లేదు. -సరే, మేము బయటవాళలం కాదు, కదా?
जिसके साथ मैं रात को सोना चाहता हूँ.	పరయతనం చేసి ఉంటే, ఈ పరిసథితి వచచేది కాదు.
जाओ जाकर पैसे चुराओ. इनकी फिकर करने का ढोंग करके फायदा नहीं होगा.	వెళలి పరసులు దొంగిలించుకో. అందులో నీకు తకకువ పని ఉంటుంది.
गलती उसकी है. उसे ही इसकी चिंता करने दो.	ఆమె అకకడ విలన. ఆ బాధ ఆమెనే పడనివవు.
खुद को नीचे मत गिराओ.	నినను నువవు తగగించుకోకు.
मैं अपनी बहन को फोन कर सकता हूँ?	నా సోదరికి నేను ఫోన చేయవచచా?
तुमने वह गिराया तो नहीं. . .	నువవు ఆ మందుని పడేయలేదు కదా. . .
मेरी माँ ने मुझे बचपन में डांस कलास में भेजा था.	నా చిననతనంలో మా అమమ ననను డానసు నేరచుకోడానికి పంపించేది.
ठीक है. तो जलद बात करेंगे. ठीक है?	అలాగే. సరే, తవరలో మాటలాడుకుందాం. సరేనా?
मैं तुमहारा पीछा नहीं कर रहा था. . . देखो, मैं बस. . .	నేను నినను అనుసరించడం లేదు. . . చూడు, నేను. . .
अगर बीमा दावे से इसका संबंध नहीं होता, तो मैं यह नहीं पूछता.	ఇది కలెయిమ కి సంబంధించినది కాకపోయి ఉంటే నేను ఈ పరశన అడిగేవాడిని కాదు.
और मेरी भी जरूरतें हैं.	నాకు అలాంటిది అవసరం.
इसलिए टालने में कयोंकि तुम कुछ छुपाने की कोशिश में हो	వివరాలను కలుపతంగా చెపపడం ఎందుకంటే మనం ఏదో దాచాలని పరయతనిసతాము
उसे लेकर. योजना आगे बढाने के बारे में.	అతని గురించి. ఆ విషయం. పని చేయడం.
मैंने तुमसे कहा था, तुमहें यहाँ आने की जरूरत नहीं है.	సరే, నీకు చెపపాను, ఇకకడ నీ అవసరం ఎవవరికీ లేదు.
नहीं, पर. . .	లేదు, కానీ. . .
तुमहें पसंद आई?	నీకు నచచిందా?
यह बलानड के थे.	అవి బలానడ వి.
यह हो रहा है.	ఇది జరుగుతోంది.
बेलजियन सीरीज "कलैन" पर आधारित	బెలజియన సిరీస కలాన ఆధారంగా
पर तुमहें किसी गरीब इंसान की तरह वाइन फरिज में रखनी चाहिए.	కానీ ఒక పేద వయకతిలా నీ వెన ని ఫరిడజ లో ఉంచుకోవాలని మాతరం సూచిసతాను.
