एमबुलेंस	అంబులెనస
जीएए फुटबॉल सीट 82 - पंकति 14	జిఎఎ ఫుట బాల సీట 82, వరుస 14
माफ करना, नहीं, मुझे बलानड के लिए डिनर पकाना है, तो. . .	సారీ, లేదు, నేను బలానడ కి డిననర తయారు చేయాలి, అందుకని. . .
हाँ. मैं तुमहारे साथ चलूँगी.	అవును. నేను నీతో పాటు వసతాను.
-मैं बस एक समसया सुलझाने की कोशिश कर रही हूँ. -तुम समसया सुलझाने वाली कौन होती हो?	-నేను ఒక సమసయని పరిషకరించాలని పరయతనిసతుననాను. -ఏదెనా పరిషకరించడానికి అసలు నువవు ఎవరు?
पर गरेस और बलानड जिंदा हैं.	కానీ గరేస ఇంకా బలానడ ఉననారు.
केएल सटूडियो कलासिकस इसाडोरा	కెఎల సటూడియో కలాసికస ఇసడోరా
हम तुमहारे साथ हैं, ठीक है?	మేం నీకు అండగా ఉంటాం, సరేనా?
पर मैं उससे नहीं मिली हूँ.	కానీ అతను నాకు కనిపించలేదు.
उप-शीरषक अनुवादक: मून कलिता	తెలుగు అనువాదం: సతీశ కుమార
हसताकषर की नकल करना. अवैध रूप से लाश खोदकर निकालना.	సంతకాలు ఫోరజరీ చేయడం, అకరమంగా శవాలని వెలికి తీయించడం.
तुमहें इससे फरक नहीं पडा कि मुझे सचचाई पता नहीं थी.	నాకు అవి తెలియకపోయినా నువవు పెదదగా పటటించుకోలేదు కదా.
हम तुमहें बचाना चाहते थे.	నినను కాపాడాలని అనుకుననాం.
-जॉन पॉल. -नहीं, मैं. . .	-జాన పాల. -వదదు. నేను. . .
वैसे वह इसी का हकदार था.	అది ఏదో కవితాతమకంగా లేదూ.
वह मेरे वॉश-बैग में है.	అది నా వాష బయాగ లో ఉంది.
उससे झूठ बोलना बंद करो!	తనకి అబదధాలు చెపపడం ఆపు!
पर, हमने कोशिश जरूर की.	దేవుడా, మేము పరయతనించాం.
तुमने इतने समय यह बात खुद तक ही कैसे रखी, गरेसी?	ఇనని రోజులూ ఇది నీలోనే ఎలా దాచుకుననావు, గరేసీ?
जिस रात वह मरा था, मैं उसके कैबिन में गया था.	అతను చనిపోయిన రోజు నేను అతని కయాబిన కి వెళలాను.
कलाफिन एंड संस इनशुरनस	కలాఫిన అండ సనస ఇనసూరెనస
हैलो रॉजर. मैं ऑसकर हूँ	హాయ రోజర. నా పేరు ఆసకర
जीएए शनिवार 06 अगसत 22	జిఎఎ శనివారం 06 ఆగసట 22
-पर मैंने कुछ नहीं किया. कुछ नहीं किया. -नहीं.	-కానీ నేను ఏమీ చేయలేదు. నేను చేయలేదు. -లేదు.
देखो, बस. . . टॉम, चिंता मत करो. कृप. . . कृपया मुझ पर भरोसा रखो.	చూడు, కేవలం. . . టామ, ఆందోళన పడకు. నమము. . . దయచేసి ననను నమము.
शरीर ठंडा पड चुका था.	శరీరం చలలబడిపోయింది.
हमारा रिशता खतम हुआ.	మన పరేమ ఇక ముగిసింది.
उसने मुझ पर एक घिनौने अपराध का आरोप लगाया.	నా మీద అతను చాలా దురమారగమెన నింద మోపాడు.
मैंने मिना की जान ली.	నేను ఆమెను చంపేశాను.
शातिर बदमाश कहीं के.	నువవు తెలివెన వెధవవి.
बाद में मिलेंगे, माँ.	తరువాత కలుసతా, అమమా.
नहीं, तुम बस चूमना नहीं चाहती हो, गरेस.	వదదు, నువవు ముదదు పెటటాలని అనుకోవు, గరేస.
केवल वही हैं जिनहें मेरी सच में परवाह है.	వాళలు మాతరమే నా గురించి పటటించుకుంటారు.
हे भगवान, पता नहीं मैं कया महसूस करूँ.	ఓహ, దేవుడా. ఎలా సపందించాలో తెలియడం లేదు.
मैलकम टॉनक को उसकी जीएए टिकटें भेज देना.	మాలకమ టునోక కి జిఎఎ టికెటలు పోసట చేయి.
हाँ, पर, अब काफी देर हो चुकी है, है न?	అవును, కానీ, చాలా ఆలసయం అయిపోయింది, కదా?
मुझसे मेरी जिममेदारियाँ छीन ली गईं! मेरी जिंदगी तबाह हो गई!	నా విధులని నాకు దూరం చేశారు! నా జీవితం నాశనం అయిపోయింది!
छुप नहीं रहा था. मैं कलम ढूँढ रहा था.	నేను దాకకోలేదు. పెన కోసం వెతుకుతుననాను.
मुझे लगा तुम मुझे नजरअंदाज कर रहे हो.	నువవు ననను విడిచిపెటటేశావని అనుకుననాను.
और वह अपनी ही माँ पर अतयाचार करता था.	అతను తన తలలినే హింసించేవాడని చెబుతోంది.
यह मानक परकरिया है.	ఇది సాధారణ పరకరియ.
हम जॉन पॉल को मारना चाहते थे, गरेसी.	మేము జాన పాల చావుని కోరుకుననాం, గరేసీ.
-यह बडी बात नहीं है. -उसे पता है मैंने झूठ बोला, इवा.	-పటటించుకోకు. -నేను అబదధం చెబుతుననానని తనకి తెలుసు, ఈవా.
मुझे जानना है तुम उस रात कहाँ थी. तुमहारे जूतों में कीचड कयों लगा था?	ఆ రాతరి నువవు ఎకకడ ఉననావో నాకు తెలియాలి. నీ షూస కి మటటి ఎందుకు అంటుకుంది?
बेहद दुःख हुआ था.	కొదదిగా బాధపడడాను.
भविषय अँधेरे में दिख रहा था. सपषट नतीजे दिख रहे थे.	భవిషయతతు అంతా చీకటిగా ఉంది. అదంతా సపషటంగా కనిపిసతోంది.
नहीं, वह ऐसा नहीं करेगी. मुझे. . .	లేదు, తను అలా చేయదు. నేను నమమను. . .
तुमहें याद है जिस रात जॉन पॉल मरा था, तुम कहाँ थे?	జాన పాల చనిపోయిన రోజు మీరు ఎకకడ ఉననారో మీకు గురతుందా?
जब तक संभव हो, मुझे मेरी बेटी को माँ का पयार देना है.	నేను వీలెనంత ఎకకువ సేపు నా కూతురికి తలలిగా ఉండాలి.
हमें इन सीढियों का कुछ करना होगा.	ఈ మెటల విషయంలో మనం ఏదో ఒకటి చేయాలి.
अब जो भी होगा, तुमहें खुद को माफ करना होगा, बैका.	తరువాత ఏం జరిగినా కూడా, నినను నువవు కషమించాలి, బెకా.
-हे भगवान. खेल खतम हो गया. -वह मुझसे छुप रहा था.	-ఓహ, దేవుడా. అంతా అయిపోయింది. -నా నుండి దాకకుననాడు.
बचचों के परति अजीब यौन आकरषण का.	నాకు పిలలల పటల అసహజమెన ఆసకతి ఉందట.
काफी फिसलनी हैं.	చాలా జారుతుననాయి.
-बैका? -रुको. . .	-బెకా? -ఆగు. . .
मुझे मैट से मिलने जाना है, तो. . .	నేను మయాట ని కలవాలి, కాబటటి. . .
मुझे भूल मत जाना.	ననను మరచిపోవదదు.
अब, तुम कह रही हो तुम मेरे लिए हतया करोगी? चलो भी.	ఇపపుడు, నా కోసం తనని చంపేసతానంటుననావా? ఇంక ఆపు.
तुम डेसक के पीछे कयों छुप रहे थे?	నీ బలల వెనుక ఎందుకు దాకకుననావు?
थॉमस कलाफिन के लिए संदेश छोडें.	థామస కలాఫిన కి మీ సందేశం చెపపండి.
हम शानदार शाम गुजार रहे थे. . .	ఆ సాయంతరం చాలా ఆహలాదంగా ఉంది. . .
-तुम जो भी सोच रहे हो. . . -बैका.	-ఏంటి ఆలోచిసతుననావు. . . -బెకా.
तुम जो भी करते हो, हमारे पास जो भी है, सब झूठ है!	నువవు చేసే పరతి పని, మన మధయ ఉనన పరతీదీ అబదధమే!
नहीं, यहाँ आने की जरूरत नहीं है.	లేదు. ఇకకడ నీ అవసరం నాకు లేదు.
हाँ, पर मैंने नहीं किया, समझी?	అవును, కానీ నేను చేయలేదు, సరేనా?
और सेकस मत करना.	ఇంక సెకస చేయకు.
तुमहारी छोटी बहन ने कहा कि उसने उसे विततीय रूप से बरबाद कर दिया,	మీ చినన చెలలెలు అతను ఆరథికంగా ఆమెను దెబబ కొటటాడని చెబుతోంది,
तुमहें वह नहीं कहना चाहिए, जो दिल से न निकले.	నీ మనసులో లేని విషయానని నువవు పెకి చెపపనకకరలేదు.
तुमहें हमेशा और चाहिए होता है. जो दबाव तुम मुझ पर डालती हो. . .	నీకు ఎపపుడూ ఇంకా ఏదో కావాలి. నువవు నా మీద పెటటే ఒతతిడి. . .
बीमा कंपनी वाले अब भी उसे परेशान कर रहे हैं.	బీమా కంపెనీ వాళలు తనని ఇంకా ఇబబంది పెడుతుననారు.
तो, वह तुम सबके साथ नहीं थी जैसा तुमने कहा था.	కాబటటి, మీరు ముందు చెపపినటలు తను మీతో లేదు.
तुमने उस घर में रहने से मना कर दिया जो मैं हमारे लिए किराए पर लेना चाहता था.	మన కోసం అదదెకు తీసుకుందాం అనుకునన ఇంటలోకి నువవు కనీసం రావాలి అనుకోలేదు.
मैंने अभी-अभी मैलकम की टिकटें देखीं, वे मैच हमेशा शनिवारों को होते हैं.	మాలకమ కి నువవు ఇచచిన టికెటలు చూశాను, వాళల మయాచ లు ఎపపుడూ శనివారమే జరుగుతాయి.
अब नहीं जानते?	ఇపపుడు తెలియదా?
आजमाना चाहोगी?	ఒకసారి చూసతావా?
वह पूरी तरह से नशे में थी, गरेस. इसी तरह गरभपात होता है.	తను తపపతాగి ఉంది, గరేస. ఆ తాగుడు వలలనే తనకి గరభసరావం అయింది.
तुमहारे अपने राज थे, ठीक है?	నీ రహసయాలు నీకు ఉననాయి, సరేనా?
कयोंकि उसने रिशता तोड दिया, बिबी, समझी? इस तरह पता चला.	ఎందుకంటే అతను నాతో విడిపోయాడు, బీబీ, సరేనా? అందుకే చేయలేదు.
गरेस, मुझे बेहद खेद है. मुझे बेहद खेद है.	గరేస, నాకు చాలా బాధగా ఉంది. చాలా బాధగా ఉంది.
दुरबलता के ढेरों कारण होते हैं, जैसे. . .	నపుంసకతవానికి చాలా కారణాలు ఉంటాయి, అంటే. . .
चलो भी. उसे हमारी जरूरत है.	ఇలా చూడు. తనకి మన అవసరం ఉంది.
अगर वे सही हैं तो? अगर किसी ने सच में उसका खून किया हो तो?	వాళలు అనుకుననదే నిజమెతే ఏంటి? అతడిని ఎవరెనా చంపి ఉంటే?
अब अतीत बदला नहीं जा सकता है.	ఏం జరగాలో అది జరిగిపోయింది.
वह मेरे लिए यह नहीं करता. पता नहीं मैं कया सोच रही थी.	అతను నా కోసం ఆ పని చేయడు. నేను ఏం ఆలోచించానో నాకే తెలియదు.
-पानी में उतरो! -चलो, गरेस.	-నీటిలోకి దూకు! -దూకేయ, గరేస.
तुमहें कैसे पता चला लाश के साथ कया करना है?	అతని శవంతో ఏం చేయాలో నీకు ఎలా తెలిసింది?
हमने बस कुछ बार उस कमीने की हतया करने की कोशिश की थी.	మనం ఆ చెతతవెధవని చంపాలని మనం కొనని పరయతనాలు మాతరమే చేశాం.
नहीं. न कोई सूप, न कोई शराब.	వదదు. సూప వదదు. మదయం వదదు.
-जाओ! -ठीक है.	-వెళలు! -సరే.
यह सीढियाँ फिसलनी हैं, मैमी.	ఈ మెటలు జారుతుననాయి, మామీ.
मेरी तरफ देखो!	నా వెపు చూడు!
बस जाओ. कृपया.	దయచేసి వెళలు.
हाँ, पता है कुछ लोग और किसे गलत मानते हैं?	అవును, చటటపరంగా ఇంకో నేరం ఏమిటో తెలుసా?
नहीं भूलूँगी.	నేను మరచిపోను.
माइकल ने मुझे भिगोने की कोशिश की. अगली बारी तुमहारी है.	మెఖేల ననను నీటి పెపు దవారా తడిపేశాడు. తరువాత నువవే.
जब मैंने नहीं बताया, तो मैं समझ गई कि कभी नहीं बताऊँगी.	ఎపపుడు నేను చెపపలేదో, ఇంక చెపపలేను అని నాకు తెలుసు.
मैं बलानड को अकेला नहीं छोड सकती. मैं ऐसा नहीं कर सकती.	నేను బలానడ ని ఒంటరిదానిని చేయలేను. అది నా వలల కాదు.
-बैका, तुम. . . -नहीं! मैं भी सुनूँगी.	-బెకా, నువవు. . . -లేదు! నేను వింటుననాను.
हमें अब पकका पता है कि बैका अपनी बहनों के साथ नहीं थी.	బెకా తన అకకలతో కలిసి లేదని మనకి సపషటంగా తెలిసింది.
-कमीने कहीं के. -चुप रहो.	-ఆ చెతత వెధవలు. -నోరు మూయి.
कलाफिन एंड संस लाइफ इनशुरनस	కలాఫిన అండ సనస జీవిత బీమా
-तुम कहाँ थी? -माफ करना, एक बिजनेस मीटिंग में जाना था.	-ఎకకడికి వెళలావు? -సారీ, నాకు బిజినెస మీటింగ ఉంది.
वे बस तुमहारी इतनी ही परवाह करती हैं.	వాళలు నీ గురించి అంతవరకే పటటించుకుంటారు.
मैट, वहाँ ढेरों कलम हैं.	మయాట, అకకడ పెననులు ఉననాయి.
मैंने तुमसे कुछ भी करने को नहीं कहा था.	ఏదెనా చేయమని నేను నినను అడగలేదు కదా.
तुमने उसे हतया के हथियार में दफनाया.	హతయ చేసిన ఆయుధంతోనే అతడిని ఖననం చేశావు.
चला रही हूँ!	పోనిసతుననాను!
अगर मैंने देखा होता कि वह तुमहारे साथ कया कर रहा है,	అతను నినను ఎంత హింస పెడుతుననాడో తెలుసుకుని ఉంటే,
नहीं. पर, अब उममीद करूँगी.	లేదు. ఇపపుడు అనుకుంటాను.
-हैलो! -हैलो.	-హోలా! -హలో.
-वह कयों नहीं कर सकती? -कयोंकि मैंने नहीं किया.	-ఆమె చేయలేదని ఎలా చెపపగలరు? -ఎందుకంటే నేను చేయలేదు.
तुमने कल मेरे मेसेज का जवाब नहीं दिया.	నినన నువవు నాకు మళలీ మెసేజ చేయలేదు.
मुझे विशवास दिलाया कि मेरी गलती है!	తపపంతా నాదే అని నేనే అనుకునేలా చేశావు!
तुम मुझे उसके लिए धनयवाद नहीं कह सकती.	దానికి నువవు కృతజఞతలు చెపపనకకరలేదు.
तुम इतनी बकवास करती हो.	నువవు వొటటి అబదధాలకోరువి.
-डैड. . . -नहीं, माइकल!	-నాననా. . . -వదదు, మెఖేల!
कोई बात नहीं. मैं बस. . . बस मुझे बताओ. मैं याद रख लूँगा.	చూడు, ఫరవాలేదు. నేను. . . నాకు చెపపు. నేను గురతు పెటటుకుంటాను.
समझ नहीं आता उसने मेरे साथ ऐसा कयों किया. कैसे इस तरह अकेला छोड गया.	అతను నా మీద ఎందుకు అలా అరిచాడో నాకు తెలియలేదు. ననను అలా వదిలి వెళలిపోయాడు.
कहाँ जा रही हो? हिममत है तो कह दो.	ఎకకడికి వెళతుననావు? అది నాకు చెపపాలి.
-बेशक नहीं किया. -मैंने वह नहीं किया.	-నువవు చేయలేదు. -నేను అలా చేయలేదు.
हाँ, अरसला. मैंने वह अपने कॉरनफलेकस में डाला.	అవును, ఉరసులా. నా కారన ఫలేకస లో వేసుకుని తిననాను.
अपराध सथल परवेश वरजित है	నేర పరదేశం పరవేశం లేదు
बोलो, गरेस.	చెపపు, గరేస.
तो, वह निकल गया. बाइक लेकर मैच देखने के लिए पब चला गया, इसलिए. . .	దానితో, అతను వెళలిపోయాడు. మయాచ చూడటానికి బెక మీద పబ కి వెళలాడు, ఇంక. . .
तुरंत सीजेरियन डिलीवरी करनी होगी.	తనకి ఎమరజెనసీ సిజేరియన ఆపరేషన అవసరం.
मैंने उसकी जान ली. मैंने हतया की.	నేనే అతడిని హతయ చేశాను. నేనే చేశాను.
हाँ. तुमहें खुद को माफ करना होगा.	నువవు చేయాలి. నినను నువవు కషమించాలి.
जब और जानकारी मिलेगी, तो मैं तुमहें फोन करूँगा.	నాకు కొంత సమాచారం తెలిశాక నీకు కాల చేసతాను.
-और मुझे सबूत देना पडेगा? -कयोंकि इसने किसी और को इसमें शामिल नहीं किया था.	-కానీ నేను మాతరం నేనెకకడ ఉననానో రుజువు చేయాలా? -తను మరొకరిని ఇందులోకి లాగేది కాదు.
लोग उसे पसंद नहीं करते थे, है न?	అతనికి అంతగా మంచి పేరు లేదు, అవునా?
सुनो, मुझे जाना होगा.	విను, నేను ఇంక వెళలాలి.
एक सवाल पूछ सकता हूँ?	మిమమలని ఒక పరశన అడగచచా?
अरसला कहती है यह बिलकुल आम बात है. वह. . .	ఉరసులా చెబుతోంది అది చాలా సహజం అని, నువవు. . .
-यह लो. -उस दिन मेरा जनमदिन था.	-ఇదిగో తీసుకో. -అది నా పుటటినరోజు.
मुझे पता नहीं था कि मैं गरभवती थी.	నేను గరభవతిని అని నాకు తెలియదు.
उस हँसी के लिए काफी तरस रही थी.	బాబూ, ఆ నవవుని ఇననాళలూ మిస అయయాను.
मैं भी वही करती. मैं तुमहारे लिए कुछ भी करती.	నేను కూడా అదే చేసతా. నీ కోసం ఏదెనా చేసతా.
-थॉमस असपताल में है. -शुकर है.	-థామస హాసపిటల లో ఉననాడు. -మంచిది.
रॉजर का साकषातकार करो - सडक के पार रहने वाला अजीब आदमी.	రోజర ని ఇంటరవయూ చేయాలి - ఆ వీధిలో విచితరమెన వయకతి.
थॉमस, गरेस ने मुझे बताया कि जेपी मैच देखने के लिए पब जाने वाला था,	థామస, జెపి మయాచ చూడటానికి పబ కి వెళలాడని గరేస నాకు చెపపింది,
अरे, नहीं, आराम से बताना, अरस.	లేదు, కావలసినంత సమయం తీసుకో, ఉరస.
गरेस, वह सेकस नहीं था.	గరేస, అది సెకస కాదు.
बेटी हुई है. मैं पिता बन गया हूँ, मैट. मैं डैडी बन गया हूँ.	నాకు కూతురు పుటటింది. నేను తండరినయయాను, మయాట. నేను డాడీని అయయాను.
-तुमने यह कैसे किया, मैट? -इससे फरक नहीं पडता है.	-అంటే, ఇది ఎలా సాధించావు, మయాట? -అదేం పెదద విషయం కాదు.
-कया हुआ? -हमें कुछ नहीं पता.	-ఏం జరిగింది? -మాకు ఏమీ తెలియదు.
-तुमहारे पास कलम है? -हाँ. रुको.	-నీ దగగర పెన ఉందా? -సరే. ఆగు.
वह उसकी गलती थी! तुमहारी बहन की!	అది ఆమె తపపు! నీ అకక చేసింది!
जब से जेपी का देहांत हुआ है, मुझे गरेस को सहारा देना पडा.	జెపి చనిపోయాక, నీకు తెలుసు కదా, నేను గరేస దగగర ఉండాలసి వచచింది.
मुझे माफ कर दो, बैका.	ననను కషమించు, బెకా.
यह अशुभ हो सकता है.	అది చెడు సంకేతం కూడా.
गरेस विलियमस. उसने दावा वापस ले लिया.	గరేస విలియమస. ఆమె కలెయిమ ఉపసంహరించుకుంది.
बेन ने वह नहीं किया.	బెన ఆ పని చేయలేదు.
इसका मुझ पर नकारतमक असर पडा. तभी से यह समसया शुरू हुई.	అది ననను కలవరపెటటింది. అపపటి నుండి అది ననను చితరవధ చేసతోంది.
मुझे तुमसे मिलना है.	నేను నినను కలవాలి.
-मैं नहीं कर पाई. -बस करो. कोई बात नहीं.	-నా వలల కాలేదు. -ఆపు. మరేం ఫరవాలేదు.
सुनो. मेरी बात सुनो.	విను, నా మాట విను.
माँ, मैं आपसे बाद में मिलूँगी.	అమమా, నేను తరువాత కలుసతాను.
