पैनिक	పానిక
माफ करना. समय पूरा हुआ.	కషమించు. సమయం ముగిసింది.
रुको, मुझे एहसास हुआ कि	ఆగు, నేను ఇపపుడే చూశాను,
सालों पहले गरेजुएशन की.	ఏళళ కరితం డిగరీ పొందాడు.
खिलाडी - संभावना - बाजी	పలేయర- అంచనాలు - పందెం
नैटली, जज लोगों को शक है कि तुम ऐसा चाहती हो	నాటలీ, నీకు మరొకరి విజయంలో పరతయేక ఆసకతి ఉననటటు
फिर से, हाँ? तुमहारा असर मुझे पर हो रहा है.	మళళీ ఇంకొకటా? నేను నిజంగా నీలా మారిపోతుననాను.
हाँ, बिलकुल चाहती हैं.	అవును, ఖచచితంగా ఉంది.
यह बडी अचछी लग रही है.	ఇది నిరుతసాహంగా ఉంది.
पापा मदद कर सकते हैं.	మా నానన సహాయం చేయగలరు.
जिस तरह बताया, या तो खेल पर बाजी लगा सकता था	అతనలా నమమించాడు, నేను ఆట మీద పందెం కాయాలి,
कया मतलब हुआ? मेरे पैसे खतम हो रहे हैं. मुझे खेल में वापस आना है.	అంటే ఏంటి? నా దగగర డబబు అయిపోతుంది. నేను తిరిగి ఆటలోకి రావాలి.
तो मरद कैसे करते हैं.	ఎలా ఉంటారో తెలుసుగా.
उस दिन मैं डेना से मिला था. लगता है यहाँ आना उसके लिए अचछा रहा.	ఆ రోజు నేను డేనాను చూశాను. కదలికలు ఆమెకు బాగానే ఉననటటు ఉంది.
शायद किसी को घोडे की लगाम चढाते नहीं देखा?	ఎపపుడూ గురరానని మచచిక చేసుకోవడం చూడలేదా?
-एकदम ठीक है. -अचछी रिपोरट दी, गोलडीलॉकस.	-సరిగగా ఉంది. -మంచి నివేదిక, గోలడీలాకస.
लिली! आ जाओ! हमें तुमहारी बहुत याद आई.	లిలలీ! రా! మేము నినను గురతు చేసుకుననాము.
हम मदद माँग सकते थे.	మేము సహాయం కోరవచచు.
तुमहें सच में कगार पर चलना अचछा लगता है.	నీకు ఖచచితంగా జీవితం సాహసోపేతంగా ఇషటం.
तुम जैसी लडकी को यहाँ से दूर रहना चाहिए.	నీలాంటి అమమాయి, ఇలాంటి చోటుకు రాకూడదు.
मुझे उससे कहना पडा,	నేను అతనికి చెపపాలి,
-ठीक है. -कया चाहती हो? लेयरस या. . .	-సరే. -ఏమనుకుంటుననారు? లేయరలా లేదా. . .
मेमोरियल डे के बाद. तभी उसने मुझे शामिल करने की बात की.	సమారక దినోతసవం తరువాత. అపపుడు అందులో కలవమని పరతిపాదించాడు.
फरक नहीं पडता, बग.	అది ముఖయం కాదు, బగ.
उसे पता नहीं चलेगा.	అతను తెలుసుకోలేడు.
मुझे पसंद करता है.	దానికి నేనంటే ఇషటం.
वह पैसे लौटा देती.	తను తిరిగి ఇసతుంది.
ये वही कर रहे हैं?	వాళళు అదేనా చేసేది?
एक समझौता किया था.	ఒపపందం చేసుకుననాను.
धयान से, डॉज. सब कुछ खेल नहीं होता.	జాగరతత, డాడజ. అననిటినీ ఆటగా తీసుకోకు.
-पता नहीं. -मुझे रे से बात करनी होगी.	-ఏమో తెలియదు. -నేను రేతో మాటలాడాలి.
और अगर तुमसे नफरत है तो सबसे नफरत है.	ఆయన నినను దవేషిసతే, అందరననా దవేషమే.
अंधेरे का डर, गिरने का डर, और जो अजञात है, उसका डर.	చీకటంటే భయం, పడిపోతామనన భయం, తెలియని వాటి గురించి భయం.
और मैं दोपहर को तुमहें लेने आऊँगी.	నేను నినను మధయాహనం వచచి తీసుకెళతాను.
जयादा लेयरस नहीं.	ఎకకువ లేయరలు వదదు.
देखो, तुम ऐसे. . .	చూడండి, మీరు. . .
मैं इतनी डरी हुई थी कि मुझसे सीधा खडा भी नहीं हुआ गया.	నాకు చాలా భయమేసింది, నేను నిటారుగా నిలబడ లేకపోయాను.
डॉज की एक बहन है?	డాడజకి చెలలి ఉందా?
देर से जागते हैं.	ఆలసయంగా లెగుసతాయి.
जितने चुराती, उससे जयादा चाहिए थे.	తనకు కొటటేయగల దానికంటే ఎకకువ కావాలి.
अचछा, हाँ. सैरा रे की सौतेली बहन है.	సరే, అలాగే. సారా తన సవితి చెలలెలు.
हेदर के बारे में कया जानना चाहते हो?	మీరు హేథర గురించి ఏం తెలుసుకోవాలి?
-कया? -लगा कि तुम उसे जानते होगे.	-ఏంటి? -నీకు ఆమె తెలుసని తెలిసింది.
तुमहारी बहन होती तो तुम कया करते?	అది మీ చెలలెలే అయితే ఏం చేసేవాడివి?
तो शायद उसका भी मौत में कोई हाथ है.	అతనికి కూడా వారితో సంబంధం ఉండాలి.
रचनातमक परयवेकषक रवीनदर शंकर शुकल	కరియేటివ సూపరవెజర: రాజేశవరరావు వలవల
काफी समय से कोरटेज उसे डीए के आगे कसूरवार साबित करने की कोशिश में है.	కోరటెజ కొంత కాలంగా డీఏకు అతనిపె ఆరోపణలు దాఖలు చేయాలని చూసతుననాడు.
बोले कि उनकी बेटी लीला लापता है.	తమ కూతురు కనిపించడం లేదని చెపపారు.
अब एक कप कॉफी के लिए, इतनी लंबी लाइन लगानी पडती है.	ఇపపుడు కపపు కాఫీ కావాలంటే 20 మందిని దాటివెళళాలి.
तंग जगह में घुटन?	కలాసటరోఫోబియానా?
जो भी हो, पता नहीं तुमहें किसने बताया कि रे को. . .	అది ఏదెనా, రేకు ఆసకతని ఎవరు చెపపారో తెలియదు. . .
एक दुरघटना में वह विकलांग हो गई.	ఆమెకు ఒక పరమాదంలో పకషవాతం వచచింది.
गोलियों पर सौ-सौ डॉलर खरच करता था.	మందులు తీసుకుంటుననాడని చెపపింది.
किसी सिरफिरे ने बाहर से लाकर जानवरों को चिडियाघर में कैद कर रखा था.	ఎవరో వెధవ జూలో అంతా పిచచివాళళను పెటటాడు, అతను పంజరాలలో పెటటాడు.
-उपनियमों में है. -कैसे उपनियम?	-అది నిబంధనలలో ఉంది. -ఏ నిబంధనలు?
वरना थरमोमीटर जितना नुकसानदेह है.	లేదంటే అది థరమామీటర అంత పరమాదం.
तो मुझे लगा चीयरलीडिंग की बात है.	పరోతసాహకురాలిగానేమో అనుకుననాను.
अंधा घोडा एक साथ तीन चीजों के डर का सामना करने को ललकारता है.	గుడడివాడి మోసం సవాలులో మీరు ఒకేసారి మూడు భీతిగొలపేవి ఎదురకొంటారు.
या किसी का हाथ पकड सकते हैं, और हम सवाल पूछेंगे.	లేదా సహాయం కోరవచచు, అపపుడు ఒక పరశన అడుగుతాము.
पर टाइमर शुरू होने से पहले एक ही मौका मिलेगा.	కానీ టెమర మొదలయయే ముందు మీకు ఒక అవకాశమే ఉంటుంది.
हम बिशप के घर कयों नहीं रह सकते?	మనం బిషప దగగర ఎందుకు ఉండకూడదు?
मैंने तुमहें लाखों बार फोन किया.	నేను నీకు లకషసారలు ఫోన చేశాను.
उससे उलटी जैसा होता था, इसलिए बाकी हंट को दे दी.	ఆమెకు మతతుగా ఉండేది, మిగిలినవి హంటకు ఇచచింది.
यह ठीक नहीं है.	అది సరెనది కాదు.
चेहरे पर मुसकान और हाथ में टोपी लिए, दस सेकंड तक	అతను 10 సెకనల దాకా నవవు ముఖంతో, చేతిలో టోపీతో
उनहें पता है कि यह किसका काम था?	వాళళకు అది ఎవరు చేశారో తెలుసా?
वह एक चाल थी. सच में, मैंने कुछ नहीं किया था.	అది అలా ఏరపాటు చేశారు. నిజంగా, నేను ఏమీ చేయలేదు.
यह कया. . . मजाक कर रहे हो कया?	ఏంటిది. . . నిజంగా అంటుననారా?
एकाउंटिग सिरफ गणित नहीं होती.	సరే, అకౌంటింగ కేవలం గణితం కాదు.
लगता है पकडम-पकडाई खेल रहे हैं.	ముటటుకునే ఆట ఆడుతుననటటు ఉంది.
अजीब बात यह है कि उसे तुमहारी फिकर होती है.	హాసయాసపదం ఏంటంటే, ఆమెకు నీ గురించి చింత అననది.
बोला, दस हजार की शरत लगाई तो, मुशकिलें खतम.	10వేల పందెం కాసతే, నీ సమసయలు సమిసి పోతాయననాడు.
-ढेर सारे दोसत बनाओगी? -हाँ.	-సనేహితులను చేసుకుంటావా? -సరే.
पर हमारे नहीं.	కానీ మావి కాదు.
चाहते हो शॉना की चुगली करूँ?	మీకు నేను షాన గురించి చెపపాలా?
लूक ने खेल को पूरी तरह समझाया.	లూక అది ఎలా ఉంటుందో చెపపాడు.
घर की देखभाल करना चाहती हो?	నా ఇంటి నిరవహకురాలిగా ఉంటావా?
जब मैंने कहा इस बार उसकी मदद नहीं कर सकता, तो नाराज हो गई.	ఈసారి నేను సహాయం చేయలేనని చెపపాను, తను నిరాశ చెందింది.
मीडिया जेपीजी - कचचा - मिटाई हुई तसवीरें	మీడియా జేపీజీ - ఆరఏడబలయూ - తొలగించిన ఫోటోలు
मतलब, खुद के पति न हों तो.	వాళళకు తమ భరతలు ఉండరు, అంతే.
पता है, मैं खेल से बाहर हूँ.	తెలుసు, ఆట నుండి తీసేశారు.
एक सवयंसेवक ने बताया कि उसने डरबी पर तुमहें और लीला को बहस करते देखा.	ఒక సవచఛంద సేవకుడు డెరబీ దగగర నువవు, లీలా వాదించుకుననటటు చెపపారు.
भेंट से पहले बाल कटवाऊँ तो अचछा रहेगा.	బాగా చేయించుకుంటే మంచిదని జిమ అనుకుననాడు.
कि इस समय जज लोग तनाव से गुजर रहे हैं.	నయాయనిరణేతలు పరసతుతం ఏదో ఒతతిడిలో ఉననారు.
आप पाँच जवाब दे सकते हैं,	ఐదు పరశనలకు సమాధానం ఇవవచచు,
-कया कहती हो? -बिलकुल नहीं.	-నువవు ఏం అంటావ? -కుదరదు.
मेरी माँ और बो लड रहे थे.	మా అమమా ఇంకా బో గొడవపడడారు.
यह जालसाजी है, कमीने इंसान.	అది చాలా మోసం, చెతత వెధవ.
डॉज ने किसी तरह से कर लिया.	ఎలాగోలా డాడజ పూరతిచేశాడు.
बस सोचना बंद करो, ठीक है?	అది ఆలోచించడం మానేయ, సరేనా?
इसलिए आप नहीं चाहती थीं कि मैं यहाँ आऊँ?	అందుకేనా ననను ఇకకడికి రావదదని అననారు?
उसके कमरे में यह मिला, गोलियों की खाली बोतलों के पास.	అతని పడకగదిలో ఖాళీ మందు సీసాల పకకన ఇది దొరికింది.
अगर राइली ने मेरे सामान से छेडछाड बंद नहीं की, तो बंदूक लेकर. . .	రెలీ నా వసతువులకు దూరంగా ఉండదు, నేను ఒక తుపాకీ తీసుకుని. . .
घोषणा और शुरू होने के बीच में छुटकारे का इसतेमाल करना चाहिए.	నువవు నీ ఇమయూనిటీని పరకటనకు ఆట పరారంభానికి ముందు ఉపయోగించుకోవాలి.
एक बार हंट को पारकिंग में देखा था, जब मैं जा रहा था,	హంటను ఒకసారే చూశాను, నేను వచచేసతుండగా పారకింగలో,
-नहीं. -कया?	-వదదు. -ఏంటి?
इस हफते के लिए तुमसे जयादा ले रहा हूँ.	నీకు ఈ వారానికి ఎకకువ ఛారజీ వేశాను.
हेदर ने बताया कि मैं ऐन के यहाँ था?	ఆన వాళళ ఇంటికి వెళళానని హేథర చేపపిందా?
नहीं, मुझे मतलब पता है.	లేదు. అదేంటో నాకు తెలుసు.
इसकी पसलियाँ नजर आती थीं.	దాని ఎముకలు కనిపించాయి.
मुझे लगा तुमहारी गाडी है.	అది నీ కారే అనుకుననాను.
तुम कया कर रहे हो, लूक?	నువవు ఏం చేసతుననావు. లూక?
यह मेरे आंगन में घूमता है, इसका यह मतलब नहीं कि पालतू है.	అంటే, దానని నా పెరటిలో పెటటాను కాబటటి అది పెంపుడు జంతువు కాదు.
-सवाल कया थे? -उनहें राज जानने थे.	-పరశనలు ఏంటి? -వాళళకు రహసయాలు కావాలి.
और जिसने यह किया, वह आजाद घूम रहा है.	ఈలోపు డరెవర సవేచఛగా తిరుగుతుననాడు.
-हे भगवान. -हंट का कुछ पता नहीं चला?	-అబబా. -హంట గురించి ఏం తెలియలేదా?
हेदर - लिली	హేథర - లిలలీ
हाँ, खूबसूरत है, है न?	అవును, అందంగా ఉంది, కదా?
इसके अलावा,	అంతేకాకుండా,
लूक और फोटोगराफर से बात करते हुए.	లూక ఇంకా ఫోటోగరాఫరతో మాటలాడుతుననాడు.
-ऐसी और भी हैं? -नहीं.	-అవి ఇంకా ఉననాయా? -లేదు.
आप लोगों के पास मेरे खिलाफ कुछ नहीं.	మీ దగగర నాకు వయతిరేకంగా ఏమీ లేదు.
मतलब, अगर मैं जज होता, तो तुम जीत रही होती.	నయాయనిరణేతను అయిఉంటే, నువవు మొతతం గెలిచేదానివి.
आगे के बाल छोटे हों तो अचछे लगेंगे.	అయితే, మనం ముంగురులు అనుకుననాము.
नहीं. मुझे यह खेल समझ में नहीं आता.	వదదు. నాకు ఈ ఆట అరథం కావడం లేదు.
और सपताहांत को बचचों की देखभाल करती, कोई मुशकिल नहीं होगी.	ఇంకా వారాంతంలో పిలలలను చూసుకుననాను, అందుకని పరవాలేదు.
डिगिनस से बात तो करो.	డిగగినసతో మాటలాడి చూడు.
मैंने कहा कि मुझे नहीं करना था.	అందుకని, నాకు ఆసకతి లేదని చెపపాను.
हंट की नशे की लत के लिए खुद को दोषी समझती है.	ఆమె హంటకు ఆకసీ అలవాటుకు నిందించుకుంటుంది.
एक-दूसरे के खिलाफ फायदा उठाया.	వాళళు ఒకరివి మరొకరితో చెపపించారు.
मुझे झाँसा दे सकते थे.	ననను మోసం చేసేవాళళే.
यह काफी मजेदार होगा.	ఇది ఆసకతికరంగా ఉండాలి.
काँटें मुशकिल से बगल तक पहुँचते हुए, और. . .	అతి కషటంగా ములలును పకకలదాకా చేరుసతూ. . .
माफ कीजिए. मैं रे को ढूँढ रही थी.	కషమించండి. రే కోసం చూసతుననాను.
उसे तुमहारी फिकर है.	ఆమెకు నీ గురించి చింత.
हर जवाब के बाद दस कदम?	జవాబుకు పది అడుగులా?
रे को अलमारियाँ या फरश के नीचे की जगह या ऐसी जगह पसंद नहीं जहाँ फँस सकता है.	రేకు మూసి ఉనన లేదా ఇరుకెన పరాంతాలననా లేదా తనను మూసి వేయగల చోటంటే భయం.
पता नहीं यह मायने रखता है या नहीं, पर अपनी बहन की बहुत चिंता करता है.	ఇది లెకకలోకి వసతుందో లేదో తెలియదు, కానీ అతనికి తన చెలలెలి గురించి చాలా చింత.
मुझे खेल का नाम भी नहीं पता था, फिर हंट ने बताया कि उसने खेला था.	హంట తను ఆడినటలు చెపపేదాకా నాకసలు ఆ ఆట ఏమంటారో కూడా తెలియదు.
अगर उसने पाँचों सवालों के जवाब दिए हों.	అతను ఐదు పరశనలననిటికీ సమాధానాలు చెపపుండాలి.
शॉना नहीं, तुमहें अंतिम चार में होना चाहिए.	చివరి నలుగురిలో నువవు ఉండాలి, షాన కాదు.
मुझसे नफरत है, पर पढाई का खरच देते हैं.	నాననకు నేనననా దవేషం, నా చదువుకు కడుతుననారు.
पर अगर लूक बाजी लगवा रहा है. . .	కానీ లూక పందేలు కాసతుంటే. . .
जब समझ में आ जाएगा, तो सबसे पहले तुमहें बताऊँगी.	నాకు అది తెలిశాక, నేను తెలియచేసే మొదటి వయకతివి నువవే.
शेरों के बारे में एक बात मालूम होनी चाहिए.	నువవు పులుల గురించి ఒకటి తెలుసుకోవాలి.
यह गददा कैसा है? नरम? सखत? भुरजी जैसा?	ఈ పరుపు ఎలా ఉంది? మెతతగా? గటటిగా? మధయమంగా?
हेदर ने यह भी बताया कि कुछ समय पहले चालक ने डरबी जीती थी.	సరే, ఆ డరెవర కొంత కాలం కరితం డరబీ గెలిచాడని కూడా హేథర చెపపింది.
तुमने अभी भी जवाब नहीं दिया.	నువవు ఇంకా మాకు జవాబు చెపపలేదు.
तो तुम मुसीबत में आ चुके हो.	అపపటికే నువవు ఇబబందులలో ఉననటటు.
-आपका दिन अचछा हो. -तुमहारा भी. मदद के लिए शुकरिया.	-శుభ దినం. -నీకు కూడా. నీ సహాయానికి ధనయవాదాలు.
अब भागो. अचछे से रहना. खूब मजे करना.	ఇకకడనుండి వెళళు. ఇరగతీసేయ. సరదాగా గడుపు.
माफ करना.	కషమించండి.
तुमहें शहर की कोई खबर नहीं.	ఊరంతా తెలిసినా మీకు తెలియలేదు.
गाडी, आँखों पर पटटी,	వయాన, కళళకు గంతలు,
कया मतलब?	అంటే ఏంటి?
-हाँ, ठीक है. -अचछा.	-సరే, అలాగే. -సరే.
बिशप - ए, तुम कहाँ हो? सच में, तुम ठीक तो हो?	బిషప - హే, ఎకకడ ఉననావ? నిజంగా నువవు బాగానే ఉననావా?
