पलीज. पलीज.	పలీజ. పలీజ.
शहर जगमगा रहा है टिमटिमाती बततियों से	మెరుసతునన కాంతులతో సిటీ వెలిగిపోతోంది
लेकिन मैं पयार में पडकर सब कुछ बिखरते देखना नहीं चाहती	కానీ ఈయనకు పడిపోయి తరవాత మననసు విరుచుకోవాలని నాకు లేదు
मुझे कितना पसीना आ रहा है?	నా చేతులు బాగా చమట పటటాయా?
जब मैं डेट किया करता था हाथ पकडना बहुत आगे की बात होती थी	నేను డేటింగ చేసిన కాలంలో చేతులు పటటుకోవడం చాలా పెదద విషయం
कया हो रहा है?	ఏం జరుగుతోంది?
मुझे कैसे पता होता कि वह ऐसा कुछ कर बैठेगा?	వాడు ఇలాంటి పని చేసతాడని నాకెలా తెలుసతుంది?
कलिंट बरिगस	కలింట బరిగస
जानता हूँ. यह बस, मैं. . .	అవును. అదేంటంటే, నేను. . .
रुको, कया तुमने अपना भविषय देखा?	ఆగు, నువవు నీ భవిషయతతుని చూసావా?
तुमने बस कुछ सौ सालों में डेटिंग नहीं की है.	నువవు కొనని వందల ఏళలుగా డేటింగ చేయలేదు అంతే.
हैलो, गुड आफटरनून, सजजनों.	హెయ, ఇక ఉంటాను, మితరులారా.
वह कहाँ है? चलो भी.	అది ఎకకడ ఉంది? పదా.
अर. . . रेनी?	ష. . . రెననీ?
नहीं.	లేదు.
तैयार हो जाओ.	సిదధంగా ఉండు.
मारली?	మారలె?
नहीं.	లేదు.
अरे! तुम कहाँ जा रहे हो?	హేయ! ఎకకడికి వెళతుననావు?
मुझे वापस जाना होगा.	నేను వెనకకి వెళళాలి.
नहीं.	లేదు.
मेरा भाई.	నా సోదరా.
खैर, मैंने हर करिसमस बिताया है सही और गलत देखने की कोशिश में	నేను పరతీ కరిసమస రోజును మంచి చెడులు బేరీజు వేసుకుంటూ గడిపాను
लेकिन अब तुम जानते हो, ओह, अब तुम जानते हो	కానీ ఇపపుడు నీకు తెలుసు, ఓహ, ఇపపుడు తెలుసు
बस थोडी सी, बस थोडी सी, बस थोडी सी	కొంచెమెనా చెయ, కొంచెమెనా కొంచెమెనా
कलिंट.	కలింట.
कलिंट!	కలింట!
नहीं.	లేదు.
अरे.	హేయ.
सब ठीक है. डरो मत.	ఏం పరలేదు. భయపడకు.
यह आम बात से थोडा हटकर है. मेरी बात सुनो.	కొంచెం వింతగా ఉండొచచు. నేను చెపపేది విను.
वरतमान	పరజెంట
बू.	భూ.
खैर, इससे मुझे चोट पहुँची.	ఆబబె, అలా అంటే బాధగా ఉంది.
कोई बात नहीं. अरे, दखल देने के लिए माफ करना.	అదేం పరలేదు. హెయ, చెపపకుండా వచచినందుకు సారి.
-बढिया. शुकरिया. -हाँ. हाँ, जरूर.	-మంచిది. థాంకస. -అవును. సరే, పదా.
हाँ. लेकिन रुको, देखो. ठीक यहाँ देखो.	అవును. కానీ ఆగు, ఇలా చూడు. ఇకకడ చూడు.
जलदी ही, दोसतों यह बढकर हो जाएँगे हजारों	తవరలోనే, మితరులారా అనేక వేలమంది కలుసతారు
शराफत-त-त-त-त	మంచి-చి-చి-చి
-सही कहा, मैं हिममत करता हूँ -हाँ, हम हिममत करते हैं	-అవును, నేను ధెరయం చేయగలను -అవును, మేము ధెరయం చేయగలం
पता है, मेरे खयाल से तुम अंदर से चाहते थे वह तुमहें देखे, कयोंकि तुम उसे पसंद करते हो.	నీ మనసులో ఆమెపె నీకు ఉనన ఇషటం కారణంగా, నువవు ఆమెకు కనిపించాలని బలంగా కోరుకొని ఉంటావు.
मैं किमबरली के साथ तुमहारी मदद कर सकता हूँ. मतलब, तुम लोग अचछे से फलरट कर रहे थे.	కిమబెరలి విషయంలో నేను నీకు సహాయం చేయగలను. అంటే, మీరిదదరి మధయ ఆ కనెకషన నేను చూసా.
सीएनएन इस बारे में बात नहीं करेगा कि आपने कैसे शिकषक संघ को मुसीबत में डाल दिया.	మీరు టీచరస యూనియన కి కలిగించిన నషటం గురించి సి. ఎన. ఎన వారు మాటలాడటం మానేసతారు.
तुमहें लगता है मुझे कुतूहल हो जाएगा कि उस दरवाजे के पीछे कया है? मैं. . .	ఆ తలుపు వెనుక ఏముందో తెలుసుకోవాలని ఆసకతితో వసతాను అనుకుంటుననావా? నేను. . .
या हो सकता है कि मैं दुनिया की भलाई को अपनी वयकतिगत इचछा से ऊपर रखता हूँ.	బహుశా మానవాళి శరేయససుకు బదులు నేను నా సవారధానికి పరాముఖయత ఇచచినటటు ఉననాను.
कहा जा रहा है कि अगर आपके पास असली पेड है, तो आप आलोचनातमक फैशनपरसत हैं.	నిజమెన చెటటును పెటటుకునేవారు, బాగా బలిసి, ఇతరుల కషేమానని లెకకచేయని వారంట.
तुमहारे परतिदवंदी यह जानते हैं इसलिए उनके बकवास उतपाद तेजी से बिकते हैं	మీ పోటీదారులకు ఈ విషయం బాగా తెలుసు కాబటటి వారు అమమకాలు బాగా జరుపుతుననారు
लेकिन साथ ही हम, दो, अधीर हैं अचछा और बुदधिमान और सही महसूस करने के लिए	ఇక రెండు, మీ పరిసథితి దయనీయంగా ఉంది ఎలాగెనా పోటీలో నెగగాలని చూసతుననారు
वह जीतना चाहती थी. और उसका मतलब है तुमहें कुछ कठोर हथकंडे अपनाने होंगे.	అది పోటీలో గెలవాలి అనుకుంది. దానరథం కొనని వెననుపోటు దెబబలు తీయాలసిందే.
मेरे खयाल से अगर तुम खुले दिमाग से सुन लो और मुझे गरव करने दो, ठीक है?	నువవు, కొంచెం పెదద మనసు చేసుకొని చెపపేది విని నేను గరవపడేలా చెయ, సరేనా?
लेकिन अगर तुम जीतना चाहते हो तो तुमहें इंसानी परवृतति को समझना होगा	కానీ మీరు ఈ పోటీలో గెలవాలి అంటే మీరు మనుషుల తీరును అరథం చేసుకోవాలి
नहीं. नहीं, मैं खुद को नहीं संभालूंगा, डैन, मैं तुमहें संभालूंगा.	కాదు, నేను ఎలాగెన బరతకడం కాదు, డాన, నీ కంపెనీని చంపేసి బరతుకుతాను.
पता है, मैं चाहता हूँ कि तुम मुँह बंद करके मुझे अपना काम करने दो.	నాకు కేవలం నువవు నోరు మూసుకొని, నా పని ననను చేయనివవడం కావాలి అంతే.
मैं तुमहें कारयकारी वीपी बना दूँगा, तुमहारा वेतन दोगुना कर दूँगा,	నేను నినను ఎగజికయూటివ విపిని చేసతా, ఇకకడికి రెండింతలు జీతం ఇసతా,
कया तुमने उसे अपनी निजी जिंदगी के बारे में बताने की कोशिश की है?	నీ వయకతిగత జీవితం గురించి వాడికి చెపపడానికి ఎపపుడెనా పరయతనించావా?
वह ना सुधारने योगय इसलिए नहीं है कयोंकि वह पिललों को मारता है.	వాడు కుకకపిలలలని చంపేవాడు అననకారణంగా విమోచింపసాధయం కాదు అనలేదు.
-वह रही. चलो चलकर उससे बात करें और. . . -अरे, नहीं. वह वही है.	-ఆమె అకకడ ఉంది. వెళలి ఆమెతో మాటలాడి. . . -ఓహ, లేదు. అది తానే.
-किसी मुजरिम को मुसीबत से बचाना -हम "अ करिसमस कैरल" की तरह हैं	-నాశనం నుండి ఒకరిని కాపాడుతుననాం -మేము కరిసమస కేరల లాంటి వారం
-बिलकुल. मुझे "कहीं" बहुत पसंद है. -हाँ, मुझे भी. हे भगवान.	-నిజంగా. "ఎకకడికెనా" వెళదాం. -అవును, నాకు కూడా. ఓరి, దేవుడా.
माफ कीजिए, शरीमती बलानसकी. हम सडक पर आगे खेलने चले जाएँगे.	కషమించండి, మిస బలాంకసకి. మేము వీధి చివరికి వెళలి ఆదుకుంటాం.
अरे, नहीं. नहीं. यहाँ किसी गाने की कोई जरूरत नहीं है. नहीं.	ఓహ, వదదు. పలీజ. ఇపపుడు దాని గురించి పాట పాడాలసిన పని లేదు.
ठीक है. मेरी बात सुनो. मैं जानता हूँ तुम कया कहने वाले हो.	సరే. నేను చెపపేది విను. నువవు ఏం చెపపబోతుననావో నాకు తెలుసు.
खैर, मैं मानता हूँ कि यहाँ का हमारा काम बहुत महतवपूरण है.	అంటే, మేము ఇకకడ చేసే పని చాలా పరాముఖయమెనది అని నా నమమకం.
यार, वह इसके नियंतरण में नहीं है. नियम यह नहीं बनाता है.	ఒరేయ, ఈ విషయంలో ఈయన ఏం చేయలేడు. నియమాలు పెటటేది ఈయన కాదు.
जाम में अपने गमों को भुला रहे हो तुम असफल महसूस कर रहे हो	నువవు నీ మదయం మతతులో తూలుతూ, చేతకానివాడిలా కురచీని ఉండగా
-"कया इस पुषपहार में मैं. . . -ठीक है. और कोई सवाल नहीं.	-"ఈ పుషప గుచఛం నాకు చూడడానికి. . . " -సరే. ఇక పరశనలు ఆపు.
अरे, नहीं. गाने की कोई जरूरत नहीं है. अब चलो भी. चलो. . .	ఓహ, లేదు. ఇపపుడు పాడాలసిన పని లేదు. వెళదాం పదా. పదా. . .
तुम उस दिन का करते हो इंतजार तुम तैयारी करते हो पूरा साल	మేము ఆ రోజు కోసం ఎదురుచూసతుంటాము ఏడాది అంతా సిదధమవుతాము
-रुको, तुम रिटायर नहीं कर सकते. -अब, शांत हो जाओ, रूहों.	-ఆగు, నువవు రిటెర అవవకూడదు. -లేదు, శాంతించండి, ఆతమలారా.
तुमहें ऐसा कयों लगता है कि अब तुम बदलाव नहीं ला रहे हो?	నువవు మారపు తీసుకురాలేకపోతుననా అని ఎందుకు అనుకుంటుననావు?
मैं तुम पर नजर रख रहा था और फिर उसने सीधे मेरी ओर देखा.	నేను నీ మీద కనను వేసి ఉంచా, కానీ అంతలో ఆమె ననను చూసింది.
-कया बढिया है? -यह अंदर की हलचल. इसे अपने अंदर फैलने दो.	-ఏంటి మంచిది? -ఈ మానసిక మధనం. నీలో దానిని రగులుకోనివవు.
तुम उस दिन का करते हो इंतजार तुम तैयारी करते हो पूरा साल	మేము ఆ రోజు కోసం ఎదురుచూసతుంటాము ఏడాది అంతా సిదధమవుతాము
और ऐसे इसकी शुरुआत हुई. एक पूरे साल की रिसरच और तैयारी.	ఇక పని మొదలెంది. ఏడాది మొతతం పరిశోధించి, సిదదపడనుననాం.
कभी यह सोचने रुका नहीं कि अपने पीछे कया बरबादी छोड गया	నేను బరతికి ఉండగా చేసిన దారుణాలను ఎపపుడూ ఆలోచించుకోలేదు
-अभी आता हूँ. -तुम जानते हो मैंने नौकरी छोड दी, है ना?	-వెంటనే వసతా. -నేను పని మానేసతుననా అని నీకు తెలుసు కదా?
जाओ जाकर अपनी गलतियों को सुधारो और हमें गौरवानवित करो.	వెళలి మీ తపపులను సరిదిదదుకొని, మేము గరవపడేలా బరతకండి.
-उसने कया कहा? -लेकिन इस समय दुनिया जिस सथिति में है,	-ఆయన ఏమననాడు? -కానీ పరసతుతం పరపంచం ఉనన సథితిని బటటి,
फिर तुमहें कैसे पता मैं कितनी बुरी हूँ या नहीं हूँ?	సరే, నేను దారుణమెన దానిని అవునో, కాదో నీకెలా తెలుసు?
-ठीक है, यह बहुत बुरा नाम है! -यह बहुत सारे नाम हैं.	-సరే, పేరు బాలేదులే! -బోలెడనని పేరలు కలిపి చెపపావు.
-जो करना चाहते हो बस कर दो. -ठीक है. बुढिया के बाल.	-మీరు ఏం చేయాలనుకుంటే అది చేయొచచు. -సరే. పీచుమిఠాయి.
ठीक है. 261 अभी चालू हो रहा है. ऑडियो, मुझे याद है.	సరే. 261 పలే అవుతుంది. రికారడింగ ఒకకటే అననావు కదా.
कलिंट, बस मुझे जाने दो. तुम यह देखना नहीं चाहोगे.	కలింట, ననను వెళలనివవు. ఈ పని జరగడం నువవు చూడకూడదు.
कया तुम बनाना चाहते हो एक लहर? लहर, लहर, लहर, लहर	నీకు మారపు తీసుకురావాలని ఉందా? మారపు, మారపు, మారపు
जयादातर लोग इतने जयादा डर जाते हैं कि बेवकूफाना,	సాధారణంగా జనం ఇది చూసి భయంతో ఏవేవో పరశనలు అడుగుతూ
तुमहें लगता है तुम उस बंदे से बेहतर सथिति में हो?	నువవు వాడికననా బాగా బరతుకుతుననాను అనుకుంటుననావా?
और फिर लाखों और अरबों तक और यह कभी खतम नहीं होता	ఆ తరవాత లకషల మంది, కోటల మంది ఆ సంఖయ ఎపపటికి తగగదు
मॉम, कया मैं इसे बीमार बचचों को दान कर सकती हूँ?	అమమా, నేను దీనిని అనారోగయంగా ఉనన పిలలలకు ఇవవనా?
उसके बहुत पयारे सफेद पंजे हैं और. . . हे भगवान.	దాని పదాలు తెలలగా భలే అందంగా. . . ఓరి, దేవుడా.
"काम आसानी से हो जाएगा" कहने पर कोई पछतावा है?	"చిటికెలో జరిగే పని" అననందుకు నాకు బాధ వేసిందా?
यह वह सवाल है जो तुमहें रातों में जगाए रखता है.	నీకు రాతరుళళు నిదర రాకుండా చేసతునన ఆ ఒకక పరశన.
अरे. साथ ही, मैंने सोचा कि हम बनने लगे थे. . .	హేయ. అంతేకాదు, నేను మనం ఇపపుడు ఒకరికి ఒకరం. . .
और मैं अंदर से नहीं मरी हूँ. वह आदमी आकरषक है.	నేనేం బొమమని కాదు కదా. వాడు నిజంగానే అందగాడు.
अगर हम इस ना सुधर पाने वाले को सुधार सके. . .	మేము గనుక ఈ విమోచింపలేని వాడిని విమోచిసతే. . .
-मेरे खयाल से. यह ठीक है. -मेरे खयाल से. हाँ.	-అనుకుంటా. ఈయన బాగానే ఉననాడు. -అనుకుంట. అవును.
मुझे माफ कर दो! नहीं! पलीज! मैं बदल सकती हूँ.	ననను కషమించండి! వదదు! పలీజ! నేను మారిపోతాను.
कलिंट बरिगस. सेंट पॉल, मिनेसोटा में पला-बढा.	కలింట బరిగస. సెయింట పాల, మిననసోటాలో పెరిగాడు.
शुकरिया. लेकिन हमें बस. . . हमें चलना चाहिए.	థాంకస. కానీ మేము కొంచెం. . . మేము ఇక వెళళాలి.
जान. कया तुमहें अपनी बहन के लिए खुशी नहीं है?	బుజజి. నీ అకకను చూసతుంటే నీకు సంతోషంగా లేదా?
मैं नहीं चाहता उस बचचे के साथ कुछ हो, ठीक है?	ఆ కురరాడికి ఏమీ కావడం నాకు ఇషటం లేదు, సరేనా?
कितनी लंबी थी? मतलब, तुमहारी बाकी की जिंदगी.	అలా ఎంత కాలం ఉననావు? నీ శేష జీవితం గురించి.
अतीत के रमजान का भूत, आने-वाले हनुका का भूत.	ఘోసట ఆఫ రమదాన పాసట. ఘోసట ఆఫ హానుక ఎట-టు-కమ.
जाने दीजिए. यह बेकार आईडिया था. माफ कीजिए.	అదంతా వదిలేయ. ఇది చెతత ఐడియా. ననను కషమించు.
बस रुको. नहीं. तुम लोग उसे नहीं देख पाओगे.	కొంచెం ఓపికగా ఉండు. లేదు. అది మీరు చూడలేరు.
और पूरी दुनिया में यह बदलाव जोर पकड रहा है	పరపంచం అంతటా ఈ మారపు బలానని కూడగటటుకుంటుంది
अकेली माँ के तीन बचचों में दूसरा बचचा था.	ముగగురు పిలలలు గల ఒంటరి తలలికి రెండవ బిడడ.
उसकी बडी बहन, कैरी पाँच साल पहले गुजर गई.	వీడి అకక, కయారీ, అయిదేళల కరితం చనిపోయింది.
कोई सपॉटलाइट नहीं. गैरी, बंद करो सपॉट. . .	సపాట లెట వేయొదదు, గయారీ, దానిని ఆపేయ. . .
मैं तुमहारा यह बकवास रूपांतरण नहीं देखूँगा	నువవు నీ గురించి కూడా ఎంతో కొంత చెపపేవరకు
मैं. . . कलिंट, मैं आभारी हूँ कि तुम कया करने की कोशिश कर रहे हो, लेकिन मैं ठीक हूँ.	నేను. . . కలింట, నువవు చేయాలనుకునేదానని నేను అభినందిసతుననాను, కానీ నాకు ఇషటం లేదు.
