मैमी?	మామీ?
यह तुमहारी सोच से कहीं जयादा आसान है.	నువవు అనుకుననదాని కననా అది చాలా తేలిక.
मैं आपके लिए अंडों की टोकरी ले आऊँगा.	మీ కోసం ఒక బుటటడు కోడిగుడలు తెసతాను.
छोटी सी गडबड? हमने उनका घर उडा दिया.	వెఫలయమా? మనం వాళల ఇంటిని తగలబెటటాం.
-हाँ, आ रही हूँ. -उससे रिशता तोड दो.	-అలాగే, వసతుననాను. -దానిని ముగించు.
शायद तुमहें दोबारा कोशिश करनी चाहिए.	నువవు మరోసారి పరయతనించాలి అనుకుంటా.
"निसवारथता ही सबसे बडी उपलबधि है. "	"నిసవారథం యొకక అతయంత గొపప విజయం. "
एक ही "म" होता है न? चिमीचुरी में?	చిమిచూరిలో ఎమ అనే పదం ఒకటే ఉంటుందా?
बेन तुमने अपना नैपकिन गिरा दिया जान	బెన నీ నాపకిన కింద పడిపోయింది బేబీ
मैं बचचों को खोना नहीं चाहती हूँ.	పిలలలని వదులుకోవడం నాకు ఇషటం లేదు.
और फिर रात की शिफट शुरू करनी है.	ఆ తరువాత నా నెట షిఫట మొదలవుతుంది.
मैं कैबिन को लेकर समझा सकती हूँ.	ఆ కయాబిన గురించి నేను వివరిసతాను.
जो उसकी परेमिका को लेकर भाग गया.	అతను తన గరల ఫరెండ తో వెళలిపోయాడు.
तुम मुझे भगाने की कोशिश में हो?	ననను వదిలించుకోవాలని చూసతుననావా?
हमें उनका सपना पता था; पता था कि उनहोंने सपने देखे थे". . .	వాళల కల మనకి చాలా తెలుసు, వారు కలలు కననారని తెలుసుకోవడం". . .
हे भगवान, मैं पागल हो रही हूँ.	దేవుడా, నాకు పిచచెకకిపోతోంది.
-मैं वहाँ आ सकती हूँ? -नहीं.	-నేను అటు వెపు రావచచా? -వదదు.
मुझे नहीं पता. . . मुझे नहीं पता जेपी वहाँ कया कर रहा था.	కానీ, నాకు తెలియద. . . జెపి ఏం చేసతుననాడో నాకు తెలియదు.
कया तुमहारा चककर चल रहा था?	మీకు ఏమెనా అకరమ సంబంధం ఉందా?
और तुमहें पता है कि उसे ईसटर पसंद है, इसलिए मैं बस. . . मैं चाहती हूँ हम घर पर हों.	అతనికి ఈసటర అంటే ఎంత ఇషటమో నీకు తెలుసు, కాబటటి నేను కేవలం. . . మేము అకకడ ఉండాలి.
बिबी, मैं ऑफिस में फोन पर इस बारे में बात नहीं करूँगी.	బీబీ, నేను ఆఫీసులో ఉండగా ఇలాంటివి ఫోనులో మాటలాడలేను.
मुझे अरसला बुलाना बंद करो!	ననను ఉరసులా అని పిలవడం ఆపు!
उप-शीरषक अनुवादक: मून कलिता	తెలుగు అనువాదం: సతీశ కుమార
-हमने जयादा जोर से चिललाया? -कानों में दरद हो रहा था.	-చాలా గటటిగా ఉందా? -నా తలలో రెలు పరిగెడుతుననటలుంది.
सुनो, बीमा में उनका भी जिकर कर दो. मैं मर सकता था.	ఇనసూరెనస కోసం దరఖాసతు చేయి. నేను చనిపోయి ఉండేవాడిని.
-तुमहें उसके लिए बॉटल ओपनर चाहिए? -नहीं, वह मैं लाई हूँ. इसमें सकरू कैप है.	-ఆ మూత తెరవడానికి బాటిల ఓపెనర కావాలా? -లేదు, నేను తెచచాను. ఇది సకరూ మూత.
ठीक है, वह इसमें बेहतर होगी. हम यह कर सकते हैं.	సరే, తను ఇది బాగా చేయగలుగుతుంది. మనం కూడా చేయచచు.
कयोंकि वह कभी नहीं. . .	ఎందుకంటే తను ఎపపుడూ. . .
-कबूतर की तरह. -वह कभी तुमहें पैसे नहीं देगा.	-లేదా ఒక పావురం. -అతను నీకు ఎపపటికీ డబబు ఇవవడు.
हाँ, सही कहा. माफ करना.	సరే, అలాగే. మననించండి.
-यह लो. -हाँ, मुझे दो.	-ఇకకడ. -సరే, నాకు ఇవవు.
-मुझे बेहद खेद है, पर हमें जाना होगा. -अरस?	-మీకు చాలా కషమాపణలు, కానీ మేము వెళలాలి. -ఉరస?
सबसे जयादा तापमान. . .	అతయధిక ఉషణోగరతలు. . .
तो मुझे बस. . . बाद में खुद पर गुससा आएगा.	అది అంతా. . . తరువాత ననను నేనే తిటటుకుంటాను.
पर तुम कचरे के बैग के साथ मसती कर सकते हो.	కానీ ఈ చెతత సంచీతో నువవు సరదాగా గడుపుకోవచచు.
-हैलो. -ए. अरे, हैलो. सोचा नहीं था कि. . .	-హాయ. -హేయ. ఓహ, హాయ. నేను అనుకోలేదు ఇలా. . .
कोई डॉकटर यह नहीं सोचेगा कि इस उमर में दिल का दौरा संदेहजनक होगा.	ఆ మనిషి వయససుకు గుండెపోటు వచచిందంటే ఏ డాకటరూ కూడా అనుమానించడు.
कया कहते हो, इंसपेकटर? कया हम मेरे सबूतों पर चरचा कर सकते हैं?	ఏం అంటారు, ఇన సపెకటర? మేము కనుకకునన విషయాల గురించి మనం చరచిదదామా?
-हे भगवान. -माफ करना.	-దేవుడా. -కషమించండి.
शायद कुछ साधारण ही खाया था. जैसे कि. . .	బహుశా ఏదెనా మామూలుగా తిని ఉంటాం. అంటే. . .
अगर तुमहें इस बारे में बात करनी है, तो हम पीने चल सकते हैं. . .	దీని గురించి నువవు మాటలాడాలి అనుకుంటే, మనం డరింక తాగుతూ. . .
मेटिलडीऑकसिन इंजेकशन	మెటిలడిగాకసిన ఇంజెకషన
वह मेरा होने वाला था.	అది నా సొంతం అయయేది.
हाँ, ठीक है. तुम बाद में कया कर रही हो?	సరే, అలాగే. నువవు తరువాత ఏం చేయబోతుననావు?
तुम डेविड को डॉनल के पास घर पहुँचा दोगी?	డేవిడ ని మా ఇంటలో డోనల కి అపపగించగలవా?
-हो सकता है. -होगा.	-చేయగలదు. -చేసతుంది.
-चलो. बदलाव आएगा. . . -बदलाव आएगा. . .	-చెపపండి. మారతాయి. . . -అవి మారతాయి. . .
शायद सालों पहले कुततों की दौड में लगाए किसी दांव की वजह से.	డాగ రేసుల సమయంలో సంవతసరాల కిందట ఏదో పరిచయం ఉండి ఉంటుంది.
चार महीने पहले तुमहारे जीजाजी ने मारकर होटल के सामने हुई	మీ బావ తన కారుకు పరమాదం జరిగిందని బీమా కోసం దరఖాసతు చేశారు,
मुझे खेद है कि तुमने अपनी मंगेतर खो दी. और अपने दोसत को भी.	నీ పరియురాలినీ, నీ సనేహితుడినీ కోలపోయినందుకు బాధగా ఉంది.
तुमने ही अभी कहा कि तुम उनके साथ जाओगी.	వాళలతో వెళతాను అని ఇందాకే అననావు కదా.
-कया कहा? -कया मुझे यहीं छोड सकते हो?	-ఏంటి విషయం? -ననను ఇకకడ విడిచి పెడతావా?
-जॉन पॉल, अगर. . . -यह रिशता तोड दो.	-జాన పాల, నువవు గనుక. . . -పూరతి చేయి.
उनहें कैसे पता चला?	వీళలకి ఎలా తెలుసు?
मिना. मैं बैका हूँ.	మినా. నేను బెకాని.
नहीं, नहीं होगा. मैंने ये चुराई हैं.	లేదు, నమోదు కావు. వాటిని దొంగిలించాను.
नहीं. नहीं, दरअसल वह मेरी मंगेतर थी.	లేదు. లేదు, తను నిజానికి నా పరియురాలు.
मिस मरफी कहती हैं कि अगर सहमत न हो, तो ना कहना चाहिए,	మనకి ఇషటం లేనపపుడు మనం నో చెపపాలి అని మిస మరఫీ చెపపింది,
मॉम, कया हम अब पानी में उतर सकते हैं?	అమమా, ఇపపుడు మేము నీటిలోకి వెళలచచా?
मैट, मुझे खुशी हुई कि तुमने फोन किया.	మయాట, నువవు మాటలాడటం సంతోషంగా ఉంది.
हाँ, हाँ. भूल गया था कि तुम नरस हो.	అవును, నిజం. మీరు నరస అని మరచిపోయాను.
नहीं, नहीं. मैं अपनी बहनों के साथ थी.	లేదు, లేదు. నా అకకచెలలెళలతో ఉననాను.
जगह? इस होटल का नाम कया है? या. . .	ఏ పరదేశం? ఈ హోటల పేరు ఏంటి? లేదా. . .
धनयवाद, बहुत-बहुत धनयवाद, इंसपेकटर.	ధనయవాదాలు, చాలా ధనయవాదాలు, ఇన సపెకటర.
इससे बढिया पाई कोई नहीं बना सकता. पेसटरी हो या न हो.	ఈవిడ చేసే మిఠాయిలకు సాటి ఉండదు. పేసటరీ అయినా ఇంకేదయినా.
-धत. -तुम जीत गई?	-ఛ. -నీకు వచచిందా?
चलो भी! जारी रखो.	చెపపు! ఇంకా చెపపు.
अरस, हमें गरेस का फोन नहीं आया है.	ఉరస, గరేస నుండి మనకి ఏ సమాచారం లేదు.
खैर, देखो यह. . .	సరే, చూడు ఇది. . .
जब तक उनहें सबूत नहीं मिल जाता है.	సమాచారం దొరికే వరకూ నిదరపోయేలా లేరు.
तुमने लाइबरेरी से किताबें चुराईं?	లెబరరీ నుండి పుసతకాలు దొంగిలించావా?
-मॉली, अपना. . . अपना कोट लो, ठीक है? -कया? कयों?	-మోలీ, పద. . . నీ కోటు తీసుకో, సరేనా? -ఏంటి? ఎందుకు?
माफ नहीं, मजाकिया नहीं है. यह. . . यह बेहद घृणित है.	కషమించు, ఇది అలా లేదు. అది. . . అది ఘోరమెన దృశయం.
सपताहांत के लिए. वैसे मुझे लगता है, तुमहें इसकी जरूरत नहीं पडेगी.	ఈ వారాంతానికి ఒక బహుమానం. ఖచచితంగా చెబుతుననాను, ఇది నీకు అవసరం ఉండదు.
बस बीमा के लिए तुमहारे जीजाजी की दुरघटना को लेकर	పరమాదంలో మీ బావ మరణించడం గురించి కేవలం కొనని పరశనలు
तुम बेहद नीच हो.	నువవు నీచురాలివి.
-हाँ, सब. . . सब बढिया है. -मैंने कहा था अगली बारी तुमहारी होगी.	-అవును, అంతే. . . అంతా బాగానే ఉంది. -ఆ తరువాత నువవే అని చెపపాను కదా.
तुमहें और चाहिए?	మీకు ఇంకా కావాలా?
और यह जलदी करो, इससे पहले कि मेरा फैसला बदल जाए.	పెగా నా మనసు మారకముందే, ఈ పనిని తవరగా పూరతి చేయండి,
कया बिबी वहाँ है?	బీబీ అకకడే ఉందా?
हाँ. हाँ, माफ करना. हाँ, वह. . .	ఉంది. ఉంది, కషమించు. సరే, తను. . .
नहीं. शायद उनहोंने मुझे उसे सौंपने से पहले सिरके में नहलाया था.	లేదు. వాడిని బిడడగా నాకు ఇచచేముందు వెనిగర లో ముంచి ఇచచారు అనుకుంటా.
मैं एक पुराने दोसत के साथ लंच कर रही थी और. . .	నేను ఒక పాత మితరురాలితో భోజనం చేసతుననాను ఇంకా. . .
यह शानदार सुझाव है. कया तुम उसे ठीक करवा सकोगी?	అది మంచి ఆలోచన. వాటిని పునరుదధరించడం సాధయం అంటావా?
मैं बस टाइमपास नहीं कर रही हूँ.	అది, తాతకాలిక సంబంధం కననా ఎకకువే.
कया हुआ? वह मुझे ताना मार रही थी.	ఏంటి? తను అంత పొగరుబోతుగా ఉంది.
-बदलाव आएगा. . . -बदलाव आएगा. . .	-అవి మారతాయి. . . -మారతాయి. . .
उनके पास शक की कोई वजह नहीं है.	మనలని అనుమానించాలసిన అవసరమే లేదు.
-तुम शावर में मुझे याद कर सकती हो. -मैं तुमहारे सिवाए और कुछ नहीं सोचती हूँ.	-సనానం చేసతుననపపుడు నా గురించి ఆలోచించు. -నేను ఇంక దేని గురించి పెదదగా ఆలోచించను.
यह चिकितसीय जञान काफी मददगार साबित होता होगा.	ఆ వెదయ విజఞానం అంతా మీకు ఉపయోగపడుతుంది అనుకుంటా.
मैंने तुमहें बुरी तरह फँसा लिया, अरसला गारवी.	నువవు పూరతిగా నా అదుపులోకి వచచావు, ఉరసులా గారవీ.
मैं पहले की तरह महसूस करती हूँ, समझी? जब मैं. . . जब मैं उसके साथ होती हूँ.	అతనితో చాలా పరిచయం ఉననటలు అనిపిసతుంది, తెలుసా? నేను అతనితో. . . అతనితో ఉననపపుడు.
-मुझे. . . मुझे बेहद खेद है. -मन-मरजी की हद है.	-ననను. . . ననను చాలా కషమించాలి. -చెతత సవేచఛ.
-घबराना. . . घबराना मत कयोंकि. . . हाँ. -मैं. . . मैं बाद में फोन करूँगी.	-వదదు. . . కంగారుపడకు ఎందుకంటే. . . అవును. -నేను. . . నేను తరువాత ఫోన చేసతాను.
सुनो, तुम मुझे नहीं जानते हो.	వినండి, నేను ఎవరో మీకు తెలియదు.
कि तुमहें मुझसे उस रात मिलकर बेहद खुशी हुई.	ఆ రోజు రాతరి నా అందం చూసి ముగధుడివి అయిపోయావు.
माइकल, बेटा, ऊपर जाकर तैयार हो जाओ, ठीक है?	మెఖేల, బంగారం, మేడ మీదకి వెళలి తయారవవు, సరేనా?
दूसरा विकलप है कि हम उस कमीने को मार डालें.	రెండో ఉపాయం ఏమిటంటే ఆ చెతతవెధవని మనం చంపేయాలి.
वह पूरा दिन घर पर ही होगा. बहुत-बहुत धनयवाद. बाद में मिलूँगी.	తను రోజంతా అకకడే ఉంటాడు. చాలా ధనయవాదాలు. తరువాత కలుసతాను.
बेहद सुंदर बात कही. तुमने यह कहाँ से सुना?	సరే, అది చాలా చకకగా ఉంది. ఆ మాట ఎకకడ విననావు?
-यह. . . हाँ, मुझे फोन करना, ठीक है. -ठीक है.	-అది. . . అలాగే, నాకు ఫోన చేయి, సరే. -సరే.
अरस! अरस, रुको!	ఉరస! ఉరస, ఆగు!
चुप रहो, नाइल!	నోరు మూయి. నయల!
हम यह सोमवार को करेंगे. उस दिन केवल वही कलेजा खाता है.	మేము లివర డే రోజు చేయబోతుననాం. ఆ చెతత వెధవ మాతరమే తింటాడు.
मेरे. . . मेरे बगीचे में फॉयल मत फेंकना.	వదదు. . . నా తోట అంతా ఈ కాగితాలతో నింపకండి.
नहीं, नहीं, मेरे पास विधवा की अनुमति है.	లేదు, లేదు. నా దగగర ఆ వితంతువు అనుమతి ఉంది.
फोटो बेहद पसंद आई. - खुशी हुई. बात नहीं कर सकती. परिवार के साथ हूँ	నా ఫోటో నాకు నచచింది. - సంతోషం. ఇపపుడు మాటలాడలేను. కుటుంబ వేడుకలో ఉననా.
-बस अंदर बैठो. बस. दरवाजा बंद करो. -हे भगवान. कया तुम बस. . . अरस!	-లోపల కూరచోండి. అంతే. తలుపు మూసేయ. -ఓహ, దేవుడా. నువవు ఆగుతావా. . . ఉరస!
हाँ, किसमतवाले हो कि मैं मिल गई. मैं माइकल को उसके अपॉइंटमेंट के लिए ले जाने वाली थी.	సరే, అదృషటం కొదదీ మీరు కలిశారు. నేను మెఖేల ని డాకటర దగగరకు తీసుకువెళలాలసి ఉంది.
वह दोबारा जीवंत हो गया है.	మళలీ మేలకొననటలు అనిపిసతుంది.
लैमन मरैंग पाई. इसका बेस बिसकुट से बना है,	నిమమకాయ కరీమ పె. కింద బిసకెట అచచు ఉంది,
वह आज सुबह जागा ही नहीं. नींद में ही दिल का दौरा पड गया.	వాడు ఈ ఉదయం నిదరలేవలేదు. నిదరలోనే గుండెపోటు వచచింది.
कया मुझे यहीं छोड सकते हो?	ననను దయచేసి ఇకకడ దింపేసతావా?
पकका लाल बाल वाले ने मेरे दवाई के दराज की तलाशी ली होगी.	ఆ ఎరరజుటటు గాడు నా మందుల అలమారాని పరిశీలించి ఉంటాడు.
मलिन-सैरा गोजिन दवारा निरमित	బెలజియన సిరీస కలాన ఆధారంగా
पकड लिया. आंटी बैका, मुझे कुछ मिला है!	దొరికింది. ఆంటీ బెకా, నాకు ఏదో దొరికింది!
ए, गरेस के पास बैंक खाता ही नहीं है. वह शॉपिंग के लिए मॉनजो इसतेमाल करती है.	హేయ, గరేస కి తన సొంత బయాంక అకౌంట కూడా లేదు. తను మోంజో బయాంక దవారా షాపింగ చేసతుంది.
आकर ठीक किया? फोन करने की कोशिश की थी.	ఫరవాలేదా? నేను కాల చేయడానికి పరయతనించాను.
बस एक छोटी सी गडबड से डरकर, मैं हार नहीं मानूँगी, इवा.	ఒక చినన వెఫలయం జరిగిందని మనం విరమించుకోకూడదు, ఈవా.
आमतौर पर हम वही खाते हैं.	మేము సాధారణంగా అదే తింటాము.
-उनहोंने इंतजार करवाया. . . -मैं कुछ सुनना नहीं चाहता.	-వాళలు నిరీకషించారు. . . -నాకు ఇదంతా వినాలని లేదు.
इससे उस पर मेरा धयान गया.	అది నా దృషటిని ఆకరషించింది.
-और. . . -"कॉनोली के नाम! "	-ఇంకా మరి. . . -"కానలీ! "
चलो, मैं तुमहें सिखाता हूँ.	పద, నేను నీకు నేరపిసతాను.
बाद में फोन करूँगी. अलविदा.	మళలీ కాల చేసతాను, ఉంటాను.
कया हुआ? अजीब तरह से कयों बोल रही हो?	ఏంటి? ఎందుకు అలా పిచచిగా మాటలాడుతుననావు?
और हमारा पकडे जाने का कोई इरादा नहीं है.	అలాగే, మాకు పటటుబడే ఉదదేశం కూడా లేదు.
ठीक है. मुझे. . . मुझे तुमसे पयार है!	సరే. నేను. . . నేను నినను పరేమిసతుననాను!
आंटी बैका ने कहा था कि उनके पास मेरे लिए खास अंडा है.	నా కోసం పరతయేకంగా ఒక ఎగ ఉందని బెకా ఆంటీ చెపపింది.
मैलाहाईड के एक डिटेकटिव इंसपेकटर का पता मिला है.	డిటెకటివ ఇన సపెకటర కోసం మలహెడ లో ఒకరిని సంపరదించాను.
अरे, चलो भी.	ఓహ, ఇలా చూడు.
अरे, देखो, बलानड के पास बाउंसी कैसल है.	ఓహ, చూడు, బలానడ దగగర బుడగ ఇలలు ఉంది.
हाँ. हाँ. बेशक, अंदर आओ.	అవును. ఖాళీయే, లోపలికి రా.
मैं बस झूठ बोलती हूँ, और धोखा देती हूँ.	నేను అబదధాలు ఆడాను, మోసం చేసతుననాను.
अरस, हम. . .	ఉరస, మనం. . .
कया हो रहा है, मॉम? मॉम!	ఏం జరుగుతోంది, అమమా? అమమా!
बीच में हूँ.	మధయలో ఉననాను.
मैं सटूडियो के लिए उससे उधार माँगने की सोच रही हूँ.	సటూడియో కోసం అతడిని అపపు అడగాలని అనుకుంటుననాను.
"अब, और समय आने पर, जहाँ भी हरा पहना जाएगा. . .	"ఇపపుడు, ఇంకా భవిషయతతులో, ఆకుపచచ ఎకకడ ధరించినా. . .
-सच में? -हाँ. मैं इसकी सलाह दूँगी.	-నిజంగానా? -అలాగే. నేను ఇది సూచిసతాను.
अरे, अचछा? मैं बस तुमहारे बारे में सोच रही थी.	ఓహ, వంట చేసతుననావా? నేను నీ గురించే ఆలోచిసతుననాను.
मेरा जॉन पॉल के साथ कोई चककर नहीं चल रहा था. यह असंभव है.	జాన పాల తో నాకు ఏ సంబంధం లేదు. అందుకు ఎలాంటి అవకాశం కూడా లేదు.
हद है. कया हो गया है इस परिवार को?	ఇదొక మందమతి. ఈ కుటుంబానికి ఏం అయింది?
बस, अपने भाई को हैडफोन पहना दो, मॉली, और. . .	కాసత, నీ తమముడికి హెడ ఫోనస పెటటు, మోలీ, ఇంకా. . .
शायद उसकी पतनी के साथ संभोग किया था.	అతని భారయతో నాననకి సంబంధం ఉందేమో.
बढिया है. कया खाया था?	మంచిది. మీరు ఏం తిననారు?
नहीं. यहाँ आओ, कोई बात नहीं. बस करो.	లేదు. ఇలా రా, మరేం ఫరవాలేదు. ఆపు.
". . . सन 1916 में ईसटर रविवार को सवतंतर गणराजय बना था.	". . . సవతంతర రిపబలిక గా 1916 ఈసటర ఆదివారం నాడు అవతరించింది.
हँसो मत. . . "और अब वे मृत हैं. "	నువవు నవవకు. . . "వాళలు మరణించారు. "
-ए, अरसला. -हैलो! हाँ.	-హేయ, ఉరసులా. -హాయ! ఇదే.
दरअसल, कोई फरक नहीं पडता है, कयोंकि तुमहारे कपडे सपोरटी नहीं हैं.	సరే, నిజానికి అది పెదద విషయం కాదు, ఎందుకంటే నువవు ఆ దుసతులు వేసుకోలేదు.
और तुम डेट पर चलना चाहते हो ताकि मुझसे दोबारा मिल सको?	అయితే ననను మళలీ చూడటం కోసం నువవు ఆ తేదీని ఖరారు చేసతుననావా?
कया डॉनल को तुमहारे इस चककर के बारे में पता है?	నీ చినన అకరమ సంబంధం గురించి డోనల కి తెలుసా?
देखा? इसलिए हमें तुमहारी मदद चाहिए. इसके बजाय तुम कया सलाह दोगी?	చూడు? అందుకే మాకు నీ సహాయం కావాలి. దీనికి బదులు నువవు ఇంకేం సూచిసతావు?
-गोशत? -मेरे पास ढेर है. धनयवाद.	-గొరరె? -నాకు ఎకకువెంది. ధనయవాదాలు.
