नवंबर.	నవంబర.
कया हमें देखकर लगता है कि हम गोरिलला युदध करने वाले लोग हैं?	మేము గొరిలలా యుదధాలకు మనుషులను సరఫరా చేసే వాళళలా కనిపిసతుననామా?
सावधानी बरतने के लिए आपको दोष नहीं दूँगा,	మీరు జాగరతతగా ఉండడానని నేను తపపు పటటను,
सेनयोरा बोनालडे, मैं जिम गरीयर हूँ, अमरीकी विदेश विभाग से.	సెనయోరా బొండేల, నేను యు. ఎస. సటేట డిపారటుమెంట నుండి జిమ గరీర.
टॉम कलैनसीज जैक रायन	టామ కలానసీస జాక రెన
हाँ, पर उनहोंने उसकी पहरेदारी करने के लिए हथियारों के तसकरों को काम पर कयों रखा?	నిజమే, కానీ దానని కాపాడడానికి ఆయుధాల అకరమ రవాణాదారులని ఎందుకు నియమిసతుననారు?
जिम, कुछ देर के लिए हमें अकेला छोड दोगे?	జిమ, మేము కాసత ఏకాంతంగా మాటలాడుకోవచచా?
निकोलस ने अमरीकियों के बारे में कुछ कहा?	నికోలస అమెరికనల గురించి ఏమెనా చెపపాడా?
बिलकुल. जरूर करूँगा.	తపపకుండా ఉంటాను సర.
यहाँ हूँ, मेरी जान!	ఇకకడ ఉననాను, బంగారు!
ठीक है, सुनो, मुझे एक मदद चाहिए, ठीक है?	సరే, విను, నాకు ఒక సహాయం చెయయి, సరేనా?
तुम उनहें जानते हो?	మీకు వాళళు తెలుసా?
पर इस नाम से नहीं.	కానీ ఆ పేరుతో కాదు.
उनहें कया चाहिए था?	అతనికి ఏం కావాలంట?
लंदन पुलिस. पलीज अपनी जगह बैठे रहें.	లండన పోలీస. దయచేసి మీ సీటలలోనే ఉండండి.
आप यहीं रुकिए, मैडम. मैं देखता हूँ.	ఇకకడే ఉండండి, మేడం. నేను చూసుకుంటాను.
एक जरमन नागरिक जो एजवेयर में रहती है.	ఎడజవేరలో నివసిసతునన జరమనీ పౌరురాలు.
इसी वजह से तो मैं आपके पास आया हूँ.	అది తెలుసుకోవడానికే మిమమలని కలిసింది.
पलीज, ऐसा मत करो.	దయచేసి ఇలా చేయదదు.
- हैलो. - कैसे हो?	-హే. -ఎలా ఉననావు?
मैं सुबह जलदी उठ जाता हूँ. नौसेना की पुरानी आदत है.	నేను ఉదయాననే లేసతాను. నౌకాదళంలో అయిన పాత అలవాటు.
यह एक सैटेलाइट से संपरक करता है.	ఇది ఉపగరహానికి అనుసంధానం అవుతుంది.
विदेश में जानलेवा हमला होने का यही तो फायदा है.	విదేశంలో దాదాపు హతయకు గురికావడంలోని లాభాలలోఇదొకటి.
मैंने कैंप के पहले डिबबे में ये तसवीरें ली थीं.	ఇవి శిబిరంలోని మొదటి కంటెయినరలో నేను తీసిన ఫోటోలు.
जिसकी कीमत करीब 32 लाख डॉलर है.	దాని ఖరీదు దాదాపు 32 లకషల డాలరలు.
यू. एस. कैपिटल वॉशिंगटन, डी. सी.	యు. ఎస. రాజధాని వాషింగటన, డిసి
गलोरिया बोनालडे.	గలోరియా బొండేల.
वह एकदम पागल है.	వాడు చెతత వెధవ.
लोग अचछी संखया में होने चाहिए.	మనకు మంచి విడుదల పరణాళిక కావాలి.
"अमोनियम नाइटरेट ईंधन तेल. "	"అమమోనియం నెటరేట ఇంధన చమురు. "
सरजियो बोनालडे.	సేరిగో బొండేల.
गुड नाइट, माँ.	శుభరాతరి, అమమా.
हीथरो हवाईअडडा लंदन, इंगलैंड	హీతరూ విమానాశరయం లండన, ఇంగలాండ
वह आज 18 साल का हो गया होता.	తనకు ఈ రోజుకు 18 ఏళళు నిండేవి.
उसका नाम जोसट वैन डर बिल है.	అతని పేరు యోసట వాన డర బిల.
इन दोनों का आपस में कोई ताललुक नहीं है. तुम यह जानते हो.	ఒకదానికి ఇంకొకదానితో సంబంధం లేదు. నీకా విషయం తెలుసు.
लंदन? किसलिए?	లండనా? ఎందుకు?
हमें लगता है कि एक अमरीकी सांसद की हतया में उनका हाथ है.	ఒక యుఎస సెనెటర హతయలో వాళళ పరమేయం ఉందని అనుకుంటుననాం.
कया संबंध है?	ఆ సంబంధం ఏంటి?
उनके नाम के साथ चुनाव लडना.	అతని పేరుతో పరచారం చేయడం.
कराकस, मारासीबो और वैलेनसिया में हमारी सथिति अचछी है.	కరాకస, మరాకెబో, వాలెనసియాలలో మనకు మంచి పటటు ఉంది.
आराम से सोना.	చకకగా పడుకో.
सामने से हटो.	పకకకి జరుగు.
लूसी सटेबिनस	లూసీ సటెబబినస
पर तुमहें उनकी पतनी से बात करनी चाहिए.	కాకుంటే, నువవు అతని భారయతో మాటలాడు.
नहीं, मैं यहाँ छुटटियाँ मनाने आया हूँ.	లేదు నేను ఇకకడికి సెలవు మీద వచచాను.
वह वेनेजुएला वाली घटना?	వెనిజులాలో జరిగిన సంఘటనా?
पर डरती हूँ कि ऐसा किया तो शायद वह लौटकर न आए.	కానీ అలా చేసతే, తను తిరిగి రాడేమోనని భయం వేసతుంది.
पॉल, जरा आवाज कम करोगे?	పాల, సౌండ కాసత తగగిసతావా?
और यह देखो. एफबीआई कोडिस के हिसाब से,	ఇంకా ఇది చూడు. ఎఫబిఐ కోడిస పరకారం,
कुछ पता चलने पर तुमहें फोन करूँगा.	నాకేదెనా తెలియగానే, నీకు కాల చేసతాను.
बिलकुल नहीं.	అససలు కాదు.
सब एक कूटबदध ई-मेल खाते के जरिए किया गया था.	మొతతం ఒక కోడ చేసిన ఈ-మెయిల అకౌంట నుండి జరిగింది.
बाबारू लॉगिन	బబారూ లాగిన
मेरी बहन है.	నా చెలలెలు.
मैं कया मदद कर सकता हूँ?	మీకు ఏం సహాయం చేయగలను?
अचानक आपको मेरे पति में दिलचसपी कयों हो गई?	మీకు నా భరత పె అకసమాతతుగా ఆసకతి ఎందుకు వచచింది?
शायद मुझे कमरा साफ करवा देना चाहिए,	బహుశా నేను ఇదంతా శుభరం చేయాలేమో,
लंदन ऑफिस ने कया कहा?	లండన కారయాలయం ఏమంటుంది?
नया संदेश आर. टी. . .	కొతత సందేశం ఆర. టి. . .
यह खनन में इसतेमाल होने वाला एक आम विसफोटक है. और यह. . .	అది గనుల తవవకంలో వాడే మామూలు పేలుడు పదారథం. ఇది. . .
मेरे सटेशन में ऐसा कुछ नहीं हो रहा	పరెసిడెంట రేయేసకు తెలిసే విధంగా
गृह मंतरी सरजियो बोनालडे ने वेनेजुएला के तेल सौदे को मंजूरी दी	అంతరగత వయవహారాలు, నయాయ శాఖ మంతరి సేరిగో చమురు ఒపపందానని ధృవీకరించారు
पता नहीं. अभी तक उनसे बात नहीं की.	నాకు తెలీదు. నేను ఇంకా అడగలేదు.
जी हाँ, सर.	అవును, సర.
वह लंदन में सथित एक पीएमसी है.	అది లండనలో ఉనన పరెవేట సెనిక సంసథ.
कराकस में एक अमरीकी सांसद की हतया से है,	ఒక యు. ఎస. సెనెటర హతయకు పరతయకష సంబంధం ఉందని,
उससे जयादा कुछ नहीं.	అంతకు మించి ఏమీ చేయము.
मटेयो. . .	మేటియో. . .
जो हमें जंगल में देखने की कषमता देती है.	మనకు అడవిని పె నుండి చూసే వీలును కలపిసతుంది.
वह कहाँ है?	అతను ఎకకడ?
- मैं बाद में फोन करूँगा. -रायन!	-నీకు మళళీ కాల చేసతాను. -రెన!
मेरे खयाल से तुमहें यह तो पता होगा कि एक विधायी सहायक	అంటే, మా మనిషి ఒకడు కనబడకుండా పోయిన ఆపరేషన పెనే,
- पता नहीं. - पकका?	-నాకు తెలీదు. -నిజమా?
आपने जिस तरह उसकी यादों को जिंदा रखा है, वह काबिल-ए-तारीफ है.	అతని ఙఞాపకాలని నువవు సజీవంగా ఉంచుతునన తీరు గొపపగా ఉంది.
यह तुमहें कहाँ से मिला? जिस आदमी से तुमने यह चुराया, वह कहाँ है?	ఈ వసతువులు ఎకకడ దొరికాయి? నువవు ఇవి ఎవరి నుండి దొంగిలించావో, అతను ఎకకడ?
फिर रेयस ने वह ओहदा खारिज कर दिया. कयों?	మరియు నయాయ శాఖకు ఆఖరు మంతరి. ఎందుకు?
बोनालडे निवास कराकस, वेनेजुएला	బొండేల ఇలలు కరాకస, వెనిజులా
कोई बात नहीं. उनहें आने दो.	ఫరలేదు. వాళళను లోపలకు రానివవు.
मैकस यहाँ आ चुका है.	మాకస ఇకకడే ఉననాడు.
यह तो गैरकानूनी है, जेरेमी.	అది నిజంగా చటటవిరుదధం, జెరెమీ.
यह कया है?	ఇది ఏంటి?
यह कया है?	ఇది ఏంటి?
- जैक रायन का दिमाग. - झाँकने के लिए अचछी जगह है,	-జాక రెన తెలివి. -సందరశించడానికి మంచి సథలమే,
जंगल वाला दकषिण अफरीकी दोसत याद है?	అడవిలో దకషిణ ఆఫరికా మితరుడు గురతుననాడా?
जो मुसीबत को बुलावा देने से कम नहीं है.	మనకు చెడు జరగడానికి అది మంచి కారణం.
- हे भगवान. - कया पता चला?	-ఓరి దేవుడా. -ఏం కనుకకుననావు?
मैं सीधे मुददे पर आता हूँ.	నేను సూటిగా విషయానికి వసతాను.
पर कोई जवाब देने से पहले मुझे सोचने के लिए थोडा वकत चाहिए.	కానీ మీకు జవాబు ఇవవడానికి ముందు నేను ఆలోచించుకోవాలి.
इन पेटियों में अमोनियम नाइटरेट ईंधन तेल है.	ఇక, ఈ కరేటలలో ఉననది అమమోనియం నెటరేట ఇంధనం చమురు.
माइक, जरा इसे देखो.	మెక, ఒకసారి చూడు.
हाँ, सही कह रहे हो.	అవును, అది నిజమే.
एजेंसी को औपचारिक आवेदन भेजे बिना?	అధికారిక ఇంటర ఏజెనసీ అభయరథన లేకుండానా?
पूछो, कया पूछना है.	మీ పరశనలు అడగండి.
आपके इस परसताव से मेरा मान बढा है, राषटरपति जी.	మీ ఆఫర నాకు గౌరవనీయమెనది, మిసటర పరెసిడెంట.
- वह एक फरजी कंपनी है. - यही तो इरादा था, है न?	-అది ఒక షెల కంపెనీ. -అంటే, ఉదదేశం అదే కదా.
उनहें जंगल में ही दफना देना.	వాళళను అడవిలో పాతి పెటటు.
अगर तुम सरकार पर इसके लिए मुकदमा कर सके तो. कया यह ऐसा कर सकता है?	అది కూడా, మీరు దీని గురించి అసలు పరభుతవం పె దావా వేయగలిగితే. తాను వేయవచచా?
समझ सकता हूँ कि तुमहें विशलेषक होना कयों पसंद है.	నీకు విశలేషకుడిగా ఉండడం ఎందుకు ఇషటమో నాకు అరథం అయయింది.
उसने कहा कि यह आपके लिए है.	ఇది నీ కోసం అని చెపపాడు.
माफ करना.	కషమించు.
हैलो, मिसटर गरीयर.	హలో, మిసటర గరీర.
एडगर आंदरे रेयस.	ఎడగర ఆండరెస రేయేస.
जो आप कहें, राषटरपति जी.	ఏదెనా సరే, మిసటర పరెసిడెంట.
अगर तुम सीआईए से कोई जानकारी नहीं माँग सकते,	సరే, మనకు సీఐఏ నుండి సమాచారం దొరకకపోతే,
बात यह है कि कराकस के सटेशन चीफ	అంటే, ఇపపుడు ఇకకడ కరాకసలో సటేషన ఛీఫ
सोना, बॉकसाइट, लोहे के अयसक: वेनेजुएला में खनन	బంగారం, బాకసెట, ఇనుప ధాతువు: వెనిజులాలో గనుల తవవకాలు
सरजियो एक लाजवाब इंसान था.	సేరిగో చాలా గొపప వయకతి.
बाबारू में सवागत है अपना मैच देखने के लिए सवाइप करें	బబారూకు సవాగతం మీ మయాచలు చూడడానికి సవెప చేయండి
एपरियस वाले इस कैंप की पहरेदारी कर रहे हैं.	ఎపరిఎస ఈ శిబిరానికి భదరతను అందిసతుంది.
ऐसे मामलों में, हम बस उनहें मिलवा देते हैं,	అటువంటి కేసులలో, మేము పరిచయాలు చేసతాం,
वह बस छह साल का हुआ था जब हमने उसे खो दिया.	తను పోయినపపడుకు సరిగగా ఆరేళళు నిండాయి.
निकोलस जानता है उसे घर पर राजनीति की बातें नहीं करनी चाहिए.	నికోలసకు ఇంటలో రాజకీయాల గురించి చరచించకూడదని తెలుసు.
मुझे वापस भेज रहे हैं.	ననను వెనకకి పంపిసతుననాడు.
सुंदर सपने देखना, ठीक है?	చకకటి కలలు కను, సరేనా?
लंदन में सवागत है, मिसटर रायन. आपका दिन अचछा बीते.	లండనకు సవాగతం, మిసటర రెన. మీ రోజు బాగుండాలి.
कया उनहोंने कभी पुएरटो मरिपाना के जंगलों में	పుఎరతో మరిపన అడవులలోని గనుల తవవకం పరాజెకటు గురించి
मैं तो बस एक बिचौलिया था.	నేను మధయవరతిని మాతరమే.
मैंने लैंगली से उस तोहफे का डीएनए और परिंट विशलेषण करवाया.	ఆ చినన ఙఞాపికని లాంగలేకి ఇచచి, డిఎనఎ, వేలి ముదరలు విశలేషించమననాను.
मुझे पता है जब तुम नदी के रासते गए थे तो वहाँ कया हुआ था.	నువవు నది ఎగువకు వెళళినపపుడు జరిగింది నాకు తెలుసు.
थोडा सा लोगी? दे दूँ?	నీకు కావాలా? నేను తిననా?
उसने मुझे यह नहीं बताया.	అతను నాతో ఏమీ అనలేదు.
मेरे बचचे सो रहे हैं.	నా పిలలలు నిదరపోతుననారు.
तुम सीआईए की ओर से यहाँ नहीं आए.	నువవు ఇకకడికి సీఐఏతో రాలేదా.
सही कहा.	నయాయమే.
मैं चुनाव के बारे में बात करने नहीं आया.	నేను ఇకకడికి ఎననికల గురించి రాలేదు.
हाँ, हमने पहले कभी इसके साथ काम किया है,	అవును, ఇతనితో మేము గతంలో పని చేసాం,
तुमहारे लिए नया काम है. हम मिल सकते हैं? सटेक एंड कंपनी दोपहर के 12 बजे?	మీకు కొతత ఖాతా. మీరు కలవగలరా? సటీక &amp; కం. మధయాహనం 12 గంటలకు?
मेरे सुरकषित ई-मेल में जानकारी भेजो	నా సురకషిత మెయిలబాకసకు వివరాలు పంపించండి
ठीक है, समझ गया.	సరే, అరథమెంది.
वह तुमहारी ओर आ रहा है, मदर.	అతను మీ దిశగా వసతుననాడు, జెరెమీ.
अगर किसी भी चीज की जरूरत हो, तो फोन कर दीजिएगा.	మీకు ఏదెనా కావాలంటే, మాకు ఒకక కాల చేయండి.
वह कोई राजनेता नहीं थे.	ఆయన రాజకీయవేతత కాదు.
ताकि वेनेजुएला के सारे खनन के कामों की मंजूरी उसके दफतर से होकर गुजरे, है न?	వెనిజులాలోని ఏ గనుల తవవకపు పనెనా ఇతని కారయాలయం దవారా వెళలాలి, కదా?
देख रहा हूँ कि खनन का दकषिण चीन सागर के सैटेलाइट से कया वासता है.	దకషిణ చెనా సముదరంలోని ఉపగరహాలకు, గనుల తవవకానికి సంబంధం ఏంటని వెతుకుతుననాను.
कया हुआ, माँ?	అది ఏంటి, అమమా?
वादा करती हूँ कि जयादा दिन नहीं रहेंगे.	నినను ఎకకువకాలం ఇబబంది పెటటమని మాట ఇసతుననాను.
उसे दबोचकर रखो.	అతనని పటటుకో.
इस बात का मोरेनो से कया लेना-देना है?	దీనంతటికీ, మోరెనోకి సంబంధం ఏంటి?
मैंने सुना है कि उनहें भी राषटरपति रेयस जयादा पसंद नहीं थे.	అయనకు కూడా పరెసిడెంట రేయేస అంటే ఇషటం లేదని విననాను.
गुड नाइट, मेरी परी.	శుభరాతరి, బంగారు తలలి.
तुमहारी किसी भी बात पर यकीन कयों करूँ?	నువవు చెపపే ఏ విషయాననెనా నేను ఎందుకు నమమాలి?
सेनयोर गरीयर आ गए हैं.	సెనయోర గరీర వచచారు.
यह अचछा है. दूतावास को पता है कि तुम यहाँ सोते हो?	అది బాగుంది. నువవికకడ పడుకుననావని దౌతయకారయాలయానికి తెలుసా?
तो इस आदमी के बारे में कया जानते हो?	సరే, ఇతని గురించి నీకేం తెలుసు?
उनहोंने वहाँ जाने की बात की थी.	అకకడికి వెళళడం గురించి పరసతావించాడు.
जब आप पता कर लेंगे, तो शायद हम जान जाएँगे कि मेरे पति के साथ कया हुआ है.	మీరు అది తెలుసుకోగలిగితే, నా భరతకు ఏమయయిందో మనకు తెలుసతుందేమో.
हमें गरामीण इलाकों पर धयान देना होगा.	మనం గరామీణ పరాంతాల పె దృషటి కేందరీకరించాలి.
उससे निपटने का इंतजाम भी कर दिया है.	దానితో వయవహరించడానికి ఏరపాటలు చేసాను కూడా.
बासतोस?	బసతోస?
बात जिममी से जुडी है.	అది జిమమీ గురించి.
घर वापसी पर सवागत है.	సవసథలానికి సవాగతం.
सेंट पैनकरास	సెయింట పానకరాస
आपका मैच मिल गया! संदेश भेजिए!	మీకు మయాచ దొరికింది! సందేశం పంపండి!
उस सैटेलाइट में ऐसी तकनीक है	ఆ ఉపగరహంలో ఉనన సాంకేతికత
देखकर!	చూసుకో!
तुमसे वापस लौटने को कहा गया था और तुम नहीं लौटे.	నినను వెనకకి రమమననారు, కానీ నువవు రాలేదు.
ठीक है. और तुम यह कैसे करोगे?	సరే, అది ఎలా చేదదాం అనుకుంటుననావు?
परशासन के लिए ताकत चाहिए. वह ताकत अनुभव के साथ आती है.	పాలనకు శకతి కావాలి. శకతి అనుభవం నుండి వసతుంది.
आपने मदद करने की बात की थी.	మీరు సహాయం చేసతానననారు.
अब मुझे बस रेयस को एपरियस से जोडना होगा.	ఇపపుడు రెనకు, ఎపరిఎసకు మధయ సంబంధం తెలుసుకోవాలి.
वह तो निरभर करता है.	అది ఆధారపడి ఉంది.
उनहोंने रीसरच और पेटेंट में लाखों डॉलर खरच किए हैं.	వాళళు పరిశోధన ఇంకా పేటెంటల పెన కోటల డాలరలు పెటటుబడి పెటటారు.
सभी टीमें रुकी रहें.	ఆగండి, అనని జటలు.
"काम किया है" का मतलब समझाओ.	"పని చేసాం" అంటే ఏంటో వివరించండి.
और एक आदमी जंगल में लापता हो गया.	దానితో పాటు ఒక వయకతి అడవిలో తపపిపోయాడు.
नहीं कर सकते.	అది కుదరదు.
जो हुआ, बहुत बुरा हुआ.	జరిగినది నిజంగా సిగగుచేటు.
पैसों का पीछा करने के लिए.	డబబును అనుసరించడానికి.
और आप सब मेरे घर रहेंगे, तो मुझे अचछा लगेगा.	అంతే కాకుండా, మీరంతా మా ఇంటలో ఉండడం చాలా బాగుంటుంది.
कया राषटरपति रेयस ने ही एपरियस को	వెనిజులాలో తన గని తవవకాల పనుల భదరత కోసం
अपने कहा था कि अगर कभी मदद की जरूरत हो, तो फोन करूँ, तो. . .	అంటే, నాకు గురతుంది, మీరు అననారు కదా, నాకు ఎపపుడెనా సహాయం అవసరమెతే. . .
सीढियों पर एक आदमी ने दिया.	పెన అంతసథులో ఉనన ఒక వయకతి నుండి.
पर उसके बाद मेरे खातों से रोक हटाकर दफा हो जाना.	కానీ అపపుడు మీరు ఖాతా పె నిలిపివేత తొలగించి, వెళళిపోవాలి.
