डैनर की आग	డానర మంటలు
लैब में सवागत है. जहरीली चाय जो हमारे हतयारे ने बनाई थी.	నా లయాబ కి సవాగతం. హతయ చేసిన వారు చేసిన విషపూరితమెన టీ.
इसलिए किसी को पता नहीं कि कब रुकना है या जाना है.	కాబటటి ఎవరికి ఎపపుడు ఆగాలో, ఎపపుడు వెళలాలో తెలీదు.
देखो, अगर तुमहारा कोई मरीज औरों के लिए खतरनाक है,	చూడు, నీ దగగరకు ఇతరులకు పరమాదకరమెన పేషెంట వసతుంటే,
अब मुझे जाकर हमारे आगजनी करने वाले को ढूँढना होगा.	ఇపపుడు నేను వెళలి ఆ మంటలు పెటటినోడిని కనిపెటటాలి.
- तुम भी ज. . . - नहीं, आगे कुछ मत कहो. मत कहो!	- నువవు కూడా కాలి. . . - వదదు, అలా అనొదదు. వదదు!
मैं नहीं बता सकता. इससे पेशेवर हद पार हो जाएगी.	నేను చెపపలేను. అది నా వృతతి నిబదధతకు వయతిరేకం.
मुझे लगा था कि हम डिनर पर काम की चरचा करेंगे.	నేను ఇది కేవలం బిజినెస భోజనం అనే అనుకుననాను.
डॉ. डेवेरॉ, तुमसे दोबारा मिलकर बेहद खुशी हुई.	డాకటర డెవరో, మిమమలని మళళీ కలవడం చాలా సంతోషం.
-ऐसा मत कहो. -मैं यह दोबारा कभी नहीं कहूँगा.	- అలా అనొదదు. - నేను ఆ మాట మళళీ ఎపపటికీ అనను.
पर मुझे कभी पता नहीं चला आप कयों चले गए थे.	కానీ మీరు ఎందుకు వెళలారో మాకు చెపపిందే లేదు.
मुझे लगा था कि मैं एक बेहतर साइकेटरिसट हूँ.	నేను ఇంతకంటే మంచి సెకియాటరిసట ని అనుకుననాను.
मैं चाहता हूँ कि तुम वह मोम ठीक यहाँ डालो.	అకకడ ఉనన ఆ కొవవొతతి మెనం అంతా నా మీద వెయ.
-. . . करो! - यह बेहद अविशवसनीय कहानी है.	-. . . డండి! - నీ కథ చాలా దారుణంగా ఉంది.
शायद मैंने जयादा पी ली. हमें नहीं पता.	నేను ఎకకువ తాగేసి ఉండొచచు. మనకు తెలీదు.
मुझे पता था कि टरैविस थोडा सा अजीब है,	టరావిస కొంచెం వింతెన వాడని నాకు తెలుసు,
-हमारे पास समय कम है. -ठीक है, ठीक है.	- మనకు ఎకకువ సమయం లేదు. - సరే, అలాగే.
इस अनौपचारिकता के लिए माफी चाहूँगा.	ఇలా సందరభసహితంగా లేనందుకు కషమించండి.
- जेल में? - नहीं, केरीओकी बार में.	- జెలుగా? - కాదు, కెరియోకి బార కి.
मैं थक गई थी. खुद से बेहद नाराज थी.	అలసిపోయా. నా మీద నాకే కోపంగా ఉంది.
फिर चाहे हतयारा छूट ही कयों न जाए?	కాపాడాలా అనన విషయం నిరణయించుకోవాలి.
सुनकर लगता है, पता नहीं, शायद तुम आगजनी के कुछ मामले कबूल कर रहे हो?	అయితే మరి, ఏమంటావు, కొనని చోటల తగలబెటటినటటు తపపును ఒపపుకోవచచు కదా?
ठीक है, मुझे पता है कया हो रहा है.	సరే, ఏం జరుగుతుందో నాకు అరథమెంది.
कया तारपीन देखकर तुमहें समझ आ गया?	టరపెంటెన ని చూశాక విషయం అరథమెందా?
आगजनी करने वाले की दिमागी सथिति के बारे में बताने के लिए धनयवाद.	మంటలు పెటటె వాడి మనసును అరధం చేసుకోవడానికి ఇచచిన సలహాలకు థాంకస.
वह छह महीने पहले ही जेल से छूटा था और पता है किसलिए सजा हुई थी?	ఆరు నెలల కరితం జెలు నుండి విడుదలయయాడు, ఎందుకు వెళళాడో తెలుసా?
कि जो इंसान दोषी दिखता है, शायद उसी ने सच में वह अपराध किया है,	నేరం నిజంగానే చేసి ఉండొచచు అనన అంచనా నీకు నచచదని నాకు తెలుసు,
याद है जब हम पहली बार मिले थे,	మనం మొదట కలిసినపపుడు నీ అభిరుచి
यह जयादा ही जाहिर होता अगर मैंने कहा होता कि वही अपराधी है.	వాడే దోషి అని నేను వెంటనే చెపపేసతే విషయం వెంటనే బయటపడిపోయేది.
मैं इतना वयसत हूँ, कि मुझे लंच बरेक में कसरत करनी पडती है.	నేను చాలా బీజి, అందుకే భోజనం సమయంలో వయాయామం చేయాలసి వసతుంది.
मेरा मतलब, यह बेहद खतरनाक है.	అంటే, అది చాలా పరమాదకరమెన పని.
-कि यह आधयातमिक था. -चलो भी.	- ఆధయాతమికమెన ఫీలింగ. - పలీజ.
उनहें नियंतरित करना सिखाता हूँ, नियंतरण खोना नहीं सिखाता.	వాటిని కంటరోల చేయడం తపప వాటి అదుపులోకి వీళళు వెళలకుండా.
और तुमहें किस चीज का डर है?	మరి నీకు భయం పుటటించేది ఏది?
तो फिर मेरे साथ डिनर पर चलो.	అయితే నాతో కలిసి భోజనం చెయ.
मैंने तुमसे कहा था, अब मैं चीजें नहीं जलाता हूँ, समझी?	చెపపాను కదా, నేను ఇపపుడు అలాంటి పనులు చేయడం లేదు, సరేనా?
मैंने मानद आयाहुसका शामन के रूप में कुछ समय बिताया था.	నేను ఒక గౌరవనీయమెన ఆయుహాసక షామన గా కొననాళలు గడిపాను.
डैनर, मुझे दिख नहीं रहा है!	డానర, నాకు కనిపించడం లేదు!
अनय दवेषपूरण वयवहारों को ठीक करने में माहिर हैं. "	హింస, లెంగిక విచలనం అలాగే పెరోమేనియా లాంటి వాటికి. "
अरे, हाँ. जेवियर की हतया.	ఓహ, అవును. ఆ జేవియర హతయ.
पर मैं इस कविंटिन डेवेरॉ से बात करना चाहती हूँ.	కానీ నేను ఈ కవెంటిన డెవరో అనబడే వాడితో మాటలాడాలి.
अगर गोली चलानी ही है, तो हेडबोरड पर चलाओ, समझे?	నువవు కాలచేటటటు అయితే ఆ మంచం చెకకని కాలచు, సరేనా?
पर मैंने सब कुछ सुन लिया. मैंने कविंटिन का पूरा कबूलनामा सुना.	కానీ నేను అంతా విననాను. కవెంటిన అంతా ఒపపుకోవడం కూడా విననాను.
विशवास करो, मुझे पता है.	ననను నమము, నాకు తెలుసు.
चुसकी या छोटी सी चुसकी?	ఒక గుటకా లేక చినన గుటకా?
सुनो, मैं तुमहारे साथ वेलोसाइकिल पर सवार हूँगी.	చూడు, నేను నీతో కలిసి ఆ వెలోసెకిల మీద వసతాను.
मुझे भी लगा था कि मैं भी बेहतर पुलिसवाली हूँ.	నేను కూడా ఇంతకంటే మంచి పోలీసుని అనే అనుకుననాను.
नहीं, नहीं, नहीं. हम अँगूठे नहीं तोडेंगे, समझे?	వదదు. వదదు. వేళళు విరిచే పని ఏం చేయకు, సరేనా?
इंजन छह जवाब दे रहा है.	ఆరవ ఇంజిన సపందిసతోంది.
सच कहूँ तो, मुझे लगा नहीं था कि यह संभव है.	నిజం చెపపాలంటే, ఇలా అవుతుందని నేను అనుకోలేదు.
लेनरड वर जैसा आदमी तुम जैसे साइकेटरिसट का खरचा कैसे वहन कर सकता है?	లెనరడ వుర లాంటి వాడు నీలాంటి ఒక సెకియాటరిసట ని ఎలా పెటటుకుననాడు?
पर, इस बार, मैं जयादा ही गहराई में चली गई.	అవును, కానీ ఈ సారి, నేను మరీ దగగరకు వెళళాను.
हाँ. अब मेरी बारी है.	అవును. ఇపపుడు నా వంతు.
. . . गरम मोम पसंद है.	. . . మెనం అంటే ఇషటం.
हम कहाँ से शुरू करें?	మనం ఎవరితో మొదలెటటాలి?
धनयवाद. मैं उसके लिए काफी मेहनत करती हूँ.	థాంకస. అలా నటించడానికి నేను చాలా కషటపడతాను.
कया? तुम चाहते हो मैं तुमहें छाती पर मारूँ?	ఏంటి? నువవు ననను నీ రొమము మీద కొటటమంటావా?
कया हमने अभी एक ही बात सुनी? जिस तरह से उसने मुझे बदसूरत कहा?	మనిదదరం విననది ఒకకటే విషయమా? వాడు ననను ఛండాలమెన వాడు అననాడు కదా?
नहीं, वह कलपित विजञान की भाषा बोल रहा है.	లేదు, వాడు సటీమ పంక పదజాలం వాడుతుననాడు.
कयोंकि मैं चाहती हूँ कि तुम यह सपषट समझ जाओ कि कया होता है	నువవు నీ మనసు మాట విని, మెదడు చెపపేది వినకుండా కళళుమూసుకోపోతే
धत. मैं तुमहें बचा लूँगी, पारटनर. मैं तुमहें बचा लूँगी!	అయయో. నేను నినను తీసుకెళతాను, పారటనర. నీకు నేను ఉననాను!
पर मुददा वह नहीं है. बस इसका अपने फैसले पर असर मत होने देना.	కానీ విషయం అది కాదు. దాని వలల నీ నిరణయం పరభావితం కాకూడదు.
धत. धत. माफ करना, मैंने खुद को जला लिया.	ఛ. అయయొ. కషమించాలి, నేను కాలచుకుననాను.
तुम जयादा ही करीब जा रही हो, डैनर. और लेनरड के हाथों की तरह,	నువవు మరీ దగగరగా వెళతుననావు, డానర. అలాగే లెనరడ చేతులలాగే,
बस इसलिए कि उसका लिंग बेहद बडा है. . .	వాడికి పెదదది ఉందని చెపపి నువవు. . .
और बार? उसे वहाँ से निकाल दिया गया था	ఆ బార? అకకడి నుండి వాడిని పంపేశారు,
मुझे उममीद थी कि डॉ. डेवेरॉ मेरी इसमें मदद कर सकते हैं.	డాకటర డెవరో నాకు ఆ విషయంలో సహాయం చేయగలడు అనుకుననాను.
ठीक है, लेनरड थेरेपी के लिए जाता है.	సరే, లెనరడ థెరపీకి వెళతాడు అంటావు.
उसने वह नहीं किया.	అది వాడు చేయలేదు.
कया यह हिप-हॉप है?	ఇది హిప-హాఫ పదమా?
मेरे दरवाजे पर आई.	నా తలుపు తటటింది.
उसका मधयम आकार का लिंग इतना अचछा था	వాడి మధయసథమెన అంగం ఎంత బాగుందంటే,
- मैंने कुछ नहीं किया! - तो फिर भागे कयों, लेनरड?	- నేను ఏం చేయలేదు! - అయితే ఎందుకు పరిగెతతావు, లెనరడ?
खुशी और दरद के बीच एक चौराहा है.	ఆనందానికి బాధకు మధయ ఒక జంకషన ఉంది.
- सच में? - कया?	- నిజంగా? - ఏంటి?
मैं सोच रहा था, "ये शबद वापस अपने मुँह में डालो. "	"ఆ మాటలు తిరిగి వెనకకి తీసుకో" అని అనిపించింది.
हाँ, तुमहें पता है, झूठे कहीं के.	లేదు, నీకు తెలుసు, అబదధాల కోరు.
वह मेरा मरीज है.	అతను నా పేషెంట.
पर साथ ही उसे जो रोमांच चाहिए,	కాకపోతే అగని అంత ధవంసం చేయని ఇతర
तो, मैं तुमसे बाद में मिलूँगा?	అయితే, మనం తరవాత కలుసతుననాం కదా?
मुझे वेलोसाइकिल तक पहुँचना होगा.	నేను ఆ వెలోసెకిల మీదకి ఎకకాలి.
द सिंग सिंग रूम	ది సింగ సింగ రూమ
-और फिर हम बस कलाई खींचकर निकालेंगे. -नहीं, मैं यह नहीं कर सकता.	- నేను నా మణికటటుని బయటకు తీసతాను. - లేదు, నేను అది చేయలేను.
मुझे पता था कि वह अचछा विचार नहीं था, पर मैंने सोचा कि बस डिनर की बात है.	అది మంచి ఐడియా కాదని నాకు తెలుసు, కానీ నేను కేవలం భోజనం మాతరమే కదా అనుకుననాను.
ए, आपको याद है कैसे आप बचपन में	హేయ, మా చిననపపుడు మీరు మాకోసం
वह मेरा पारटनर है. उसे लगता है कि तुम दोषी हो.	అది నా పారటనర. అతను నువవు దోషివి అంటుననాడు.
रुको. वह मेरा नहीं है. मैंने वह वहाँ नहीं रखा.	ఆగు. అది నాది కాదు. ఇది నేను పెటటింది కాదు.
- कया? - नहीं.	- ఏంటి? - లేదు.
-नहीं. -ठीक है.	- లేదు. - సరే.
मैं तुमसे लेनरड वर के बारे में कुछ सवाल पूछना चाहती थी.	నేను లెనరడ వుర గురించి నినను కొనని పరశనలు అడగడానికి వచచాను.
सच कहूँ तो, अब तक मैंने कभी नहीं सोचा था कि तुम आम इंसानों जैसी हो, यानी,	నిజం చెపపాలంటే, నేను ముందెపపుడూ సందేహాలు అలాగే భయాలు ఉండే ఒక వయకతిగా
कि मैंने सोचा भी नहीं कि कविंटिन भी संदिगध हो सकता है.	కవెంటిన ని ఒక అనుమానితుడిగా చూడాలి అనన ఆలోచనే నాకు రాలేదు.
-उततरजीवी ढूँढो. -चिंता मत करो. मैंने तुमहें बचा लिया.	- కషతగాతరులు ఉననారేమో చూడండి. - ఏం కాదు. నీకు నేను ఉననాను.
उप-शीरषक अनुवादक: मून कलिता	సబ టెటిలస అనువదించింది: జోసెఫ
थेरेपी से हर समसया नहीं सुलझती है, समझी?	ఎందుకంటే థెరపీ అననిటినీ నయం చేయలేదు, సరేనా?
पर ठीक है, तो तुमहारे हाथ बिसतर से बँधे थे.	సరలే కానీ, నినను వాడు మంచానికి కటటేశాడు.
यह मत कहना कि तुम खुद उसके साथ सेकस नहीं करना चाहोगे?	నువవే అయితే అలాంటి వాడితో ఉండడానికి ఎగురుకుంటూ వెళలిపోవా?
जिस आग की मैं जाँच कर रही थी, उसके साथ ही,	నేను విచారణ చేపడుతునన మంటల కేసుతో పాటు,
अब, इस चाय को बनाने के लिए कौन सी खास जानकारी चाहिए?	ఇపపుడు, ఈ టీని చేయడానికి అవసరమెన పరతయేకమెన విషయం ఏముంది?
कलप, कोई तुमहें बदसूरत नहीं समझता है. तुम सुंदर हो, अंदर से भी और बाहर से भी.	కలప, నువవు ఛండాలంగా ఉంటావని ఎవరూ అనుకోవడం లేదు. నువవు లోపలా, బయట కూడా అందమెనవాడివి.
मैं गरेस की मदद करने की कोशिश में हूँ, पर मुझे पता नहीं मैं कया कर रही हूँ.	నేను గరేస కి సహాయం చేయడానికి పరయతనిసతుననాను, కానీ ఏం చేసతుననానో నాకే తెలీడం లేదు.
यह शानदार बिजनेस डिनर था.	ఇది భలే గొపప బిజినెస భోజనం.
-डच बेबीज. डच बेबीज. -डच बेबीज. बेशक.	- డచ బేబీస. డచ బేబీస. - డచ బేబీస. అవును.
मैं जाकर रिहाई के दसतावेजों पर हसताकषर कर आता हूँ.	నేను ఇక అతని రిలీజ పేపరలు మీద సంతకం చేసతే మంచిది.
तुमहें पता है मैं कौन हूँ?	నేను ఎవరినో నీకు తెలుసా?
तुमहें यह पसंद है, हँ? हाँ, पसंद है.	నీకది నచచిందా, ఆహ? అవును, నీకు నచచింది.
वैसे भी, हमें अब भी आगजनी करने वाले को पकडना है.	అంతేకాక, మేము ఇంకా దహనాలు చేసతునన వాడిని పటటుకోవాలి.
देखो, डैनर, मुझ पर विशवास रखो. मैं अपनी कलास में सबसे बेहतरीन था.	చూడు, డానర, నువవు ననను నమమాలి. నేను మా కలాస లో బెసట షూటర ని.
वह बाहर आ गई.	ఆమె వసతోంది.
मैंने तुमहें बताया था कि वह पूरी नहीं हुई है.	నేను అది ఇంకా పూరతి కాలేదు అని చెపపాను కదా.
हाँ. नहीं, मैंने बुरा बोल दिया. मुझे माफ कर दो.	అవును. లేదు, చాలా దారుణంగా మాటలాడాను. ననను కషమించు.
- कया मुझे थोडा और मेपल सिरप दोगे? - हाँ, बेशक.	- నాకు ఇంకొంచెం మేపుల సిరప ఇసతారా? - సరే, తపపకుండా.
तुम सच में हीरो हो. पर मुझे लगता है आज हम दोनों हीरो साबित हुए.	నువవు నిజమెన హీరోవి. నేనెతే మనం ఇదదరం ఇవాళ హీరోలమే అంటాను.
सही सोचा. आगजनी के लिए.	అవును. మంటలు పెటటినందుకు.
टरैविस, तुमने कितनी पी?	టరావిస, నువవు ఎంత తాగావు?
तुमने उन सुरागों को जोडा.	నువవే అంతా ఆలోచించింది.
उसी तरह जैसे अभी तुम नहीं सोच रहे हो.	ఇపపుడు నువవు ఎలా చేసతుననావో అలాగే.
जहाँ काफी जयादा टरैफिक है. काफी हॉरन बजता है.	టరాఫిక బాగా ఉండే జంకషన. బాగా హారన లు మోగుతుంటాయి.
उस रात जब मैं लेनरड को घर ले जा रहा था,	నేను లెనరడ ని ఇంటికి తీసుకెళతునన ఆ రాతరి,
डॉ. डेवेरॉ?	డాకటర డెవరో?
गलत होने का.	తపపు చేయడం.
खैर, मुझे बरी करने के लिए धनयवाद.	ఏదెతేనేం, ననను పోనిసతుననందుకు థాంకస.
नहीं, नहीं. पीछे हटो. पीछे हटो. मैं उस पर गोली चलाऊँगा.	లేదు, లేదు. వెనకకి వాలు. వెనకకి వాలు. నేను దానిని కాలచుతాను.
तुम बेहद परतिभाशाली हो और वे काफी नंगी हैं.	నీకు చాలా టయాలెంట ఉంది, కానీ వీళళకి బటటలే లేవు.
तुम बेहद परतिभाशाली हो और वे काफी नंगी हैं.	నీకు చాలా టయాలెంట ఉంది, కానీ వీళళకి బటటలే లేవు.
तुमहें कैसे पता कि तुमने सही से बनाया?	నువవు ఇది సరిగగానే చేసావని ఎలా చెపపగలవు?
लेनरड ने आपातकालीन संपरक में मेरा नाम डाला है,	తన అతయవసర కాంటాకట గా లెనరడ నా నంబర ఇచచాడు,
- हे भगवान! - कलप! तुम यहाँ कया कर रहे हो?	- ఓరి, నాయనో! - కలప! నువవు ఇకకడ ఏం చేసతుననావు?
मैं जाकर हमारे लिए कुछ उडने वाली मछलियाँ ढूँढता हूँ.	నేను వెళలి కొనని గాలిలో ఎగిరే చేపలు కనిపిసతాయేమో చూసతాను.
"डेरी फरीज की तरह उनहोंने भी मेरे साथ बुरा बरताव किया था.	"వాళళు కూడా డెరీ ఫరీజ వాళళ లాగే ననను ఇబబంది పెటటారు.
दुरभागयवश, मैं कोई जासूस नहीं हूँ.	దురదృషటవశాతతూ, నేను సపెని కాను.
कया हुआ? अरे, नहीं, नहीं, नहीं, चिंता मत करो. मैंने छोटा डोज लिया.	ఏంటి? ఓహ, లేదు, లేదు, కంగారు పడకండి. నేను తకకువే వేసుకుననాను.
सचचाई यह है कि मैं दरअसल पाइरोमेनियैक नहीं हूँ, पर सेकस का आदी हूँ.	నిజం ఏంటంటే నేను వాసతవానికి సెకస విషయంలో పెరోమేనియాక ని కాదు.
और उसका उन तीन जगहों में से दो से वयकतिगत संबंध है जो जलाई गई थीं.	అలాగే దహించబడిన మూడు పరదేశాలలో రెండిటితో వీడికి సంబంధం ఉంది.
कयोंकि वह मेरा काम है.	ఎందుకంటే అది నా పని.
कया मैंने जयादा पी ली?	నేను ఎకకువ తాగేసానా?
उममीद है मैं दखल नहीं दे रहा हूँ.	మధయలో వచచి ఉండనని అనుకుంటుననా.
मैं सेकस का आदी हूँ, पर मुझे आग पसंद है.	నేను ఒక సెకస కి బానిసెన వాడిని, కానీ అగనితో.
याद है जब मैंने कहा था कि आग ही शकति का परतिक है?	నేను అగని అంటే దానికి ఉండే శకతి అని చెపపింది గురతుందా?
तुमने महिला का काफी सुंदर रूप बनाया है.	నువవు నిజంగా మహిళల వంపుసొంపులను భలే గీసావు.
और गलत होने में कया बुराई है?	అసలు తపపు చేయడంలో ఉనన తపపు ఏంటి?
तुम लेनरड के साथ भी यही करते हो?	నువవు లెనరడ తో ఇదంతా చేసతావా?
तुम एक आगजनी करने वाले का दिमाग समझना चाहती हो?	నీకు దహనాలు చేసే వయకతి మనసును అరథం చేసుకోవాలని ఉందా?
यह मेरा शौक है. इससे दिमाग शांत होता है.	ఇది నా హాబీ. మనసు పరశాంతంగా ఉంటుంది.
इसे बनाना बस अभी शुरू किया.	నేను ఈ మధయే దీనిని మొదలెటటాను.
कया हुआ? मेरी दिलचसपी बस बढने ही लगी थी.	ఏంటి? నేను ఇపపుడే కథ మొదలెడుతుననాను.
मैं तुमसे मिलकर हैलो कहना चाहता था. तो, हैलो.	అలాగే వచచి మీకు హలో చెపుదాం అనుకుననా. కాబటటి, హలో.
पूछने के लिए धनयवाद.	అడిగినందుకు థాంకస.
अरे, हाँ.	ఓహ, అవును.
अरे, हाँ.	ఓహ, అవును.
दरअसल, डच बेबीज का आविषकार सिएटल में किया गया था.	నిజానికి, డచ బేబీస ని సియాటిల లో కనిపెటటారు.
तुम मुझे पाइरोमेनियैक बुला सकती हो. बस, आग के बजाय, मुझे सेकस पसंद है.	నువవు ననను పెరోమేనియాక అని పిలవచచు. కాకపోతే మంటలకు బదులు, నాకు సెకస అంటే ఇషటం.
यह मेरा अब तक का सबसे बेहतरीन था.	నీ అంత గొపపోడిని నేను చూడలేదు.
शनिवार की सुबहों को, हम मॉम और डैड को देर तक सोने देते थे.	శనివారం ఉదయం అమమా నానన లేటుగా లేచినా అడిగేవారం కాదు.
-कमीना कहीं का. -हे भगवान.	- చెతతనా కొడకా. - ఓరి, నాయనో.
- मदद करो! मदद करो! - डैनर? हे भगवान, कया मुसीबत है.	- కాపాడండి! కాపాడండి! - డానర? ఓరి, నాయనో, ఇది నరకంలా ఉంది.
-पता नहीं. यह जयादा ही आसान है. -डैनर.	- ఏమో. ఇది మరీ ఈజీగా ఉంది. - డానర.
लेनरड जैसे आगजनी करने वाले के लिए, आग उसका जुनून नहीं है.	లెనరడ లాంటి మంటలు పెటటేవాడికి మంటలు అంటే ఇషటం కాదు.
हाँ, मैं समझ गया.	సరే, నాకు అరథమెంది.
देखो, वहाँ उस टेबल पर कुछ लयूब रखी है.	చూడు, ఆ టేబుల మీద కొంచెం లూబ ఉంది.
आपको याद है वे कैसे बनाते हैं? कयोंकि मुझे काफी भूख लगी है.	అవి ఎలా చేయాలో మీకు ఇంకా గురతుందా? ఎందుకంటే నాకు చాలా ఆకలిగా ఉంది.
वैसे भी, कल मैं उसके साइकेटरिसट से मिली थी	అంతేకాక, నినన నేను అతని సెకియాటరిసట ని కలిసాను,
तो उसका नया जुनून कया है?	అయితే ఇపపుడు వాడికి ఏం ఇషటం?
ठीक है, तुम बोलने में काफी माहिर हो.	సరే, నువవు చాలా బాగా మాటలాడగలవు.
मुझे उस केस में काफी दिलचसपी थी.	ఆ కేసు మీద నాకు చాలా ఆసకతి పుటటింది.
केरीओकी.	కెరియోకి.
घुटनों के बल बैठो!	నీ మోకాళలపె పడు!
मदद करो!	కాపాడండి!
