एक असली दुनिया में.	ఒక యదారథమెన చోటుకు.
उस बंदे ने मुझे उनके लिए कुछ दिया.	ఆ వయకతి, అమమ కోసం నాకు ఏదో ఇచచాడు.
उसने मुझे उनकी निधन सूचना दिखाई.	ఆమె మృతపరకటనని చూపించాడు, సరేనా?
तुमहें हर बार गडबड करने की कया जरूरत है?	ఎందుకు ఎపపుడూ వెళళి విషయాలని చెడగొడతావు?
तुम यह जानते हो.	నీకూ అది తెలుసు.
थायलसीन ऐनलॉग. मुझे लगा कि तुम दूसरे नाम से बुलाते हो.	థెలసీనని పోలినవి. వాటిని మీరు మరో పేరుతో పిలసతుండొచచు.
ये काटते हैं?	అవి కరుసతాయా?
बातें करने में माहिर, है न?	అతనికి మాటల పరతిభ ఉంది కదా?
वह उस काम में माहिर है, जैसा कि तुम देखोगी.	నువవే చూసతావు, తనకి ఆ విషయంలో నెపుణయం ఉంది.
खाना लग गया है, विलफ.	భోజనం వడడించాం, విలఫ.
दूसरे शबदों में,	మరోలా చెపపాలంటే,
मिसाल के तौर पर.	అలాగే అనుకోవచచు.
चीजों का पता लगाने के लिए काफी तकलीफ उठा रहे हैं.	మీరు విషయాలు కనుకకోవడానికి చాలా ఇబబందిపడుతుననారు.
हम तुमहारे लिए सच हैं?	మేం నీకు నిజమెనవాళళమా?
टॉमी कॉनसटनटीन.	టామీ కానసటంటీన.
अभी आया.	వసతుననా.
ये सब बहुत अचछे सवाल हैं. समय आने पर सब के जवाब मिलेंगे.	ఇవి అదభుతమెన పరశనలు. కాలగతిలో వాటికి జవాబులు దొరుకుతాయి.
यानी?	అంటే?
मनचाहा या नियत नतीजा उतपनन करने की कषमता.	అంటే కావాలసిన ఫలితానని సృషటించగల సామరథయం.
फलिन.	ఫలిన.
बरटन.	బరటన.
विलफ,	విలఫ,
तुमहारे भविषय वाले दोसत मदद करेंगे या हम अकेले हैं?	నీ భవిషయతతు మితరులు సాయం చేసతారా లేక మన పని మనదేనా?
पता है. चिंता मत करो, मैंने उनसे कहा. वे कोई रासता निकालेंगे.	తెలుసు. దిగులుపడకు, వారికి చెపపా. వాళళు మరో దారి కనుకకుంటారు.
चलो भी, बरटन.	ఏంటిది, బరటన.
जो ठीक नहीं हो सकता, उसे ठीक नहीं कर सकता, फलिन.	పరిషకారంలేని దానని పరిషకరించటానికి పోలేను, ఫలిన.
इस सब के बीच में तो नहीं.	ఈ పరిసథితుల మధయలో కుదరదు.
मैंने समझा है कि मुझे शांति पसंद नहीं है.	నిశశబద సమయాలలో నేను బాగుండనని నేరచుకుననా.
ढंग का सटाफ सारजणट हो तो अचछा रहेगा.	నాకు ఓ మంచి సెనయాధికారి సేవలు అవసరం.
वे हम सब को एक-दूसरे की जानें लेने दे सकते हैं.	మేం ఒకరినొకరు కాలచుకునేలా చేయటానికి చూసతుననారు.
उसने उसे कभी काम की तरह नहीं समझा, कॉनर.	దానని అతను ఉదయోగంగా చూడలేదనుకుంటా, కానర.
मैं दरअसल सहानुभूति दिखा रहा था.	నేను సహానుభూతి కోసం పరయతనించాను.
मुझे नहीं पता, यार.	అది నాకు తెలిసతేగా.
कल सुबह तक तुमहें याद रहेगा कि मैंने यह सब कहा?	నేను చెపపినదంతా రేపు ఉదయం గురతుకొసతుంది అంటావా?
आज शाम मैं आजाद पंछी हूँ, मैनुएल.	ఈ సాయంతరం నా భారయ లేదు, మానయువెల.
शायद आपको किसी का साथ अचछा लगे?	బహుశా మీరు ఒక తోడుని ఇషటపడతారా?
ऐसा कह रहे हो तो,	సరే, ఇలా చెపతాను,
कारमेन.	కారమెన.
केला नामक एक फल हुआ करता था.	అరటిపండు అని ఒక పండు ఉండేది.
मैं बेवकूफ लगता हूँ कया?	నేను వెధవ అనుకుంటుననావా?
विलफ नेदरटन	విలఫ నెథరటన
एलीटा वेसट	ఎలీటా వెసట
वह कयों?	ఎందుకలా?
कॉरबेल?	కారబెల?
मुझे भूख लगी थी. मैं. . .	నాకు ఆకలేసింది. నేను. . .
तो हम आपके लिए सच नहीं हैं, है न? मैं, मेरा परिवार, मेरे दोसत.	అంటే మేము మీకు నిజమెన వాళళం కాదా? నేను, నా కుటుంబం, నా మితరులు.
मैंने कहा कि अगर कोई मुझ पर रहम खाएगा तो उसकी जान ले लूँगा.	నాపె జాలి చూపినందుకు కురరాళళను చంపాలనుకుననానని ఇపపుడే చెపపా.
तुम जिस इंसान को जानते हो, उसके परसताव से, या वह जो भी है,	నీకు తెలిసిన వయకతి, అతని పరతిపాదన, లేదా ఏమని పిలవాలనుకుననా,
नाजी हमें उडाने वाले थे, और सिरफ भेड हमें बचा सकती थीं.	ఆ నాజీలు మనపె దాడి చేసేవారు, ఆ గొరరెలే మనకునన ఏకెక రకషణ.
वे सभी छतते के हितकर संचालन के लिए अपना योगदान देते हैं.	ఇవననీ తుటటె ఆరోగయంగా పని చేయడానికి తమ వంతు పని చేసతాయి.
यानी कजिन लिऑन अकेला नहीं है जिसकी किसमत ने साथ दिया.	అంటే అదృషటం వరిసతునన వయకతి మన కజిన లియోన ఒకకడే కాదు.
कोई फैसला करने से पहले, सोचा कि तुमसे बात कर लूँ.	మేము ఏదెనా చేయడానికి ముందు నీ నుండి వినాలనుకుననాం.
मुझे बताने की जरूरत नहीं कि हम देर नहीं कर सकते.	పరిసథితి అతయవసరమెనది, అందుకే నొకకి మరీ చెబుతుననా.
. . . कॉरनेल विशवविदयालय में एनटोमोलॉजी महकमे से.	. . . కారనెల విశవవిదయాలయంలో కీటకాల శాసతర విభాగం.
जब हमें मारने के लिए और लोग आएँगे, तब कया होगा?	మనలని మరింత మంది చంపడానికి వసతే ఏం జరుగుతుంది?
अब वहाँ के लोगों ने हमारे पीछे हतयारे लगा दिए.	ఆ భవిషయతతు మనుషులు మమమలని చంపడానికి చూసతుననారు.
दूर-दूर तक इससे जुडे हर किसी की मौत चाहते हैं.	అతనితో ఏమాతరం సహచరయం ఉనన ఎవరినెనా మనం చంపాలి.
मुझे लगा कि तुम बस एलीटा से बात करना चाहते हो.	మీరు ఎలీటాతో మాటలాడితే చాలనుకుననారని భావించా.
मैं किसी को जानता हूँ जिसे कुछ जानकारी चाहिए,	ఏదో సమాచారం కోసం వెతుకుతునన ఒక వయకతి తెలుసు,
-तुमहारी उलझन समझता हूँ. -उलझन में नहीं हूँ.	-మీ గందరగోళం అరథమెంది. -నాకు గందరగోళం లేదు.
अचछा. यह जानने के लिए भविषय में आने की. . .	సరే. ఇది తెలుసుకోవడానికి భవిషయతతులో ఉండాలా--
आप तक पहुँचना बडा मुशकिल है, मिसटर पिकेट.	మిమమలని సంపరదించడం కషటమెన పని, పికెట గారు.
अपने ठिकाने को लेकर एलीटा एक सुराग छोड गई.	ఎలీటా తన సంభావయ ఆచూకీపె ఒక సూచన వదిలింది.
मुझे तो पूरा मामला अजीब सा लगता है, टॉमी.	నాకు అంతా విడడూరంగానే అనిపిసతోంది, టామీ.
यह परिसथिति कलपना से कहीं जयादा जटिल है.	మీరనుకునన దానికంటే పరిసథితి కలిషటమెనది.
तुम और फलिन मुझसे और डी डी से नाराज हो?	డీడీ, నాపె నీకు, ఫలినకు కోపమేం లేదు కదా?
मैंने एक गाडी भेजी है. वह नीचे खडी है.	నేను కారు పంపాను. కింద వేచి చూసతోంది.
दुखों का बोझ डालना, जब कि मैं तुमहारी	నినను బాధతో కుంగిపోయేలా చేయడమనే ఆలోచన,
तकनीकी रूप से कवांटम टनलिंग कहते हैं.	దీని సాంకేతిక నామం, కవాంటమ టననెలింగ.
हमारे बेवकूफ कजिन ने अभी लाटरी जीती,	మన మూరఖపు కజిన ఇపపుడే లాటరీ గెలిచాడు,
यह तो देखो कि कया वकत हुआ है, लेव.	ఈ సమయానికి ఓ పరాధానయం ఉంటుంది, లెవ.
उनहें दफना दो. मैं शहर जा रही हूँ.	పూడచిపెటటండి. నేను టౌనుకి వెళతుననా.
कभी-कभी जंग में यह इसतेमाल करते थे.	ఎపపుడెనా వీటిని యుదధంలో వాడేవాళళం.
पहले तुमहें यह बताना चाहिए कि लोग	ననను, నా కుటుంబానని చంపడానికి. . .
-वह मर जाएँगी. -तुमने वह मान लिया?	-మనం ఏమీ చేయకపోతే. -దానని నమమావా?
वह जो तकनीकी मामलों में माहिर हो.	సాంకేతిక విషయాలలో నెపుణయం ఉననవాడు.
तुमहारी समयरेखा वाली फलिन का कया?	కానీ ఫలినకు మీ కాలరేఖలో ఏమవుతుంది?
उन लडकों ने मुझे आते सुन लिया था,	ఆ కురరాళళు, నేను రావడానని విననారు,
खासकर अगर ठीक से परेरित किया जाए.	ముఖయంగా సరెన పరేరణను ఇచచినపపుడు.
या फिर, हमारी बात करें तो, जरूरी यानी, एलीटा वेसट के साथ कया हुआ?	లేదా, మా దృకకోణంలో, అతయవసరం అంటే, ఎలీటా వెసటకు ఏం జరిగింది అని?
जानती हूँ. मुझे यह भी लगता है कि उससे मदद माँगना अचछी बात होगी.	తెలుసు. అతనని సాయం అడగటం కూడా మంచి పని అవుతుందేమోనని నాకు తెలుసు.
-कमीने कहीं के. -वे चल रहे हैं!	-చెతతగాడు. -వారు కదులుతుననారు!
इसका आठ घंटों का निदरा चकर है.	దీనికి 8 గంటల నిదర పరకరియ ఉంది.
यह सवाल तो पूछना बनता है, कयों?	దాంతో ఒక పరశన వసతోంది, ఎందుకు?
मैं सीधे-सीधे बात करूँगा, कयोंकि हम दोनों के पास समय नहीं है.	వీలెనంత నేరుగా చెపతాను, ఎందుకంటే మన ఇదదరికీ సమయం లేదు కనుక.
हमने गलायोमा के इलाज के लिए एक दवा बनाई है. काफी आसानी से.	మేం మసతిషకవరణాలను నయం చేసే ఔషధానని రూపొందించాం. అతి సులభంగా.
तुम कौन हो? होमलैंड सिकयूरिटी?	నువవు ఎవరివి? హోంశాఖ మనిషివా?
उसकी कही कोई बात नकारने से पहले, उनहें अंदर ला सकते हैं?	ఆమెకు చెపపకూడని విషయాలు చెపపేలోపు వారిని లోనికి పిలుదదామా?
थोडा दबाव महसूस कर रहे होगे.	కలుగుతోందని నేను చింతిసతుననా.
दस मिलियन डॉलर देना चाहेंगे.	మీ సమూహంలో ఇదదరిని చంపడానికి.
वह अतीत एकदम अलग हो जाता है और अपना अलग करम बना लेता है.	ఆ గతం వెనువెంటనే విడిపడి దాని సొంత గతిని ఏరపరుచుకుంది.
मुझे उस शबद का मतलब पता है.	ఆ చెతత పదం ఏంటో నాకు తెలుసు.
हमें अकेला छोड देंगी, मैडम?	మాకు ఏకాంతానని ఇసతారా, మేడమ?
-मैं उस टीले पर नहीं जाऊँगा. -मैं वह कह भी नहीं रहा.	-ఆ కొండ అంచుపెకి పరిగెడదామనుకుంటుననావా! -నువవు వెళళకు.
एक दवा. उनके टयूमर के लिए.	ఒక ఔషధానని. ఆమె పుండు కోసం.
मुझे लगा जैसे कोई सपना था.	నేను కలలో ఉననానని అనుకుననా.
दवा की दुकान में फारमूला भेजा है. वे उसे छाप रहे हैं.	తయారీ ఫారములా మీ మందుల కొటటుకు పంపా. ముదరిసతుననారు.
अंदर घुसने का मौका देने के लिए, हमने उसे पैसे दिए.	అందులోకి రహసయ దవారం కలపించడానికి ఆమెకు చెలలిసతుననాం.
मैंने सिरफ एक को देखा, पर उसने मुझ पर बंदूक तानी.	వారిలో ఒకడినే చూశాను, కానీ తలకి తుపాకీ గురిపెటటాడు.
माँ को तहखाने में ले जाओ.	అమమని బేసమెంటకి తరలించు.
एक दिन, मैं तुमहें बताऊँगा कि विलफ से कैसे मिला.	నేను మొదటిసారి విలఫని ఎలా కలిశానో ఒకరోజు చెబుతాను.
तुम गेम का हिससा नहीं हो.	మీరు ఆడుతుననది సిమ కాదు.
जब हमारे वरतमान से कोई अतीत से संपरक करता है तो,	మా పరసతుతానికి చెందిన మనిషి గతంతో సంపరదించినపపుడు,
कभी ऐसी कोई चीज देखी है?	ఇలాంటిది ఎపపుడెనా చూశావా?
ऐसा लगता है जैसे किसी पारटी की तैयारी चल रही है.	మీరంతా పందినో, మరోదాననో వేపుకు తినేలా ఉననటటుననారు.
इसलिए टेकनिकलस ने लडकी के लिए एक परिफरल बनाया है.	కనుక నా నిపుణులు ఆ అమమాయికి పెరిఫరల నిరమించారు.
जो लोग तुमहें मारने आए थे, वे आखिरी नहीं होंगे.	మిమమలని చంపడానికి వచచిన మనుషులు, చివరివాళళు కారు.
उनके दिमाग में टयूमर है.	ఆమెకి మెదడులో గడడ ఉంది.
जैसा आप गेम चला रहे हैं?	మీరు ఒక సిమ ఆడుతుననారా?
तुम यह बार-बार कह रहे हो, पर ऐसा लगता नहीं है.	అలా అంటూనే ఉంటావు, కానీ దానికి అరథం ఉననటటు లేదు.
तो, अब यहाँ कयों आए हो?	మరి, ఇపపుడెందుకు వచచావు?
किसी का साथ अचछा लगेगा.	నేను తోడుని నిరాకరించను.
-वह मुझे चाहता है. -वह चाहे जिसे भी चाहता हो.	-ననను రమమంటుననాడు. -వాడికేం కావాలో పటటించుకోను.
बोला कि डारक नेट पर हमारे नाम की 9 मिलियन डॉलर की सुपारी दी गई है.	మనలని చంపితే 90 లకషల డాలరలు ఇసతామని డారక నెటలో ఎవరో పెటటారని చెపపాడు.
तुमहारी यहाँ जरूरत है.	నీ అవసరం మనకు ఇకకడుంది.
तुम ऐसा नहीं सोच सकती.	నువవు అలా ఆలోచించకూడదు.
यह बहुत ही पेचीदा हो सकता है, हमारे लिए भी.	ఇదంతా చాలా గందరగోళంగా అనిపించవచచు, మాకు కూడా.
उसकी जिममेदारियों ने तुमहारी सटब तक पहुँच दी.	ఆమె విధులు, ఆమెకు నీ సటబకు దారులు తెరిచాయి.
द परिफरल पर इससे पहले	ద పెరిఫరలలో ఇంతకుముందు
मुझे सच में माफ करना.	ననను నిజంగానే మననించు.
तब तुमहारी लापता औरत के बारे में बात करूँगी.	అపపుడు మీ తపపిపోయిన మహిళ గురించి మాటలాడతా.
कॉरबेल पिकेट? सच में?	కారబెల పికెటా? నిజంగా?
दूसरों की सहायता के बिना जिंदा नहीं रह सकती.	మిగతా వాటి మదదతు లేకుండా మనుగడ సాగించలేవు.
तुमहें कॉनर के लिए बुरा लगता है. मैं समझता हूँ. हम सब को लगता है.	కానరని చూసి జాలిపడతుననావు. అరథం చేసుకుంటాను. మనందరం జాలిపడతాం.
परयावरण के दबावों ने मधुमकखियों की आबादी को खतरे में डाल दिया है,	పరయావరణ ఒతతిడులు తేనెటీగల జనాభాను వేగంగా పడిపోయేలా చేసతుననాయి,
मुझे यही लग रहा है कि मैं सच में वहाँ थी.	నేను నిజంగానే అకకడికి వెళళానని అనిపిసతోంది.
मिलागरोस का कया मतलब है? बचचों के नाम सोचिए	మిలాగరోస అంటే ఏమిటి? పాపాయి పేరు ఆలోచించు
तुमहारी आँखों में असममति नजर आती है, ऐश.	నీ తీకషణమెన అసమమతిని నేను గరహించగలను, యాష.
आगे भी तुमहें अपना दोसत समझना चाहता हूँ.	నువవు నా సనేహితుడు కాదనే ఆలోచన నాకు నచచదు.
तुम कॉनर को जानती हो.	కానర సంగతి తెలుసుగా.
वह यहाँ कोई सहानुभूति बोनस नहीं दे रहा.	కానీ ఇకకడ నీకెవరు సహానుభూతి బోనసలు ఇవవరు.
उस रात जब मैं तुमहारे घर की तरफ आ रहा था?	మొనన రాతరి, నేను నీ చోటుకు వసతుననా కదా?
मुझे माफ करना, फलिन.	ననను మననించు, ఫలిన.
तुमहें देख सकती हूँ.	నీవు కనిపిసతుననావు.
अलबतता, उनकी सहकारी और बेहद अनुशासित परिकलपना के बावजूद,	అయినా, ఎంతో సమనవయంతో, ఎంతో వరగీకరణతో తుటటె రూపకలపన జరిగినా,
वही है जो हमें एलीटा तक पहुँचा सकती है.	ఎలీటాను కనుకకోవడానికి తనే ఉతతమ మారగం.
तभी मैं परिचय करवाने के लिए राजी हुआ.	అందుకే నేను పరిచయం చేయడానికి ఒపపుకుననా.
इसमें किसमत का कोई खेल नहीं है, लिऑन.	దీనికీ, అదృషటానికి సంబంధమే లేదు, లియోన.
इन घटिया कमीनों को नहीं पता कि इनहोंने किससे पंगा लिया.	వాళళు ఎవరితో పెటటుకోబోతుననారో పాపం ఈ చెతత వెధవలకు తెలియదు.
इसलिए डर है कि मिस फिशर के साथ इस बात को आगे बढाने के लिए	కాబటటి ఫిషరతో విషయాలు తవరగా జరగాలనే ఓ సహజాతం నీకు. . .
मैं वही सोचता रहा.	రోడడుపె వెళుతుండగా.
तुमहारे निजी संपरक के चलते शायद तुम गलत फैसला कर रहे हो.	మీ వయకతిగత సంబంధం మీ నిరణయంపె పరభావం చూపుతుందనుకుంటా.
जरूरी, जैसे कि लोगों का मुझे और मेरे परिवार को मारना?	అతయవసరమంటే, మనుషులు ననను నా కుటుంబానని చంపడానికి రావడమా?
कैसे तुमने सबको अनाजघर में से निकाला.	పశువులపాక నుండి అందరినీ బయటపడేశావట.
रीसरच इंसटीटयूट में हम सभी के लिए खतरा बहुत बढ जाता है.	ఈ రీసరచ ఇనసటిటయూటలోని మన అందరినీ పరమాదంలో పడేసతుంది.
पर खास तौर पर कया?	అసలు ఏం జరిగింది?
बिलकुल हो सकता है.	అది మంచి అంచనాయే.
इसमें कोई शक नहीं.	అది అయితే కచచితం.
कोई बेवकूफ, चोर या फिर पुलिसवाला.	పిచచివాడు, కలెపట వరగం వాడు, పోలీసు.
वे आवाजों को एनकरिपट कर सकते हैं.	వాళళు గుపత సంకేతాలలో మాటలాడుకోగలరు.
खाते में जमा रकम 2, 500, 000 डॉलर	ఖాతాలో జమ అయింది 25, 00, 000 డాలరలు
उस जैसपर ने किसी तरह कॉरबेल पिकेट को धोखा दिया होगा.	కారబెల పికెటను జాసపర ఎలాగో మోసం చేశాడని అరథమెంది.
कोई संपरक करने की कोशिश कर रहा है.	ఎవరో నాతో మాటలాడాలని చూసతుననారు.
हर बार, तुम मुझे एक ही जवाब देतीं.	నువవు పరతిసారి ఒకే జవాబు ఇసతావు.
उसके बाद मैं तुमहारी लापता औरत का सिमुलेशन चलाऊँगी.	తరవాత, కనపడని మీ చెతత మహిళ కోసం సిమని ఆడుతానేమో.
वापस जाती हूँ. जानकारी लेकर आऊँगी.	మళళీ వెళతా. మరింత సమాచారం తెసతా.
तसमानिया के शेर.	టాసమేనియన పులులు.
मेरे खाते में आते ही सोशल सिकयूरिटी कारड चला जाएगा.	అది నా ఖాతాలోకి రాగానే, నా సామాజిక భదరత పోతుంది.
तो, अब मुझ पर यकीन करते हो? भविषय वाली बात को लेकर.	అయితే, ననను నమముతావా? ఈ మొతతం భవిషయతతు విషయానని.
मैं कह चुकी हूँ.	ఇది వరకే చెపపాను.
आपके समुदाय के दो सदसयों को खतम करने के लिए आपको	మేం మీకు 10 మిలియన డాలరలు చెలలించాలని అనుకుంటుననాం,
मिलागरोस कोलडायरन	మిలాగరోస కోలడఐరన
जहाँ तक मुझे नजर आता है, तीन बातें हो सकती हैं.	నాకు తెలిసినంత వరకు, మూడు సాధయమెన అవకాశాలు ఉననాయి.
आप मुझे कुछ बताना चाहती हैं, माँ?	ఏదెనా చెపపాలనుకుంటుననావా, అమమా?
उसकी शादी होती है, बचचे होते हैं?	ఆమెకు పెళళవుతుందా, పిలలలుంటారా?
-माँ. -मैं तुमहें देख सकती हूँ.	-అమమా. -నాకు నువవు కనిపిసతుననావు.
मिस फिशर, तुमहें बहुत खतरा है.	ఫిషర, మీరు చాలా పరమాదంలో ఉననారు.
हर तरह का खतरा.	పూరతి శతరునాశనం.
जयादा से जयादा कया होगा, फलिन?	నాకది చేయగల పెదద నషటమేంటి, ఫలిన?
कॉफी मेज पर है.	కాఫీ బలలపె ఉంది.
उफ, देखो, मुझे माफ करना. ठीक है?	ఛత, చూడు, ననను కషమించు. సరేనా?
लेव का एक शौक ऐसी चीजों को नए सिरे से बनाना है.	ఇలాంటివాటిని పునఃసృషటించడం లెవ హాబీలలో ఒకటి.
यह जरूरी है कि तुम गेम में जाओ.	మీరు మళళీ లాగ ఇన కావడం ముఖయం.
तुमहें और तुमहारे परिवार को अभी भी खतरा है.	మీకు, మీ కుటుంబానికి ఇపపటికీ ముపపు పొంచి ఉంది.
और यह भी लगता है कि आप ऐसे आदमी हैं जो जयादा संकोच नहीं करते.	అలాగే మీరు ఎకకువగా సందేహించే వయకతి కూడా కాదని తెలుసతోంది.
एक मुशकिल है. बस 10 लाशें हैं.	సమసయ. కేవలం 10 శవాలే ఉననాయి.
हमें हैक किया.	వారు చేధించారు.
माफ करना, फलिन.	కషమించు, ఫలిన.
फारमा जॉन जितनी हैसियत नहीं.	ఫారమా జాన ఖరచుని మేం భరించలేం.
बदले में मुझे तुमसे मदद चाहिए.	బదులుగా నాకు మీ సాయం కావాలి.
घर पर मिलूँगी.	ఇంటలో కలుసతాను.
पर उसके बाद, सब कुछ धुँधला सा हो जाता है.	కానీ ఆ పరిమితి తరవాత, రికారడులు అసపషటమౌతాయి.
-तुम दोनों कया किसी से मिले. . . -धीरे बोलो.	-మీరు కొందరు మనుషులని-- -మెలలిగా మాటలాడు.
तुम लोग यहाँ चुपचाप बैठकर बस आग का मजा लो. जयादा शोर नहीं.	నిపపు చుటటూ కొంతమంది వెధవలు కూరచోవాలి. ఎకకువ కదలకూడదు.
मुझे उससे खुशी मिलेगी, हाँ?	అది ననను సంతోషపెడుతుంది, కదా?
आते समय माँ का हाल पूछा था?	వెళళేటపపుడు అమమను పలకరిసతావా?
बस कहना कि सीमा पर चककर लगाने गया हूँ. फिर उसे रोककर रखना.	చుటటూ నడుసతుననానని చెపపు. తరవాత ఆమె ఇకకడే ఉండేలా చూడు.
पूरी समसया ही खतम हो जाएगी.	దాంతో సమసయ మొతతం తీరిపోతుంది.
-और? -तुम भी वही कर रहे हो?	-ఇంకా? -నువవూ అదే చేసతుననావా?
वहाँ जाकर हमेशा अचछा लगता है.	నువవుంటే ఎపపుడూ బాగుంటుంది.
-परसताव सवीकार हुआ है? -लगभग तभी के तभी.	-ఆఫరని ఎవరెనా అంగీకరించారా? -దాదాపు వెంటనే.
हमने इस बारे में खुलकर लिखवाया है, मैडम.	మన పరకటన ఈ విషయంగా చాలా సపషటంగా ఉంది, మేడమ.
जलदी करो, रीस, वरना इसके बिना ही जाएँगे.	పని కానివవు రీస లేదా అది లేకుండానే దిగుదాం.
आगे सडक पर दो एसयूवी गाडियाँ खाली मिलीं.	రోడడు పకకన వదిలేయబడడ రెండు ఎసయువీలు ఉననాయట.
ऐश मेज पर मौजूद बहुत ही उदास सी दिखने वाली नौजवान औरत है.	అతి భారమెన బాధతో చూసతునన, బలల దగగరునన యువతి పేరు యాష.
डरोन आ रहा है.	డరోన వసతోంది.
कला का सरपरसत?	కళా పోషకుడనా?
-मिस फिशर. . . -मेरी माँ कब ठीक होंगी?	-ఫిషర గారు-- -మా అమమకు ఎపపుడు నయమవుతుంది?
मिसटर पिकेट की ओर से. साथ में बधाई भी दी.	ఇది పికెట గారు పంపారు. ఆయన అభినందనలతో.
-तो तुमहें वह कैसे मिलता? -वही तो बात है.	-మరెలా కనుకకునేవాడివి? -అదే చెబుతుననా.
अगर तुम इसे बदलना चाहती हो,	దీనని మీరు మారచాలనుకుంటే,
हम थोडा सा भटक रहे हैं. . .	పకకదారి పడుతుననామేమో. . .
-एक घर के अंदर है. -फिर भी दो लापता हैं.	-ఒకటి ఇంటలో ఉంది. -రెండింటి జాడ లేదు.
. . . मैं तुमसे पूछता, "तुम खुश हो? "	. . . "సంతోషంగా ఉననావా? " అని అడుగుతాను.
तो आप लोग मेरी दुनिया में कया कर रहे थे?	నా పరపంచంలో మీరంతా ఏం చేయాలనుకుననారు?
हाँ, हमारी वही बेकार डरोन परतियोगिता है.	అవును, ఇది మా చెతత డరోన పోటీలలో ఒకటి.
कभी सोचा है कि यह किसी को लग भी सकती है?	దాంతో ఎవరినెనా కాలుసతానని చింతించావా?
वे हम दोनों की दुनियाओं में संपरक बनाकर रखते हैं.	మన రెండు పరపంచాల మధయ సంధానానికి వాళళు పని చేసతుంటారు.
-तुम इसे बौदधिक जिजञासा कह सकती हो. -किसी खेल की तरह?	-మీరు దానని మేధో కుతూహలం అనవచచు. -అంటే ఒక ఆటలాగా?
उसके चलते वह चार हफतों में नहीं रहेंगी.	అది ఆమెను నాలుగు వారాలలో చంపబోతోంది.
कितना समय है?	ఎనని రోజులు?
पर लिऑन बोला कि सब अजीब सा है. मानो किसी चीज का सामना कर रही हों.	కానీ శరీర పరకరియలు పని చేయటలేదని, పోరాడుతోందని లియోన అననాడు.
एलीटा रीसरच इंसटीटयूट नामक कंपनी के लिए काम करती थी.	రీసరచ ఇనసటిటయూట అనే సంసథ కోసం ఎలీటా పని చేసింది.
अचछी यानी वह जिससे तुमहें ताकत मिले या फायदा हो.	మంచి అంటే మనకు అధికారానని లేదా లాభానని తెచచిపెటటేది.
बोले कि नजर रखे हुए हैं.	వాళళు చూసతుననామని చెపపారు.
और उनके जाने के बाद, टरैकटर नजर आया.	ఒకకసారి అవి వెళళగానే, టరాకటర బయటపడింది.
उस गोलीबारी से तुमहें खुशी नहीं हुई?	ఆ తుపాకుల పోరు నినను సంతోషపెటటింది కదా.
और यकीन रखना चाहिए कि गौण बातें समझ में आने लगेंगी.	ఇక ఇతర విషయాలు వాటంతట అవే సపషటమవుతాయని నమముదాం.
तुमहारे पास लुपत जानवर हैं जिनहें दोबारा जिंदगी दी,	మీరు అంతరించిపోయిన జంతువులకి మళళీ పరాణం పోశారు,
उसने कहा कि वहाँ मैंने कुछ अनुभव किया.	అకకడ ఉననపపుడు ఏదో చూశానని అతనననాడు.
पर वे पैसे भेज रहे हैं.	డబబులు పంపుతుననాం అననారు.
