खैर, डालो.	చెపపు మరి.
अरे, चलो भी. हमने पहले इससे भी बुरे काम किए हैं.	అబబా. ఆ రోజులలో దీని కననా దారుణమెన పనులు చేశాం.
यही उसकी तकनीक है. है न? उसने यह खुद नहीं किया.	ఇది అతని పథకమే అంటాను. అవునా? ఏది చేసినా అతనే.
बेशक '80 के दशक में डेविड बोवी सबसे परसिदध थे.	డేవిడ బోవీకి ఎనభెల దశకంలో ఖచచితంగా ఒకటి ఉండేది.
यह कारला है. वह महिला जिसे हम ढूँढ रहे हैं.	ఇది కారలా గొంతు. మనం తన కోసమే గాలిసతుననాం.
दस से 14 की उमर का आईसी3 यानि अफरीकी पुरुष. चाकू से कई बार घोंपा गया है. सभी इकाइयाँ.	పది, 14 ఏళల నలలజాతి కురరాడు అనేక కతతి పోటలకు గురయయాడు. అనని యూనిటస జాగరతతగా వినండి.
धत. सोनया, तुम उसकी जासूसी करवा रही हो?	బాబోయ, సోనియా, అతడిపె నిఘా పెటటారా మీరు?
तुमने उस आदमी को नोटों की गडडियाँ दीं.	నువవు ఇతనికి కటటలు కటటలు డబబులు ఇచచావు.
आपके दवारा डायल किए गए नंबर से संपरक नहीं हो पाया. कृपया दोबारा कोशिश करें.	మీరు డయల చేసతునన నంబరుకు కనెకట చేయడం సాధయపడలేదు. దయచేసి కాసేపాగి పరయతనించండి.
कि आप एक राजनीतिक संगठन के सदसय थे.	ఒకపపుడు సభయులుగా ఉననారని ఆరోపించారు.
नहीं, तुमहें बस सवीकारोकति मिली थी.	లేదు, మీకు నేరాంగీకారం దకకింది అంతే.
एक-दूसरे को चिंता में डाल देते हो.	ఒకరినొకరు ఊరికే కంగారుపెటటుకుంటారు.
जेक, ये पलेटें वापस अंदर ले जाओगे?	జేక, ఈ పలేటస ని లోపలికి తీసుకెళలవా?
तो, एरॉल की याददाशत ऐसे कैसे लौटी	మరి, ఎరరొల కి అవి ఎలా జఞాపకం వచచి,
मैं उसे गिरफतार करके नहीं लाई थी.	అతడిని ఇకకడికి తెచచింది నేను కాదు.
-. . . कहाँ से मिल रही है. - डरगस?	-. . . ఎకకడిదో తెలీటలేదు. - డరగస?
- पर, पता नहीं, शायद. . . - कया?	- కానీ, ఏమో మరి, అది. . . - ఏంటి?
- डैड! - जेक! हे भगवान. यहाँ आओ.	- నాననా! - జేక! దేవుడా. ఇలా రా.
- लोग धारणाएँ बनाते हैं. - हाँ.	- జనాలు ఏవేవో అనేసుకుంటారు. - హా
अपनी जेबों में हाथ मत डालो. अगर पुलिस तुमहें रोके, तो भागो मत.	చేతులని జేబులో పెటటుకోకూడదు. పోలీసులు ఎవరెనా ఆపితే, పరిగెతతవదదు.
हमने लडकियों को नहीं बताया है. उनहें यह जानने की जरूरत नहीं है.	మేము ఇంకా పిలలలకి చెపపలేదు. అది వాళలకి తెలియాలసిన అవసరం లేదు.
ठीक है. निशान पर खडे हो जाओ.	సరే. కాళలని పరింటస మీద పెటటు.
तुमहारे किसी दोसत ने, या. . .	నీ సనేహితులు కానీ, లేదా. . .
माफ करना, काम पर थी. कुछ समय के लिए सिगनल नहीं था. कयों?	సారీ, పనిలో పడిపోయా. కొంతసేపు సిగనల కూడా లేదు. ఏమెంది?
कया मैं कपडे बदल सकता हूँ?	కనీసం బటటలు మారచుకొని రానా?
डैड गुजर चुके हैं, याद है?	నానన చనిపోయాడు కదా, అమమా?
- हाँ. और उसका नाम सामने नहीं आया. - बेशक नहीं आया.	- అవును. కానీ ఈ పేరు అకకడ లేదు. - ఎందుకు ఉంటుంది!
तुम इसमें कैसे शामिल हुए?	ఇందులో నీకు ఏంటి సంబంధం?
- धत. - वह मेरा नहीं है.	- బాబోయ. - అది నాది కాదు.
आपके दवारा डायल किए गए नंबर से संपरक नहीं हो पाया.	మీరు డయల చేసతునన నంబరుకు కనెకట చేయడం సాధయపడలేదు.
सब ठीक है. चिंता मत करो.	ఏమీ కాలేదు. కంగారుపడవదదు.
- मुझे इन चीजों के बारे में पता है. - समझे? सुनो.	- వీటననింటి గురించి నాకు తెలుసు. - సరేనా? విను.
उसे कुछ भी याद नहीं है.	అతనికి అససలు గురతు లేదట.
पर वह अंदर ही अंदर सोचता है कि उसी की गलती है.	కానీ వాడు మనససులో వాడిదే తపపు అని అనుకుంటుననాడు.
तुमहारे सहयोगी, किम, ने एक 12-वरषीय बचचे के बैग में मेथामफेटामिन रखवाया.	మీ మితరుడు, కిమ, 12 ఏళల నా కొడుకు బయాగులో మనుషుల చేత డరగస పెటటించాడు.
वह तुमहें पसंद करती है.	నువవంటే తనకి భలే ఇషటం.
पता है कया? तुमहारे परिवार की दिमागी बीमारी रंग पर आधारित नहीं है.	ఒకటి చెపపనా? మీ కుటుంబంలో ఉండే మానసిక సమసయలకు, జాతికి ఏ సంబంధమూ లేదు.
हमें आपको कुछ बताना है.	మీకు ఒకటి వినిపించాలి.
आपके बेटे के बारे में.	అదే, మీ కొడుకు గురించి.
सटार ऑफ द वीक बधाइयाँ	ఈ వారపు సటార అభినందనలు
- और वह भी. - यह. . .	- ఇది కూడా. - అది. . .
- माफ करना. - कसम से.	- ఏవండి. - మాటిసతుననా.
कया वह वाला उसके ऊपर रख दोगी? मुझे वहीलचेयर भी अंदर डालनी है.	దీనని దాని పెన పెటటగలరా? నేను లోపలికి వెళలి చకరాల కురచీ తెసతాను.
तुमहें पकका यकीन है?	నీకు ఖచచితంగా తెలుసా?
मेरे पास फोटो हैं जिनमें हैगरटी पिछले हफते इस पते पर गया था.	పోయిన వారం, హెగరటీ ఈ చోటికి వెళలాడు, ఆ ఫోటోలు కూడా నేను తీశాను.
मिरास मनसूर नामक एक आदमी यह सब चलाता है.	దానని మిరాస మనసూర అనే వయకతి నడిపిసతుననాడు.
यह कया बकवास है? धत.	ఏం చేసతుననావు? బాబోయ.
- मैं कुछ नहीं कर रहा था. - कुछ मत कहो.	- నేనేమీ తపపు చేయలేదు. - అలా అని అనుకోకు.
वह इस बारे में शेखी बघार रहा था, समझी?	అదేదో గొపప పనిగా అతను చెపపుకుంటూ ఉంటాడు.
पर बस उसे जाने दो.	కానీ అతడిని వదిలేయ.
और संयोगवश, उनमें से एक को मेरे बेटे के पास मेथ मिला?	కాకతాళీయంగా, వాళలకి నా కొడుకు బయాగులో డరగస దొరికాయంటావా?
अपने ही पूरवागरहों पर आधारित धारणाएँ.	మూస ధోరణుల ఆధారంగా ఊహించేసుకుంటారు.
मैं जो भी कहता हूँ, तुम उसकी आलोचना करने लग जाती हो.	నేను ఏం చెపపినా, నువవు దానని భూతదదంలో పెటటి చూసతుననావు.
मानो वे हमारे अतीत के वीडियोटेप हों.	మన గతం తాలూకు వీడియోల లాగా అననమాట.
तुमहें लगता है वह तुमहारी मदद करेगा?	అతను నీకు అండగా ఉంటాడనుకుంటుననావా?
दिमाग का वह हिससा जहाँ हम यादें संगरहीत और पुनः परापत करते हैं. . .	మెదడులో జఞాపకాలననీ అకకడే ఉంటాయి, అకకడి నుండే మనం గురతు తెచచుకుంటాం. . .
नहीं, नहीं, नहीं, नहीं. वह कहता रहता है कि यह आदमी जो	లేదు, లేదు. ఇంకా వెట కరాస జెలలో శికషను అనుభవిసతునన
माफ करना. मुझे पता है कि तुमहारी रात काफी कठिन बीती.	సారీ. ఈరోజు నీకు అససలు బాగా జరగలేదని నాకు తెలుసు.
वे डीलर हैं. दरअसल, थोक विकरेता हैं. भारी मातरा में हेरोइन बेचते हैं.	వారు డరగస అమముతారు. హోల సేల గా భారీ మొతతాలలో హెరాయిన ని అమముతారు.
- और तुमहें पता है कयों. कयोंकि. . . - माँ, डैड गिरफतार नहीं हुए हैं.	- ఎందుకో తెలుసా. ఎందుకంటే. . . - అమమా, నాననని ఎవరూ అరెసట చేయలేదు.
न ही कालीन की दुकान से हेरोइन खरीदना तरकसंगत है.	తివాచీల దుకాణం నుండి డరగస కొనడం కూడా మంచి పని కాదు.
कृपया ऐसे पेश मत आओ मानो मैं दिमागी संतुलन खो रही हूँ. ऐसा नहीं है.	నాకు పిచచి ఎకకుతోందననటటు పరవరతించకు. నాకు పిచచి ఏమీ ఎకకడం లేదు.
एरॉल के बारे में कुछ है जो आपको जानने का हक है.	ఎరరొల గురించి మీకు ఒక విషయం తెలియాలసిన అవసరం ఉంది.
वह समाज सेविका वगैरह कुछ भी बनती. पर अब हमारे पास कया बढत है?	ఏ సామాజిక కారయకరతనో, ఏదో అయయుండేది. కానీ ఇపపుడు మన పరిసథితి చూడు!
यह करने के लिए धनयवाद, मोरोवा.	ఆ పని చేసినందుకు థయాంకస, మారోవా.
कयोंकि ऐसा लगता है कि हर बार जब तुमहें फैसला लेना पडता है,	నాకేం అనిపిసతోందంటే, నువవు ఏదెనా ఎంపిక చేసుకోవాలసి వచచినపపుడు,
मेरे पास एक विकलांग वयकति को परेशान करने के लिए उसे गिरफतार करने की शकति थी.	ఒక వికలాంగుడిని ఇబబంది పెడుతుననందుకు తనని అరెసట చేసే అధికారం నాకు ఉంది.
नहीं, यह दिलचसप सुनाई पडता है.	లేదు, అది ఆసకతికరంగానే ఉంది.
यह लडका भी. यह बेहद अजीब है.	ఈ పిలలాడు భలే వింత మనిషి అబబా.
पर बेशक '80 के दशक की शुरुआत में. . . मैडनेस बेहद परसिदध था.	ఎనభెల దశకం పరారంభంలో "మయాడ నెస"కి కూడా. . . ఒకటి ఉండేది.
उनकी आँखों में आँखें डालकर भाड में जाने को कहना चाहिए.	నేరుగా వారి కళలలోకి చూసి, "మూసుకొని దొబబేయ, " అని చెపపాలట.
मैं उसे गिरफतार कर रही हूँ.	నేను ఇతడిని అరెసట చేసతుననాను.
टोनी गिलफॉएल.	టోనీ గిలఫోయిల.
- हाँ, यह नहीं होगा. - अरे, सच में? तुम मुझे रोकोगे?	- హా, అరెసట అనేది జరగదు. - అవునా? మీరు ననను అడడుకుంటారా?
शायद, हमने तुमहारी दादी के टरी हाउस में चूमा भी था.	మీ బామమ ఇంటి పెరటలో ఉనన ఊయలలో పాట పాడామని కూడా నమమిసతా.
कया? वह एक कालीन की दुकान में जाता है?	ఏంటి? అతను తివాచీల దుకాణానికి వెళతుననాడా?
मुझे विशवास नहीं हो रहा है.	అది అసాధయంలా అనిపిసతోంది.
हमें करटिस को लेने जाना होगा. वे उसे बार-बार गिरफतार करते रहते हैं.	మనం కరటిస ని విడిపించాలి. వాళలు అతడిని ఊరికే అరెసట చేసతుననారు.
आने के लिए धनयवाद. आने के लिए धनयवाद. जेकी को इससे बेहद खुशी मिली.	వచచినందుకు చాలా చాలా థయాంకస. ఇది జేకీకి చాలా అంటే చాలా ముఖయం.
तो, तुम कभी मेरे लैब में कयों नहीं आती?	ఎపపుడెనా కుదిరినపపుడు నా లయాబ కి రా.
सटार ऑफ द वीक	ఈ వారపు సటార
टोनी ने हमारा साथ दिया था.	టోనీకి మన మదదతు ఉంటుంది.
तुम समझना नहीं चाहती हो.	నీకు అరథంచేసుకోవాలని లేదా?
- ए, मुझे एक कैंडी दो. - मुझे भी एक दो.	- హేయ, నాకొక చాకలెట ఇవవు. - నాకకూడా.
आह, जेकब? हमारा नंबर सात कहाँ है? जेकब?	జేకబ? మన ఏడవ నంబర ఆటగాడు ఎకకడ? జేకబ?
किसी और को फोन कर सकते हो?	ఇంకెవరికెనా కాల చేయగలవా?
चलिए. यह पहन लीजिए. उनहें गुजरे काफी समय हो गया है.	కానివవు. ఇది వేసుకో. ఆయన చనిపోయి చాలా కాలమెంది.
तुम समझ नहीं रहे? वह मेरे शिकंजे में आ चुकी थी.	నీకు అరథం కాలేదా? తన అడడు తవరలోనే తొలగిపోయి ఉండేది.
शायद हमारी निजी जिंदगी में मेरे काम का बुरा असर पड रहा है.	నా ఆఫీసుకు సంబంధించినది ఇలా నా వయకతిగత జీవితంలోకి పరవేశించింది.
जैसे तुमहारे मुँह से. . .	నీ నోటి నుండి కంపు. . .
तो, "कया यह संभव है कि किसी ने एरॉल के दिमाग में झूठी याद डाली हो? "	అయితే, ఎరరొల బురరలో ఎవరెనా తపపుడు జఞాపకానని చొపపించారా అనేదే నీ సందేహమెతే,
विजिटिंग हॉल	సందరశన హాలు
कौन डालेगा?	ఎవరెనా అంటే?
नहीं. ऐसा नहीं हुआ था.	లేదు. జరిగింది అది కాదు.
- वह टोनी को परेशान कर रही थी. - बिलकुल सही.	- తను టోనీని పీడిసతోంది. - అదే కదా నేనూ చెపపేది.
- कया मामला है? - इसे हारपस लेन से पकडा है.	- ఏంటి సంగతి? - హారపస లేన లో పటటుకుననాం ఇతడిని.
जेकब, तुम समझ रहे हो कि मैं तुमहें हिरासत में रखने की मंजूरी देने वाली हूँ?	జేకబ, నినను కసటడీలో ఉంచడానికి కావలసిన అనుమతులు నేను ఇవవబోతుననా, అది నీకు అరథమెందా?
हाँ. अचछी कोशिश थी. मैंने काउंटरइंटेलिजेंस में अपने साथी के दवारा पते की जाँच करवाई.	హా. బాగానే పరయతనించారు. కౌంటర ఇంటలిజెనస లోని ఒక నేసతానికి చెపపి ఆ చిరునామా ఎవరిదో చూడమననాను.
पर उनहें ऑइल पेंटिंग के रूप में सोचना जयादा सटीक है.	కానీ వాటిని పెయింటింగస తో పోలచితే ఇంకా అరథవంతంగా ఉంటుంది.
पर इसे हमारे बीच ही राज रखना होगा.	కానీ అది మన మధయ రహసయంగా ఉండాలి.
- ठीक है? - मैंने. . .	- సరేనా? - నేను. . .
उसका आकार एक छोटी फली जैसा है.	అది చినని లెగయూమ ఆకారంలో ఉంటుంది.
जेकब टेयलर.	జేకబ టేలర.
धत तेरी की.	నీ యెంకమమ.
खास आइकिया से, ताकि जब तुम नंगे घूमो, तो कोई देख न सके, एह?	ఐకియా సపెషల ఇది, ఇక నువవు నగనంగా ఉననా ఎవరూ కనిపెటటలేరు, సూపర కదా?
तुमहें थोडा और कंग पाओ चाहिए?	నీకు చికెన లెగ పీస ఏమెనా కావాలా?
मैं तुमसे विनमरता से कह रहा हूँ.	నేను నినను మంచిగా అడుగుతుననా.
वह उन अतिरिकत पैसों का कया करता है? आखिरकार, हमें कुछ सबूत मिला है.	అలా వచచిన డబబుతో ఏం చేసతుననాడు? వీటికి సమాధానం మనకి ఇపపటికి తెలిసింది కదా.
- धनयवाद. - धनयवाद.	- థయాంకయూ. - థయాంకయూ.
कबाश गलीचे और कालीन	కబాష రగగులు, తివాచీలు
मैं उसके साथियों में से एक के पीछे पडी. तो हैगरटी मेरे बेटे के पीछे पड गया.	అతని మితరుడు ఇంటికి నేను వెళలా కదా, అందుకని ఆ హెగరటీ నా కొడుకును లకషయం చేసుకుననాడు.
तुमहें पकका यकीन है? अगर मैंने तुमहें एक फोटो दिखाई तो?	అలా అని నీకు ఖచచితంగా తెలుసా? ఒకవేళ నీకు ఉననటటు ఫోటో చూపిసతే?
नहीं. बिलकुल नहीं.	హా, ఖచచితంగా తెలుసు.
हाँ, तो या तो वह गिरफतार होती या हम.	అవును, కాబటటి తాడో పేడో తేలచుకోవాలి కదా.
परिवीकषा पर रखे गए मेट पुलिस अधिकारियों की संखया बढी	పరొబేషన లో ఉంచబడుతునన మెటరోపాలిటన పోలీసుల సంఖయ పెరుగుతోంది
ठीक है. तुम दोनों जा सकते हो.	సరే. మీ ఇదదరూ వెళలిపోవచచు.
तुम किशोरावसथा में ही शामिल हो गए थे, है न? हाँ?	నువవు టీనేజీలో ఉండగా అందులో చేరావు కదా? హా?
तो, मैं बस चाहती हूँ कि अगर वे तुमहें कभी परेशान करें, तो तुमहें अपना बचाव करने का तरीका पता हो.	కాబటటి, వాళలెవరెనా నినను ఇబబంది పెడితే, నినను నువవు ఎలా కాపాడుకోవాలో చెపదామనుకుంటుననా.
कम से कम, मैंने उसे कभी नहीं देखा.	ఆ వరగంలో ఇతడినెతే ఎపపుడూ నేను చూడలేదు.
पर जेकब के लिए रुकना बेहतर है. . .	కానీ జేకబ కి పరసతుతం ఏది మంచిదంటే. . .
यह बढिया चलती है.	కారు చాలా బాగుందోయ.
- तुमहारे साथ बात करना मुशकिल है. - कि यह पारिवारिक शाप की तरह है.	- నీతో నాకు చిరాకు వసతోంది. - ఇది మా కుటుంబ శాపం అంటుననావా?
- मुझे लगा था कि तुम एक डिटेकटिव हो. - चुप रहो.	- నువవు డిటెకటివ అనుకుననానే. - పంచులు ఆపు.
- यह कया है? - बस मुझे बताओ.	- ఏం చేసతుననావు? - చెపపు.
और हैगरटी वहाँ नियमित रूप से जाता है.	హెగరటీ అకకడికి తరచుగా వెళతుంటాడు.
मैं हमेशा तुमहारे पकष में रहूँगा. चाहे दिखने में न लगे.	నాది ఎపపుడూ నీ పకషమే. పెకి అలా కనిపించనేమో, అంతే.
पर इसका कोई मतलब नहीं बन रहा. जेक के लिए इससे जयादा जरूरी और कुछ नहीं है.	కానీ చాలా విచితరంగా ఉంది. జేక కి ఈ ఆట కననా ముఖయమెంది ఇంకేమీ లేదు.
कौन कहता है कि रिओहा और नयूरोसाइकैटरी में तालमेल नहीं बैठता है?	వెదయ విషయాలను చరచించేటపపుడు తాగకూడదు అంటారు, ఎందుకో మరి?
फलैट में घुसने के पल से लेकर असपताल में जागने तक	ఫలాట కి వెళలినపపటి నుండి ఆసపతరిలో చేరేదాకా ఏం జరిగిందో
- माँ. - ठीक है.	- అమమా. - సరే మరి.
निकलो. बाहर निकलो.	దిగు. కారు దిగు.
मैंने काम से घर लौटते समय उसे संकषेप में बता दिया था.	ఆఫీసు నుండి ఇంటికి వచచేటపపుడు తనకి విషయం చెపపా.
मैंने तुमसे कहा था कि वह यही सोचकर सो नहीं पा रही है.	ఇదే తనకి నిదర లేకుండా చేసతోందని నీకు చెపపా కదా.
तो, अचछी खबर यह है कि उस पर कोई आरोप नहीं लगेंगे. . .	మంచి విషయం ఏంటంటే, అతనిపె ఏ ఆరోపణా చేయలేదు. . .
- वह फिर से, हाँ? - हाँ, वह फिर से.	- మళలీ అతనేనా? - హా, మళలీ అతనే.
मैं आपकी मदद की सच में सराहना करती हूँ, पर यह थोडा पेचीदा है.	మీరు కాసత సాయపడగలరా? కానీ అది మిమమలని ఇబబంది పెటటవచచు.
उससे घटिया बू आ रही थी.	మనోడి దగగర కంపు కొడుతోంది.
विनमर रहो और उनसे कहो कि तुमहारी माँ पुलिस ऑफिसर है.	వారితో గౌరవ మరయాదలతో, మా అమమ పోలీసు అని చెపపు.
मैं तुमहें चीजें नहीं बताता हूँ कयोंकि तुम नहीं जानना चाहोगे.	నేను నీకు కొనని ఎందుకు చెపపనంటే, అవి నీకు తెలుసుకోవాలని ఉండదు కాబటటి.
तो, कया समसया है?	మరి, సమసయ ఏంటి?
कया तुम उसके पुराने दोसतों के बारे में भी यही कहते? जैसे, रोहन के बारे में?	వాడిని అరెసట చేసినపపుడు వాడి పాత మితరులే ఉండుంటే నువవు అలా అనేవాడివా? ఉదాహరణకు, రోహన.
तुम अतीत में जाती हो. उन पर परत-दर-परत पेंट करती हो.	మనం ఆ జఞాపకాలను తలుచుకుంటూ, పొర మీద పొర పెయింట వేసతూ ఉంటాం.
बस मुझे बता दीजिए, और फिर मैं भूल जाऊँगी कि मैंने कया सुना.	అది చెపపండి చాలు, నేను మీ గురించి విననదంతా మరచిపోతా.
धनयवाद. वह पुरुष है न?	థయాంకయూ. అతను మగవాడే కదా?
आपके नाम का जिकर किया है.	మీ పేరును వెలలడించారు.
नहीं, जब वह शामिल हुआ था, तब वह पुलिस में नहीं था.	లేదు, ఆ వరగంలో చేరినపపుడు, అతను పోలీసు కాదు.
उस मामले की जाँच नयायपूरवक और निषपकषता से की गई थी. हमें अपराधी मिल गया था.	ఆ కేసును నిషపకషపాతంగా, నయాయబదధంగా విచారణ చేశాం. దోషిని పటటుకుననాం.
सोच. सोच? वाह. तुमहारा कया मतलब है? तुमहारा मतलब, मेरी सोच की तरह?	ఆలోచనా విధానమా? వావ. నీ ఉదదేశం ఏంటి? నా ఆలోచనా విధానం అనా?
अरथ, विंड एंड फायर, '80 के दशक में परसिदध थे. शायद '80 के दशक की शुरुआत में भी.	"ఎరత, విండ & ఫెర", 70ల దశకంలో ఒక ఊపు ఊపారు. ఎనభెల దశకం పరారంభంలో కూడా అది కొనసాగి ఉండవచచు.
ठीक है.	సరే మరి.
हाँ. जेकब टेयलर.	హా. జేకబ టేలర.
- कया अपराध है? - बेचने के इरादे से डरगस रखे थे.	- నేరం ఏంటి? - సరఫరా చేయాలనే ఉదదేశంతో డరగస ఉంచుకుననాడు.
- हाथ बगल में रखो. - चलो भी. आदेश मानो.	- చేతులు పకకకి పెటటండి. - పెటటండి.
देखो, हम दोनों तनाव में हैं, समझी?	చూడు, మనిదదరమూ నలిగిపోతుననాం, అరథమెందా?
समझ गई तुम कया कहने की कोशिश कर रहे हो. दरअसल, यह सुनकर बेहद खुशी हुई.	నువవేం చెపపాలనుకుంటుననావో అరథమెంది. నేను ఉబబితబబిబెపోతుననాలే.
और टोनी का कया? वह तुमहारी '62 के दशक की चीज से सही मेल खाता है, है न?	మరి టోనీ సంగతేంటి? మీ సికసటీ టూ గరూప కి సరిగగా సరిపోతాడు కదా?
और बाकी लोग भी यह करते हैं.	ఇతరులు కూడా అలా పెయింట చేయవచచు.
और नंबर लिखो जिनहें तुम फोन करना चाहोगे.	వారి పేరలు, ఫోన నంబరలు రాయి, ముగగురివే రాయాలి.
कया? मैं पैदल नहीं चल सकता. देखो कितनी ठंड है.	ఏంటి? నేను నడవలేను. ఎంత చలలగా ఉందో చూడు.
कया हुआ? मैं फुटबॉल की भाषा बोल सकती हूँ. है न, जेकी?	ఏంటి? నాకు ఫుట బాల గురించి కాసతో కూసతో తెలుసు. ఏమంటావు, జేకీ?
- कया? - कृपया, आप मुझे आकर निकालेंगी?	- ఏంటి? - వచచి ననను తీసుకెళలగలవా?
- कलाइव. - हाँ?	- కలెవ. - హా?
देखा, तुम लोग हमेशा यही करते हो, तुम और टोनी.	చూడు, నువవూ, టోనీ ఎపపుడూ ఇలాగే చేసతారు.
और यह सब एक उपयुकत वयसक की गैर-मौजूदगी में किया गया?	అది కూడా పెదదవారి సమకషంలో లేకుండానే జరిగింది.
- हाँ, हैलो. - हैलो, दोसत. सुनो.	- హా, హలో. - హాయ, గురూ. చెపపేది విను.
तो, हिपपोकैमपस. . .	అంటే, హిపపోకయాంపస. . .
- हैलो. - तुम कहाँ थी?	- హాయ. - ఏమెపోయావు?
मेरा कोट दोगी? धनयवाद.	కోటు ఇవవవా? థయాంకస.
नियम के अनुसार, उसने अपने सारे निकटतम रिशतेदारों को फोन करने की कोशिश की.	నియమాల పరకారం, అతని సమీప బంధువులకు అతను కాల చేసే పరయతనం చేశాడు.
कि उसने सब कुछ विसतार में कबूल किया?	అనని వివరాలు చెపతూ ఒపపుకుననాడు?
मेरा फोन कहाँ है? कहाँ है? हे भगवान.	నా ఫోన ఎకకడ ఉంది? ఎకకడ? దేవుడా.
चिगवेल. वे दो पुलिसवाले वहाँ किम कारडवेल की पुरानी टीम में थे.	చిగవెల. ఆ ఇదదరు పోలీసులూ అకకడి సటేషనులో కిమ కారడ వెల తో పాటు పని చేశారు.
- नहीं. - हाँ, हमेशा से रहा है.	- కాదు. - అవును, మొదటనుంచీ అతను అదే.
उसका डीएनए लिया गया, उसे हिरासत में रखा गया	అతని డీఎనఏ తీసుకుననారు, జెలలో ఉంచారు,
