अचछा, लिलीबग.	సరే, లిలలీబగ.
कसम से, यार, अगर कोई गंदी फिलम हुई तो,	నిజంగా, నేసతమా, ఆ సకరీన మీద పోరన వేసతే
हेदर?	హేథర?
जलदी में बुलावा आया था.	అతయవసరంగా రమమని పిలుపు.
पर तुम तो खेल नहीं रही.	కానీ నువవు ఆడడం లేదుగా.
अरे, मुझे समोसे लाने चाहिए थे.	అబబా, పాపకారన తెచచుకోవాలసింది.
यह कया देख रही हूँ?	నేను ఏం చూసతుననాను?
-मुझ पर भरोसा नहीं करती. -बस करो!	-అపపుడు తను ననను నమమదు. -ఆపేయండి.
-हेदर? -नैटली, साँस लो, ठीक है?	-హేథర? -నాటలీ, శాంతించు, సరేనా?
-वह कहाँ जा रही है? -उसे अकेला छोडो.	-ఎకకడికి వెళుతుంది? -ఒంటరిగా వదిలేయ.
सारजणट लैंगली?	సారజంట లాంగలీ?
मेलनी?	మెలని?
हाँ.	సరే.
आप ठीक तो हैं?	బాగానే ఉననారా?
अचछा, शांति रखो.	సరే, శాంతించండి.
"डर नहीं कि तुमहारी माँ को पता चल जाएगा कि उनकी अचछी बेटी झूठी है? "	"తన కూతురు అబదధం చెబుతుందని, మీ అమమకు తెలుసతుందని మీకు భయమేయలేదా? "
यही तो कह रही हूँ. वह जिंदगी बरबाद की जिसने कभी जनम ही नहीं लिया.	అదే చెపపాలని అనుకుంటుననాను. ఎననడూ జీవించని జీవితానని నాశనం చేశాడు.
उसकी माँ ने चिटठियों के बारे में बताया, पर पकका पता नहीं चला.	వాళళ అమమ బెదిరింపు ఉతతరాలు పరసతావించింది, కానీ చూడలేకపోయాను.
"झूठे परतिनिधितव के चलते और चुनौतियों को पूरा न करने के लिए.	"అవసరమెన సవాళళను పూరతిచేయడంలో తపపుడు పరాతినిధయం మరియు వెఫలయం.
वह पिता को बता देती कि मैं बेटियों को नहीं संभाल सकती.	నేను నా కూతుళళను చూసుకోలేనని ఆమె వాళళ నాననకు చెబుతుంది.
हंट, लीला, अचछी बात है कि तुम हमसे बात करने के लिए आए.	హంట, లీలా, మీరు మాతో మాటలాడటానికి వచచినందుకు అభినందనలు.
तुम 50, 000 की बाजी के लिए जिंदगी से खिलवाड कर रही हो.	50, 000 డాలరల పందెం కోసం నీ జీవితం మారచేసుకుంటుననావు.
लूक के बारे में सच बता दो, शायद कोरटेज तुमहें छोड दे.	లూక నిరూపించబడకపోతే, అపపుడు బహుశా కోరటెజ నీ దాకా రాడు.
जजों का फैसला है कि तुम वयकतिगत चुनौती में हिससा लोगी.	నువవు నీ వయకతిగత సవాలును కొనసాగించవచచని తీరమానించారు.
जितने घंटे अंदर रहोगे, हर घंटे के 10 अंक मिलेंगे. . .	నీకు అందులో ఉనన పరతి గంటకు 10 పాయింటలు, అందుకని. . .
या फिर कॉलेज जाकर तुमहें किसी और से पयार हो सकता है.	లేదా నువవు కాలేజీకి వెళళి ఇంకెవరినెనా పరేమిసతావేమో.
कोई और उसे नहीं रोक सकता, पर किसी को जरूरत भी नहीं.	ఎవరూ తనను ఆపలేరు, మరెవరికీ తనను అపాలసిన అవసరమూ లేదు.
हेदर ने कहा कि लोग पैनिक पर शरतें लगा रहे हैं.	జనం పానికపెన పందాలు వేసతుననారని, హేథర అనింది.
कि भटके हुए जानवरों को बचाने का नाटक करती है.	సంరకషకురాలిగా, ఆ వీధిలోని వాళళను తీసుకొసతుంది.
उसे जिंदगी भर वहीलचेयर के सहारे रहना होगा, रे.	ఆమె తన జీవితాంతం ఆ చకరాల కురచీలో ఉంటుంది, రే.
अब तुम उसे बचाने की कोशिश कर रही हो. सच में?	నువవు ఇపపుడు అతనని సమరథిసతుననావా. నిజంగానా?
पर शायद हॉल परिवार को यही करना आता है, हाँ?	కానీ హాల కుటుంబం అలాంటిదే అనుకుంటా, ఏమంటావు?
तुमहारी मनपसंद फिलम में मुझे बात करनी है?	మనం నీకు ఇషటమెన సినిమా గురించి మాటలాడతామా?
पिछले साल के बारे में झूठ नहीं कहना था.	గత ఏడాది గురించి అబదధమాడకుండా ఉండాలసింది
"जान जाएँगे कि तुमने बचचे को मार डाला. "	"నువవు పాపాయిని చంపేశావని తెలుసతుంది. "
-लूक की तरह. -तुम उसे नहीं जानते, बिशप.	-లూక లాగానే. -నీకు అతను తెలియదు, బిషప.
कोई आएगा तो मेरा अकेलापन दूर हो जाएगा.	దేవుడికే తెలుసు నాకు తోడు ఎంతగా కావాలో.
जैसे उसे ठीक किया जा सकता है या बदला जा सकता है, सब पहले जैसा हो सकता है.	ఏదో సరి చేయవచచు లేదా మామూలుగా అయిపోతుంది, అసలు ఏమీ జరగనటటుగా మారచేయవచచనటటు.
"नियमों का पालन करो, कोई मुशकिल नहीं.	"నిబంధనలు అనుసరిసతే మీకు హాని జరగదు.
-मजाक कर रहे हो. यह बकवास है. -बकवास?	-పరాచికాలా. ఇది చెతత పని. -చెతత పనా?
-उससे झूठ कहा? -उसने मुझसे झूठ कहा.	-అబదధం చెపపావా? -తను అబదధం చెపపింది.
शरतें लगवा रहा है, तुम भी शामिल हो.	లూక పందేలు కాసతుననాడు, నువవు కూడా.
तुम आँखों पर पटटी लगाकर चलते जाओगे,	నువవు కళళకు గంతలు కటటుకుని నడుసతూ,
तो तुम इतनी अचछी कैसे निकली, हाँ?	అయితే నువవు ఎలా మంచిదానివి అయయావు?
भगवान कसम, मैं तुमहें मार डालूँगा!	నినను చంపేసతాను, దేవుడి మీద ఒటటు!
शॉना ने खेल छोड दिया, वह बाहर है.	షాన మానేసింది, అందుకని ఆటలో ఉండదు.
या सथानीय हेलपलाइन से संपरक करें.	లేదా సథానిక హెలపలెనను సంపరదించండి.
अगर तुम सही हो, और लूक लोगों को पैनिक पर शरत लगाने को कह रहा है,	సరే, ఆ విషయంలో నువవు కరెకటే అయితే, లూక పానికపెన పందాలు కాసతుననాడు,
इसलिए नहीं चाहता था कि तुम खेलो.	అందుకే నేను నినను ఆడవదదని అనింది.
तीन दिन से फोन का जवाब नहीं दिया.	ఫోన ఎతతకుండా మూడు రోజులు అయింది.
मुझे एकाउंटेंट बनना ही नहीं था.	నాకు అసలు అకౌంటెంట కావాలనే లేదు.
-डॉज की बहन? -मुझे एक बात बताओ,	-డాడజ చెలలికా? -నాకు ఒకటి చెపపు,
माफ करना, हमारे लिए छुपाना पडा.	మిమమలని సంరకషకురాలిగా చెపపాను.
पर हालात बदल जाते हैं, ठीक है?	కానీ పరిసథితులు మారతాయి, సరేనా?
कभी ऐसी चीज को हाथ नहीं लगाती.	ఈ చెతత ఏనాటికీ ముటటుకోను, టెలర.
-नैटली, कया बात है? -कुछ नहीं.	-నాటలీ, ఏం జరిగింది? -ఏమీ లేదు.
ढेरों की कमाई करता है, और तुमहें नहीं लगता कि कोई संबंध है?	ఈ ఏడాది రే గెలవబోతుననాడు, ఇంకా అతనికి సంబంధం లేదనుకుంటుననావా?
और तुमने अपना मन बदल लिया. . .	నువవు నీ మనసు మారచుకుంటే. . .
वह तुमहें कुछ सलाह दे पाएँगे.	ఆయన నీకు కొనని సూచనలు ఇవవగలరు.
मुझे लूक की कशती पर यह मिला.	నాకు ఇది లూక పడవలో దొరికింది.
उसने कॉलेज में अरजी नहीं दी.	తను కాలేజీకి దరఖాసతే చేయలేదు.
कयोंकि तुमहें पता था, है न?	ఎందుకంటే నీకిది తెలుసు, కదా?
तुम घोडे पर कैसे बैठ पाओगी?	నువవు గురరం మీద ఎలా ఉండగలవు?
हम जबसे यहाँ आए हैं, जो हुआ, हर बात उसी को लेकर होती है.	మనం ఇకకడికి వచచినపపటి నుండి, అంతా జరిగిన దాని గురించే.
इनमें आधी शायद एसपिरिन हों.	ఇందులో సగం ఆసపరిన అయిండవచచు.
अगर डॉज ने नैटली की मदद की, तो फिर वह कयों खेल रहा है?	డాడజ నాటలీకి సహాయం చేసి ఉంటే, అతను ఎందుకింకా ఆడుతుననాడు?
यह कह रहा हूँ कि अगर डर है कि मुशकिल में फँस जाओगी. . .	ఏం చెబుతుననానంటే, ఏమెనా అవుతుందని అంత భయపడుతుంటే. . .
जो हुआ, उसके लिए नयाय पाना	జరిగిన దానికి నయాయం పొందడం,
अभी से कमी महसूस हो रही है.	ఆ, ఇపపటికే మిస అవుతుననాను.
डेना! मुझसे बातें करती रहो!	డేనా! నాతో మాటలాడుతూ ఉండు!
पर सटटेबाज अपराधी होता है.	కానీ ఇనఛారజగా ఉండడం నేరం.
लिली को उनसे कहीं अचछे से संभाल सकती हूँ, इसलिए. . .	నేను లిలలీని ఆమెకంటే బాగా చూసుకోగలను, అందుకని. . .
हम गाडी लेकर कलीनिक तक गए,	మేము కలినిక వరకూ వెళళాము,
होम अवे मोटर आवास एवं सराय	హోం అవే మోటార లాడజ అండ ఇన
डेना, मेरी आवाज आ रही है?	డేనా, నా మాట వినిపిసతుందా?
"जजों के आदेश अनुसार, नैटली को अयोगय बताया जाता है,	"నయాయనిరణేతల ఆదేశాలమేరకు, నాటలీ విలియమస అనరహురాలు
-देखो तो सही. -तुम बताओ.	-నినను చూడు. -నినను చూడు.
पर खेल के बारे में उतना नहीं पता था या कैसे मुकदमा तैयार किया जाए, इसलिए	కానీ అతనికి ఆ ఆట ఇంకా అది ఆడే తీరు గురించి కేసు పెటటేందుకు సరిపడ తెలియలేదు.
उस तरह से हम उसे पकडेंगे.	అతనని అలానే పటటుకుంటాము.
डेना के लिए खेल रहा हूँ.	నేను డేనాకోసం ఆడుతుననాను.
-उनहोंने मुझे नीचे बंद कर दिया. -घबराओ मत, ठीक है?	-వాళళు ననను ఇకకడ కింద పెటటారు. -శాంతించు, సరేనా.
तुमने वीडियो में माना कि मुझे तहखाने में बंद किया.	ననను భూగరభంలో తాళం వేశానని వీడియోలో ఒపపుకుననావు.
इसलिए पिछली चुनौती में, मैंने पीले रंग वाली चुनी.	చివరి సవాలులో అందుకే పసుపుపచచది కటటించుకుననాను.
-जंप के बाद मैं खतरा नहीं ले सकती थी. -हम समझ गए!	-దూకాక, నేనా రిసక తీసుకోలేను. -ఆపండి, అరథమెంది!
आतमा को शांति मिले जिमी	జిమమీ అతమకు శాంతి కలగాలి
अपने भाई से कहना कि मैं उससे मिलना चाहता हूँ.	కలుసుకోవాలని అనుకుంటుననానని మీ సోదరుడికి చెపపు.
मेरे लिए तैयार हुए हो?	నువవు నాకోసం తయారయయావా?
बस? माफी नहीं माँगोगी?	అంతేనా? కషమాపణలు కోరవా?
बोली कि तुमहें और लिली को कुछ देर रहने को कहा.	కొంత కాలం నినను, లిలలీని ఉండమననటటు చెపపింది.
उसे पैसों की जरूरत थी?	అతనికి డబబు అవసరం ఉందా?
तुम यहाँ कया कर रही हो?	నువవికకడేం చేసతుననావు?
पयार में दो किशोर थे,	పరేమలో ఇదదరు టీనేజరలు,
वह डॉज की बहन डेना थी.	అది డాడజ సోదరి, డేనా.
मुझे सही साबित कर दो.	నేను నిజమని నిరూపించు.
जिमी ने बंदूक बदली थी.	జిమమీ తుపాకీ మారచాడు.
एक बात कहूँ? शायद अब तुम मुझे नहीं जानते.	ఒకటి చెపపనా? నీకు ఈమధయ నేను తెలియడం లేదేమో.
यह कोई चुनौती नहीं हो सकती. यह असलियत है.	ఇది నిజమెన సవాలు కాదు. ఇది చాలా వాసతవమెనది.
आरडर फारम और 26 डॉलर.	మంగళవారానికి ఇవవాలి.
"कल सभी जान जाएँगे कि तुम एक रखैल हो. अगर तुमने न छोडा तो वे	"రేపు, అందరికీ నువవు వయభిచారివని తెలుసతుంది. నువవు వదిలేయకపోతే,
नैट से नहीं पूछ पाई.	నేను నాటను అడగలేను.
मेरे और लिली के बारे में शेरिफ को बताया?	షెరీఫకు లిలలీ ఇంకా నా గురించి చెపపావా?
मुझे बताया कयों नहीं कि मुशकिल में हो?	నువవు సమసయలో ఉననావని నాకెందుకు చెపపలేదు?
रिचरडस काउंटी शेरिफ	రిచరడ కౌంటీ పోలీసులు
तुमहें किसने बताया?	అది నీకెవరు చెపపారు?
हम अभी चल सकते हैं?	మనం ఇపపుడు వెళళవచచా?
तुम मुझे अंदर घुसाओगे, दरवाजा बंद करोगे,	ననను లోపలికి పంపిసతావు, తలుపు మూసతావు,
अचछा, रुक जाओ. रुको.	సరే, కాసత ఆగు. ఆగు.
किसी भी हाल में, मैं चाहे जो भी कहूँ,	ఎటటి పరిసథితులలోనూ, నేను ఏం చెపపినాసరే,
अपने माता-पिता, या दोसत, या किसी विशवसनीय बडे से बात करें,	దయచేసి మీ తలలిదండరులను, సనేహితులను, నమమదగిన పెదదవారిని,
पकका कर रहा हूँ तुम मुसीबत से दूर रहो.	నువవు ఏ సమసయలో లేవని తెలుసుకోడానికే.
शेरिफ रिचरडस काउंटी	షెరీఫ రిచరడస కౌంటీ
मंगलवार तक शिविर वारषिक पुसतक के लिए	కయాంప ఇయర బుక ఆరడర ఫారం ఇంకా 26 డాలరలు
यहाँ काम करके. . .	ఇకకడ పని చేసతూ. . .
मैं बुरी इंसान हूँ?	నేను చెడడ వయకతినా?
तुम कया कह रहे हो?	నువవు ఏం అంటుననావు?
मैं खेल के लिए अपना माल जाया करूँगा?	ఈ చెతత కోసం మతతు మందు పెడతాననుకుననావా?
ए, यह मजाक नहीं है!	హే, ఇది సరదా కాదు!
यह तो अजीब बात है.	అది విచితరంగా ఉంది.
हम में से कोई जीता तो पैसे बाँट लेंगे.	మాలో ఎవరు గెలిచినా డబబు పంచుకోవాలని.
और किसी ने जजों से तुमहारी चुगली की.	ఎవరో నీ గురించి నయాయనిరణేతలకు చెపపారు.
जानती नहीं कि मुझे कया झेलना पडता है.	నేను ఏం చెలలిసతుననానో నీకు తెలియదు.
हेदर, तुमने अपनी माँ की गाडी चुराई?	హేథర, నువవు మీ అమమ కారు దొంగిలించావా?
-डेना! -टेबल पर तुमहारी चिटठियाँ हैं.	-డేనా! -టెబుల మీద నీ ఉతతరం పెటటాను.
वह आखिर में थी, लूक हॉल के करीब थी.	చివరి సథానంలో ఉంది, లూక హాలకు దగగరగా.
यह बकवास है. ठीक है? कही-सुनी बात है.	అది చెతత. సరేనా? అది ఎవరో చెపపినది.
कुछ तो हर चुनौती के लिए 10-20, 000 डॉलर लगा रहे हैं.	ఒకకో సవాలుకు కొంతమంది 10 నుండి 20 వేల దాకా పెడుతుననారు.
अगर शेरिफ से बात न की होती तो यहाँ का पता नहीं चलता.	నేను షెరీఫను కలిసుండకపోతే, ఈ చోటును ఎపపటికీ కనుగొనలేను.
उसने मुझे लिफट दी.	అతను తీసుకొచచాడు.
तो फिर कया बात है?	మరి దేని గురించి?
तीन, दो, एक, जाओ.	మూడు, రెండు, ఒకటి.
दोसतो, खिलाडियों, पिछले परतियोगियों,	మితరులు, ఆడేవారు, మాజీ పోటీదారులు,
-लोग शरतें लगाते हैं. -हाँ. कितने गारंटी देते हैं?	-జనం పందేలు కాసతారు. -కాసతారు. హామీగా ఎంతమంది ఉంటారు?
कम से कम, वह जिनको भरती करता है, वे उसे टिप देते हैं.	కనీసం, అతను గదులలోకి తీసుకువెళితే జనం టిపస ఇసతారు.
मेरे पति ने बताया कि रूलेट में किसी ने बंदूक बदली थी,	నా భరత ఎవరో గత ఏడాది రోలెటలో తుపాకులు మారచారననారు,
रचनातमक परयवेकषक रवीनदर शंकर शुकल	కరియేటివ సూపరవెజర: రాజేశవరరావు వలవల
नहीं, तुम दोनों इतनी करीब हो, इनहें रुकने को कहो.	వదదు, ఆమెను ఉండమను, మీరిదదరూ చాలా సననిహితంగా ఉననారు.
कब उससे डरना चाहिए, और तुमहें फरक पता होना चाहिए.	ఎపపుడు భయపడాలో తెలుసుండాలి, దానికి తేడా తెలుసుండాలి.
कोई मुशकिल नहीं.	నేను సమసయలో లేను.
मारो मुझे, साले.	ననను కొటటు, వెధవ.
तुमहारे और लूक के बारे में पता है.	నువవూ, లూక ఏం చేసతుననారో తెలుసు.
मुझे नहीं खेलना.	ఆట వదిలేసతుననాను.
हेदर और मेरे बीच पहले तय हुआ था.	మొదట నేను, హేథర ఒపపందం చేసుకుననాం.
बहुत हो गया. वह जलदी कॉलेज चला जाएगा. यहाँ से दूर.	చాలు. తను తవరలోనే కాలేజీకి వెళతాడు. ఇకకడ ఉండడు.
तुम औरों को उललू बना सकते हो. . .	నువవు ఇతరులను మోసం చేయగలవు. . .
अपने भाई की तरह खेल तय कर रहे हो?	మీ అననలాగే ఆటను నిరణయిసతుననావా?
हेदर के बारे मैं यही सोचती हूँ.	నేను హేథర గురించి ఆలోచించేది అదే.
आँखों पर पटटी बंधी हो तो हर फैसला खतरनाक होता है.	కళళకు గంతలు ఉననపపుడు పరతి నిరణయం పరమాదకరమెనదే.
अफसोस की बात है.	అససలు బాగాలేదు.
भाड में जाओ तुम.	మీరంతా పోండిరా.
वह दो लोगों के लिए चोरी कर रहा था. शुकर है दुगने अंक नहीं मिले.	అతను ఇదదరికీ దొంగిలించాడు. ఇంకా నయం పాయింటలు అదనంగా రాలేదు.
टेकसस में जुआ गैरकानूनी नहीं,	టెకసాసలో జూదం చటటవయతిరేకం కాదు,
मैंने उसे तहखाने में जाते देखा.	తను భూగరభంలోకి వెళళడం చూశాను.
पहली रात सबसे भयानक थी. लगा कि हम नहीं बचेंगे.	మొదటి రాతరి దారుణం. చనిపోతానేమో అనుకుననాను.
डॉज को पकका नहीं जीतने देगा.	తను ఖచచితంగా డాడజను గెలవనీయడు.
तुमने मेरी जान ही निकाल दी थी.	నువవు ననను చచచేంత భయపెటటావు.
एक और बात. . .	ఇంకో విషయం. . .
-ले लो. -नहीं.	-వేసుకో. -వదదు.
लूक ने डॉज की बहन के साथ जो किया, उसके लिए जरूर पकडा जाएगा.	డాడజ చెలలికి అతను చేసిన దానికి ఎవరో ఒకరు సాకషయం ఇసతారు.
अब आप खुश हैं?	ఇక సంతోషమేగా?
मुझे नहीं पता.	నాకు తెలియదు.
पैसों की बात नहीं है, माँ.	అమమా, ఇది డబబు గురించి కాదు.
मुझे लगा कि अगर मैंने. . .	నేననుకుననాను ఒకవేళ నేను. . .
-उतनी कम परवाह है. -लूक ने तुमहारी जिंदगी बरबाद की.	-నాకంత పటటింపు ఉండడం లేదు. -లూక నీ జీవితం నాశనం చేశాడు.
मैं जीतना चाहता था, पर पैसों की उतनी सखत जरूरत नहीं थी.	నేను గెలవాలని అనుకుననాను, అంటే నాకు డబబు అంత అవసరం.
नैटली को छोडकर करमबदध रूप से खिलाडी थे डॉज, रे. . .	నాటలీని మినహాయించి, ఆడేవారు ఎవరంటే వరుసగా డాడజ, రే. . .
-जाने का समय हो गया. -अचछा.	-ఇక వెళళాలసిన సమయం. -సరే.
मैं डर गया कि आप सोचेंगे कि मेरा उसमें कोई हाथ था.	మీరు జరిగిన దానితో నాకు సంబంధం ఉందనుకుంటారని భయపడడాను.
तुम बाहर से घर पर नजर रखे हुए थी, डॉज ने तुमहें बचाया.	ఇంటి బయట గమనిసతూ ఉననావు, నీకోసం డాడజ తీసుకువచచాడు.
नाम डॉक मैजिक खिलाडी - संभावना - बाजी	పేరు డాక మాజిక ఆడేవారు - అంచనాలు - పందెం
-अभी अपने कोच का ईमेल मिला. -कौन से कोच?	-ఆ కోచ నుండి ఈ మెయిల వచచింది. -ఏ కోచ?
अचछा. मैं तुमहें बाहर निकालूँगा, ठीक है?	సరే. నేను నినను బయటకు తీసతాను, సరేనా?
अचछा. ठीक है.	సరే. మంచిది.
घिसी पिटी है.	సరవ సాధారణం.
पता था कि मैं इनहें फेंक नहीं सकती थी,	నాకు తెలుసు నేను అవి బయట పడేయలేనని,
मेरे लिए 30 घंटे काम करके	నాకు 30 గంటలు పనిచేసతూ,
-मुझे कोई डर नहीं. -अचछा?	-నేను భయపడలేదు. -నిజమా?
तो कया यह सिरफ एक चाल थी?	అయితే, ఏంటి, ఇది మోసమా?
शायद ऐबी का डांस वाला बैग बाकी सामान के साथ गायब हो गया.	బహుశా ఆబీ డానస బయాగ కూడా మిగిలిన సామాగరితో పాటు పడేసి ఉంటారు.
शायद लोग पैनिक पर शरतें लगा रहे हैं.	పానిక మీద పందెం కాసతుననారనుకుంటా.
मेरी बात है?	నా గురించా?
लूक ने किसी खिलाडी को खेल छोडने के पैसे दिए.	గత ఏడాది మరో ఆటగాడిని తొలగిపోవడానికి చెలలించాడు.
शुभकामनाएँ.	శుభాశీససులు.
एक समय पर किसी कातिल का बेटा था.	అనగనగా, ఒక హంతకుడి కొడుకు ఉండేవాడు.
किसी ने उसे असली बंदूक से बदल दिया.	అది ఎవరో అసలెన తుపాకీతో మారచారు.
हम वहाँ वापस नहीं जाएँगे. पुलिस जबरदसती नहीं कर सकती.	మేము అకకడికి తిరిగి వెళళము. పోలీసులు మమమలని బలవంతపెటటలేరు.
यूँ ही कह रही हो, है न?	హాసయమాడుతుననావు, కదా?
दो सनोबर लेकर खाली हिससे में रात के 10 बजे	రెండు చెటలు దాటి ఖాళీ సథలానికి రాతరి 10 గంటలకు
मैं तुमहें मार डालूँगा!	నేను నినను చంపేసతాను!
कयोंकि यह बहुत ही मुशकिल बात होती.	ఎందుకంటే అది చాలా కషటమెన ఆలోచన.
किसी ने सिर पर बंदूक नहीं तानी.	ఎవరూ నీ తలపె తుపాకీ గురి పెటటలేదు.
वह सपरलॉक निवास में थी ही नहीं.	ఆమె అసలు సపరలాక ఇంటిలోకి వెళళలేదు.
छोडो भी, उसे किसी इंसान या चीज की परवाह नहीं, सिवाय उसके	సరేలే, అతనికి తనకు కావాలసింది, అదెలా పొందాలననది తపప
अजीब बात यह है कि हम नयाय के जितने करीब जा रहे हैं,	తెలుసా, విచితరం ఏంటంటే, మనం నయాయానికి ఎంత దగగరవుతుననామో,
-चिटठियाँ? -धमकियाँ.	-చీటీలా? -బెదిరింపులు.
अभी तो सोने का समय है,	ఇపపుడు పడుకునే సమయం,
तुम सवागत कमेटी से हो?	సవాగతించేది నువవేనా?
-समझे तुम? -समझ गया.	-అరథమెందా? -అరథమయింది.
इसे ले लो.	అది వేసుకో.
पलीज मैं समझाती हूँ.	దయచేసి ననను వివరించనీ.
सच है. हमने तुमहारे मुँह से सुनी.	నిజం. అది నువవు చెపపగా విననాం.
एक पैसे वाले जज की इकलौती संतान.	ధనిక నయాయమూరతి ఏకెక కుమారుడు.
जज रैमजी को फोन करता हूँ और. . .	జడజీ రామసేకు ఫోన చేసతాను. . .
शुकरिया. गुड मॉरनिंग.	ధనయవాదాలు. శుభోదయం.
-नैट ने नहीं बताया. -शायद उसे पता नहीं था.	-నాట నాకు చెపపలేదు. -తనకు తెలుసనుకోను.
जज लोगों की तरफ से.	నయాయనిరణేతల సహకారంతో.
तुमहें उसकी याद आएगी?	అతనిని మిస అవుతావా?
नयोते पर कया लिखा था?	నీ ఆహవానంలో ఏముంది?
देखो, मेरा वह इरादा नहीं था.	చూడు, అది అనుకోకుండా వచచేసింది.
माफ करना. एक ही बीयर बची थी.	అందుకు కషమించు. ఒకటే బీరు ఉంది.
मुझे मुसीबत में डालने की कोशिश.	ననను ఇబబందులలో నెటటే పరయతనం.
-डरती हो कि सच सामने आ जाएगा? -तुम मर सकती थी.	-నిజం బయటకొసతుందని భయమా? -నువవు చనిపోయి ఉండేదానివి.
कया मतलब?	అంటే ఏంటి?
बडे अचछे मूड में हो.	మంచి మూడలో ఉననావు.
माफ करना, मेरी हालत कुछ ठीक नहीं थी.	ననను కషమించండి, నాకు గందరగోళంగా ఉండింది.
खेल में नहीं था. नहीं खेल सकता था. सीनियर नहीं था.	లూక ఆడడం లేదు. అతను ఆడలేడు. అతను సీనియర కాదు.
कया मतलब?	అంటే ఏంటి?
