गो ल !	గో ల !
मुझे यह सोच कर अचछा लगता है कि कैसे यहाँ आ ना अ ती त में क दम रख ने जैसा है .	ఇకకడికి రా వడం కాల ంలో వెన కకి వెళలి న టటు గా ఉంటుంది అని నాకు అనిపి సతుంది .
कृपया , अपनी सी टी दे दी जिए जो पर ीक ष ा पास करने पर आपको लौ टा दी जाए गी .	దయచేసి నీ వి జి ల ని ఇ చ చేయ , టె సట ు పా స అయ యా క దానిని తిరిగి నీకు ఇ సతా ము .
और उसकी नजर ें जहाँ हो नी चाहिए थीं , उसके सि वा य कहीं भी और हैं .	కానీ వాళళ క ళళు మా తరం ఎకకడ ఉండ ాలో అకకడ కా కుండా ఇం కె కకడ ో ఉననాయి .
- तुमने हार मान ली ? - नहीं , हम बस अपनी यो जना बना रहे थे .	- ఆట ను వ దు లు కుంటుననా రా ? - లేదు , ఇ పపుడే మా వార మ - అ ప అయి ంది .
ब शर ते तुम कि नहीं खास फु ट गो ले टी म ों की बात न कर रही हो .	కా కపోతే నువవు కొనని ఫ ు ట బ ాల జ ట లను ఉద దే శి ంచి చెప తే తపప .
. . . और फै न स ने काफी दु ः ख देने वाली ना रे बा जी की .	. . . కారణ ంగా అభి మా ను లు కో ప ంతో అ రి చి ని న ది ంచారు .
तुमहें को रस को पूरा करते देख कर बहुत खुशी हुई .	నువవు ఆ కోర సు ను పూరతి చే సతు ంటే చూడ డం భలే ఉంది .
मुझे अफ सो स है मैं भा वना त म क रूप से शा मिल हुआ .	నేను ఇంత గా ఆ శ లు పె ంచు కునన ందుకు బాధ పడు తుననాను .
फिर से , ठीक से दि ला सा नहीं दे रहे . माफ करना .	మళళీ చెప తుననా , మేము బాగా ఓ దా రచ లే ం . కషమించు .
साफ है , तुम नहीं जानती ं तुम कया च ूक रही हो .	నువవు ఏం మి స అవు తుననా వో నీకు అస స లు తెలీదు .
पर अचछा लगे गा अगर तुम कि ता ब एक तरफ रख कर	కానీ నువవు కొంచెం నీ పు సత కా నని ప కక న పె టటి
साफ दिख रहा है , वह खिला डी ना ट क कर रहा था .	ఆ ప లే య ర కావాల నే ద ె బబ త గి లి న టటు న టి ంచారు .
नौ करी पा ने के लिए तुमने बहुत मे ह न त की थी	పని చేసా వు అని గురతు పెటటు కో వడం చాలా ముఖ యం ,
जहाँ हार ने वाली टी म को खा लिया जाता है .	అందు లో ఓ డి న జ టటు ను పర తయ రథ ి తి నే సతుంది .
इस जगह को बे कार समझ लेना बहुत आ सान है .	ఈ పర దే శా నని చినన చూ పు చూడ డం చాలా సు ల భ ం .
वैसे मैंने इस न ती जे की आ शा नहीं की थी .	అలా జరుగు తు ందని నేను అస స లు అనుకో లేదు .
मुझे तुमसे बेहतर होने में मजा आता है .	నీ కంటే ఏ పని నె న బాగా చేయడం నాకు సర దా నే .
एक बार मैं भूल गया कि मैं रे फ री हूँ , मुझे पास मिला और मैंने गो ल कर दिया .	ఒక సారి నేను రె ఫ రీ ని అనన విషయం మర చి పోయి , ఒక బ ాల వ సతే దానిని త నని స కోర చేశా .
मैं तो इससे कहीं बुरा कर चुका हूँ .	నేను ఇంత క ననా దారు ణ మెన ప ను లు చేశా .
जो एक बहुत सु ंदर सं यो जन बना ता है , काफी ह द तक तुमहारे फु ट गो ले की तरह .	కారణ ంగా నీకు బాగా న చ చే ఫ ు ట బ ాల లో లా గే అదభు త మెన సా మర స యం ఏ ర పడు తుంది .
तुम लोगों ने भी वह उल लं घ न देखा ना ?	మీరు కూడా ఆ ఉ లల ం ఘ నను చూశా రు , కదా ?
अब मैं खुशी - खुशी खतम हो सकता हूँ .	ఇపపుడు నేను సంతోష ంగా క నను మూ య గలను .
गर व मिल ता है कि तुम सामने वाले से बेहतर हो पर खेल ने में मजा आए गा .	అనే ఫీ లి ంగ వ సతు ందని నాకు తెలుసు , కానీ ఇది ఆడ డం భలే సర దా గా ఉంది .
तुम में से हर एक को हमारे इस अ तया ध ु निक बा धा को रस को पार करना होगा .	మీ లో పర తీ ఒకక రూ మా అత యా ధ ు నిక ఆ టం కాల కోర సు లో పరి గె తత ాల సి ఉంటుంది .
पर यह अब कुछ जयादा ही हो रहा है .	కానీ నువవు మ రీ దూ రం వెళ తుననావు .
- अभी नि रा श होने की कोई बात नहीं . - चलो , हम हार तो नहीं रहे .	- ఇంకా అ పపుడే ని రా శ పడ ాల సిన పని లేదు . - అంటే , మనం ఓ డ డం లేదు కదా .
तुम दोनों यहाँ कया कर रहे हो ?	మీరు ఇదద రూ ఇకకడ ఏం చేసతుననా రు ?
एक परा ण ी ने एक छो टा गो ला बना या और दूसरे परा ण ी से कहा . . .	ఒక మనిషి ఒక చినన బం తి ని చేసి , ఇం కొ క మనిషి తో ఇలా అననా రు . . .
बीच में बा धा डाल ने के लिए , तुमहारी पर ीक ष ा सबसे पहले होगी .	మధయ లో అంత రా యం కలి గి ంచిన ందుకు , నువవే ముందు టె సట ు తీసుకో వాలి .
अधि कारी बहुत मे ह न त से नि रण य के बारे में चर चा कर रहे हैं .	అ ఫీ షి య లస నిరణ యానని వె లల డి ంచే ముందు బాగా చ ర చి ంచు కుంటుననా రు .
कि मैं बार - बार गलत होता हूँ .	ఎపపుడూ తపపు లు చే సతు ంటా ను అని .
और अगर मेरे खतम होने से पहले तुम दोसत नहीं ब ने , तो वह मेरे खतम होने की वजह बन जाएगा .	అలాగే నేను చచ చి పో యే లో గా మీరు ఫ రెండ స కా కపోతే , అపపుడు నా చా వు కు అదే కారణ ం అవు తుంది .
पर हमेशा ऐसा नहीं हो पा ता .	కా కపోతే , అలా అ సత మా ను జరగ దు .
मैं कभी भी खतम हो सकता हूँ .	నేను ఏ కష ణ మెనా చచ చి పో వచచు .
या तुम अ चा न क खतम हो जाओ गे .	లేదా స డ న గా చచ చి పో తా వే మో .
मैंने सब को नि रा श कर दिया .	నేను అంద రి నీ బాధ పెటటా ను .
तुमहें मिल कर भी अचछा लगा .	నినను చూడ డం కూడా సంతోష ం .
अगर तुमहें लगता है कि एक ज ंग ल को देखना रो मा ं च क है ,	సరే , నీకు ఒక అడ వి ని చూడ డం లో అంత సంతోష ం ఉంది అంటే
जैसे फु ट गो ले के मै दा न में केवल घ ा स पर धयान देना .	ఫ ు ట బ ాల ఫీ ల డ లో ఉనన గ డ డిని మాతరమే చూ సిన టటు ఉంటుంది .
- तुमहें होना भी चाहिए . - न यू ट स बहुत शान दार जी व हैं ,	- మీరు అలాగే ఫీ ల అవ వాలి . - న యూ ట స చాలా గొపప జీ వు లు ,
यह मै च हमारे कट टर परति स पर द धी , न यू ट स के वि रु द ध है .	మా బ దధ శ తరు వు లెన న యూ ట స జ టటు తో ఒక మయా చ న డు సతోంది .
कया यह गो ले के खेल ों के आकर ष ण का एक कारण नहीं है ?	బ ాల తో ఆ డే ఆట లలో ఉండే ఆ స కతి కర మెన విషయం అదే కదా ?
व हा इट टे ल स उनके च ंग ु ल से बच ने के लिए हर कत में आए .	ఆ జి ంక లు వాటి ని వది లి ంచుకో వడానికి పరయతని ంచా యి .
हम ह ल का ज हर पी ने के लिए द स लॉ पी जग जा रहे हैं .	మనం మ ద యం తా గ డానికి ది స లా పి జ గ కు వెళ తుననాం .
- गो ल ! - गो ल , बे बी ! हाँ !	- గో ల ! - గో ల , బ ే బి ! సూ పర !
- कितनी ग ह री बात . - मेरा दिमाग तो जैसे फ ट गया .	- అరథ వ ంత మెన మాట లు . - నా బు ర ర పే లి న ంత పని అయి ంది .
तुम सच में सुन रहे थे .	నువవు నా మాట లు వి ననా వు .
तुम उस को को की टि क की जि तनी ही मी ठ ी हो जो तुम हमेशा मेरे लिए ला ती हो .	నువవు నా కోసం పర తీ సారి తె చ చే చా క లెట అంత టి తి యయ ని మన సు ఉనన వయకతి వి .
मेरा डर खतम नहीं होगा .	ఎంత మ ందు తా గి నా పో దు .
मैं इसके बारे में पूरी तरह आ श व सत नहीं हूँ .	నాకు నేను అందు లో పా స అవు తాను అనిపి ంచడం లేదు .
कि परा ण ी उस में तुमहारी आँख ों के सामने शान दार	అలాగే మన క ళళ ము ందే లె వ లో ఆట గా ళలు అదభు త మెన
हमें तुम पर भरो सा है !	మాకు నీ మీద నమమ క ము ంది !
हमें तुम पर भरो सा है !	మాకు నీ మీద నమమ క ము ంది !
रे फ रि यों को प कष ी - सं बं धि त रु का व ट ों के लिए पर शि कष ण दिया जाता है	రె ఫ రీ లకు ప కష ు ల వలల ఎదు ర యయ ే అడ డం కు ల విషయం లో చాలా ట రె ని ంగ ఉంటుంది ,
किसी वा सत व में दिल च सप चीज में सच ची दिल च स पी दिखा ने के लिए धनयवाद .	నిజంగా ఆ స కతి గా ఉండే విషయం మీద నీ ఆ స కతి ని చూపి ంచిన ందుకు థాంక స .
तुम हा उल रस हम से हार ना चाहते हो जैसे कल रात तुमहारी टी म हा री थी ?	మీ హ ౌ ల రస కి కూడా ని నన రాతరి మీ జ టటు ఓ డి న టటే ఓ డి పో వాలని ఉందా ?
देखो , यह एक गलती थी .	చూడు , ఇది ఒక పొ ర పాటు .
अजीब है उनहोंने अपनी टी म का नाम इतने ना जु क जी व के नाम पर र खा .	అంత బ ల హ ీ న మెన జీవి పేరు ను తమ జ టటు కు పెటటు కో వడం వి ంత గా ఉంది .
अब इन के पास मौ का है .	ఇదే మన వాళ లకు ఛ ా నస .
तुमहारे वापस आने से बहुत अचछा लग रहा है .	నువవు తిరిగి రా వడం చాలా సంతోష ంగా ఉంది .
हम दो से पीछे हैं और तुमहें अब समझ दा री से काम करना होगा .	మనకు రెండు గో లస త కకువ ఉననాయి , నువవు సరి గగా ఆడ డం మొద లె టట ాలి .
मुझे लगता है तुमहें सच में मजा आए गा .	నీకు ఈ ఆట నిజంగా న చచు తు ందని నా ఉదదేశం .
- रे फ री , कृपया . - छ ल .	- రె ఫ , పలీజ . - మో సం .
ठीक है . अगर तुम दोनों यही चाहते हो .	సరే . మీ ఇదద రికీ అదే చూడ ాలని ఉంటే సరే .
अपने खिला डि यों की का बि लि य त को छोड कर झ ट से किसी भी और चीज पर दो ष डाल देंगे .	తమ ఆట గా ళల నె పు ణ యం మీద తపప మి గ తా అనని ంటి పె ని ంద లు వే య డానికి ముందు ంటా రు .
परा ण ि यों को यह वि चार इतना अचछा लगा	మను ష ు లకు ఈ ఐ డి యా ఎంత గా న చచి ంది అంటే ,
कि परा ण ी अपनी पसंद ी दा टी म ों से अपना पयार दिखा ने के लिए	కొ ంద రు తమ ఫ ే వర ె ట జ టటు మీద ఉనన ఇష టా నని వయ క త పర చ డానికి
यह ता कत कै सी लगी ?	గ టటి గా త ననాను కదా ?
हम परा ण ी अपनी रो ज मर रा की जिंदगी में इतने उल झ जाते हैं	మను ష ు ల మెన మనం రోజు వా రీ కార య క లా పాల లో ని మ గ నం అయి పోయి
परा कृ ति क आ वास के ऊपर सट े डि य म बना या .	ఆ ప కష ు లకు ఏ మా తరం న చచ లేదు అను కు ంట .
जरूर . कयों नहीं ?	సరే . పరయతని సతా వా ?
मुझे इस बात ची त की कमी नहीं ख ल ती .	ఇలా ంటి చ రచ లకు ద ూర ంగా ఉండ డం మంచిది .
हम ज ंग ल में हैं .	మనం అడ వి లో ఉననా ం .
तुमहारी यह कहानी भी जा ँच ले ते हैं .	నీ థ ి య రీ ఎంత వర కు క రె క టో చూ దదాం .
हम यह कर रहे हैं !	మనం గె లు సతుననా ం !
- पर मुझे लगता है उस परा ण ी को अ ड ं गा मा रा गया ? - मैं वह नहीं देख पा या .	- కానీ ఆ వయకతి కి క ాలు అడ డు పెటటా రు కదా ? - నాకు కూడా ఐ డి యా ఏం లేదు .
पर मैं बा ह री - श ून य ता का खो ज करता	కానీ నేను ఒక అంత రి కష అన వే ష కు డిని
और फिर उसे वापस ला ओ , चाह े तुमने उसे न पढ ा हो .	అలాగే మీరు చ ద వ క పోయి నా , దానిని తిరిగి తీసుకు రండి .
हाँ , जरू री नहीं है . तुम यह देख रही हो , है ना ?	ఏ మో , నాకు తెలీదు . నువవు చూ సతుననా వు కదా , ఏమ ంటా వు ?
साफ है , यह इन का पहली बार आ मना - साम ना नहीं हुआ है .	తో డే ళళ ను ఎదు ర కో వడం వాటి కి ఇది మొదటి సారి కాదు .
परा ण ी अपनी फु ट गो ले की टी म ों को लेकर काफी जो श में आ जाते हैं .	మను ష ు లు తమ ఫ ు ట బ ాల జ టల విష యా నికి వ సతే చాలా ఉద వే గా నికి గురి కా గల రు .
- हाँ ! - अरे , हाँ !	- భలే ! - ఓహ , భలే !
मैंने पढ ा था कुछ ब ज सट ि ं गर स या नि म ध ुम क ख ियाँ एक बार ड ंक मार कर ही खतम हो जाती हैं .	నేను నిజ ానికి బ జ స టి ం గర లు ఒకక సారి ఎవరి నె నా కు టట గానే చచ చి పో తా యి అని వి ననాను .
उस में शर मि ंद गी की कोई बात नहीं .	అందు లో సి గ గు పడ ాల సిన ప నే లేదు .
तो समझ ना सी ख जाओ गी कि कब वे जी व ों के बारे में कोई त थ य सुन ना चाहते हैं ,	వాళ లకు జ ం తు వు ల గురించి ఇలా ంటి విషయ ాలు ఎ పపుడు వి నా లని ఉ ంటు ందో తెలి సి ఉండే ది ,
मैं अब एक बू ढ ा परा ण ी हूँ और बहुत जलदी मैं खतम हो जा ऊँगा .	నేను ఇపపుడు చాలా ము స లి వయకతి ని , ఇం కె నన ో రోజు లు బర తి కి ఉండ ను .
तो जरा फु ट गो ला खेल कर देखना .	ఒక సారి ఫ ు ట బ ాల చూ సతే ఏ మె పో తా వో .
केवल पे ड ों पर धयान देना ऐसे है	చె టల మీద మాతరమే ద ృష టి పె డి తే
लगता है वह कि सम त से ही हुआ था .	బహుశా ముందు గో ల ల క వల లే నే మో .
कोई भी परा ण ी दो ष ही न नहीं होता .	లోప ాలు లేని వారు ఎవరూ ఉండ రు .
अगर एक - दूसरे के लिए नहीं , तो जी वन दा ता के लिए .	మన కోసం కా కపోతే , మన పరా ణ దా త కోసం గె లు దదాం .
वे शा री रिक त ौर पर खिला डि यों जि तने ही सक ष म थे	వాళళు కూడా ఆట గా ళల లా గే ఆడ గల సత తా ఉనన వారు ,
हमारा जैसा भी रिश ता होना चाहिए , वह वही है जैसा अभी है .	మా మధయ ఎలా ంటి బం ధం అయితే ఉండ ాలో పర సతు తం అలా ంటి బం ధ మే ఉంది .
शु रु आत में कि सम त साथ दे गई .	మొదటి సారి కాబటటి కలి స ొ చచి ంది .
कयों न हम वापस फु ट गो ला मै च देखना शुरू करें ?	మనం తిరిగి ఫ ు ట బ ాల మయా చ చూడ డం మొద లె డ దా మా ?
इसके हर पह लू को महसूस करने की कोशिश करो .	ఇకకడ ఉనన అసలు చి త రా నని చూడ డానికి పరయతని ంచు .
तब इसके साथ प द घ टा ए जाने से कहीं बुरा होगा .	అపపుడు డి మో ట కంటే దారు ణ మెన ది జరుగు తుంది .
तुम जि तना जयादा देखो गे , उ तना जयादा तुमहारी जानकारी बढ े गी .	ఇకకడ నువవు మరి ంత చూ సే కొ దద ీ నీ మన సు మరి ంత వి క సి సతుంది .
मैं यह पर ीक ष ा अचछे से पास कर ूँगा , चाह े मुझे पता नहीं है कि कया करना है .	నేను అసలు ఏం చేయ ాలో తెలీ క పోయి నా కూడా నేను ఈ టె సట ు లో టా ప లో వ సతాను .
कि ता ब ों की शक ति के मा ध य म से .	పు సత కాల లో ఉనన శ కతి సా య ంతో .
ठीक है , थोडा नी चा दिखा ने की कोशिश है , पर अब तुम मेरी भा ष ा में बात करने लगी हो .	సరే , కొంచెం వె ట కార ంగా నే అననా వు , కానీ నువవు చి వ రికి నా ఫీ లి ంగ ని అరథం చేసు కుంటుననా వు .
तुम एक बार पर मा ण ित हो चु के हो , तुम यह दोबारा कर सकते हो .	నువవు ఇంత కు ముందు సర టి ఫి కే షన పొ ందా వు , మళళీ పొ ంద గల వు .
हाँ . दु ः ख ी होने का मौ का जैसे आप हर मै च में होते हो .	అవును . పర తీ మయా చ లో లా గే మీరు ని రా శ పడ టానికి మంచి అవకా శం .
वे शायद उनके न ज रि ये से हुए अन या य को वय कत कर रहे थे .	తమ కు అన యా యం జరిగింది అని అనుకో వడం వల లే అలా చేసి ఉంటా రు .
हा उल रस मै दा न में भाग ते चले जा रहे हैं .	హ ౌ ల రస ఫీ ల డ చి వ రికి బ ాల ని తీసు కె ళ తుననారు .
बी इ ंग सब र ग का यह हि ससा सं रकष ित भ ू मि है .	బీ యి ంగ స బ రగ లో ఉనన ఈ పర దేశం ర కషి త పరా ంత ం .
आज हम तुमहारी कष म ता ओं की पर ीक ष ा ल ेंगे .	ఇ వాళ మేము మీ సా మర ధ యానని పర ీ కషి ంచ బో తుననాం .
मैं तुमहारी दि ला सा के लिए आ भा री हूँ पर साफ है , मैंने गलत नि रण य दिया .	నీ ఓ దా ర పు కు థాంక స , కానీ నేను సప షట ంగా త పపుడు నిరణ యం తీసు కుననాను .
हम सबसे गलत ियाँ होती हैं .	మనం అంద రం తపపు లు చే సతు ంటా ం .
परा ण ि यों का अपनी कष म ता पर सवाल उठा ना अ सा मान य नहीं है .	అందరూ తమ సా మర ధ యానని ఒక కో సారి పర శ ని ంచుకో వడం స హ జ మే .
तो इससे अचछा तो हमें टी म में ही रख लें .	వాళళు మన లని కూడా జ టటు లో చే రచు కో వచచు .
यह म जे दार है .	భలే చెపపా వు .
हम तैयार हैं .	మాకు స మమ త మే .
अं ति म चु नौ ती .	ఆ ఖ రి ఛ ాల ెం జ .
मैंने तुमहें कुछ ऐसा दिखा ने की कोशिश की जो मुझे बहुत पसंद है	నేను నాకు ఇష ట మెన ఒక దాని గురించి నీకు కొంచెం చూపి ంచాలి అను కుననాను ,
स या ही के नि शान लग वा ने लगे	ప చచ బ ొ టలు పొ డి పి ంచుకో వడం
हम रे फ री हैं . हमें जो नजर आता है , हम वही कहते हैं .	మనం రె ఫ రీ ల ం . మనకు ఎలా కనిపి ంచి ందో అదే చెప తా ము .
अभी तो यह केवल शु रु आत है .	మనం ఇంకా మొతత ం చూడ లేదు .
तुमने केवल आ धे फै न स को नि रा श किया .	నువవు స గం మంది ఫ యా నస నే ని రా శ పరి చా వు .
शा ंत हो जाओ . मुझे बस कुछ देर सो ना है .	రి లా కస . చినన కు ను కు తీ సతుననా అంతే .
जि ज ञ ा सा और गु ससा इस ग रह पर जहाँ चार ों तरफ है खत रा	ఆ స కతి అలాగే ఆ గర హం పరమా ద ంతో ని ండి ఉనన పరపంచ ంలో
और आज शा म का अ ंत हा उल रस के लिए बहुत बुरा हुआ .	అలాగే హ ౌ ల రస కి ఇ వాళ అ తి దారు ణ మెన ము గి ంపు ఎదు రె ంది .
और मु द रा ख र च ने लगे ताकि वे मौ जू द र हें जब उनकी टी म जी ते .	అలాగే తమ జ టటు గె లి సతే చూడ డం కోసం డబబు ఖ రచు చేయడం మొద లె టట ా రు .
बिलकुल नहीं .	సమ స యే లేదు .
और सु नि श चि त करते थे कि गो ले के दोनों ओर सं तु ल न बना रहे .	అలాగే బం తి కి ఇ రు వెపు ల ఉనన ఆట గా ళలు సరి గగా ఆ డే లా చూ సు కునే వారు .
- हाँ ! - हाँ !	- భలే ! - సూ పర !
तुमहें इतने सारे परा ण ि यों के सामने अस फ ल होते देख कर बहुत अचछा लगा .	ఎ ంతో మంది ముందు మీరు త పపుడు నిరణ యం తీసుకో వడం నిజంగా చాలా అద బు తంగా ఉంది .
नहीं , यह अचछा है . चलो , थोडा फु ट गो ला खेल ें .	లేదు , ఇది మంచి విషయ మే . మన కొంచెం ఫ ు ట బ ాల ఆడ దాం .
सब की छु ट टी कर दो , च ै म प !	వెళలి అద రగ ొ టటు , ఛ ా ం ప !
परा ण ि यों के यहाँ रह ने से बहुत पहले से यह जी व ों की ध र ती थी	మను ష ు లు రా వడానికి ముందు నిజ ానికి ఈ పరా ంత ం ఈ జీ వు ల దే ,
दरअसल , हाँ , मुझे पसंद है कि फु ट गो ले का खेल पहले से त य नहीं होता और उस में कुछ भी हो सकता है .	అంటే , ఫ ు ట బ ాల కి ఉండే ముందు గానే నిరణ యి ంచ ని అలాగే ఊ హి ంచ శ క యం కా ని గు ణం నాకు చాలా ఇషటం .
वाह . परा ची न पे ड . कितना रो मा ं च क है .	వా వ . పా త చె టలు . భలే గొపప విషయం .
उनहें मेरा साथ तुमहारे साथ से जयादा पसंद है .	వా రికి నీ తో ఉండ డం కంటే నాతో ఉండ డ మే ఇషటం .
आज ही कि ता ब उ धा र लो .	ఇ వాళ ే అ రు వు తీసుకో ండి .
खैर , यह तो सच नहीं है .	అంటే , అది నిజం కాదు .
जो कि तुमहारे माम ले में पूरी तरह सच नहीं था ?	నీ విషయం లో అయితే అది నిజం కా కపో వచచు ఏ మో ?
तो हो जाए .	సరే , అలాగే .
मेरी पसंद को हमें एक साथ ला ना था .	నా ఇషటం మని దద రి నీ దగగర చేయాలి .
ये हा उल रस शि कार करने की कोशिश करते हुए अपने इ ला के की रकष ा कर रहे हैं .	ఆ తో డే ళళు తమ పరా ంతా నని కా పా డు కు ంట ూ నే వాటి ఆ హా రా నని పటటు కో వడానికి చూ సతుననా యి .
ज ंग ली जी व ों के बारे में एक बहुत सु ंदर व ृ त त चि तर आ रहा होगा .	అడ వి జ ం తు వు ల మీద ఒక అంద మెన డా క యూ మె ంట రీ ఒకటి పర సా రం అవు తుంది అ ంట .
कया हा उल रस को अपना शि कार मिले गा ?	తో డే ళ లకు వాటి ఎ ర దొ రు కు తు ందా ?
यह लो . गे म खतम हो गई .	అంతే . ఆట ము గి సింది .
आप खतम होने वाले हैं ?	మీరు చచ చి పో తుననా రా ?
इसके लिए हमारा आ देश है कि आपको पु न ः पर मा ण ी कर ण करवा ना होगा .	కాబటటి నువవు తిరిగి నీ సర టి ఫి కే షన ని తె చచు కో వాలి అని మా ఉదదేశం .
हाँ ! जी वन दा ता के लिए !	సూ పర ! పరా ణ దా త కోసం !
उस रे फ री को तो पकका कोई और काम ढूँढ लेना चाहिए .	ఆ రె ఫ రీ ఈ పని మా నే సి వే ర ొక ఉద యో గం వె తు కకు ంటే మంచిది .
मुझे नहीं लगता वह तुमहें बुरा महसूस करवा ना चाहते थे .	నాకు తెలి సి వారి ఉదదేశం నినను బాధ పెటట ాలని కాదు .
तुम यह कभी नहीं देखना चाहते .	అలా జరగ డం చూడ ాలని ఎవ రికీ ఉండ దు .
मैं यहाँ केवल जी वन दा ता को शा ंत करने के लिए आया हूँ .	నేను పరా ణ దా తను బాధ పెటట కూడ ద నన కారణ ంగా నే వచచా ను .
तुम बहुत अचछे रे फ री हो और हम सब को तुम पर भरो सा है .	మీరు గొపప రె ఫ రీ , మా అంద రికీ మీ మీద నమమ కం ఉంది .
एक सि ता रे की परि कर मा कर रहा है	ఒక న కష తరం చు టట ూ తి రుగు తోంది
गे म यहीं खतम हो जा नी चाहिए थी .	ఈ ఆట ఈ పా టి కి ము గి సి ఉండాలి .
सब की नजर ें उस ी पर टि की हुई हैं	అంద రి క ళళు వారి పె నే ఉననాయి ,
तो कृ पा करके , लड ना बंद करो .	కాబటటి దయచేసి గొ డ వ పడ టం మా న ండి .
तो तुम चाहती हो मैं यह मान ल ूँ कि जी व और प ौ धे	అంటే ఈ జీ వు లు అలాగే మొ కక లు కూడా ఫ ు ట బ ాల ఆట గా ళల లా గే
मुझे यकीन है कुछ - कुछ दोनों ही होंगे .	నాకు తెలి సి రెండు కారణ ాల ూ స రెన వే కా వచచు .
मैं गो ल कर सकता हूँ !	నేను షా ట కొ టట గలను !
तुम मेरी बात कयों नहीं सुन ते ?	నువవు నా మాట ఎందుకు విన వు ?
पर हा उल रस फिर भी बहुत बु री टी म है .	అయి నా కూడా హ ౌ ల రస ఇ పపటి కీ ఒక చెతత జ టటే .
मुझे मै दा न पर वापस जाने का बे सब री से इंतजार है .	తిరిగి ఫీ ల డ మీద కు ఎ పపుడు వెళ తా నా అని ఉంది .
कुछ थो डे अजीब लग सकते हैं	కొనని విషయ ాలు వి ంత గా ఉండ ొ చచు
मुझे लगता है ये सही दर श कों के सामने नहीं दिखा रहे .	వాళళు తమ యా డ ని స రెన పర జ లకు చూపి ంచడం లేదు అనుకుంటుననా ను .
